Index Title,Rashi on Leviticus
Version Title,"Rashi Chumash, Metsudah Publications, 2009"
Language,he
Version Source,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH002691623
Version Notes,
Rashi on Leviticus 1:1:1,"<b>ויקרא אל משה.</b> לכל דברות ולכל אמירות °ולכל צוויים קדמה °קריאה, לשון חבה, לשון שמלאכי השרת משתמשין בו, שנאמר, וְקָרָא זֶה אֶל זֶה <small>(ישעיה ו, ג)</small>, אבל לנביאי האומות עכו""ם נגלה אליהן בלשון °עראי וטומאה, שנאמר וַיִּקָּר אֱלֹהִים אֶל בִּלְעָם <small>(במדבר כג, ד)</small>: "
Rashi on Leviticus 1:1:2,"<b>ויקרא אל משה.</b> הקול הולך °ומגיע לאזניו, וכל ישראל לא שומעין. °יכול אף להפסקות היתה קריאה, °תלמוד לומר וידבר, לדבור היתה קריאה ולא להפסקות, ומה היו הפסקות משמשות, °ליתן ריוח למשה להתבונן בין פרשה לפרשה ובין ענין לענין, °קל וחומר להדיוט הלומד מן ההדיוט: "
Rashi on Leviticus 1:1:3,"<b>אליו.</b> °למעט את אהרן, °רבי יהודה אומר י""ג דברות נאמרו בתורה למשה ולאהרן, וכנגדן נאמרו י""ג מיעוטין, ללמדך שלא לאהרן נאמרו אלא למשה שיאמר לאהרן, ואלו הן י""ג מיעוטין לְדַבֵּר אִתּוֹ <small>(במדבר ז, פט)</small>, מִדַּבֵּר אֵלָיו <small>(שם)</small>, וַיְדַבֵּר אֵלָיו, וְנוֹעַדְתִּי לְךָ <small>(שמות כה, כב)</small>, כולן בתורת כהנים, °יכול ישמעו את קול הקריאה, תלמוד לומר °קול לו, קול אליו, משה שומע וכל ישראל לא שמעו.: "
Rashi on Leviticus 1:1:4,"<b>מאהל מועד.</b> מלמד שהיה הקול נפסק °ולא היה יוצא חוץ לאהל, יכול מפני שהקול נמוך, תלמוד לומר אֶת הַקּוֹל <small>(במדבר ז, פט)</small>, מהו הקול, הוא הקול המפורש בתהלים קוֹל ה' בַּכֹּחַ, קוֹל ה' בֶּהָדָר, קוֹל ה' שֹׁבֵר אֲרָזִים <small>(תהלים כט ד, ה)</small>, אם כן למה נאמר מאהל מועד, מלמד שהיה הקול נפסק, כיוצא בו וְקוֹל כַּנְפֵי הַכְּרוּבִים נִשְׁמַע עַד הֶחָצֵר הַחִיצֹנָה <small>(יחזקאל י, ה)</small>, יכול מפני שהקול נמוך, תלמוד לומר כְּקוֹל אֵל שַׁדַּי בְּדַבְּרוֹ <small>(שם)</small>, אם כן למה נאמר עד החצר החיצונה, שכיון שמגיע שם היה נפסק: "
Rashi on Leviticus 1:1:5,"<b>מאהל מועד לאמר.</b> יכול מכל הבית, תלמוד לומר מֵעַל הַכַּפֹּרֶת <small>(במדבר ז, פט)</small>, יכול מעל הכפורת כולה, תלמוד לומר מִבֵּין שְׁנֵי הַכְּרֻבִים <small>(שם)</small>: "
Rashi on Leviticus 1:1:6,"<b>לאמר.</b> צא ואמור להם דברי כבושים, בשבילכם הוא נדבר עמי, °שכן מצינו שכל ל""ח שנה שהיו ישראל במדבר כמנודים מן המרגלים ואילך, לא נתייחד הדבור עם משה, שנאמר וַיְהִי כַּאֲשֶׁר תַּמּוּ כָּל אַנְשֵׁי הַמִּלְחָמָה לָמוּת. וַיְדַבֵּר ה' אֵלַי לֵאמֹר<small>(דברים ב טז, יז)</small>, אלי היה הדבור. דבר אחר, צא ואמור להן דברי, °והשיבני אם יקבלום, כמו שנאמר וַיָּשֶׁב משֶׁה אֶת דִּבְרֵי הָעָם וגו' <small>(שמות יט, ח)</small>: "
Rashi on Leviticus 1:2:1,"<b>אדם כי יקריב מכם.</b> כשיקריב, °בקרבנות נדבה דִּבֵּר הענין: "
Rashi on Leviticus 1:2:2,"<b>אדם.</b> °למה נאמר, מה אדם הראשון לא הקריב מן הגזל שהכל היה שלו, אף אתם °לא תקריבו מן הגזל: "
Rashi on Leviticus 1:2:3,"<b>הבהמה.</b> יכול °אף חיה בכלל, °תלמוד לומר בקר וצאן: "
Rashi on Leviticus 1:2:4,"<b>מן הבהמה.</b> ולא כולה, להוציא את °הרובע ואת הנרבע: "
Rashi on Leviticus 1:2:5,"<b>מן הבקר.</b> להוציא °את הנעבד: 
"
Rashi on Leviticus 1:2:6,<b>מן הצאן.</b> להוציא את °המוקצה:
Rashi on Leviticus 1:2:7,"<b>ומן הצאן.</b> °להוציא את הנוגח שהמית, כשהוא אומר למטה מן הענין מן הבקר, שאין תלמוד לומר, להוציא את °הטריפה: "
Rashi on Leviticus 1:2:8,<b>תקריבו.</b> מלמד °שֶׁשְּׁנַיִם מתנדבים עולה בשותפות:
Rashi on Leviticus 1:2:9,"<b>קרבנכם.</b> מלמד שהיא באה נדבת צבור, היא עולת °קיץ המזבח הבאה מן המותרות <small>(שבועות יב.)</small>: "
Rashi on Leviticus 1:3:1,"<b>זכר.</b> ולא נקבה, כשהוא אומר זכר למטה, °שאין תלמוד לומר, זכר ולא טומטום ואנדרוגינוס <small>(בכורות מא:)</small>: "
Rashi on Leviticus 1:3:2,"<b>תמים.</b> °בלא מום: 
"
