Assumed to be correct references,Siftei Chakhamim comment
Genesis 2:2," R. Shimon said, flesh and blood who cannot know. . .@p3 Rashi is answering the question: @hh ויכל אלהים @hbב@hhיום השביעי@ee implies that Hashem worked even on the seventh day, but concluded the work then. Yet it is written, “He abstained on the seventh day,” implying that He did no work at all. [Thus Rashi explains, “It @ITappears@it as if He concluded His work on that very day.”] @p1@p2It can enter into it@p3. I.e., the work enters into Shabbos. @p1@p2And it appears@p3. I.e., it appears to people as if Hashem concluded His work on that day, but it is not really so. Thus, “Elohim completed on the seventh day” describes the appearance, not the reality. @p1@p2Another explanation: What was the world lacking? Rest@p3. You might ask: Why cannot the world exist without [a day devoted to] rest? Will heaven and earth otherwise cease to exist? The answer is: In fact they would [cease to exist], for Rashi explained above (1:1) that @hh בראשית@ee means that the world was created for the Torah which is called @hh ראשית דרכו@ee . And without a day of rest, Jews would not have time all week to engage in Torah study. Thus Hashem created Shabbos on which work is forbidden, giving them time to study Torah. Consequently, the existence of heaven and earth is due to rest. @p1@p2The work was completed and finished@p3. This explains why it is written, “Elohim completed @ITon@it the seventh day,” since rest was created on the seventh day and all the work was completed. [At the same time, “He abstained on the seventh day,”] because rest is only an act of abstaining and not actual work. (@ITRe’m@it) Rashi’s second explanation [that the world lacked rest], raises a question: Why does it say @hb מלאכתו@hh אשר עשה@ee implying that Hashem did actual work? Thus Rashi gives the first explanation. And his first explanation, [that it entered by a hairbreadth,] raises a question: Why is it not written, “Elohim completed on the @ITsixth@it day”? Therefore Rashi gives both explanations. (@ITMaharshal@it) [You might ask:] How can the terms “creation” and “work” apply to rest, which is only an act of abstention [passive] and does not involve a physical action? It seems [that the answer is]: Had Hashem not added the seventh day to the days of creation, the nature of man and other creatures would be to work day and night without cease. Resting would not be part of nature, and the body of man would wear out, leaving the world empty and desolate. But by adding the seventh day, on which Hashem abstained from work and rested, it became part of the world’s nature to rest and refresh oneself, regaining strength. [Thus, it is part of creation.] (@ITNachalas Yaakov@it) "
Genesis 3:1," Why is this incident inserted here@p3? @ITRe’m@it asks: How does Rashi know that the coats were made right at Adam and Chavah’s creation, to protect from cold and heat, giving rise to the question: “Why is this incident inserted here?” Perhaps the coats were made only after they sinned by eating from the tree, to cover their shame of being naked! This way, the verses are in proper sequence [and Rashi’s question does not arise]. It seems that Rashi knew it because it is written (v. 20), “The man called his wife’s name Chavah,” and subsequently, (v. 21) “And Hashem Elokim made for Adam and his wife leather coats.” Rashi explains that this verse “And man gave names. . .,” returns to the earlier narrative. As the naming of Chavah was before the sin, and is connected to “And Hashem made. . . leather coats,” we can conclude that right at their creation Hashem made them coats [to protect from cold and heat]. Thus, the coats were not made to cover their shame after they sinned. An alternative answer is: [Rashi knew it] because it is written, “Hashem made. . . leather coats and @ITHe@it clothed them.” Why, because they sinned, would Hashem have to clothe them Himself?! They should clothe themselves, just as they made for themselves loincloths. It should have written, “Hashem made. . . leather coats @ITfor clothing@it.” Perforce, Hashem made them coats right at their creation to protect from cold and heat. @ITRe’m@it asks: [If they had coats from the beginning,] why were they “naked” (v. 25)? The answer is: According to the opinion (Bereishis Rabba 20:12) that @hh כתנות עור@ee means fingernail-like garments, smooth [and transparent], which cleaved to their skin, they were as naked. Although it was attached to their skin, their entire body was revealed, including the loins. And even according to the opinion (ibid) that the garments were of rabbit fur, to protect from cold and heat, still they were naked — for Adam was created in Tishrei (according to Rabbi Eliezer), or in Nisan (according to Rabbi Yehoshua), when it is neither cold nor hot; [thus they were not dressed.] They were not embarrassed to be naked since they did not yet eat from the tree. The serpent “saw them unclothed, indulging in marital relations unashamedly, and he coveted her.” We need not ask: If so, why did they take fig leaves to make loincloths? They should have worn the coats! [The answer is:] Indeed they could have. But just then the coats were not available to them and they did not want to stand naked for even a moment. In any case, this point [of when the garments were created] seems to be disputed. For it says in Pesachim 54a: “Ten things were created at twilight on Erev Shabbos. . . and some say: ‘Also Adam’s garments.’” The second view holds that the garments were created @ITafter@it they sinned, for they sinned in the tenth hour of the day, which is before twilight. But the first view could hold that the garments were created before the sin. (@ITNachalas Yaakov@it) @p1@p2Indulging in marital relations@p3. You might ask: Where does the verse allude to marital relations? The answer is: The verse could just say, “The two of them were naked.” Why does it add, “The man and his wife”? This implies that besides being naked, they acted as man and wife. (@ITAb’a@it) @p1@p2More cunning@p3. . . Rashi is answering the question: Why does it say, “More. . . than any”? Because being “More cunning than any” led to becoming “More cursed than any.” @p1@p2Did He perhaps tell@p3. [Rashi explained @hh אף@ee as “perhaps”] because it cannot mean “even more so,” coming as it does at the beginning of the serpent’s statement. @p1@p2And, although he saw them. . .@p3 The Torah does not recount [that he saw them eat], but it must be so: otherwise, what did they eat? (@ITRe’m@it) @eeBut this is no proof — perhaps they ate herbs and legumes! Rather, Rashi knows [that he saw them eat] because the serpent said, “You should not eat from @ITall@it the trees of the Garden?” If he saw that they were eating only herbs and legumes, he should have said simply, “You should not eat from the @ITtrees@it of the Garden?” Since he said “@ITall@it the trees,” he must have seen them eating other fruits. But he saw them eating sporadically: they would eat figs but not grapes, and then eat from another nearby tree. Since he saw them eating some fruits and leaving others, there was room for his question: Are you doing this out of choice, because the other fruits are not as good, or is it because Hashem commanded you not to eat from all the trees of the Garden — and therefore you eat only some of them? "
Genesis 4:1," This. . . before he sinned. @p3Rashi is answering the question: It should have been written @hh וַיֵדַע@ee [rather than @hh יָדַע@ee ]. @p1@p2Children were born to him@p3. Rashi used the expression “children were born to him” rather than “he knew his wife” because otherwise Rashi would be implying that Adam knew her only after he was exiled, not before. [And this is not true,] for earlier, on the verse of “This at last is bone of my bones. . .” (2:23), Rashi says: “Adam attempted to find a mate amongst all the animals. . . until he discovered Chavah.” This implies that Adam had relations with Chavah at that point. This answers another question: How does Rashi know that Adam’s “knowing his wife” before he was exiled included conception and birth as well? Perhaps it was referring only to relations. The answer is: “This at last is bone of my bones. . .” already taught us that Adam had relations. Thus, the verse “The man knew his wife. . .” perforce [includes conception and birth]. @p1@p2With Hashem@p3. This comment is out of sequence, because Rashi did not wish to state that the word @hh את@ee “implies additional facts or things” before he explained @hh את ה'@ee , [which is understood differently]. Once he explained that @hh את ה'@ee means “with Hashem,” rather than “implying additional facts or things,” he can then state: “The word @hh את@ee is repeated thrice, to expound additional facts or things.” (@ITDivrei Dovid@it) @p1@p2We are co-partners with Him@p3. For there are three partners in [the formation of] a person: Hashem, the person’s father, and the person’s mother. (@ITNidah@it 31a) @p1@p2Consequently, it says: “And she increased.” @p3In other words, it means, that “she increased an @hh את@ee .” This is because two instances of @hh את@ee imply two additional children. This fully explains why the word @hh ותוסף@ee is written. "
Genesis 5:1," That on the same day that he was created he begot@p3. [Rashi knows this] because it is written, “This is the book of the generations of man on the day. . .” implying that on the day he was created he had offspring. Accordingly, “On the day,” is attached to “generations of man,” rather than to “He made him in the likeness of Hashem” which follows. For otherwise, why does it say, “On the day Elohim created?” The Torah should have simply written, “The generations of man, in the image of Hashem He made them,” and that would suffice. Perforce, “This is the book of the generations of man” refers back to (4:1), “The man knew his wife, Chavah” and she gave birth to Kayin and Hevel. "
Genesis 6:2," When they improved (@hh מטיבין@p1@p2 ) her appearance@p3. This is similar to the expression @hh מטיבין את הנרות@ee . It means this because @hh טֹבֹת@ee conveys that they just now became fair, similar to @hh ועפרון ישֵׁב@ee (23:10), conveying that Ephron just now sat. Furthermore, @hh טבת@ee without a @ITvav@it is a singular expression, implying that not all women were fair, only individual women — the beautified brides. But if it were written @hh טובות@ee , a plural expression, it would imply that the women were always fair, i.e., beautified. @p1@p2Even a man or an animal@p3. [Rashi knows this] because it says @hh נשים מכל אשר בחרו@ee . The word @hh נשים@ee implies “even a married woman,” while @hh אשר בחרו@ee implies “even a man or an animal.” (@ITRe’m@it) @ITRe’m@it asks: It says in Kiddushin 13a that they did not commit adultery. [Why then does Rashi say, “even a married woman”?] @ITNachalas Yaakov @itanswers: It seems that only the sons of rulers committed adultery, not the common people, because @hh נשים מכל אשר בחרו@ee refers back to: “The sons of the rulers saw.” That is why Rashi says, “The head ruler would then enter and have relations. . . .” However, @ITRe’m@it suggests that these might be two conflicting opinions. "
Genesis 7:1," [We learn] from this that we tell@bo. . . This raises a question: Now that the Torah taught us the proper conduct of telling only @hh מקצת@ee , i.e., part of a man’s good qualities, the man will understand on his own that his good qualities are double this, [thus defeating the purpose]! It seems the answer is: Telling @hh מקצת@ee does not necessarily mean half. It could be a small amount: a tenth or a hundredth. Thus, the man will not know the extent of his good qualities. (@ITNachalas Yaakov@it) "
Genesis 8:1," The merit that they did not corrupt@bo. . . This implies that the other animals corrupted their ways on their own, not due to demons. Otherwise, what was the merit of these animals? The same is implied by, “They did not cohabit in the ark,” meaning, on their own. (@ITKitzur Mizrachi@it) Both merits were needed, since “not corrupting their ways” was not an active mitzvah; it was merely refraining from sin. (Although it says in Makkos 23b that he who passively refrains from a sin is rewarded as if he did a mitzvah, but it says in Kiddushin 39b that this applies only when a chance to sin presented itself but he held back.) Therefore the animals needed also the merit of not cohabiting in the ark, which was self-imposed abstinence from permitted behavior. But this merit alone was insufficient, as it somewhat resembled doing a mitzvah without being commanded, [which is a lesser merit]. For we have no source to indicate that the animals were forbidden to cohabit in the ark. Hashem forbade only Noach and his sons. Although Rashi later says that, “Let them spread over the @ITearth@it” (v. 17), teaches that the animals had a prohibition to propagate in the ark, they accepted this upon themselves without Hashem’s command. Why does the verse not say that Hashem remembered also the birds and Noach’s sons? It seems the answer is: Cham, and the raven, sinned by cohabiting in the ark. That is why Noach’s sons and the birds are not mentioned. [If so, why are beasts and animals mentioned, when the dog cohabited in the ark (Bereishis Rabba 36:7)? The answer is:] There is an uncertainty about dogs. Perhaps they are in the category of “beasts”; perhaps in that of “animals.” Although Heaven surely knows, still, the Sages disagreed about it. Thus we see that Hashem’s will is not to resolve it, and therefore, Scripture does not omit either beasts or animals [although dogs are included in one of these two categories]. (@ITNachalas Yaakov@it) @d1A spirit of comforting@bo. Rashi is answering the question: If it was an actual wind, why is written afterwards, “And the water subsided”? On the contrary, it is written (Tehillim 147:8), “He blows His wind; water runs.” [I.e., wind does not calm the waters.] (@ITDevek Tov@it) Alternatively, Rashi knows this because it says, “Over the @ITearth@it.” How could a wind blow over the earth’s surface when the water covered the earth? But if it was “a spirit of comforting,” it is understandable. “Over the earth” then means, “On account of the matters of the earth.” In other words, for the sake of man who dwells on the earth. "
Genesis 9:3," “I did not permit@bo. . . The reason why Noach was permitted to eat meat, while Adam was not, seems to be as follows: Previously, men and animals were equal in that they all were Hashem’s creations. He formed them all from the earth; none had higher status than the other [as regards their bodies]. Why should one kill the other? But when they sinned, all should have been destroyed, and they survived only in Noach’s merit. This gave Noach a higher status than the animals. (@ITKitzur Mizrachi@it) Scripture connected the permission to eat meat to that of eating vegetables so we will not say that meat is now permitted @ITinstead@it of vegetables, and vegetables are no longer permitted. Thus Scripture tells us that eating meat is in @ITaddition@it to eating vegetables. (@ITDivrei Dovid@it) "
Genesis 10:2," This refers to Persia@bo. You might ask: Why does Rashi explain Tiras any more than the others? The answer is: Rashi said on 9:27 (@hh ד""ה וישכון@ee ) that “Cyrus, Yefes’ descendant, built the Second Temple.” And one might ask: How does Rashi know that Cyrus came from Yefes? Thus Rashi explains here that Tiras is Persia, so Persia is from Yefes. And Cyrus, king of Persia, assumedly descended from Tiras. Furthermore, the @ITRe’m@it says that Rashi [explains Tiras because he] is answering the question: Why here is it written @hh מדי@ee , not @hh פרס@ee ? These two nations are always mentioned together! Thus Rashi explains that Tiras is @hh פרס@ee . But @ITTzeidah L’Derech@it says that [it is not as the @ITRe’m @itsaid. Rather, Rashi explains Tiras because] it is from Yoma 10a: “How do we know that the Persians come from Yefes? Because it is written, ‘The sons of Yefes were: Gomer. . . and Tiras.’ And Rav Yosef taught: Tiras is Persia.” [Thus, Rashi brings it to prove that Cyrus came from Yefes.] "
Genesis 11:1," The holy language. @boFor if it was another language, there would not be only one language [on earth, as the holy language remained until this point.]. For all agree that the world was created with the holy language, as Rashi explained on (2:23): “The man said, ‘This at last. . . shall be called @hh אשה@ee .’” @d1Another explanation: Against the Sole Being of the universe. @boThere is a question on the first explanation: Why does it not say @hb ב@hhדברים אחדים@ee (@ITwith@it conforming words)? Thus Rashi says, “Another explanation. . .” But this answer also raises a difficulty: Why does it not say @hh ודברים אחרים@ee (and @ITother@it words)? Thus Rashi offers the third explanation, which interprets @hh דברים אחדים@ee to mean @hh דברים חדים@ee (sharp words). (@ITMaharshal@it) "
