Assumed to be correct references,Siftei Chachamim comment
Deuteronomy 2:1,"1We turned and travelled into the wilderness. °Had they not sinned, they would have travelled by way of Mount Seir to enter the Land from its southern [border] to its northern [border]; but because they sinned they were forced to turn to the wilderness which is between the Reed Sea and the southern edge of Mount Seir. They then travelled along its southern edge moving from west to east. By way of the Reed Sea [route]. °The route they travelled when leaving Egypt, which is the southwestern tip. From there they travelled eastward. And we circled Mount Seir. °We traversed its entire southern rim, until we came to the land of Moav. "
Deuteronomy 3:1,1We turned and went up. The entire [journey] northward was uphill. 
Deuteronomy 4:2,"2Do not add. For instance to place five parshiyos in the tefillin, to take five species [of fruit] for the mitzvah of lulav, to place five fringes [instead of four on one’s garment]; and this also applies to (the command), “And do not subtract from them.”"
Deuteronomy 5:3,"3Not with our fathers °alone did Adonoy make this covenant, etc., but with us, etc.. "
Deuteronomy 6:4,"4Adonoy is our God, Adonoy is one. °Adonoy who is presently our God and not the God of the nations, will in the future be [recognized] as the One God, as is said, “For then I will turn over to the peoples a pure language that they may all call upon the Name of Adonoy.” And it is said, “On that day Adonoy will be One and His name One.” "
Deuteronomy 7:1,"1And He will cast out. This is an expression of casting away and displacing, and similarly, “And the iron flies off.”"
Deuteronomy 8:1,"1The entire mitzvah. °This can be understood in its plain sense. °There is also a Midrashic explanation: If you began to fulfill a mitzvah, complete it; for the mitzvah carries the name only [it is only accredited] of the one who completes it, as it is said, “And the bones of Yoseif which Bnei Yisroel brought up from Egypt they buried in Shechem.” Now, didn’t Moshe himself attend to them [the bones] to bring them [up from Egypt]? However, since he had no opportunity to complete it, and Bnei Yisroel did complete it, it is called by their name."
Deuteronomy 9:1,"1Greater and more powerful than you. °You are powerful but they are even more powerful than you."
Deuteronomy 10:1,"1At that time. At the end of forty days, He granted me favor, and said, “Carve for yourself,” and, afterward, “Make for yourself an ark.” However, I made the ark first, for, when I arrive with the tablets in hand, where shall I place them? Now this is not the ark which Betzalel made, for they were not engaged with the Tabernacle until after Yom Kippur, since, it was only when he descended from the mountain that he instructed them concerning the construction of the Tabernacle. °And Betzalel made the Tabernacle first, and afterward the ark and the vessels. Hence, this was a different ark; this one went with them when they waged war, while the one Betzalel made did not go to war, except in Eli’s time, when they were punished over it, and it was captured."
Deuteronomy 11:2,"2Know today. °Pay close attention, so that you know and understand, and accept my reprimand. For it is not with your children. °That I now speak, who might say, ‘We do not know, nor have we seen, all this.’ "
Deuteronomy 12:2,"2You must obliterate. °Destroy, then destroy afterward. This teaches that, when destroying idolatry, one must tear out the roots.All of the places where the nations worshipped, etc. °What must you obliterate from them? ‘Their gods on the mountains.’ "
Deuteronomy 13:1,"1Everything. The less significant as well as the greatly consequential. Be careful to fulfill. This adds a negative command to the positive commands stated in this chapter, as “be careful” always denotes a negative command, except that one is not punished with lashes for violating “be careful” when it is added to a positive command. Do not add to it. °Five totafos with the tefilin, five species with the lulav, four benedictions with the priestly benediction. "
Deuteronomy 14:1,"1Do not lacerate yourselves. °Do not inflict lacerations and gashes on your flesh over the dead, as is the custom among the Emorites for you are God’s children, and must therefore appear suitably becoming, rather than lacerated and hairless. Between your eyes. Near the forehead. Elsewhere it is said, “They may not tear bald spots in their heads.” This equates the entire head with the area between the eyes."
