Index Title,Rashi on Deuteronomy
Version Title,"Rashi Chumash, Metsudah Publications, 2009"
Language,he
Version Source,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH002691623
Version Notes,
Rashi on Deuteronomy 1:1:1,"<b>אלה הדברים.</b> °לפי שהן דברי תוכחות <small>(ספרי א)</small>, ומנה כאן כל המקומות שהכעיסו לפני המקום בהן, לפיכך סתם את הדברים °והזכירן ברמז, מפני כבודן של ישראל: "
Rashi on Deuteronomy 1:1:2,"<b>אל כל ישראל.</b> אילו הוכיח מקצתן, היו אלו שבשוק אומרים, אתם הייתם שומעים מבן עמרם ולא השיבותם דבר מכך וכך, אילו היינו שם היינו משיבין אותו, לכך כנסם כולם ואמר להם הרי כלכם כאן, כל מי שיש לו תשובה ישיב: "
Rashi on Deuteronomy 1:1:3,"<b>במדבר.</b> לא במדבר היו אלא בערבות מואב, ומהו במדבר, אלא בשביל מה °שהכעיסוהו במדבר, שאמרו מִי יִתֵּן מוּתֵנוּ וגו' <small>(שמות טז, ג)</small>: "
Rashi on Deuteronomy 1:1:4,"<b>בערבה.</b> °בשביל הערבה, שחטאו בבעל פעור בשטים בערבות מואב: "
Rashi on Deuteronomy 1:1:5,"<b>מול סוף.</b> על מה שהמרו בים סוף בבואם לים סוף, שאמרו הֲמִבְּלִי אֵין קְבָרִים בְּמִצְרַיִם <small>(שם יד, יא)</small>, וכן בנסעם מתוך הים, שנאמר וַיַּמְרוּ עַל יָם בְּיַם סוּף <small>(תהלים קו, ז)</small>, כדאיתא בערכין <small>(טו.)</small>: "
Rashi on Deuteronomy 1:1:6,"<b>בין פארן ובין תפל ולבן.</b> אמר רבי יוחנן, חזרנו על כל המקרא, ולא מצינו מקום ששמו תופל ולבן, אלא הוכיחן °על הדברים שתפלו על המן שהוא לבן, שאמרו וְנַפְשֵׁנוּ קָצָה בַּלֶּחֶם הַקְּלֹקֵל <small>(במדבר כא, ה)</small>, °ועל מה שעשו במדבר פארן ע""י המרגלים: "
Rashi on Deuteronomy 1:1:7,"<b>וחצרות.</b> °במחלוקתו של קרח. דבר אחר, אמר להם, היה לכם ללמוד °ממה שעשיתי למרים בחצרות בשביל לשון הרע <small>(ספרי א)</small>, °ואתם נדברתם במקום: "
Rashi on Deuteronomy 1:1:8,"<b>ודי זהב.</b> הוכיחן על העגל, שעשו בשביל רוב זהב שהיה להם, שנאמר וְכֶסֶף הִרְבֵּיתִי לָהּ וְזָהָב עָשׂוּ לַבָּעַל <small>(הושע ב, י)</small>: 
"
Rashi on Deuteronomy 1:2:1,"<b>אחד עשר יום מחורב.</b> אמר להם משה, ראו מה גרמתם, אין לכם דרך קצרה מחורב לקדש ברנע כדרך הר שעיר, ואף הוא מהלך י""א יום, ואתם הלכתם אותו בשלשה ימים. שהרי בעשרים באייר נסעו מחורב, שנאמר וַיְהִי בַּשָּׁנָה הַשֵּׁנִית בַּחֹדֶשׁ הַשֵּׁנִי בְּעֶשְׂרִים בַּחֹדֶשׁ וגו' <small>(במדבר י, יא)</small>, ובכ""ט בסיון שלחו את המרגלים מקדש ברנע <small>(תענית כט.)</small>, °צא מהם שלשים יום שעשו בקברות התאוה, שאכלו הבשר חדש ימים, ושבעה ימים שעשו בחצרות להסגר שם מרים, נמצא בג' ימים הלכו כל אותו הדרך, וכל כך °היתה השכינה מִתְלַבֶּטֶת בשבילכם למהר ביאתכם לארץ, ובשביל שקלקלתם, הסב אתכם °סביבות הר שעיר מ' שנה: "
Rashi on Deuteronomy 1:3:1,"<b>ויהי בארבעים שנה בעשתי עשר חדש באחד לחדש.</b> מלמד שלא הוכיחן °אלא סמוך למיתה, ממי למד, מיעקב שלא הוכיח את בניו אלא סמוך למיתה, אמר, ראובן בני, אני אומר לך, מפני מה לא הוכחתיך כל הַשָּׁנִים הללו, כדי שלא תניחני ותלך ותדבק בעשו אחי, ומפני ד' דברים אין מוכיחין את האדם אלא סמוך למיתה, כדי °שלא יהא מוכיחו וחוזר ומוכיחו, ושלא יהא חבירו רואהו °ומתבייש ממנו כו', כדאיתא בספרי <small>(ב)</small>, וכן יהושע לא הוכיח את ישראל אלא סמוך למיתה, וכן שמואל, שנאמר הִנְנִי עֲנוּ בִי <small>(שמואל־א יב, ג)</small>, וכן דוד את שלמה בנו <small>(מ""א ב, א)</small>: "
Rashi on Deuteronomy 1:4:1,"<b>אחרי הכותו.</b> אמר משה, °אם אני מוכיחם קודם שיכנסו לקצה הארץ, יאמרו מה לזה עלינו, מה היטיב לנו, אינו בא אלא לקנתר °ולמצוא עילה, שאין בו כח להכניסנו לארץ, לפיכך המתין עד שהפיל סיחון ועוג לפניהם והורישם את ארצם, ואחר כך הוכיחן <small>(ספרי ג)</small>: "
Rashi on Deuteronomy 1:4:2,"<b>סיחון וגו' אשר יושב וגו'. </b>°אילו לא היה סיחון קשה והיה שרוי בחשבון, היה קשה, שהמדינה קשה, ואילו היתה עיר אחרת וסיחון שרוי בתוכה, היתה קשה, שהמלך קשה, על אחת כמה וכמה, שהמלך קשה והמדינה קשה <small>(שם)</small>: "
Rashi on Deuteronomy 1:4:3,<b>אשר יושב בעשתרות.</b> המלך קשה והמדינה קשה:
