Assumed to be correct references,Siftei Chachamim comment
Deuteronomy 2:1," @Kונפן ונסע המדברה.@T @r@bאילו לא חטאו, היו עוברים דרך הר שעיר ליכנס לארץ מן דרומו לצפונו, ובשביל שקלקלו, הפכו לצד המדבר, שהוא בין ים סוף לדרומו של הר שעיר, והלכו אצל דרומו מן המערב למזרח. @Kדרך ים סוף.@T @r@bדרך יציאתן ממצרים שהוא במקצוע דרומית מערבית, משם היו הולכים לצד המזרח: @Kונסב את הר שעיר.@T @r@bכל דרומו עד ארץ מואב: "
Deuteronomy 3:1, @Kונפן ונעל.@T כל צד צפון הוא עלייה: 
Deuteronomy 4:2," @Kלא תוסיפו. @Tכגון חמש פרשיות בתפילין, חמשת מינין בלולב, וחמש ציציות, וכן לא תגרעו @M(ספרי ראה פב)@J: "
Deuteronomy 5:3," @Kלא את אבותינו.@T @r@bבלבד כרת ה' וגו', כי אתנו: "
Deuteronomy 6:4," @Kה' אלהינו ה' אחד.@T @r@bה' שהוא אלהינו עתה, ולא אלהי האומות עובדי אלילים, הוא עתיד להיות ה' אחד, שנאמר כִּי אָז אֶהְפֹּךְ אֶל עַמִּים שָׂפָה בְרוּרָה לִקְרֹא כֻלָּם בְּשֵׁם ה' @M(צפניה ג, ט)@J, ונאמר בַּיּוֹם הַהוּא יִהְיֶה ה' אֶחָד וּשְׁמוֹ אֶחָד @M(זכריה יד, ט)@J: "
Deuteronomy 7:1," @Kונשל.@T לשון השלכה והתזה, וכן וְנָשַׁל הַבַּרְזֶל @M(לקמן יט, ה)@J: "
Deuteronomy 8:1," @Kכל המצוה.@T @r@bכפשוטו. @r@bומדרש אגדה @M(תנחומא עקב ו)@J, אם התחלת במצוה גמור אותה, שאינה נקראת המצוה אלא על שם הגומרה, שנאמר וְאֶת עַצְמוֹת יוֹסֵף אֲשֶׁר הֶעֱלוּ בְנֵי יִשְׂרָאֵל מִמִּצְרַיִם קָבְרוּ בִשְׁכֶם @M(יהושע כד, לב)@J, והלא משה לבדו נתעסק בהם להעלותם, אלא לפי שלא הספיק לגומרה וגמרוה ישראל, נקראת על שמם: "
Deuteronomy 9:1," @Kגדולים ועצומים ממך.@T @r@bאתה עצום, והם עצומים ממך: "
Deuteronomy 10:1," @Kבעת ההיא.@T לסוף מ' יום נתרצה לי, ואמר לי פסל לך ואח""כ ועשית ארון, ואני עשיתי ארון תחלה, שכשאבא והלוחות בידי היכן אתנם, ולא זה הוא הארון שעשה בצלאל, שהרי משכן לא נתעסקו בו עד לאחר יום הכפורים, כי ברדתו מן ההר צוה להם על מלאכת המשכן, @r@bובצלאל עשה משכן תחלה ואחר כך ארון וכלים, נמצא זה ארון אחר היה, וזהו שהיה יוצא עמהם למלחמה, ואותו שעשה בצלאל לא יצא למלחמה אלא בימי עלי, ונענשו עליו וְנִשִׁבָּה: "
Deuteronomy 11:2," @Kוידעתם היום.@T @r@bתנו לב לדעת ולהבין ולקבל תוכחתי: @Kכי לא את בניכם.@T @r@bאני מדבר עכשיו, שיוכלו לומר אנו לא ידענו ולא ראינו בכל זה: "
Deuteronomy 12:2," @Kאבד תאבדון. @r@b@Tאבד, ואח""כ תאבדון, מכאן לעוקר עבודת גלולים שצריך לשרש אחריה @M(עבודה זרה מה:)@J: @Kאת כל המקומות אשר עבדו שם וגו'.@T @r@bומה תאבדון מהם, את אלהיהם אשר על ההרים: "
Deuteronomy 13:1," @Kאת כל הדבר.@T קלה כחמורה: @Kתשמרו לעשות.@T ליתן לא תעשה על עשה האמורים בפרשה, שכל השמר לשון לא תעשה הוא @M(מכות יג:)@J, אלא שאין לוקין על השמר של עשה: @Kלא תסף עליו.@T @r@bחמשה טוטפות בתפלין, חמשה מינין בלולב, ארבע ברכות בברכת כהנים @M(ספרי פב)@J: "
Deuteronomy 14:1," @Kלא תתגדדו.@T @r@bלא תתנו גדידה ושרט בבשרכם על מת, כדרך שהאמוריים עושין, לפי שאתם בניו של מקום, ואתם ראויין להיות נאים, ולא גדודים ומקורחים: @Kבין עיניכם.@T אצל הפדחת, ובמקום אחר הוא אומר, לֹא יִקְרְחוּ קָרְחָה בְּרֹאשָׁם @M(ויקרא כא, ה)@J, לעשות כל הראש כבין העינים: "
Deuteronomy 15:1," @Kמקץ שבע שנים.@T יכול שבע שנים לכל מלוה ומלוה, תלמוד לומר קרבה שנת השבע @M(לקמן פסוק ט)@J, ואם אתה אומר ז' שנים לכל מלוה ומלוה, להלואת כל אחד ואחד, היאך היא קרבה, הא למדת ז' שנים למנין השמיטות: "
Deuteronomy 16:1," @Kשמור את חדש האביב.@T מקודם בואו שמור שיהא ראוי לאביב, להקריב בו את מנחת העומר, ואם לאו עַבֵּר את השנה: @Kממצרים לילה.@T והלא ביום יצאו, שנאמר מִמָּחֳרַת הַפֶּסַח יָצְאוּ בְנֵי יִשְׂרָאֵל וגו' @M(במדבר לג, ג)@J, אלא לפי שבלילה נתן להם פרעה רשות לצאת, שנאמר וַיִּקְרָא לְמשֶׁה וּלְאַהֲרֹן לַיְלָה וגו' @M(שמות יב, לא)@J: "
Deuteronomy 17:1," @Kלא תזבח וגו' כל דבר רע.@T @r@bאזהרה למפגל בקדשים ע""י דבור רע @M(ספרי קמז)@J. ועוד נדרשו בו שאר דרשות בשחיטת קדשים @M(זבחים לו.:)@J: "
