Assumed to be correct references,Siftei Chachamim comment
Exodus 2:1," @Kויקח את בת לוי. @Tפָּרוּשׁ היה ממנה מפני גזירת פרעה, (וחזר ולקחה, וזהו וילך, שהלך בעצת בתו שאמרה לו גזרתך קשה משל פרעה, אם פרעה גזר על הזכרים ואתה גם כן על הנקבות. ברש""י ישן) והחזירה ועשה בה לקוחין שניים, ואף היא נהפכה להיות נערה. ובת ק""ל שנה היתה, שנולדה בבואה למצרים בין החומות, ומאתים ועשר נשתהו שם, וכשיצאו היה משה בן שמונים שנה, אם כן כשנתעברה ממנו היתה בת מאה ושלשים, וקורא אותה בת לוי: "
Exodus 3:1," @Kאחר המדבר. @Tלהתרחק מן הגזל, שלא ירעו בשדות אחרים: @Kאל הר האלהים. @Tעל שם העתיד: "
Exodus 4:2," @Kמזה בידך. @Tלכך נכתב תיבה אחת לדרוש, מִזֶּה שבידך אתה חייב ללקות, שחשדת בכשרים. ופשוטו, כאדם שאומר לחבירו, מודה אתה שזו שלפניך אבן היא, אומר לו הן, אמר לו הריני עושה אותה עץ: "
Exodus 5:1," @Kואחר באו משה ואהרן וגו'. @Tאבל הזקנים נשמטו אחד אחד מאחר משה ואהרן, עד שנשמטו כולם קודם שהגיעו לפלטין, לפי שיראו ללכת @M(שמו""ר ה, יד)@J, ובסיני נפרע להם, ונגש משה לבדו והם לא יגשו, החזירם לאחוריהם: "
Exodus 6:1," @Kעתה תראה וגו'. @M(סנהדרין קיא.)@J הרהרת על מדותי, לא כאברהם שאמרתי לו כִּי בְיִצְחָק יִקָּרֵא לְךָ זָרַע @M(בראשית כא, יב)@J, ואחר כך אמרתי לו העלהו לעולה, ולא הרהר אחרי מדותי, לפיכך עתה תראה, העשוי לפרעה תראה, ולא העשוי למלכי שבעה אומות כשאביאם לארץ: @Kכי ביד חזקה ישלחם. @Tמפני ידי החזקה שתחזק עליו, ישלחם: @Kוביד חזקה יגרשם מארצו. @Tעל כרחם של ישראל יגרשם, ולא יספיקו לעשות להם צדה, וכן הוא אומר ותחזק מצרים על העם למהר לשלחם וגו': @Kחסלת פרשת שמות "
Exodus 7:1," @Kנתתיך אלהים לפרעה. @Tשופט ורודה לרדותו במכות ויסורין: @Kיהיה נביאך. @Tכתרגומו יְהֵי מְתוּרְגְּמָנָךְ, וכן כל לשון נבואה, אדם המכריז ומשמיע לעם דברי תוכחות, והוא מגזרת נִיב שְׂפָתָיִם @M(ישעי' נז, יט)@J, יָנוּב חָכְמָה @M(משלי י, לא)@J, וַיְכַל מֵהִתְנַבֹּות דשמואל @M(שמואל־א י, יג)@J, ובלע""ז קוראין לו פרידי""גר@T: "
Exodus 8:2," @Kותעל הצפרדע. @Tצפרדע אחת היתה, והיו מַכִּין אותה והיא מתזת נחילים נחילים, זהו מדרשו @M(שמו""ר י, ה)@J. ופשוטו יש לומר, שרוץ הצפרדעים קורא לשון יחידות, וכן ותהי הכנם, הרחישה גדוליר""א בלע""ז, ואף ותעל הצפרדע גרינולי""רא בלע""ז@T: "
Exodus 9:2," @Kמחזיק בם. @Tאוחז בם, כמו וְהֶחֱזִיקָה בִּמְבֻשָׁיו @M(דברים כה, יא)@J: "
Exodus 10:1," @Kויאמר ה' אל משה בא אל פרעה. @Tוהתרה בו: @Kשתי. @Tשִׂימִי, שאשית אני: "
Exodus 11:1," @Kכלה. @Tגמירא, כלה כליל, כולכם ישלח: "
