Assumed to be correct references,Siftei Chachamim comment
Leviticus 2:1," @Kונפש כי תקריב.@T לא נאמר נפש בכל קרבנות נדבה אלא במנחה, מי דרכו להתנדב מנחה, עני, אמר הקב""ה מעלה אני עליו כאילו הקריב נפשו @M(מנחות קד:)@J: @Kסלת יהיה קרבנו.@T האומר הרי עלי @r@bמנחה סתם, מביא מנחת סלת, @r@bשהיא הראשונה שבמנחות @M(שם)@J ונקמצת כשהיא סלת, כמו שמפורש בענין. לפי שנאמרו כאן ה' מיני מנחות, וכולן באות אפויות קודם קמיצה חוץ מזו, לכך קרויה מנחת סלת: @Kסלת.@T אין סלת אלא מן החטין, שנאמר סֹלֶת חִטִּים @M(שמות כט, ב)@J, ואין מנחה פחותה מעשרון, שנאמר וְעִשָׂרֹון סֹלֶת לְמִנְחָה @M(להלן יד, כא)@J, עשרון לכל מנחה: @Kויצק עליה שמן.@T על כולה: @Kונתן עליה לבונה.@T על מקצתה, מניח קומץ לבונה עליה לצד אחד, ומה ראית לומר כן, שאין ריבוי אחר ריבוי בתורה @r@bאלא למעט ד""א שמן על כולה מפני שהוא נבלל עמה, ונקמץ עמה, כמו שנאמר @r@bמסלתה ומשמנה, ולבונה על מקצתה שאינה נבללת עמה ולא נקמצת עמה, שנאמר על כל לבונתה, שלאחר שקמץ מלקט את הלבונה כולה מעליה, ומקטירה: @Kויצק ונתן והביאה.@T מלמד שיציקה וּבְלִילָה @r@bכשרים בזר: "
Leviticus 3:1, @Kשלמים.@T שמטילים שלום בעולם. דבר אחר שלמים שיש בהם שלום למזבח ולכהנים ולבעלים: 
Leviticus 4:2," @Kמכל מצות ה'.@T פירשו רבותינו אין חטאת באה אלא על דבר שזדונו @r@bלאו וכרת ושגגתו חטאת @M(שבת סט.)@J: @Kמאחת מהנה.@T ממקצת אחת מהן, כגון הכותב בשבת, שם משמעון, @r@bנח מנחור, דן מדניאל: "
Leviticus 5:1," @Kושמעה קול אלה.@T בדבר @r@bשהוא עד בו, שהשביעוהו שבועה שאם יודע לו בעדות שיעיד לו: "
Leviticus 6:2," @Kצו את אהרן.@T אין צו אלה @r@bלשון זרוז מיד @r@bולדורות אר""ש ביותר צריך הכתוב לזרז במקום שיש בו @r@bחסרון כיס: @Kזאת תורת העולה וגו'.@T הרי הענין הזה בא ללמד על הקטר חלבים ואיברים שיהא @r@bכשר כל הלילה @M(מגילה כא.)@J, וללמד על הפסולין איזה אם עלה ירד, ואיזה אם עלה לא ירד, שכל תורה לרבות הוא בא, לומר תורה אחת לכל העולים, ואפילו פסולין, שאם @r@bעלו לא ירדו: @Kהוא העולה.@T למעט את הרובע ואת הנרבע, וכיוצא בהן, שלא היה פסולן בקדש שנפסלו קודם שבאו לעזרה @M(כל הענין בת""כ (פרשתא א, ח) וזבחים פ""ג ופ""ד)@J: "
Leviticus 7:1," @Kקדש קדשים הוא.@T הוא קרב @r@bואין תמורתו קרבה @M(תמורה יז: — ת""כ פרשתא ד, ב)@J: "
Leviticus 8:2," @Kקח את אהרן.@T פרשה זו נאמרה שבעת ימים קודם הקמת המשכן, @r@bשאין מוקדם ומאוחר בתורה: @Kקח את אהרן.@T קחנו @r@bבדברים ומשכהו: @Kואת פר החטאת וגו'.@T אלו האמורים בענין צוואת המלואים בואתה תצוה @M(שמות כט)@J ועכשיו ביום ראשון למלואים חזר וזרזו בשעת מעשה: "
Leviticus 9:1," @Kויהי ביום השמיני.@T @r@bשמיני למלואים, הוא ר""ח ניסן, שהוקם המשכן @r@bבו ביום, @r@bונטל י' עטרות השנויות בסדר עולם @M(פרק ז)@J: @Kולזקני ישראל.@T להשמיעם שעל פי הדבור אהרן @r@bנכנס ומשמש בכהונה גדולה, ולא יאמרו מאליו נכנס: "
Leviticus 10:2," @Kותצא אש.@T רבי אליעזר אומר לא מתו בני אהרן @r@bאלא על ידי שהורו הלכה בפני משה רבן, רבי ישמעאל אומר @r@bשתויי יין נכנסו למקדש. תדע שאחר מיתתן הזהיר הנותרים שלא יכנסו שתויי יין למקדש, משל למלך שהיה לו בן בית וכו', כדאיתא בויקרא רבה @M(יב, א)@J: "
Leviticus 11:1," @Kאל משה ואל אהרן.@T למשה אמר, @r@bשיאמר לאהרן: @Kלאמר אליהם.@T אמר שיאמר לאלעזר ולאיתמר, או אינו אלא לאמר לישראל, כשהוא אומר דברו אל בני ישראל, הרי דבור אמור לישראל, הא מה אני מקיים לאמר אליהם, לבניו, לאלעזר ולאיתמר: "
Leviticus 12:2," @Kאשה כי תזריע.@T א""ר שמלאי @M(ויק""ר יד, א)@J כשם שיצירתו של אדם אחר כל בהמה חיה ועוף @r@bבמעשה בראשית, כך תורתו נתפרשה אחר תורת בהמה חיה ועוף: @Kכי תזריע@T. לרבות שאפי' ילדתו @r@bמחוי, שנמחה ונעשה @r@bכעין זרע, אמו טמאה לידה @M(נדה כז:)@J: @Kכימי נדת דותה תטמא.@T כסדר כל טומאה @r@bהאמורה בנדה, מטמאה בטומאת לידה, ואפילו נפתח הקבר בלא דם: @Kדותה.@T לשון דבר @r@bהזב מגופה. לשון אחר לשון מדוה וחולי, שאין אשה רואה דם שלא תחלה ראשה ואבריה כבדין עליה: "
