Assumed to be correct references,Siftei Chakhamim comment
Deuteronomy 2:1," Had they not sinned, etc.@bo Meaning: Due to their sin, Hashem did not manipulate the King of Edom’s heart to allow them to pass through his land. @d1The route they traveled when leaving Egypt, etc.@bo Rashi is answering the question: “By way of the Reed Sea,” implies that they traveled from north to south, along the Reed Sea. Yet, they traveled from west to east in the wilderness! For this reason, Rashi explains: “The route they traveled when leaving Egypt,” i.e., when they left Egypt, they traveled diagonally towards the Reed Sea from west to east. Now, also, they traveled in the same direction, for they abandoned traveling the shorter route from south to north. Instead they traveled along the southern border of Edom, from west to east, until they came to the border of Moav. @d1[We traversed] its entire southern rim.@bo One should not say that they circled Mount Seir on all four sides, and this is not possible. For otherwise Moshe would have entered the Land of Israel, because the land of Edom is on the border of the Land of Israel, as explained in the demarcation of the Land’s borders (Bamidbar 34:3). Therefore, Rashi explains: Only its entire southern rim, until the land of Moav (@ITMaharan@it). "
Deuteronomy 3:4," I learned from this that, etc.@bo I.e., from @ITTargum Yerushalmi@it I learned that a palace is called @hh טרכונין@it , and then we can learn from this that @hh ארגוב@it also means a palace. The term @hh הפרכיא@it , in other words, means the Royal Palace. @d1In other words the empire is called after its name.@d2 I.e., an important city. "
Deuteronomy 4:6," This refers to the study of the Mishnah.@bo “Preserve,” is to study, and “fulfill” is to uphold the mitzvos. For whoever does not learn, does not fulfill. @d1Through this you will be considered wise, etc.@bo Rashi changes the nouns, “wisdom and understanding,” into adjectives. This is because wisdom and understanding are not valued by the nations in their own right, and therefore it would not be logical for the verse to say, “In the eyes of the nations.” Rashi therefore adds the word @hh תחשבו@it (you will be considered), meaning that, “your status will be considered as wise and understanding in their eyes.” "
Deuteronomy 5:3," [Not with our forefathers] alone did Adonoy make this, etc.@bo Rashi is answering the question: The verse implies that Hashem gave the Ten Commandments exclusively to us, and not to our fathers who already died. But, many were alive when the Torah was given, in the year after leaving Egypt. This covenant was also made with them, though now they are not alive. Therefore, Rashi explains: Not with our forefathers @ITalone@it did Adonoy make this covenant, etc., but also with us. "
Deuteronomy 6:4," Adonoy Who is presently our God, etc.@bo Otherwise it should say, “Listen, Yisroel! Adonoy is one.” Rather, the verse means: Listen, Yisroel! Now He is only [recognized as] our God, but the time will come, etc. In other words, all the idolaters will acknowledge that He is One in heaven and on earth, and in all four directions. And this is the Oneness that our sages derive from this verse, as Scripture says (Zechariah 14:9), “On that day Adonoy will be King. . .Adonoy will be One, etc.” "
Deuteronomy 7:2," Do not hold them in esteem, etc.@bo This interpretation is problematic, for it should say @hh תחנן@it with the letter @ITnun@it, which is the term for esteem. Alternatively, it should say @hh תחונם@it , spelled with a @ITvov@it. Therefore Rashi says, “Another interpretation: Do not give them an encampment.” In other words: Even if you do not make a treaty, but think to [let them live with you and] tax them. Therefore it says not to give them any settlement at all in the Land. The second explanation is problematic, for then the verse should only state not to give them any settlement in the Land (@hh לא תחנם@it ), and all the more so [we would know that] it is forbidden to make a treaty with them. Therefore the first explanation is also needed. "
Deuteronomy 8:1," This can be understood in its plain sense.@bo I.e., the word @hh מצוה@it (lit., commandment) refers to a [whole] category, as if it said, “all the commandments.” @d1There is also a Midrashic explanation: If you began to fulfill a @BImitzvah@BO, complete it, etc.@bo I.e., the word @hh כל@it is related to the word, “And Hashem @ITcompleted@it (@hh ויכל@it ) on the seventh day, etc. (Bereishis 2:2).” Alternatively, the word @hh כל@it is related to the word @hh כלה@it (entire). In other words, you should perform the @ITmitzvah@it in its entirety — if you begin to fulfill it, complete it. According to this, the word @hh מצוה@it written in this verse refers to “a single commandment.” "
Deuteronomy 9:1," You are powerful, etc.@bo Otherwise why does it say, “than you”? It would suffice to say, “to come inherit nations great and powerful.” "
Deuteronomy 10:1," And Betzalel made the Tabernacle first, etc.@bo I.e., do not say that they certainly were not commanded to make the Tabernacle until after Yom Kippur, but Betzalel made the ark first and afterward the Tabernacle. And if so, this ark (mentioned here) could be the ark that Betzalel made. Therefore, Rashi explains, “And Betzalel made the Tabernacle first, etc.” "
Deuteronomy 11:2," Pay close attention so that you know and understand, etc.@bo [“You will know today,”] does not mean that they will know something new today. For he told them nothing new here. @d1That I now speak, etc.@bo For the word @hh את@it [here] means the same as @hh עם@it (with). Rashi adds, “That I now speak,” for without adding “That I now speak” the [meaning of the] verse cannot be understood. Therefore he needed to explain the word @hh את@it means “with,” for the word @hh עם@it applies only to one who is being spoken to. Also Rashi adds the word “now,” for without it the verse means that He would never speak with any of their offspring, only with these alone. "
Deuteronomy 12:2," Destroy, then destroy afterward, etc.@bo Rashi is answering the question: Why is it written @hh אבד תאבדון@it , which is repetitive? Even though the Torah uses common speech, it should have said @hh אבד תאבדו@it . Yet it is written @hh תאבדון@it [i.e., an extra letter @ITnun@it] in order to be expounded. This is not in accordance with @ITRe”m@it’s explanation. @d1What must you obliterate from them?, etc.@bo Rashi is answering the question: Why is it written, “You must obliterate all @ITthe places@it where the nations worshipped”? But whatever is connected to the earth [and certainly the earth itself] cannot become an idol (Avoda Zara 45a). Rather, “All the places,” means, “From the places. And what must you obliterate from them? Their gods, etc.” I.e., the words “their gods” are connected to, “You must obliterate,” and not to, “where the nations worshipped.” It is as if the verse says, “You must obliterate their gods on the mountains where the nations worshipped.” This is what Rashi means by saying, “What must you obliterate from them?” [“@ITAll@it the places,” taken literally, would include places that are impossible to destroy. But now that “all” is interpreted as “from,”] and it excludes any place that is impossible to destroy, such as worship of the celestial bodies. "
Deuteronomy 13:1," Five @BItotafos@BO within the @BItefilin,@BO etc.@bo See my explanation above in Parshas Va’eschanan (4:2). Rashi’s statement, “five species with the @ITlulav@it,” refers to where he @ITbinds@it them so that the five species are all bound together — For [only] then does he transgress. But if he did not bind them together, he does not transgress. Even according to the viewpoint that a @ITlulav@it does not need binding, it is nevertheless understood that if he binds them together he transgresses the prohibition of, “Do not add.” "
Deuteronomy 14:1," Do not inflict lacerations and gashes on your flesh, etc.@bo I.e., a prohibition only applies to a person carrying out an action, and not on the one to whom the action is carried out. Since the [@IThitpa’el @itverb form of] the term @hh לא תתגודדו@it (do not lacerate yourself) usually emphasizes on whom the action is carried out, therefore Rashi explains, “Do not inflict lacerations on your flesh.” And Rashi says @hh גדידה ושרט@it (lacerations @ITand gashes@it) to let us know that @hh גדידה@it is a type of gash — the two words are synonymous. See Parshas Emor (Vayikra 21:5), where this verse has been fully explained. "
Deuteronomy 15:2," Of every creditor.@bo The verse is disarranged, for the @ITshmitah@it only applies to the hand of the creditor [and not to his entire self] — that he shall not have a hand [i.e., the ability] to claim his debt. Rashi adds the word @hh של@it (of) because it says @hh ידו@it [spelled] with a @ITvav@it (@IThis@it hand), then we need to explain whose hand it is. Therefore Rashi continues and says, “. . . of every creditor.” Rashi also adds the word @hh את@it , to indicate that “his hand” is the object. For without the word @hh את@it then “his hand” is the subject, as in “And his hand reaches (Vayikra 25:26).” "
Deuteronomy 16:2," You shall slaughter, as the @BIchagigah@BO- offering, etc.@bo For the @ITpesach@it-offering may only be from the sheep or from the goats. "
Deuteronomy 17:1," This prohibits causing the @BIpigul@BO disqualification of the sacred offerings through a pernicious statement, etc.@bo Because you cannot say that [this part of the verse] is coming to prohibit [an offering that has] a blemish, since it is explicitly written, “that has a blemish.” He resolves [this problem by saying], “This prohibits, etc. through a pernicious statement.” I.e. above in @ITsefer@it Vayikra (7:18) and in @ITparshas@it Kedoshim (Vayikra 19:8), it is written that one is forbidden to eat @ITpigul,@it but it does not specify whether the person who made it @ITpigul@it had committed a transgression. Therefore it says here, “Do not sacrifice, etc. any bad thing,” to teach you that it is] prohibited to make offerings @ITpigul,@it i.e. if a person has in mind at the time of slaughtering to eat it beyond its [prescribed] time or outside its [prescribed] place which is accomplished by a pernicious statement. "
Deuteronomy 18:1," Whether physically sound or blemished.@bo Otherwise, why does the Torah write “the @ITentire@it tribe of Levi” after it had written “the @ITkohanim,@it the Levites” beforehand? Therefore this must be to include “whether physically sound, etc.” You might ask: Why does one need to exclude the blemished [from inheritance]? Above in @ITparshas@it Tzav (Vayikra 6:11) it is written, “Every male descendant of Aharon may eat it,” and Rashi explains, “‘Every male,’ and even the blemished, etc.” i.e., they too receive portion in the sacrifices. And [if so], it is obvious that they are excluded from inheritance because they are given a portion in the offerings for this [very] reason. The answer is that the owners of extra-Sanctuary items such as @ITterumah@it and @ITbikkurim,@it the firstborn, @ITchallah,@it and the forelimb, etc. have @ITtovas hano’ah@it in their offerings, i.e. they can give them to any @ITkohein@it they choose, and they usually give these items to physically sound @ITkohanim@it who can perform the sacrificial service and not to blemished @ITkohanim@it who are not able to perform the sacrificial service. Therefore one might have thought that they take a portion in the land, and because of this one needs a [Scriptural] exclusion. @d1This refers to the extra-Sanctuary sacred items, etc.@bo I.e. sanctified items brought from the outside. And what are they? Rashi explains, “The @ITterumah@it-gifts and the tithes.” "
Deuteronomy 19:3," At every fork in the road.@bo So that he does not err at the fork in the road. @d1The distance from the border, etc.@bo You might ask that based to this division, the land would be divided into four sections! The answer is that the distance from the border until the second town of refuge is the same distance as from the first town until the last [town]. And from the second town until the second border is also the same as these distances. Therefore it is called “three sections.” I gave the same explanation in @ITparshas@it Terumah (Shmos 26:26) regarding the bars. It also explains in @ITPerek Eilu Hein Hagolin@it (Makkos 9b) [like Rashi here], that “divide into three sections” means that the land is divided into four sections along its breadth. See there. "
