Assumed to be correct references,Siftei Chachamim comment
Genesis 2:2," Elohim completed by the seventh day.@p3 R. Shimon said, [man who is] flesh and blood who cannot [precisely] know his times and moments must add from the profane to the holy. Hashem, who [precisely] knows His times and moments it can enter into it by a hairbreadth, and it appears as if He concluded [His work] on that very day [i.e., the Sabbath].Another explanation: [At this point in time,] what was the world [still] lacking? [The concept] of rest. With the coming of Shabbos came rest, [i.e.,] the work was completed and finished. "
Genesis 3:1," The serpent was more cunning.@p3 Why is this incident inserted here [i.e., connected to the preceding verses]? He should have connected it [with] [the verse:] “And He made for Adam and his wife leather coats and clothed them.” But, it comes to teach you the cause of the serpent’s assailing them. He saw them unclothed, indulging in marital relations unashamedly and he coveted her. @d1More cunning than any.@d2 As cunning and mighty [as he was] [so, too,] was his downfall. Most cunning of all, [became] most cursed of all. @d1Did [He] even say, etc.@d2 Did He perhaps tell you not to eat from any of the trees of the garden, etc.? And, although he saw them eating from the other fruits he indulged her in conversation so that she should be obliged to answer him, and give him the opportunity to speak about that particular tree. "
Genesis 4:1," The man knew.@p3 This had already [occurred] before the previous narrative [i.e.,] before he sinned and was exiled from Gan Eden. This is also [true of] the conception and birth. Had it said @hh וַיֵּדַע אָדָם@ee it would imply that after he was exiled children were born to him. @d1Kayin. @d2[This name was given him] based on [her having said] @hh קָנִיתִי@ee [“I have obtained”]. @d1With Adonoy. @d2[@hh אֶת ה'@ee means] like @hh עִם ה'@ee [with Hashem]. [Meaning:] “When He created me and my husband He created us by Himself. However, in this one we are co-partners with Him.” @d1To Kayin, to his brother, to Hevel. @d2The word @hh אֶת@ee is repeated thrice implying additional [facts or things]. This teaches that a girl twin was born with Kayin, and two were born with Hevel. Consequently, [concerning Hevel] it says: [Lit.] “And she increased” [in giving birth]. "
Genesis 5:1, This is the book of the generations of man.@p3 [Meaning:] This is the narrative of the offspring of man. There are many other Aggadaic interpretations. @d1On the day Elohim created.@d2 This tells us that on the same day that he was created he begot children. 
Genesis 6:2," The sons of rulers.@p3 [Meaning:] the sons of princes and rulers. Another explanation of @hh בְּנֵי הָאֱלֹהִים@ee : They are the angels who go as messengers of Hashem; they, too, intermingled with them. Whenever @hh אֱלֹהִים@ee appears in Tanach it has the meaning of authority. The following is indicative: “You will be his master.” “See that I have made you a master.” @d1That [they] were fair.@d2 R. Yudan said: It is spelled @hh טבת@ee , [meaning:] when they improved her appearance beautifying her to enter the marriage canopy, the head ruler would then enter and have relations with her first. @d1From whomever they chose. @d2Even a married woman, even a man or an animal. "
Genesis 7:1," For I have seen that you are righteous.@p3 Here it does not state @hh צַדִּיק תָּמִים@ee ! [We learn] from this that we tell only part of a man’s good qualities in his presence, and all of them when he is not present. "
Genesis 8:1," Elohim remembered.@p3 This name represents Divine Judgment which was transformed to Divine Mercy due to the prayers of the righteous. [However,] the evil of the wicked transforms Divine Mercy to Divine Judgment as it is said: “God saw that the wickedness of man was great, etc.,” “God said I will obliterate” though the Name [@hh ה'@ee ] represents Divine Mercy. @d1Elohim remembered Noach.@d2 What did He remember regarding the animals? The merit that they did not corrupt their ways before this [the Flood] and that they did not cohabit in the ark. @d1Elohim caused a wind to blow.@d2 [@hh רוּחַ@ee means] a spirit of comforting and calming passed before Him. @d1Over the earth.@d2 [Meaning:] due to the matters of the earth. @d1Subsided.@d2 As in: “When the wrath of the king calmed” referring to the abandonment of anger. "
Genesis 9:2," Your terror.@p3 [Means:] “your terror,” as in: “You see terror.” The Aggadah, [however, explains it] as “life.” [I.e.,] as long as even a one-day old infant is alive you do not have to watch it from [being harmed by] rodents. [However, should the giant] Og, king of Bashan, die, he would need guarding against rodents. For it is stated: @hh וּמוֹרַאֲכֶם וְחִתְּכֶם יִהְיֶה@ee , [meaning:] when do animals fear you? [Only] as long as you are alive. "
Genesis 10:2," And Tiras.@p3 This refers to Persia. "
Genesis 11:1," One language.@p3 [That language was] the holy language [Hebrew]. @d1And conforming words.@d2 [Meaning:] They came with one plan and said, “He [God] has no right to select the heavens for Himself. Let us ascend to the sky and wage war against Him.” Another explanation [of @hh דְּבָרִים אֲחָדִים@ee ]: [They spoke blasphemously] against the Sole Being of the universe. Another explanation for @hh וּדְבָרִים אֲחָדִים@ee , They said; “Once every 1656 years the heavens convulse as He did in the days of the Flood. Come, let us make supports for it. "
