Assumed to be correct references,Siftei Chakhamim comment
Numbers 2:2," צבעו של זה.@sp ופירוש לבית אבותם, הם שמות אבותם המפותחים בחשן. ולפי שפירוש זה דחוק שיפורש על לבית אבותם, לכן אמר ד""א וכו' ולפי ד""א קשה מלת דגלו באותות לבית אבותם, לכן צריך גם לטעם ראשון: @psכשנשאוהו.@sp פירוש ולפי זה צ""ל דגל לשון קביצה, כמו ודגלו עלי אהבה כלומר וכל דגל היה גבי קביצתו. מצאתי: @psמרחוק מיל.@sp וא""ת לעיל בפ' יתרו פירש רש""י נגד ההר למזרחו כל מקום שאתה מוצא נגד פנים למזרח, משמע אפי' סמוך. וי""ל דכאן כתיב סביב לאהל מועד יחנו א""כ אי אפשר שיהיו כולם נגד מזרח לכן פירש""י לשון רחוק. ועוד מצאתי מג""ש למד, נאמר כאן מנגד ונאמר להלן ותשב לה מנגד הרחק, מה להלן רחוק אף כאן רחוק. מיל הם אלפים אמה שיוכלו לבא בשבת: "
Numbers 3:1," שלמדן מה שלמד.@sp דאל""כ מה ענין זה לכאן, ופירוש ביום דיבר מיום דיבר, והבי""ת כבי""ת והנותר בבשר ובלחם, לא שבאותו יום עצמו שדיבר הש""י עם משה בהר סיני למדן, אלא שמאותו יום והלאה היה מלמדן ונעשו תולדותיו. וא""ת והא לכל ישראל למד משה תורה ולמה לא נקראו תולדותיו. וי""ל דמה שלמד כל ישראל תורה היה במצות הש""י, כמו דכתיב ויאמר ה' אל משה עלה אלי וגו' אשר כתבתי להורותם, משמע דעיקר מה שלמד הש""י עם משה היה הכל בשביל כלל ישראל לכן אין שייך לומר כל המלמד. אבל גבי בני אהרן שלא היה משה מחויב ללמוד עמהם, דהא האב חייב ללמד את בנו תורה, מש""ה נקראו הם תולדותיו של משה וכן נראה דדייק לישנא דכל המלמד את בן חבירו תורה וכו': "
Numbers 4:2," לעבודת משא.@sp כוונתו לפרש טעם המניין שכל המניינים נמנין מבן חדש ומבן כ' ובני י""ג, אבל זה המספר אינו דומה לשום אחד מהמספרים, לכך פירש מנה מהם הראויין וכו'. רא""ם: "
Numbers 5:2," מבן ל' ועד בן נ'.@sp דעת רש""י ז""ל דהאי ופקודיו קאי על משה, דכתיב לעיל פקד אותם ביד משה ואשר צוה כמו כאשר צוה, וה""ק ופקודיו של משה כאשר צוה ה' את משה דהיינו מבן ל' עד בן נ'. וזה שנקט רש""י ואותן הפקודים היו במצוה מבן ל' עד בן נ'. ואין לתמוה כיון דקאי על משה דלעיל למה כתיב ב' פעמים משה, דהיה לו לכתוב אליו במקום משה. יש לומר דהרבה פסוקים מדברים כן, כמו ואל משה אמר עלה אל ה', היה לו לומר עלה אלי, וכן וה' המטיר על סדום ועל עמורה גפרית ואש מאת ה', היה לו לומר מאתו, וכן ויאמר למך לנשיו עדה וצלה שמען קולי נשי למך, היה לו לומר נשיי וק""ל. וא""ת מאי צריך רש""י לפרש כן והלא כמה פעמים כתיב מבן ל' וגו'. וי""ל לפי שכתוב ויהיו פקודיהם שמונת אלפים וחמש מאות ושמונים, ואח""כ נאמר ע""פ ה' פקד אותם ושמא אתה רוצה לפרש על מניין אחר האמור בפרשת בהעלותך שהוא מבן כ""ה. לכך פירש רש""י ואותן הפקודים כו', והוכחתו מדכתיב אשר צוה ה' את משה, משמע שכבר נצטוה עליו ואילו הצוואה מבן חמש ועשרים לא נאמר אלא לאחר מכאן. וי""מ ופקודיו פירוש ממוניו, ופירש""י ואותן הפקודים וכו' כלומר ואותן הממונים אלעזר ואיתמר הממונים עליהם צריכין אף הם להיות מבן ל' ועד בן חמשים. מצאתי בשם גדול אחד: "
Numbers 6:31," בסתירה זו.@sp אע""פ שלא היה צריך לומר זה דהא כל הכתוב באשה שקנא ונסתרה קמיירי, מ""מ איידי דבעי לפרושי וטהורה היא ממקום אחר, שפירושו מהאיש שקנא לה ונסתרה עמו, פירש תחילה דואם לא נטמאה מיירי בסתירת האיש שקנא לה: @psולא עוד.@sp שלא תאמר דונזרעה זרע נמשך אונקתה, כלומר ונקתה אז ונזרעה או ונקתה מהדברים המונעים הלידה ובזה ונזרעה זרע, לפיכך פירש ונקתה מהמים המאררים שהוא ענין הצלה מצביית בטן ומנפילת ירך. ופי' ונזרעה זרע לעצמו, ולא עוד אלא ונזרעה: "
Numbers 7:2," שהסוטה אסורה.@sp מדהוצרך לכתוב ונקה האיש מעון שהיא בהיתר אצלו אחר ששתתה, משמע שהסוטה קודם ששתתה אסורה לבעלה: "
Numbers 8:4," שהיין משכר.@sp כלומר למה נקרא חדש יין וישן שכר, ומפרש על שם שמשכר: @psלשון צביעה.@sp פי' דבר שמטבילין במים או בשאר כל משקה, דעל כיבוס שהוא לטבילה מתרגם ויצבע, כמו שפירש""י בסוף פ' תזריע: "
Numbers 9:18," ישחט.@sp פירש מלת יעשה ישחט. מפני שבעת שחיטה תליא מלתא, שאם חישב אז מחשבה לאוכלו חוץ לזמנו או למקומו פסלה מלהקריב. גם פירש על סל המצות ע""מ לקדש את הלחם, מפני שבזולת זה יובן ששחט ע""מ לקדש את הסל ולא את הלחם שבו: @psשל איל .@sp דלא תימא שכל אחד ואחד מהנזכרים לעיל ובא לאפוקי חטאת דלא. כדלעיל: "
Numbers 10:2," לפי שמסר.@sp נראה דקשה לרש""י דהנגינה דעל כלות משה מפרידו ממלת להקים את המשכן, שאין כלות משה סמוך למלת להקים וכאלו הם שני ענינים ומאי שני ענינים איכא הכא. אלא ע""כ דה""פ ויהי ביום כלת משה מעשיית המשכן ומהקמת המשכן, ועל זה מקשה רש""י ז""ל בצלאל וכל חכמי לב וכו'. ומתרץ לפי שמסר נפשו וכו', ובזה יתורץ מה שמקשים העולם והלא לא תלה במשה רק ההקמה וזה עשה משה לבדו כדכתיב לעיל בפ' פקודי. ומהרא""י תירץ דק""ל שלא הל""ל אלא ויהי ביום הוקם את המשכן עכ""ל. והנ""ל כתבתי ודו""ק: @psבשני נשרפה.@sp רוצה לתרץ דלא תקשה הא מיד אחר הקמת משכן היו הלוים עובדים עבודתן כדכתיב בסמוך, והיאך רשאין לעשות כן והלא טמאי מתים היו ולא יוכלו לטהר דעדיין לא נשרפה הפרה. וא""ל דהפרה נשרפה קודם הקמת המשכן, דהא כתיב בהזייה שלה בפרשת חקת והזה אל נכח פני האהל משמע דכבר הוקם המשכן כששחטוה. ומתרץ דבשני נשרפה הפרה כו' נמצא דביום שביעי היו טהורים: @psובשביעי גלחו.@sp הוא הגילוח האמור בפ' בהעלותך והעבירו תער על כל בשרם וכו': "
Numbers 11:4," שלא קבל משה.@sp דאל""כ מאי לפני המשכן, דהא כבר כתיב ויביאו את קרבנם לפני ה', דהיינו לפני המשכן ששם שכן כבודו יתעלה. ומטעם זה דרשו ג""כ בלפני המזבח שלא קבל מהם משום שכבר כתיב ויקריבו הנשיאים את חנוכת המזבח, וא""כ ל""ל עוד ויקריבו לפני המזבח: "
