Assumed to be correct references,Siftei Chachamim comment
Genesis 2:2," @Kויכל אלהים ביום השביעי.@T ר' שמעון אומר, בשר ודם שאינו יודע עתיו ורגעיו, צריך להוסיף מחול על הקודש, אבל הקב""ה שיודע עתיו ורגעיו, נכנס בו כחוט השערה ונראה כאלו כלה בו ביום @M(ב""ר)@J. דבר אחר, מה היה העולם חסר, מנוחה, באת שבת באת מנוחה, כלתה ונגמרה המלאכה @M(ב""ר)@J: "
Genesis 3:1," @Kוהנחש היה ערום.@T מה ענין זה לכאן, היה לו לסמוך וַיַעַשׂ לְאָדָם וּלְאִשְׁתּוֹ כָּתְנוֹת עוֹר וַיַּלְבִּישֵׁם, אלא ללמדך מאיזו סבה קפץ הנחש עליהם, ראה אותם ערומים ועסוקים בתשמיש לעין כל, ונתאוה לה @M(ב""ר יח, ו)@J: @Kערום מכל. @Tלפי ערמתו וגדולתו היתה מפלתו, ערום מכל ארור מכל @M(שם יט, א)@J: @Kאף כי אמר וגו'.@T שמא אמר לכם לא תאכלו מכל וגו', ואף על פי שראה אותם אוכלים משאר פירות, הִרְבָּה עליה דברים, כדי שתשיבנו ויבא לדַבֵּר באותו העץ: "
Genesis 4:1," @Kוהאדם ידע.@T כבר קודם הענין של מעלה, קודם שחטא ונטרד מגן עדן, וכן ההריון והלידה @M(סנהדרין לח:)@J, שאם כתב וידע אדם, נשמע שלאחר שנטרד היו לו בנים: @Kקין.@T על שם קניתי: @Kאת ה'.@T כמו עם ה', כשברא אותי ואת אישי, לבדו בראנו, אבל בזה שותפים אנו עמו @M(נדה לא.)@J: @Kאת קין את אחיו את הבל.@T ג' אתים ריבויים הם, מלמד שתאומה נולדה עם קין, ועם הבל נולדו שנים, לכך נאמר ותוסף @M(ב""ר כב, ג)@J: "
Genesis 5:1," @Kזה ספר תולדות אדם.@T זו היא ספירת תולדת אדם, ומדרשי אגדה יש רבים: @Kביום ברא וגו'.@T מגיד שביום שנברא הוליד @M(ב""ר)@J: "
Genesis 6:2," @Kבני האלהים.@T בני השרים והשופטים @M(ב""ר)@J. דבר אחר בני האלהים, הם השרים ההולכים בשליחותו של מקום, אף הם היו מתערבין בהם @M(פדר""א כב)@J. כל אלהים שבמקרא לשון מרות, וזה יוכיח וְאַתָּה תִּהְיֶה לּוֹ לֵאלֹהִים @M(שמות ד, טז)@J, רְאֵה נְתַתִּיךָ אֱלֹהִים @M(שם ז, א)@J. @Kכי טבת הנה.@T אמר רבי יודן טבת כתיב, כשהיו מטיבין אותה מקושטת ליכנס לחופה, היה גדול נכנס ובועלה תחלה @M(ב""ר כו, ה)@J: @Kמכל אשר בחרו.@T אף בעולת בעל, אף הזכר והבהמה @M(ב""ר שם)@J: "
Genesis 7:1,"@K ראיתי צדיק.@T ולא נאמר צדיק תמים. מכאן שאומרים מקצת שבחו של אדם בפניו, וכולו שלא בפניו @M(ב""ר לב,ג)@J: "
Genesis 8:1,"@K ויזכור אלהים.@T זה השם מדת הדין הוא. ונהפכה למדת רחמים על ידי תפלת הצדיקים. ורשעתן של רשעים הופכת מדת רחמים למדת הדין @M(ב""ר לג,ג)@J, שנאמר @M(בראשית ו,ה_ז)@J וירא ה' כי רבה רעת האדם וגו', ויאמר ה' אמחה והוא שם מדת רחמים: @Kויזכור אלהים את נח וגו'.@T מה זכר להם לבהמות זכות שלא השחיתו דרכם קודם לכן @M(תנחומא ישן נח יא)@J, ושלא שמשו בתיבה: @Kויעבר אלהים רוח.@T רוח תנחומין והנחה עברה לפניו: @Kעל הארץ.@T על עסקי הארץ: וישכו.@T כמו @M(אסתר ב,א)@J כשוך חמת המלך, לשון הנחת חמה: "
Genesis 9:2,"@K וחתכם.@T ואימתכם, כמו @M(איוב ו,כא)@J תראו חתת. ואגדה, לשון חיות. שכל זמן שהתינוק בן יומו חי, אין אתה צריך לשומרו מן העכברים. עוג מלך הבשן מת, צריך לשומרו מן העכברים, שנאמר ומוראכם וחתכם יהיה. אימתי יהיה מוראכם על החיות, כל זמן שאתם חיים @M(סנהדרין צח. שבת קנא,ב)@J: "
Genesis 10:2,"@K ותירס.@T זו פרס @M(בראשית רבה לז,א. יומא שם)@J: "
Genesis 11:1,"@K שפה אחת.@T לשון הקודש: @Kודברים אחדים.@T באו בעצה אחת, ואמרו, לא כל הימנו שיבור לו את העליונים, נעלה לרקיע ונעשה עמו מלחמה. דבר אחר, על יחידו של עולם. דבר אחר, ודברים אחדים (ס""א דברים חדים). אמרו, אחת לאלף ותרנ""ו שנים הרקיע מתמוטט כשם שעשה בימי המבול. בואו ונעשה לו סמוכות @M(ב""ר לו,ו)@J: "
