Ref,,Text,,edit footnote,Footnotes
Genesis 1 2,,wild and waste,Confusion and Chaos,,"when the earth<sup>•</sup><i class='footnote'><b>when the earth … :</b> Gen. 1 describes God’s bringing order out of chaos, not creation from nothingness.</i> was Confusion and Chaos,<br> darkness over the face of Ocean,<br><sup>•</sup><i class='footnote'><b>Ocean:</b> The primeval waters, a common (and usually divine) image in ancient Near Eastern mythology,</i> rushing-spirit<sup>•</sup><i class='footnote'><b>rushing-spirit:</b> Others, “wind.” The Hebrew word <i>ruah</i> can mean both “spirit” and “wind.” See Ps. 33:6.</i> of God hovering<sup>•</sup><i class='footnote'><b>hovering:</b> Or “flitting.” The image suggested by the word (see Deut. 32:11) is that of an eagle protecting its young.</i> over the face of the waters—"
Genesis 1 8,,Heaven!,The Heavens,,"God called the dome: The Heavens.<br> There was setting, there was dawning: second day."
Genesis 2 5,,soil/adama,ground/<i>adama</i>,,"no bush of the field was yet on earth,<br> no plant of the field had yet sprung up,<br> for <small>YHWH</small> God had not made it rain upon the earth,<br> and there was no human/<i>adam</i> to work the ground/<i>adama</i>—"
Genesis 4 1,,as has YHWH,along with <small>YHWH</small>!,,"The human knew<sup>•</sup><i class='footnote'><b>knew:</b> Intimately; a term for sexual intercourse.</i> Havva his wife;<br> she became pregnant and bore Kayin.<br><sup>•</sup><i class='footnote'><b>Kayin:</b> Trad. English “Cain.” The name means “smith” (see also v.22, below).</i> She said:<br> <i>Kaniti</i>/I-have-gotten<br><sup>•</sup><i class='footnote'><b>I-have-gotten:</b> Others use “I have created.”</i> a man, along with <small>YHWH</small>!"
Genesis 6 2,,divine beings,divine ones,,"that the divine ones saw how fair the human women were,<br> so they took themselves wives, whomever they chose."
Genesis 7 4,,in yet seven days,in another seven days,,"For in another seven days<br> I will make it rain upon the earth for forty<sup>•</sup><i class='footnote'><b>forty:</b> Used in the Bible to denote long periods of time; also a favorite patterned number.</i> days and forty nights<br> and will blot out all existing-things that I have made, from the face of the earth."
Genesis 7 11,,Ocean,Ocean,,"In the six hundredth year of Noah’s life, in the second month, on the seventeenth day of the month,<br> on that day:<br> then burst<sup>•</sup><i class='footnote'><b>then burst …:</b> Cassuto (1972) suggests that the poetic verses here and elsewhere in the Flood story are fragments of an Israelite epic. See also 9:11, 15.</i> all the wellsprings of the great Ocean<br> and the sluices<sup>•</sup><i class='footnote'><b>well-springs … sluices:</b> The normal sources of rain function here without any restraint (Cassuto).</i> of the heavens opened up."
Genesis 7 16,,YHWH dosed,<small>YHWH</small> closed,,"And those that came, male and female from all flesh they came,<br> as God had commanded him.<br> <small>YHWH</small> closed [the door] upon him."
Genesis 7 22,,firm-ground,dry-land,,"all that had the breath of the rush of life in their nostrils,<br> all that were on dry-land, died."
Genesis 8 13,,left firm ground,left dry-land,,"And so it was in the six hundred and first year, in the beginning-month, on the first day of the month,<br> that the waters left dry-land upon the earth.<br> Noah removed the covering of the ark and saw:<br> here, the face of the ground had dried up."
Genesis 8 20,,slaughter-site,sacrificial-altar,,Noah built a sacrificial-altar to <small>YHWH</small>.<br> He took from all pure animals and from all pure birds<br> and offered up<sup>•</sup><i class='footnote'><b>offered up:</b> The Hebrew verb (<i>’alo</i>) implies upward movement.</i> offerings on the altar.
Genesis 10 8,,mighty man,mighty-one,,Now Cush begot Nimrod; he was the first mighty-one on earth.
Genesis 10 15,Genesis 10 16,Yevusite etc,,,"Canaan begot Tzidon his firstborn and Het,"
Genesis 13 2,,heavily laden,heavily-laden,,"And Avram was exceedingly heavily-laden with livestock, with silver and with gold."
Genesis 15 8,,inherit,possess,,"But he<sup>•</sup><i class='footnote'><b>But he said:</b> Avram, having just demonstrated trust in v.6, now expresses deep doubt,</i> said:<br> My Lord <small>YHWH</small>,<br> by what shall I know that I will possess it?"
Genesis 15 21,Genesis 32 21,lift up my face,,,and the Amorite and the Canaanite and the Girgashite and the Yevusite.
Genesis 16 1,Genesis 16 2,built-up-with-sons,,,"Now Sarai, Avram’s wife, had not borne him [children].<br> She had an Egyptian maid—her name was Hagar."
Genesis 16 7,,YHWH’s messenger,<small>YHWH’S</small> messenger,,"But <small>YHWH’S</small> messenger found her by a spring of water in the wilderness, by the spring on the way to Shur."
