Chapter,Segment.,English,Hebrew
1,1,"<b>“<i>Tik’u</i></b> (Sound) the shofar at the moon’s renewal, at the time appointed for our festive day.” 2 (Psalms 81:4)",(תהלים פא): תִּקְעוּ בַחֹדֶשׁ שׁוֹפָר בַּכֶּסֶא לְיוֹם חַגֵּנוּ:
1,2,"The Jew is created to have <i>memshalah</i> (dominion) over the angels. This is Israel’s ultimate purpose and destiny, as our Sages, of blessed memory, taught: The section of the righteous is destined to be inward of that of the ministering angels, as it is written (Numbers 23:23), “at that time it will be said to Yaakov and to Israel, ‘What has God wrought?’” (Yerushalmi, Shabbat 6:9). When the angels will want to know what God has wrought, they will need to inquire of Israel.","<b>א</b> כִּי אִישׁ הַיִּשְׂרְאֵלִי נִבְרָא, שֶׁיִּהְיֶה לוֹ מֶמְשָׁלָה עַל הַמַּלְאָכִים, וְזֶה הַתַּכְלִית וְהַסּוֹף שֶׁל יִשְׂרָאֵל, כְּמוֹ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (ירושלמי שבת פרק ב'): עֲתִידִין צַדִּיקִים, שֶׁיִּהְיֶה מְחִצָּתָן לִפְנִים מִמַּלְאֲכֵי הַשָּׁרֵת, שֶׁנֶּאֱמַר: כָּעֵת יֵאָמֵר לְיַעֲקֹב וּלְיִשְׂרָאֵל מַה פָּעַל אֵל, שֶׁהַמַּלְאָכִים יִצְטָרְכוּ לִשְׁאֹל מִיִּשְׂרָאֵל, כְּשֶׁיִּרְצוּ לֵידַע מַה פָּעַל אֵל."
1,4,"Every [Jew] must see to achieve this ultimate purpose: having dominion over angels. Yet he has to guard himself carefully and see that he has the ability to maintain this dominion without being cast down, God forbid, through the angels’ envy. This is because the angels are extremely jealous of such a person who has dominion over them. Thus we find that our Sages, of blessed memory, taught regarding a number of eminent individuals: “the ministering angels sought to push him away” (Chagigah 15b).","וְצָרִיךְ כָּל אֶחָד לִרְאוֹת, שֶׁיָּבוֹא לְזֶה הַתַּכְלִית, שֶׁיִּהְיֶה לוֹ מֶמְשָׁלָה עַל מַלְאָכִים, אַךְ צָרִיךְ לִשְׁמֹר עַצְמוֹ מְאֹד, וְלִרְאוֹת שֶׁיִּהְיֶה לוֹ כֹּחַ לַעֲמֹד בְּמֶמְשָׁלָה זוֹ, שֶׁלֹּא יְקַנְּאוּ בּוֹ מַלְאֲכֵי הַשָּׁרֵת וְיַפִּילוּ אוֹתוֹ, חַס וְשָׁלוֹם, כִּי הַמַּלְאָכִים מִתְקַנְּאִים מְאֹד בְּאָדָם כָּזֶה, שֶׁיֵּשׁ לוֹ מֶמְשָׁלָה עֲלֵיהֶם, כְּמוֹ שֶׁמָּצִינוּ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (חגיגה טו:) עַל כַּמָּה גְּדוֹלִים, שֶׁבִּקְּשׁוּ מַלְאֲכֵי־הַשָּׁרֵת לְדָחְפוֹ:"
1,5,"<b>2.</b> The solution for this is to bind oneself with the Jewish souls and through this attachment be protected from [the angels]. This is as in “He allows him to grab onto the front of the throne” (Job 26:9). A person has to attach himself to the roots of the souls, which are hewn from beneath the Throne of Glory, “the mother of all living things” (Genesis 3:20).","<b>ב</b> וְהָעֵצָה עַל זֶה, לְקַשֵּׁר עַצְמוֹ עִם נִשְׁמוֹת יִשְׂרָאֵל, וְעַל־יְדֵי הַהִתְקַשְּׁרוּת נִצּוֹל מֵהֶם. וְזֶה בְּחִינַת (איוב כ״ו:ט׳): מְאַחֵז פְּנֵי כִסֵּא, שֶׁצָּרִיךְ לֶאֱחֹז עַצְמוֹ בְּשָׁרְשֵׁי הַנְּשָׁמוֹת, הַחֲצוּבוֹת מִתַּחַת כִּסֵּא הַכָּבוֹד, שֶׁהִיא בְּחִינַת (בראשית ג'): אֵם כָּל חָי."
1,6,"This corresponds to what our Sages, of blessed memory, taught: When Moshe ascended on high, the ministering angels said, “[Master of the Universe!] What is someone born of woman doing among us?” [God] replied, “He came to receive the Torah.” They said, “[Would it not be better] that You bestow Your majesty upon the heavens?” (Psalms 8:2). The Holy One, blessed be He, said to Moshe, “Give them an answer.” [Moshe] said, “I am afraid to, lest they burn me with the breath of their mouths.” [God] said to him, “Grab onto the throne of My Glory [and then answer them]” (Shabbat 88b). In other words, God advised him to grab hold of and attach himself to the roots of the souls—i.e., the Throne of Glory, “the mother of all living things”—as this would protect him from the angels’ jealousy.","וְזֶה בְּחִינַת מַה שֶּׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (שבת פח:): בְּשָׁעָה שֶׁעָלָה מֹשֶׁה לַמָּרוֹם, אָמְרוּ מַלְאֲכֵי הַשָּׁרֵת: מַה לִּיְלוּד אִשָּׁה בֵּינֵינוּ, אָמַר לָהֶם: לְקַבֵּל תּוֹרָה בָּא. אָמְרוּ: אֲשֶׁר תְּנָה הוֹדְךָ עַל הַשָּׁמָיִם וְכוּ'. אָמַר הַקָּדוֹשׁ־בָּרוּךְ־הוּא לְמֹשֶׁה: הַחֲזֵר לָהֶם תְּשׁוּבָה. אָמַר: אֲנִי מִתְיָרֵא, שֶׁלֹּא יִשְׂרְפוּנִי בְהֶבֶל פִּיהֶם. אָמַר לוֹ: אֱחֹז בְּכִסֵּא כְבוֹדִי וְכוּ'; הַיְנוּ שֶׁנָּתַן לוֹ הַשֵּׁם יִתְבָּרַךְ עֵצָה לֶאֱחֹז וּלְהִתְקַשֵּׁר בְּשָׁרְשֵׁי הַנְּשָׁמוֹת, שֶׁהֵם בְּחִינַת כִּסֵּא הַכָּבוֹד, אֵם כָּל חָי, כַּנַּ""ל, שֶׁעַל־יְדֵי־זֶה יִהְיֶה נִצּוֹל מִן קִנְאַת הַמַּלְאָכִים כַּנַּ""ל."
1,7,"This is the meaning of: “The Lord God fashioned the rib that He took from the man [into a woman, and He brought her to the man]” (Genesis 2:22). “<i>VaYiVeN</i> (He fashioned)” is an acronym for <i>U’tekativ Yated B’makom Ne’eman</i> (I will affix him as a peg in a trusted place) (Isaiah 22:23). This alludes to dominion, as in <i>Targum Yonatan’s</i> rendering of this verse: I will appoint him as a trusted officer serving in an enduring position.” In other words, the dominion will be enduring.","וְזֶה בְּחִינַת (בראשית ב׳:כ״ב): וַיִּבֶן ה' אֱלֹקִים אֶת הַצֵּלָע אֲשֶׁר לָקַח מִן הָאָדָם וְכוּ'. וַיֵּבֶן – רָאשֵׁי־תֵבוֹת: וּתְקַעְתִּיו יָתֵד בְּמָקוֹם נֶאֱמָן (ישעיהו כ״ב:כ״ג); שֶׁהוּא בְּחִינַת מֶמְשָׁלָה, כְּמוֹ שֶׁתִּרְגֵּם יוֹנָתָן עַל זֶה הַפָּסוּק: וֶאֱמַנִּינֵהּ אֲמַרְכֶּל מְהֵימָן מְשַׁמֵּשׁ בַּאֲתַר קַיָּם; הַיְנוּ בְּחִינַת מֶמְשָׁלָה הַנַּ""ל, שֶׁיִּהְיֶה לָהּ קִיּוּם כַּנַּ""ל."
1,8,"And this is “the rib.” It refers to Chavah, “the mother of all living things,” corresponding to the Throne of Glory, the souls’ roots, through which one has the ability to maintain this dominion, as discussed above.","וְזֶהוּ בְּחִינַת הַצֵּלָע, שֶׁהִיא בְּחִינַת חַוָּה, אֵם כָּל חָי, בְּחִינַת כִּסֵּא הַכָּבוֹד, שָׁרְשֵׁי הַנְּשָׁמוֹת כַּנַּ""ל, שֶׁעַל־יְדֵי־זֶה יֵשׁ כֹּחַ לַעֲמֹד בְּמֶמְשָׁלָה זוֹ כַּנַּ""ל."
1,9,"And this is “that He took from the man”—i.e., Supernal Man, as it is written (Ezekiel 1:26), “and upon the throne there was a form resembling a man.” “And He brought her to the man”—namely, to lower man. Through this, lower man has the ability to maintain this dominion.","וְזֶהוּ: אֲשֶׁר לָקַח מִן הָאָדָם, הַיְנוּ הָאָדָם הָעֶלְיוֹן, כְּמוֹ שֶׁכָּתוּב (יחזקאל א׳:כ״ו): וְעַל הַכִּסֵּא דְּמוּת כְּמַרְאֵה אָדָם וְכוּ'. וַיְבִיאֶהָ אֶל הָאָדָם, הַיְנוּ אֶל הָאָדָם הַתַּחְתּוֹן, שֶׁעַל־יְדֵי־זֶה יֵשׁ כֹּחַ לָאָדָם הַתַּחְתּוֹן לַעֲמֹד בְּמֶמְשָׁלָה זוֹ כַּנַּ""ל."
1,10,"This is also the meaning of what Rav Amram Chasida answered the angel: &lt;Even though&gt; I am <i>bisra</i> (flesh) and you are fire, I am more powerful than you (Kiddushin 81a). <i>BiSRA</i> is an acronym for <i>Shishim Rebo B’kareis Echad</i> (six-hundred thousand in a single womb)—i.e., the roots of the souls. Through this he has the ability &lt;to maintain dominion&gt; over the angels, as in “I am more powerful than you.”","וְזֶהוּ שֶׁאָמַר רַב עַמְרָם חֲסִידָא אֶל הַמַּלְאָךְ (קדושין פא): אֲנָא בִּשְׂרָא וְאַנְתְּ אֵשׁ, וַאֲנָא עֲדִיפְנָא מִנָּךְ. בִּשְׂרָא רָאשֵׁי־תֵבוֹת: שִׁשִּׁים רִבּוֹא בְּכָרֵס אֶחָד, דְּהַיְנוּ בְּחִינַת שָׁרְשֵׁי הַנְּשָמוֹת, שֶׁעַל־יְדֵי־זֶה יֵשׁ לוֹ כֹּחַ, שֶׁיִּהְיֶה לוֹ מֶמְשָׁלָה עַל הַמַּלְאָכִים, בְּחִינַת: אֲנָא עֲדִיפְנָא מִנָּךְ, כַּנַּ""ל:"
1,11,"<b>3.</b> Now, in order to bind oneself with the Jewish souls’ roots one has to know the source of the souls and the source of their life-force, from which each soul receives its vitality.","<b>ג</b> וּלְקַשֵּׁר עַצְמוֹ לְשָׁרְשֵׁי הַנְּשָׁמוֹת שֶׁל יִשְׂרָאֵל צָרִיךְ לֵידַע מְקוֹר כָּל הַנְּשָׁמוֹת וּמְקוֹר חִיּוּתָם, מֵהֵיכָן כָּל נְשָׁמָה וּנְשָׁמָה מְקַבֶּלֶת חִיּוּת,"
