Chapter,Segment,English,Hebrew
1,1,"“<i>Ashrei T’mimei Darekh</i> (Happy are those whose way is perfect), who walk with the Torah of God.” (Psalms 119:1)","(תהלים קיט) אַשְׁרֵי תְמִימֵי דָרֶךְ, הַהוֹלְכִים בְּתוֹרַת ה':"
1,2,"Know! by means of the Torah, all the prayers and all the requests that we request and pray are accepted. The grace and importance of the Jewish people are thus enhanced and elevated in the estimation of all of whom they may have need, whether in matters spiritual or physical.","דַּע כִּי עַל יְדֵי הַתּוֹרָה נִתְקַבְּלִים כָּל הַתְּפִלּוֹת וְכָל הַבַּקָּשׁוֹת שֶׁאָנוּ מְבַקְּשִׁים וּמִתְפַּלְּלִים, וְהַחֵן וְהַחֲשִׁיבוּת שֶׁל יִשְׂרָאֵל נִתְעַלֶּה וְנִתְרוֹמֵם בִּפְנֵי כָּל מִי שֶׁצְּרִיכִין, הֵן בְּרוּחָנִי הֵן בְּגַשְׁמִי;"
1,3,"For presently, as a result of our many sins, the true grace and importance of the Jewish people have fallen. Now, most of the importance and grace are found with others. By means of the Torah, however, the Jewish people’s grace and importance are enhanced. For the Torah is called “a beloved doe and a <i>yaALat chein</i> (graceful gazelle)” (Proverbs 5:19) —she <i>maALah chein</i> (bestows grace) upon those who study her (Eruvin 54b). And through this, all prayers and requests are accepted.","כִּי עַכְשָׁו בַּעֲווֹנוֹתֵינוּ הָרַבִּים חֵן וַחֲשִׁיבוּת הָאֲמִיתִּי שֶׁל יִשְׂרָאֵל נָפַל, כִּי עַכְשָׁו עִקַּר הַחֲשִׁיבוּת וְהַחֵן הוּא אֶצְלָם. אֲבָל עַל־יְדֵי הַתּוֹרָה נִתְעַלֶּה הַחֵן וְהַחֲשִׁיבוּת שֶׁל יִשְׂרָאֵל, כִּי הַתּוֹרָה נִקְרֵאת (משלי ה): אַיֶּלֶת אֲהָבִים וְיַעֲלַת חֵן, שֶׁמַּעֲלָה חֵן עַל לוֹמְדֶיהָ (ערובין נד:), וְעַל־יְדֵי־זֶה נִתְקַבְּלִין כָּל הַתְּפִלּוֹת וְהַבַּקָּשׁוֹת:"
1,4,"<b>2.</b> For the Jew must always focus on the inner intelligence of every matter, and bind himself to the wisdom and inner intelligence that is to be found in each thing. This, so that the intelligence which is in each thing may enlighten him, that he may draw closer to God through that thing. For the inner intelligence is a great light that shines for a person in all his ways. As it is written (Ecclesiastes 8:1), “A person’s wisdom causes his countenance to shine.”","כִּי אִישׁ הַיִּשְׂרְאֵלִי צָרִיךְ תָּמִיד לְהִסְתַּכֵּל בְּהַשֵּׂכֶל שֶׁל כָּל דָּבָר, וּלְקַשֵּׁר עַצְמוֹ אֶל הַחָכְמָה וְהַשֵּׂכֶל שֶׁיֵּשׁ בְּכָל דָּבָר, כְּדֵי שֶׁיָּאִיר לוֹ הַשֵּׂכֶל שֶׁיֵּשׁ בְּכָל דָּבָר לְהִתְקָרֵב לְהַשֵּׁם יִתְבָּרַךְ עַל־יְדֵי אוֹתוֹ הַדָּבָר, כִּי הַשֵּׂכֶל הוּא אוֹר גָּדוֹל, וּמֵאִיר לוֹ בְּכָל דְּרָכָיו, כְּמוֹ שֶׁכָּתוּב (קהלת ח): חָכְמַת אָדָם תָּאִיר פָּנָיו."
1,5,"This is the concept of Yaakov. For YaAKoV merited the rights of the firstborn, which is <i>reishit</i> (beginning), the concept of wisdom, as in (Psalms 111:10), “The <i>reishit</i> is wisdom.” This corresponds to “and <i>YaAKVeiny</i> (he obstructed me) these two times” (Genesis 27:36), which Onkelos renders: “he outwitted me.”","וְזֶה בְּחִינַת יַעֲקֹב, כִּי יַעֲקֹב זָכָה לַבְּכוֹרָה, שֶׁהוּא רֵאשִׁית, שֶׁהוּא בְּחִינַת חָכְמָה (תיקונים תיקון יד, זהר משפטים קכא:), כְּמוֹ שֶׁכָּתוּב (תהלים קיא): רֵאשִׁית חָכְמָה. וְזֶה בְּחִינַת (בראשית כז): וַיַּעַקְבֵנִי זֶה פַעֲמַיִם, וְתַרְגּוּם אוּנְקֵלוּס: וְחַכְּמַנִי."
1,6,"And this is the concept of sun. For the inner intelligence shines for him in all his ways, like the sun. This corresponds to (Proverbs 4:18), “The path of the righteous is like radiant sunlight, shining ever brighter as it approaches noon.”","וְזֶה בְּחִינַת שֶׁמֶשׁ, כִּי הַשֵּׂכֶל הוּא מֵאִיר לוֹ בְּכָל דְּרָכָיו כְּמוֹ הַשֶּׁמֶשׁ. וְזֶה בְּחִינַת (משלי ד): וְאֹרַח צַדִּיקִים כְּאוֹר נֹגַהּ הוֹלֵךְ וָאוֹר עַד נְכוֹן הַיּוֹם."
1,7,"And this is the concept of the <i>CheT</i>. It suggests <i>ChiuT</i> (life). For the wisdom and the inner intelligence are the vitality of all things, as in (Ecclesiastes 7:12), “Wisdom gives life to those who possess it.”","וְזֶה בְּחִינַת חֵית, לְשׁוֹן חִיּוּת, כִּי הַחָכְמָה וְהַשֵּׂכֶל הוּא הַחִיּוּת שֶׁל כָּל דָּבָר, כְּמוֹ שֶׁכָּתוּב (קהלת ז): הַחָכְמָה תְּחַיֶּה וְכוּ'."
1,8,"However, because the light of the inner intelligence is so very great, it is impossible to attain except through the concept of <i>NuN,</i> which is an aspect of <i>Malkhut</i> (Kingship). As it is written (Psalms 72:17), “may his name <i>yeNoN</i> (be perpetuated) as long as the sun,” and Rashi explains that [“<i>yenon</i>”] means kingship.","אַךְ מֵחֲמַת שֶׁאוֹר הַשֵּׂכֶל גָּדוֹל מְאֹד, אִי אֶפְשָׁר לִזְכּוֹת אֵלָיו כִּי אִם עַל־יְדֵי בְּחִינַת נוּן שֶׁהוּא בְּחִינַת מַלְכוּת, כְּמוֹ שֶׁכָּתוּב (תהלים עב): לִפְנֵי שֶׁמֶשׁ יִנּוֹן שְׁמוֹ, וּפֵרֵשׁ רַשִׁ""י: לְשׁוֹן מַלְכוּת."
1,9,"This is also the concept of the moon. For the moon has no light of her own, only that which she receives from the sun (Zohar I, 238a). And this corresponds to <i>Malkhut</i>. It has nothing of its own other than what it receives from the <i>chet</i>, the aspect of wisdom/sun. As a result, “the light of the moon will be like the light of the sun” (Isaiah 30:26).","וְזֶה בְּחִינַת לְבָנָה, כִּי הַלְּבָנָה אֵין לָהּ אוֹר מֵעַצְמָהּ כִּי אִם מַה שֶּׁמְּקַבֶּלֶת מֵהַשֶּׁמֶשׁ (זוהר ויחי דף רלח. ודף רמט:). וְזֶהוּ בְּחִינַת מַלְכוּת, דְּלֵית לָהּ מִגַּרְמָהּ כְּלוּם, אֶלָּא מַה שֶּׁמְקַבֶּלֶת מִן הַחֵית, שֶׁהִיא בְּחִינַת חָכְמָה, בְּחִינַת שֶׁמֶשׁ כַּנַּ""ל, וְנַעֲשֶׂה אוֹר הַלְּבָנָה כְּאוֹר הַחַמָּה."
1,10,"However, the person who does not bind himself to the inner intelligence, wisdom and vitality that is in each thing corresponds to Esav. He despised the birthright, as is written (Genesis 25:34), “And Esav despised the rights of the firstborn”—i.e., the inner intelligence. This is (Proverbs 18:2), “The fool does not desire understanding, but only to bare his heart.” And this corresponds to the Kingdom of Evil, to the moon of the Other Side, of which it is said (Isaiah 24:23), “The moon shall be disgraced.” <b>{“Better a youth, poor and wise, than an old and foolish melekh (king) who no longer knows how to care for himself”</b> (Ecclesiastes 4:13)<b>.}</b>","אֲבָל מִי שֶׁאֵינוֹ מְקַשֵּׁר עַצְמוֹ אֶל הַשֵּׂכֶל וְהַחָכְמָה וְהַחִיּוּת שֶׁיֵּשׁ בְּכָל דָּבָר, זֶה בְּחִינַת עֵשָׂו שֶׁבִּזָה אֶת הַבְּכוֹרָה, כְּמוֹ שֶׁכָּתוּב (בראשית כה): וַיִּבֶז עֵשָׂו אֶת הַבְּכוֹרָה, דְּהַיְנוּ הַשֵּׂכֶל כַּנַּ""ל, בְּחִינַת (משלי יח): לֹא יַחְפֹּץ כְּסִיל בִּתְבוּנָה כִּי אִם בְּהִתְגַּלּוֹת לִבּוֹ[ח]. וְזֶה בְּחִינַת מַלְכוּת הָרְשָׁעָה, בְּחִינַת לְבָנָה דְּסִטְרָא אָחֳרָא, שֶׁעָלֶיהָ נֶאֱמַר (ישעיהו כד): וְחָפְרָה הַלְּבָנָה וְכוּ'."
