Index Title,Rashash on Pesachim
Version Title,Vilna Edition
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001300957/NLI
Version Notes,
Rashash on Pesachim 2a:1,"<b>במשנה בודקין כו'. </b>בהרע""ב אית דמפרשי דטעמא דלא סמכינן אביטול דחיישינן שמא ימצא גלוסקא יפיפיה ונמלך על ביטולו כו' ומלא התוי""ט א""ד דמחשבה מבטלת מחשבה וא""צ לזה דאפי' לר""ל (בקדושין נט ב) לפי דמתני רב זביד הכא כיון דדעתו לקנות קני ליה רשותו עי' (ב""מ יא) ובתוד""ה זכתה. אמנם לכאורה עיקר דברי הרע""ב תמוה דהא לקמן (ו ב) מוכח להדיא דבביטול אזלא לה חששא דגלוסקא וגם דאף אחר הבדיקה איכא חששא דגלוסקא וי""ל דבלא בדיקה ודאי מצוי שימצא גלוסקא ולכן חיישינן שמא ימלך על ביטולו אבל אחר הבדיקה אינו אלא חששא שמא ימצא כו' ושמא ימלך ולתרי שמא תו לא חיישינן:"
Rashash on Pesachim 2a:2,"<b>גמ' מיתיבי הבוקר אור כו' אלמא אור יממא הוא. </b>עיין פירש""י וק""ל לפי מאי דאיתא ביומא (כ ב) דחצות לילה נמי איקרי בוקר (ועמש""כ בס""ד (בברכות ט) לא תיקשי הכא מידי):"
Rashash on Pesachim 2a:3,"<b>רש""י ד""ה הבוקר אור כתיב. שהמתינו עד שהאיר המזרח. </b>ובד""ה בכי טוב כתב ימתין עד הנה""ח משמע דאידי ואידי חד הוא עמש""כ (במגילה כ) בס""ד ומש""כ לקמן בד""ה וכאור בקר כתיב בעלות השחר כו' ואפי' עה""ש כו' היינו התחלת האור וכמ""ש שם כשמתחיל הבקר להאיר ועי' (בסוכה כט) בפירושו ובמש""כ המהרש""א ע""ד שם. אבל דעת התוס' בר""פ הפועלים בסד""ה פועל וכפי שבארם המהרש""א שם דבכי טוב היינו ג""כ בעה""ש ונ""ל ראיה לדבריהם מלקמן (צד) דחשבון מהלך אדם בינוני יו""ד פרסאות ביום הוא מעה""ש עד צה""כ לפירש""י שם אלמא שדרך לילך באותו זמן. אמנם לשיטת הגר""א ז""ל באו""ח סי' תנ""ט סק""ה בסוגיא דשם אין ראיה:"
Rashash on Pesachim 2a:4,"<b>תוס' ד""ה יכנס. והא דנקט כניסה תחלה כו' דאורחא דגמרא כו'. </b>ובמקרא מצינו ג""כ במספר יביאום ובמספר יוציאום (דה""א ט כח) ע""ש בלשון המפרש המכונה בשם רש""י:"
Rashash on Pesachim 2b:1,"<b>גמרא ואידך הרחקה הוא דעבוד רבנן לדאורייתא. </b>ופירש""י אבל איסור זה כוליה דרבנן כו'. בס' ב""א הקשה דהא לקמן ר""פ מש""נ כתבו התוס' בשם הירושלמי דאחר חצות אסור מדאורייתא הנה כוונת הגמרא יל""פ דר""ל דכאן ע""כ אינו משום הרחקה (כמו גבי חמץ) דא""כ לא היה להם לאסור זמן גדול כ""כ מקודם מהנה""ח ויש לכוין גם לשון רש""י לזה או דס""ל דהירושלמי אינו אומר אלא לאסמכתא וכמ""ש הר""ן שם ומש""כ המחבר הנ""ל ליישב דראב""י אזיל לשיטתיה (בחגיגה יז ב) דל""ל היא דירושלמי כוונתו למ""ש התוס' שם בסד""ה אלא שאף הש""ס שלנו כו' דמדרבנן מיהא מיתסר כבר כתבתי שם בס""ד שאין הכרח לדבריהם ומצי סבר דמדאורייתא אסור כהירושלמי עיין שם:"
Rashash on Pesachim 3a:1,"<b>גמרא לישנא מעליא. </b>עמש""כ (בכתובות יג) בס""ד:"
Rashash on Pesachim 3a:2,"<b>רש""י ד""ה אם שיוה לו לטומאה. שעד שקה""ח כו'. </b>עי' תוס' (זבחים נו) ד""ה מנין:"
Rashash on Pesachim 3a:3,"<b>רש""י ד""ה אשר איננה טהורה. שני אורחיה בחד דוכתא כו'. </b>לשונו תמוה עי' מהרש""א לקמן ע""ב בד""ה וכל היכא:"
Rashash on Pesachim 3b:1,"<b>גמרא הנהו ב' תלמידי כו' קמיה דהלל כו' אמר מובטח כו'. </b>הר""ן מביא בשם התוספות דע""ז דאמר ומוסקין בטומאה אמר מובטח כו' ותמיהני שהרי (בשבת יז) אמר הלל עצמו ואין מוסקין בטהרה:"
Rashash on Pesachim 4a:1,"<b>גמרא א""ל אייבו קיים. </b>עי' הגהת הגרי""פ ועמש""כ עליו במו""ק שם:"
Rashash on Pesachim 4a:2,"<b>רש""י ד""ה חובת הדר. אבל הכא בדיקת חמץ מדרבנן כו'. </b>נ""ל כוונתו דאי הוה מדאורייתא שלא יעבור על ב""י וב""י ודאי דהיה חל על המשכיר מפני שהוא העובר כיון דחמירא דידיה הוא עי' ברא""ש ססי' ד' ובאחרונים והכא לכ""ע הוא עובר כיון דהשוכר לא קבל עליו לשמרו וגם הבית עיקרו של משכיר רק כיון דהבדיקה אינה אלא מדרבנן מיבעיא ליה מ""ט תקנוה אי משום חששא דב""י וכמש""כ הר""ן בתחלה דחששו דשמא לא יוציאוהו מלבן לגמרי ולכן על המשכיר חל החיוב או מטעמא דילמא יבא לאכלו כדעת הראשונים שהביא שם (וכ""ה דעת התוס') ולכן על השוכר לבדוק שהחמץ ישאר אצלו:"
Rashash on Pesachim 4b:1,"<b>גמרא וקאמרי הני בדקיניה מ""ד כו'. </b>תימה דמעיקרא הקשה אטו אמירה דהני מידי מששא א""ב אף במקום ספק בדוק וגם שהם אומרים שהבעה""ב בדק ועתה דמוחזק לן דלא בדק והם אומרים אנחנו בדקנוהו קאמר מהו דתימא כו' דמשמע דבא לומר שלא תיקשי פשיטא ובדוחק י""ל דלא בא אלא ליישב מדוע לא אשמעינן תנא דינא דחזקתו בדוק כיון דאיירי בענינו לה""ק מהו דתימא כו' ור""ל דדין זה דנאמינום הוא חדוש דמ""ד כו' אבל דינא דחזקתו בדוק היה פשוט ליה לתנא דהכל חברים כו' ולע""ד הנל""פ וקאמרי (ר""ל עדים כשרים) הני (פי' הנשים וכו') בדקינהו ולעולם על אמירתן לא סמכינן כדאמר מעיקרא אטו אמירה כו' רק על בדיקתם וזהו ע""ד דאמרינן (בחולין יב יג) בקטן דיש לו מעשה ואין לו מחשבה ע""ש ובתוס' ועי' בירושלמי ומפרשיו. אבל אנכי מה נגד פירש""י וכה""פ שפי' דקאמרי אינהו גופייהו:"
Rashash on Pesachim 4b:2,"<b>רש""י ד""ה בביטול בעלמא. דכתיב תשביתו כו'. </b>והתוס' הקשו עליו. ונ""ל ראיה לפירש""י מתו""כ ר""פ בהר (והביאו רש""י בפיה""ת) והיתה שבת הארץ לכם מן השבות אתה אוכל ואי אתה אוכל מן השמור משמע דמפרש שבת לשון הפקר היפך השמור וכפי' הא' של הרא""ם:"
Rashash on Pesachim 4b:3,"<b>תוס' ד""ה מדאורייתא. מדקאמרי' אבל אתה רואה ש""א כו'. </b>ואע""ג דגבי עשה דתשביתו לא כתיב לך למעוטי ילפינן שאור שאור כדכתב הש""א בתשוב' ע""ח בסופה ע""ש:"
Rashash on Pesachim 4b:4,"<b>תוס' ד""ה וכתיב. ונראה לר""י דמייתורא דקרא קדריש. </b>לכאורה הא איצטריך לנתוקי ללאוי דל""י ול""י לעשה לשיטתו (לקמן (פט) [כט] ב) ואולי כוונתו פה דביום הראשון מיותר דרישא דקרא שבעת ימים כו' והל""ל ותשביתו שאור כו' אך לפ""ז לקמן בדרשה דרנב""י ל""ל להש""ס למימר נכתוב קרא ראשון כו' הל""ל דכוליה מיותר:"
Rashash on Pesachim 4b:5,"<b>[בא""ד </b>(בסופו). מדכתיב אך כו'. לכאורה הן הן דברי רבי יוסי לקמן (ה א) (בסופו) א""כ מדוע לא קאמר הש""ס עליו תנ""ה כדלקמן בלימוד דרבא וי""ל משום דר""י יליף מדאיתקיש כו'. ואביי מן שבעת ימים] :"
Rashash on Pesachim 5b:1,"<b>[גמרא והלא כבר נאמר לא יראה לך שאור בכל גבולך. </b>מה שהוסיפו בד""ח בשם מהר""ם ול""י לך חמץ נראה שבוש דהקושיא אינה אלא משאור דהא בקרא דלא ימצא אינו כתיב אלא שאור גם הוסיפו שלא כסדרן במקרא:"
Rashash on Pesachim 5b:2,"<b>גמ' יכול כו' ויקבל פקדונות מן הנכרים כו'. </b>מדלא קאמר מן אחרים משמע לכאורה דאחרים היינו נכרים דווקא וכהגר""א בסימן תמ""ג סקי""א. אבל יש לדחות דמשום איסורא דמפקיד נקיט נכרי. אמנם בזה נדחה גם ראיית הגר""א מהא דחמצו של נכרי עושה כו'] :"
Rashash on Pesachim 5b:3,"<b>גמ' רבא אמר כו'. משום שנאמר לך לך תרי זימני. </b>ועפירש""י ולכאורה יקשה א""כ מנ""ל לאסור ש""א בקבל עליו אחריות וי""ל דלהכי לא כתביה להאי לך בגופיה לומר לך דלא שרי בהחלט ש""א אלא דאיכא גוונא דאסור וכגון בקבל אחריות וכיוצא בזה כתבתי בס""ד (בשבועות לג) והבאתי דוגמאות לזה ע""ש:"
Rashash on Pesachim 5b:4,"<b>גמ' ל""ק הא דקביל עליה אחריות. </b>עי' ברא""ש די""א דוקא אחריות דגניבה ואבידה וי""א דאפי' אחריות דפשיעה לבד סגי וק""ל דא""כ מאי פריך לקמן אלא למ""ד כממון דמי לא ימצא ל""ל הא לא אשכחן לר""ש אלא הא דאמר קדשים שחייב באחריותן חייב והתם חייב אפילו באחריות אונסים ומצינו לענין אכילת תרומה (ביבמות סו ב) דעבדי צאן ברזל יאכלו ואפי' למ""ד שם הדין עמה דהואיל דחייב באונסין הוה כדידיה משא""כ בכהן ששכר פרה מישראל כיון דלא מחייב אלא בגניבה ואבידה לא אכלה וי""ל דהתם משום דחייב גם כן בכחשא ובפחת דמים ולפי גירסת הרי""ף והרא""ש שם עיקר החלוק תלוי בזה לבד. אבל אחריות דאונסים לחוד שוה לאחריות דגנו""א לענין זה ועי' בט""ז ר""ס ת""מ. ומ""מ לדעת רש""י כתב התוס' (בב""מ פב ב) ד""ה אימור דגם הכא אינו אלא בקבל עליו אחריות אונסים וע""ע (בשבועות מד) תוד""ה שומר אבדה:"
Rashash on Pesachim 5b:5,"<b>רש""י סד""ה ש""מ. יאכילנו לכלבים. </b>צ""ע דהא לקמן (לב) מבואר דס""ל לר""ע דחמץ בפסח אסור בהנאה ועי' (כא ב) בתוד""ה בהדי דאף בשעת ביעורו אסור ליהנות ממנו ובשו""ע סימן תמ""ח ס""ו דאפי' לכלב הפקר אסור והוא מירושלמי:"
Rashash on Pesachim 5b:6,"<b>רש""י ד""ה וש""מ. דתניא הבערה ללאו יצאתה דברי רבי יוסי. </b>כצ""ל:"
Rashash on Pesachim 5b:7,"<b>תוס' ד""ה לחלק. דלמ""ד ללאו יצאת לא היה אסור ביו""ט. </b>עיין באבני מלואים להט""א במגילה ספ""ב מה שהקשה עליו (מברכות ט) ובמש""כ ליישב בק""א שם בס""ד. ועוד נ""ל דא""א לומר דלר""א שרי הבערה ביו""ט דהרי שמעינן לב""ש (בביצה כא ב) דל""י אדם מדורה ויתחמם כנגדה ור""א שמותי הוא פי' מתלמידי שמאי (עיין תוס' שם לד ב) וזה יש לדחות די""ל דמדרבנן אסור כמ""ש הש""א בתשוב' ע' לרפרם דס""ל אין עוה""צ ליוה""כ דמ""מ מדרבנן אסור ע""ש. ובזה מיושב ג""כ מה ששמעתי מקשים על הט""א דהא שמעינן לר""א לקמן (מו) דל""ת לה שם כו' עיין פירש""י שם ועיין (שבת כד) תוד""ה גזירה אמנם (בביצה יב) איתא המבשל גה""נ כו' ולוקה משום הבערה כו' ב""ש היא ע""ש אלמא דלב""ש הבערה אסורה מה""ת ביו""ט. אולם לקמן (מז ב) ובמכות אמר רבה דאפיק הבערה כו' ע""ש. ועמש""כ במגילה (ז ב) בס""ד:"
Rashash on Pesachim 5b:8,"<b>תוס' ד""ה אבל. אע""ג דג' לך כתיבי בפרק כ""ש </b>(כג א) משמע כו'. כצ""ל:"
Rashash on Pesachim 6a:1,"<b>גמרא סד""א הואיל וכי איתיה הדר בעיניה כו'. </b>ועיין פירש""י ולפ""ז צ""ל הא דפליג ר""ש (בב""מ נו) במשנה דקדשים שחייב באחריותם י""ל אונאה היינו באמר הרי עלי עולה בסך ידוע או אפי' בסתם דג""כ יש לה קצבה (מנחות פ' בתרא) וכשנתאנה יצטרך להשלים משלו ולא כן פירש""י התם וע""ע (סנהדרין קיב ב) רל""א ממון בעלים הוא כו' ור""ש היא ע""ש וצ""ע:"
Rashash on Pesachim 6a:2,"<b>[מ""ט בהמה אית לה קלא עיסה לית לה קלא. </b>נ""ל משום דדרך ליטול מהתבואה כדפירש""י לא מן העיסה] :"
