Hebrew,English
מצות פריה ורביה,<English Translation Here>
מצות מילה,<English Translation Here>
שלא לאכול גיד הנשה,<English Translation Here>
מצות קדוש החדש,<English Translation Here>
מצות שחיטת הפסח,<English Translation Here>
מצות אכילת בשר הפסח,<English Translation Here>
שלא לאכול הפסח נא ומבושל,<English Translation Here>
שלא להותיר מבשר הפסח,<English Translation Here>
מצות השבתת החמץ,<English Translation Here>
מצות אכילת מצה,<English Translation Here>
שלא ימצא חמץ ברשותינו בפסח,<English Translation Here>
שלא לאכול מכל דבר שיש בו חמץ,<English Translation Here>
שלא נאכיל מן הפסח לישראל מומר,<English Translation Here>
שלא נאכיל מן הפסח לגר ולתושב,<English Translation Here>
שלא להוציא מבשר הפסח חוצה,<English Translation Here>
שלא לשבור עצם מן הפסח,<English Translation Here>
שלא יאכל ערל מן הפסח,<English Translation Here>
מצות קידוש בכורות בארץ ישראל,<English Translation Here>
שלא לאכול חמץ בפסח,<English Translation Here>
שלא יראה לנו חמץ בפסח,<English Translation Here>
מצות סיפור יציאת מצרים,<English Translation Here>
מצות פדיון פטר חמור,<English Translation Here>
מצות עריפת פטר חמור,<English Translation Here>
שלא נצא בשבת חוץ לתחום,<English Translation Here>
מצוה האמנה במציאות השם,<English Translation Here>
שלא נאמין באלוה בלתי השם לבדו,<English Translation Here>
שלא לעשות פסל,<English Translation Here>
שלא להשתחות לע"א,<English Translation Here>
שלא לעבוד ע"א במה שדרכה להעבד,<English Translation Here>
שלא לישבע לשוא,<English Translation Here>
מצות קידוש שבת בדברים,<English Translation Here>
שלא לעשות מלאכה בשבת,<English Translation Here>
מצות כיבוד אב ואם,<English Translation Here>
שלא להרוג נקי,<English Translation Here>
שלא לגלות ערות אשת איש,<English Translation Here>
שלא לגנוב נפש מישראל,<English Translation Here>
שלא להעיד בשקר,<English Translation Here>
שלא לחמוד,<English Translation Here>
שלא לעשות צורת אדם אפי' לנוי,<English Translation Here>
שלא לבנות אבני מזבח גזית,<English Translation Here>
שלא לפסוע על המזבח,<English Translation Here>
מצות דין עבד עברי,<English Translation Here>
מצות יעוד של אמה העבריה,<English Translation Here>
מצות פדיון אמה עבריה,<English Translation Here>
שלא ימכור אמה עבריה הקונה אותה מיד האב,<English Translation Here>
שלא לגרוע שאר כסות ועונ',<English Translation Here>
מצות ב"ד להרוג בחנק המחויב,<English Translation Here>
שלא להכות אב ואם,<English Translation Here>
מצות דיני קנסות,<English Translation Here>
מצות בית דין להרוג בסייף המחוייב,<English Translation Here>
מצות ב"ד לדון בנזקי בהמה,<English Translation Here>
שלא לאכול שור הנסקל,<English Translation Here>
מצות ב"ד לדון בנזקי הבור,<English Translation Here>
