Lekach Tov,Perek+Pasuk
"מדרש לקח טוב המכונה פסיקתא זוטרתא על חמשה חומשי תורה יסדו רבינו טוביה בר אליעזר ז""ל נדפס פעם ראשונה בוויניציאה בשנת ה""א ש""ו ליצירה ועתה נדפס פעם שנית עם באור לפרש ולבאר דברי הפסיקתא בדרך קצרה ולציין מראה מקומות, נקוב בשמו באור הרא""ם מאתי אהרן משה פאדווא מקארלין [בעמ""ח באור הרא""ם על מדרש תהלים ותולדות ר' לוי בר סיסי בספר חוט המשולש] בהרב הגאון האמיתי המפורסם בתורתו וחסידותו בכל קצוי ארץ מו""ר ר' יעקב מאיר פאדווא זצלה""ה אבד""ק בריסק דליטא (בעהמ""ח ספרי מקור מים חיים, שו""ת מהר""ם וכתונת פסים).",
"ספר ויקרא ווילנא בדפוס והוצאת האלמנה והאחים ראם בשנת חמשת אלפים ושש מאות וארבעים לב""ע דבר אל הקורא הספר הזה אשר אנכי נותן לפניך היום, קורא נכבד, הוא ""פסיקתא זוטרתא"" או ""לקח טוב"" כאשר יקראוהו הראשונים, יען כי פותח תמיד את דבריו בפסוקים המכלכלים בקרבם מלת ""טוב"" לרמז בזה כנהוג אצל הקדמונים, על שם מחברו רבינו טוביה ב""ר אליעזר, שהיה אחד מן הראשונים, והי' בשנת תתנ''ו קרוב לימי מסע הצלב, בימי חשך ואפלה, צרה ומצוקה ובלב מלא יגון ואנחה יזכירם המחבר בספרו, בנשאו קינה על רבבות אלפי בני ישראל שמסרו נפשם על קידוש השם ונהרגו במיתות קשות ואכזריות בידי מרצחים, זובחי אדם וקנאים מהבילים בימי החשך ההם. וכבר הרחיב לדבר מתולדות המחבר הזה, ידידי הרב החכם המבקר המצוין בדורנו מ' שלמה באבער מלבוב, בהקדמתו לחלק הראשון (בראשית שמות) מהספר הזה אשר מצא בכ""י וכמעט אין להוסיף עליו, כי הרבה לחפש אחר מקור מחצבתו וגלה תעלומות מתהום הנשיה והעלה מרגניתא בידו, כיד הבקורת הרחבה הטובה עליו; אך מקום הניח לי להגיד בהקדמתי, כי הספר הזה המחובר על סדר פרשיות התורה המכלכל בקרבו תמצית ההלכות ואגדות השנויות ברחבה בספרא ספרי ותלמוד, יפיץ אור בהיר על תבונת הראשונים ביחוסם אל הספרות התלמודית המתנגדת מן הקצה אל הקצה לנקודת מבט האחרונים עליה. כי בעוד אשר הגאונים האחרונים, אשר מימיהם אנו שותים חתרו בכל עוז בים התלמוד להרחיבו ולהגדילו בדרשם על כל קוץ וקוץ תלי תלים של הלכות ונתנו מ""ט פנים לתורה גם בדברים שאין להם שום מקום בעולם המעשה. הנה הראשונים להיפך, השתדלו בכל עת כמו שאנו רואים גם בספר הזה להבליג את העוסקים במלאכת שמים מהמשא ומתן התלמודי שאין בו אלא משום ""דרוש וקבל שכר"", ובחפצם להביא תועלת נסיוני בהיותם אנשי מעשה, שמו כל מעינם לקצר ולזקק את ספרי רבותינו חכמי התלמוד (כמו שעשה רבינו אלפסי ז""ל) ומהם ילמדו ויעשו, כמו שעשה רבינו טוביה בספר הזה,שהוא רק קיצור תמצית ספרא וספרי (ואולי מפאת זה נקרא בפי קצת מחברים בשם ספרי זוטא), ומעטים הם המקומות שהוסיף המחבר נופך מדעתו דברים חדשים משלו, וגם זה אך בביאורי הכתובים לקרבם אל הפשט וחוקי הדקדוק אשר בזה נצטיין המחבר מאד כמו שהעירותי ע""ז לפעמים בביאורי או לפעמים באיזה ממנהגי הגאונים אשר היה רופף בידם, כמו גבי סדר תקיעות תשר""ת בר""ה דיבר ברחבה, וכן במקום שהגיע לאיזה מדה טובה או רעה, חם לבו בקרבו לקרב את ישראל לאבינו שבשמים, לפשט עקמומיות שבלב ולהשרש בקרבן מדות טובות ומשפטים ישרים אשר יחיו בהם, גם במלחמתו עם הקראים מכחישי תורה שבע""פ בהיותו קרוב לזמן התפתחות והתגלות הכת הזאת שמח בכל עת מצוא ללחום עמהם מלחמת תנופה, להתווכח עמהם בכל מקום שנטו מדרך הקבלה המסורה, ולנצחם בדברים קשים יורדים חדרי בטן ובטענות צודקות הכה על קדקדם; כמו שעשו גם רז""ל חכמי התלמוד עם כת הצדוקים שנתחדשה בימיהם שעמדו כמו נד נגדה, והרבה גזירות גזרו חז""ל אך להוציא מלבן של צדוקים, כמו מטמאין את הכהן השורף את הפרה וכו', עד שבעשיית פרה אדומה גזרו הרבה דברים נגדם (עיין פרה פ""ג) עד שאמרו אל תתנו מקום לצדוקים לרדות אותנו, וכמו כן נראה את המחבר יצא ללחום מלחמת ה' בגבורים עם כת הקראים שנתפשטה בימיו. וכזאת נראה את יתר הגאונים בימים האלה לוחמי מלחמת ה' עם הקראים, כמו רבינו סעדיה גאון, רבינו גרשון דבר אל הקורא מאור הגולה. וגאונים אחרים כולם לבשו עוז להכות על קדקוד מכחישי תורה שבע""פ ואולי גם מה שגזר ר""ג מאוה""ג חרם שלא לישא שתי נשים והגביל רק לזמן ידוע עד כלות אלף החמישי הוא אך להראות כי נתקנה רק לאותם הדורות, ולהוציא מלבן של הקראים שאוסרים ליקח שתי נשים מקרא ואשה אל אחותה וכו' (עיין בפנים פרשה כי תצא בבאורי אות ט""ז שם). כן נטה ג""כ באיזה מאמרים לחכמת הקבלה בחכמה ודעת כאשר תראה בפ' ואתחנן, ואל יתמה אדם על ההיכלות דר""י ור""ע וכו' אשר המה הספרים הראשונים המכלכלים בקרבם דעות חכמי הקבלה כי כל הכינויים המה על דרך השלילה עד שגם מלות מצוי קרוב ראשון קדמון כולם רק בדרך השלילה נאמרו",
"*), וראה סוף דבריו ""ובינה בדבר ושום שכל'' כמה קיצר בדברים המעטים האלה וכוון הרבה, וזה ג""כ ענין כוונת מאמרם בהרבה מקומות כל הכופר בע""ז כמודה בכל התורה כולה, ובמס' מגילה הלשון נקרא יהודי, כי האמונה הטהורה נקנית רק בשלילה ובביטול דעות הכוזבות. כן ראינו כי הרבה מאמרים מזהר ומזהר חדש היו נודעים להמחבר הזה כמו שתראה בפ' כי תצא דין חדש לענין יבום (ע""ש בבאורי אות קע""ז) שאין לזה מקור להגאונים הראשונים רק בזהר חדש, כן בפרשת האזינו (ע""ש בביאורי) ועוד באיזה מקומות, וזה ראיה גדולה לקדמות הזהר כי המחבר חי כשתי מאות שנים קודם התגלות הזהר. והנה ביאורי זה כבר נגמר בשנת תר""ל, והיום אשר זכיתי להוציא לאור נתתי למעתיק אחד להעתיקו, וראיתי כי השמיט הרבה מקומות מביאורי והמה לרוב במקומות הנצרכים מאד להבנת הספר החתום הזה",
"**), ובחפצי היה להוסיף הרבה השמטות, אך כחי אין עמדי למלאכה זו הדורשת יגיע ועיון רב; כי ה' יסרני במות עלי בני יחידי המופלג וי""א מו""ה אריה ליב ז""ל בבריסק דליטא (שנת תרל""ז י""ח אדר), ומאז כחי עזבני ולבי אין עמדי, ה' הטוב הוא ינחמני לעת זקנתי, בזכות אבותי הקדושים אשר נודע זכרם לשם ולתפארה, גם זכות כבוד המחבר רבינו טוביה (אשר רבות עמלתי ויגעתי בספרו, והי' לי ימים רבים של צער ויגון ואך הספר הזה שעשע את לבבי) יעמוד לי בזה כי ככלות כחי בל יעזבני, ובל יטרידוני הבלי הזמן ואזכה לבלות יתר שנותי בתורה וחכמה כשאלת איש עמוס התלאות מצפה לתשועת ה'. כותב וחותם פה קארלין יום ג' ג' כסליו יום הולדי שנת תר""ם בכבוד קרני לפ""ק. אהרן משה פאדווא בהגאון החסיד האמיתי אור עולם מו""ה יעקב מאיר פאדווא זצלה""ה, אב""ד ור""מ דק""ק בריסק דליטא.",
"*) ואף לפי מושכל ראשון אין בהמלות האלה שום הגשמה אבל החוקר האמיתי ידע, כי אנו בני אדם גשמיים, אין לנו שום בטויים על הקב''ה וזה כוונת הכתוב ולך דומיה תהלה.",
"**) בזה הנני נותן תודתי בקהל עם להרב הגדול החכם הכולל כמהור""ר מרדכי פלונגיאן נ""י (מגיה בבית הדפוס) אשר הגיה הפסיקתא וביאורי כחכמתו הרבה, וכן כתב איזה הערות נכונות מאד, ואיישר חיליה.",
@88ויקרא,1:1
"@11טוב פריי מחרוץ ומפז, תבואתי מכסף נבחר (משלי ח) @22אמרה תורה לפני הקדוש ברוך הוא רבונו של עולמים טוב פריי מחרוץ ומפז שהרי הוצאת את עמך ממצרים ואמרת להם (שמות כה) ועשו לי מקדש ושכנתי בתוכם. ומהו תיקונו ויקחו לי תרומה זהב וכסף ונחושת. כתיב (שם כו) ואת הקרשים תצפה זהב ועשו ארון עצי שטים והשלחן והמנורה והמזבחות וכלי הקדש אשר ישרתו בהם אשר זהב זהב ואשר כסף כסף. ועשו את האפוד (שם כח) ולא יזח החושן מעל האפוד אבני שהם ואבני מלואים וכולם היו כפרה לישראל עדות לכל באי העולם ששכינה ביניהם וכן בגדי כהונה היו לישראל לכפרה. @45(א)@46 כתונת מכפרת על שפיכות דמים וכן הוא אומר (בראשית לז) וישחטו שעיר עזים ויטבלו את הכתונת בדם. מכנסים מכפרים על העריות וכן הוא אומר (שמות כח) ועשה להם מכנסי בד לכסות בשר ערוה. מצנפת מכפרת על גסי הרוח יבוא דבר שבגבוה ויכפר על גסי הרוח. אבנט מכפר על הרהור הלב @45(ב)@46 על מקום שהוא מהרהר. חשן מכפר על הדינין וכן הוא אומר (שם) ועשית חשן משפט. מעיל מכפר על לשון הרע @45(ג)@46 יבוא דבר שבקול ויכפר על קול. ציץ מכפר על עזי מצח. וכן הוא אומר (שם) והיה על מצח אהרן. ללמדך שחפץ הקב""ה לזכות את ישראל לפיכך הרבה להם תורה ומצות שנאמר (ישעיה מב) ה' חפץ למען צדקו יגדיל תורה ויאדיר. מזבח מזיז עונות ומחבב את ישראל לאביהן שבשמים. ועל כל זאת חטאו ישראל ואבדו את כל הסניגורים הללו במה הן קיימין ובמה הן מתכפרין ובמה מתרצין לפני אביהן שבשמים. אין לנו אלא דברי תורה. לכך נאמר טוב פריי מחרוץ ומפז. חרוץ. אלו אבנים טובות ומרגליות. ופז. (מ""א י) זהב מופז. ותבואתי. ומה תאמר מה חרוץ ופז אינן עושין פירות אף כך דברי תורה תלמוד לומר ותבואתי. אמר פרי ואמר תבואה. שהפירות אינן מוציאין פירות כגון תפוחים ושאר פירות לכך נאמר ותבואתי שכשם שהתבואה פרה ורבה ובה ניזונין כל באי העולם כך התורה פרה ורבה ובה מתפרנסין וניזונין בעליה בעולם הזה ובעולם הבא. פרה ורבה. דכתיב (תהלים צב) צדיק כתמר יפרח כארז בלבנון ישגה. ובה ניזונין שנאמר (משלי ג) וימלאו אסמיך שבע. ואומר (תהלים קמד) מזוינו מלאים מפיקים מזן אל זן. ומתפרנסין בה שנאמר (משלי לא) @45(ד)@46 עוז והדר לבושה ותשחק ליום אחרון. נאמר טוב פריי מחרוץ ומפז שכל עושר וכבוד שיש לו לאדם בעולם הזה בשעה קלה מאבדן. וכן הוא אומר (איוב כז) עשיר ישכב ולא יאסף עיניו פקח ואיננו. אבל התורה עומדת לו לעולם שנאמר (דברים כט) ושמרתם את דברי הברית הזאת ועשיתם אותם. ואמר רבי @45(ד)@46 (שמעון) בן לוי דבר זה כתוב בתורה. ושנוי בנביאים. משולש בכתובים. כל העוסק בתורה נכסיו מצליחין לו. כתוב בתורה הא דאמרן ושמרתם את דברי הברית הזאת ועשיתם אותם למען תשכילו את כל אשר תעשון. שנוי בנביאים (יהושע א) רק חזק ואמץ [מאוד] לשמור לעשות וגו'. משולש בכתובים דכתיב (תהלים א) וכל אשר יעשה יצליח. טוב פריי מחרוץ שהתורה עומדת לו לזקנותו שנאמר (שם צב) עוד ינובון בשיבה וגו'. טוב פריי שהתורה עומדת לו לעולם הבא שנאמר (משלי ו) בהתהלכך תנחה אותך וגו'. טוב פריי מחרוץ ומפז שכל כסף וזהב שהיה לו למשה רבינו לא נשתבח בו אלא בתורה שנאמר (מלאכי ג) זכרו תורת משה עבדי אשר צויתי אותו. התורה ניתנת בחורב ונישנת באוהל מועד ונשתלשה בערבות מואב. בחורב כתיב (במדבר כח) עולת תמיד העשויה בהר סיני וגו' @45(ה)@46 דכתיב (ויקרא א) אדם כי יקריב מכם קרבן לה'. @45(ו)@46 בערבות מואב כתיב (במדבר טו) לפלא נדר או בנדבה. וכיון שהקים משה את המשכן מיד נתמלא כבוד שנאמר (שמות מ) וכבוד ה' מלא את המשכן. וכתיב (שם) ולא יכול משה לבוא אל אוהל מועד כי שכן עליו הענן. מיד ויקרא אל משה וידבר ה' אליו. בוא וראה כמה גדול כחו של משה שדבר שלא יכלו ששים רבוא מישראל לסבול שנאמר (דברים ה) אם יוספים אנחנו לשמוע את קול ה' אלהינו עוד ומתנו. היה הוא סובל שנא' ויקרא אל משה @45(ז)@46 לפיכך נקראו נביאים מלאכים. משה נקרא מלאך שנאמר (במדבר כ) וישלח מלאך ויוציאנו ממצרים. פינחס נקרא מלאך שנאמר (שופטים ב) ויעל מלאך ה' וגו'. חגי נקרא מלאך דכתיב (חגי א) ויאמר חגי מלאך ה' וגו'. ויקרא אל משה @45(ח)@46 ששה שמות נקרא. ירד. אבי גדור. חבר. אבי סוכו. יקותיאל. אבי זנוח. רבי יהודה ברבי אלעאי אומר אף טוביה שמו שנאמר (שמות ב) ותרא אותו כי טוב הוא. @45(ט)@46 רבי שמואל בר אמי אמר אף שמעיה שמו שנאמר (ד""ה א' כד) ויכתבם שמעיה בן נתנאל ששמע תפלתו. בן נתנאל שנתן אל תורה לישראל על ידו. הסופר שהיה סופרן של ישראל. מן הלוי משבטו של לוי. לפני המלך והשרים. לפני מלך מלכי המלכים ובית דינו. וצדוק הכהן. זה אהרן הכהן. ואחימלך שהיה אחיו של מלך. בן אביתר. @45(י)@46 שביתר את העגל ומכולם לא קראו הקב""ה אלא משה. על שם שמשה את ישראל ממצרים. וכן הוא אומר (ישעיה סג) ויזכור ימי עולם משה (עבדו) [עמו] וגו': ויקרא אל משה משל למלך שבנה לו שר צבאו היכל ועל כל פינה ופינה הוא כותב שמו של מלך כיון שנכנס המלך ראה שמו כתוב על כל עמוד ועל כל פינה נאה. אמר מי שסידר את כל זה הענין קראו לו ויבוא. כך כיון שעשה משה את המשכן על כל מעשה ומעשה אמר @45(יא)@46 כאשר צוה ה' את משה. שמונה עשר פעמים כנגד י""ח חוליות שבאדם אמר ולמה יעמוד בחוץ קראו לו ויכנס לכך נאמר ויקרא אל משה @45(יב)@46 שמא תאמר כנגד שנאמר באברהם אבינו (בראשית כב) ויקרא אליו מלאך ה' מן השמים תלמוד לומר ויקרא וידבר ויקרא אל משה. נאמר כאן קריאה ונאמר באור קריאה (שם א) ויקרא אלהים לאור יום @45(יג)@46 ואין אור אלא תורה שנאמר (משלי ו) כי נר מצוה ותורה אור. ומשה שבה את התורה שנא' (תהלים סח) עלית למרום שבית שבי וגו' לכך נאמר ויקרא אל משה @45(יד)@46 לא היה שם גדול ממשה. ויקרא וידבר הקדים קריאה לדבור לימדה תורה דרך אריץ שלא ידבר אדם לחבירו אא""כ קראו תחלה. ויקרא אל משה. @45(טו)@46 מיכן לא יכנס אדם לבית חבירו אא""כ יאמר לו הכנס. קל וחומר ממשה (שמות מ) ולא יכול משה לבוא אל אהל מועד וגו' וכתיב ויקרא אל משה. ויקרא וידבר למדנו לכל הדברות שבתורה תחלה היה קוראו ואחר כך וידבר. @45(טו)@46 וזו אחת משלש עשרה מדות שאמר רבי ישמעאל בתורת כהנים שהתורה נדרשת בהם מקל וחומר מגזרה שוה. וכו' @45(טז)@46 קל וחומר לשכינה י""ד אלא דיו לבא מן הדין להיות כנדון ודבר זה נאמר בתורה שנוי בנביאים משולש בכתובים. בתורה (במדבר יב) ואביה ירוק ירק בפניה. קל וחומר לשכינה י""ד אלא דיו לבא מן הדין להיות כנדון. תסגר שבעת ימים. @45(יז)@46 נידון נקרא דבר שבא לידון הימנו. ק""ו מן הנביאים (שמואל א' כג) הנה אנחנו פה ביהודה יראים ואף כי נלך קעילה. מן הכתובים (אסתר ט) בשושן הבירה הרגו היהודים ואבד חמש מאות איש ובשאר מדינות המלך מה עשו. וכאלה הרבה במקרא. גזרה שוה מנין תלמוד לומר @45(יח)@46 נאמר בשומר שכר (שמות כב) אם לא שלח ידו ללמדנו שהיורשים פטורים בשומר שכר בשומר חנם. ובשומר (חנם) גופיה מנא לן דפטר את היורשים שנאמר (שם) שבועת ה' תהיה בין שניהם להוציא את היורשים שאין אדם מוריש שבועה לבניו שהרי פרשה הראשונה נאמר בשומר חנם וילמד העליון מן התחתון. מבנין אב לא המשכב כהרי המושב ולא המושב כהרי המשכב. הצד השוה שבהם שהן עשוין @45(יט)@46 לנוחת אדם לבדו הזב מטמא אותו ברובו לטמא אדם במגע ומשא ולטמא בגדים. @45(כ)@46 (כל שהוא) עשוי לנוחת אדם לבדו הזב מטמא אותו ברובו לטמא אדם במגע ובמשא ולטמא בגדים יצא המרכב שהוא עשוי @45(כא)@46 לסבלון אחר. משני כתובים. @45(כב)@46 כגון פרשת (נדות) [נרות] ופרשת שלוח טמאים הצד השוה שביניהן שהן (בנו) [בצו] מיד ולדורות אף כל שהוא (בנו) [בצו] מיד ולדורות. מכלל ופרט כיצד מן הבהמה כלל מן הבקר ומן הצאן פרט אין בכלל אלא מה שבפרט בקר וצאן אין @45(כג)@46 מידי אחרינא לא. מפרט וכלל כיצד (שם) כי יתן איש אל רעהו חמור או שור או שה פרט וכל בהמה כלל נעשה כלל מוסיף על הפרט @45(כד)@46 לרבות (כל הבהמה). מכלל ופרט וכלל. דכתיב (דברים יד) ונתת הכסף בכל אשר תאוה נפשך. כלל. בבקר ובצאן וביין ובשכר. פרט. ובכל אשר תשאלך נפשך. חזר וכלל. אי אתה דן אלא כעין הפרט לרבות הדומין לפרט וולד וולדות בארץ אף כל שהוא וולד וולדות בארץ יצאו דגים וכיוצא בהם שאינן מן הארץ אלא מן המים. גמרינן במסכת נזיר (דף לה) בפרק שלשת מינין (וג') מכדי כלל ופרט וכלל כעין פרטא דיינין. כללא בתראה מאי אהני. אהני לאוסופי כל דדמי ליה. ותו פרט וכלל ופרט כעין הפרט דיינינן פרטא בתראה מאי אהני. אהני דאי לאו פרטא בתראה הוה אמינא נעשה כלל מוסיף על הפרט. מכדי תרי כללי ופרטא. וכללא כעין פרטא דיינינן מאי איכא ביני ביני איכא דאילו תרין כללא ופרטא אי איכא דדמי ליה אפילו בחד צד מרבינן. תרי פרטי וכללא אי איכא דדמי בשני צדדין מרבינן. כחד צד לא מרבינן. מכדי פרט וכלל נעשה כלל מוסיף על הפרט ואתרבי כל מילי ומיעט וריבה נמי ריבה הכל מאי איכא בין מיעט וריבה לפרט וכלל. איכא. דאילו פרט וכלל מרכין אפילו עלין לענין נזיר מיעט וריבה (לפרט) לולבין אין עלין לא. וכן מצאתי במסכת זבחים בפרק ראשון (ד' ע""ב) יעשה זבח שלמים הוה ליה כלל שאינו מלא וכל כלל שאינו מלא אין דנין אותו בכלל ופרט. וכן כלל ופרט המרוחקין דתניא (סנהדרין מ""ה ע""ב) כל הנסקלין נתלין דברי ר' אליעזר וחכמים אומרים אין נתלה אלא המגדף והעובד עבודת כוכבים @45(כה)@46 במאי קא מיפלגי בהאי קרא (דברים כא) והומת ותלית כלל. כי קללת אלהים פרט. מגדף אין מידי אחרינא לא. כלל שהוא צריך לפרט ופרט שהוא צריך לכלל כיצד (שמות יג) קדש לי כל בכור יכול אף הנקבה במשמע תלמוד לומר זכר אי זכר יכול אפילו יצאת נקבה לפניו תלמוד לומר פטר כל רחם אי פטר רחם יכול אפילו נולד לאחר יוצא דופן תלמוד לומר בכור. זה כלל שהוא צריך לפרט ופרט שהוא צריך לכלל. כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא @45(כו)@46 כדמפרש דבי רב. ויקרא אל משה. נאמר כאן קריאה ונאמר בסנה קריאה מה להלן משה משה אף על כל קריאה כך. @45(כז)@46 ומה להלן היה עונה הנני (הנני) אף על כל קריאה היה עונה הנני. אל משה. @45(כח)@46 הוא משה עד שלא נדבר עמו. הוא משה לאחר שנדבר עמו. ד""א ויקרא אל משה מלמד שכיון שהוקם המשכן נתייאש משה אמר מעתה אין לי עבודה אמר לו הקב""ה עמוד ללמד לישראל סדר קרבנות. ללמדך שכל הבורח מן השררה שררה רודפת אחריו לכך נאמר ויקרא אל משה וידבר לאלתר. דבר אחר וידבר כאשר ידבר איש אל רעהו שנאמר (שם לג) ודבר ה' אל משה פנים אל פנים. @45(כט)@46 כל הנביאים היו רואין מתשע אספקלריות ומשה מתוך אחת. של @45(ל)@46 כל הנביאים [לא] היו צלולות ושל משה היתה צלולה. ה'. זה השם הנכבד שאינו נקרא ככתבו נכתב ביו""ד ה""א וא""ו ה""א ונקרא באל""ף דל""ת. אליו. למעט את אהרן. מאהל מועד. יכול מכל הבית תלמוד לומר (שם כה) ודברתי אתך מעל הכפרת. יכול מכל הכפרת תלמוד לומר מבין שני הברוכים דברי רבי עקיבא. מאהל מועד. @45(לא)@46 רבי אליעזר אומר הרי הוא אומר (שם כט) ונועדתי שמה לבני ישראל זה יום שמיני שנא' (ויקרא ט) וירא כל העם וירונו ויפלו על פניהם. מאהל מועד. מלמד שהיה הקול נפסק ולא היה יוצא לחוץ יכול מפני שהקול נמוך תלמוד לומר (במדבר ז) וישמע את הקול. @45(לב)@46 קול שמפורש בכתובים שנאמר (תהלים כט) קול ה' בכח קול ה' בהדר. לאמר. לך אמור לישראל @45(לג)@46 שלא היה מדבר עמו אלא בשביל ישראל. ד""א לאמר מיכן אמרו חכמים מנין שהאומר דבר לחבירו שהוא בבל יאמר עד שיאמר לו לך אמור שנאמר לאמר. ד""א מאהל מועד לאמר אמר רבי אלעזר אפילו שניתנה התורה מהר סיני לא נענשו ישראל עליה עד שנתפרש להם באהל מועד. וכן אמר שלמה (שיר ג) אחזתיו ולא ארפנו עד שהבאתיו אל בית אמי ואל חדר הורתי. @45(לד)@46 עד שלא ניתנה התורה לישראל היתה נבואה מצויה באומות העולם כיון שניתנה פסקה מאומות העולם וניתנה לישראל שנאמר אחזתיו ולא ארפנו. ואם תאמר הרי בלעם. תשובתך לטובתן של ישראל נתנבא שנאמר (במדבר כד) וירד מיעקב. לא הביט און ביעקב. מה טובו אהלין יעקב. @45(לה)@46 עד שהבאתיו אל בית אמי. זה סיני. שנאמר (שמות יט) כה תאמר לבית יעקב. ואל חדר הורתי. זה אהל מועד חדר שממנו יצאת הוראה לישראל:",1:1
"@55פס'. @11דבר אל בני ישראל. @22על כל מצוה ומצוה מזכיר את בני ישראל לפי שהם יקרים לפני הקב""ה. כענין שנאמר (ירמיה לא) הבן יקיר לי אפרים אם ילד שעשועים כי מדי דברי בו זכור אזכרנו עוד. @45(לו)@46 עשרה נקראו יקרים. התורה. והנבואה. והתבונה. והדעת. והסכלות. והצדיקים. ומיתתן של צדיקים. והעושר. והחסד. וישראל. תורה. דכתיב (משלי ג) יקרה היא מפנינים וכל חפציך לא ישוו בה. נבואה. דכתיב (ש""א ג) ודבר ה' היה יקר בימים ההם. הבינה. דכתיב (משלי יז) יקר רוח איש תבונה. דעת. דכתיב (שם כ) וכלי יקר שפתי דעת. סכלות. [דכתיב] (קהלת י) יקר מחכמה מכבוד סכלות מעט. עושר. דכתיב (משלי יב) הון אדם יקר חרוץ. חסד. דכתיב (תהלים לו) מה יקר חסדך אלהים. הצדיקים נקראו יקרים. דכתיב (שם קלט) ולי מה יקרו רעיך אל. ומיתתן של צדיקים. דכתיב (שם קטו) יקר בעיני ה' המותה לחסידיו. ישראל דכתיב (ירמיה לא) הבן יקיר לי אפרים. אמר משה לפני הקב""ה רבש""ע מכל האומות אין אתה מצוינו אלא על ישראל בלבד אמר לו לפי שהן המליכוני עליהם על הים שנאמר (שמות טו) ה' ימלוך לעולם ועד. משל לאדם שהיה מזהיר עבדו על חלוקו יותר מכל בגדיו. אמר לו אדוני למה תזהירני על חלוקך יותר מבגדיך אמר לו @45(לז)@46 לפי שהוא קרוב לבשרי לכך מצוה הקב""ה למשה על ישראל בלבד. ד""א דבר אל בני ישראל. בני ישראל סומכין ואין בנות ישראל סומכות. ואמרת אליהם. לרבות כל האמור בענין כשם שאין סומכות על העולות כך אין סומכות על השלמים:",1:2
"@55פס'. @11אדם. @22אמר להם כשם שאדם הראשון לא הקריב מן הגזל ומן החמס לפי שהיה יחיד כעולם כך אתם לא תקריבו מן הגזל ומן החמס @45(לח)@46 לפי שאני שונא גזל בעולה. דבר אחר אדם כי יקריב מכם קרבן. @45(לט)@46 ולהלן הוא אומר (ויקרא יג) אדם כי יהיה בעור בשרו ולא אמר מכם. מיכן שהכתוב חלק כבוד לישראל. דבר אחר אדם כי יקריב רשות. קרבן לה'. @45(מ)@46 שיקדים הקדישו להקרבתו דברי רבי יהודה ר' שמעון אומר @45(מא)@46 מיכן שלא להזכיר שם שמים לבטלה. ומה אם על הקדש אמר הכתוב קרבן לה' לדבר הרשות על אחת כמה וכמה. רבי יוסי אומר כל מקום שנאמר קרבן @45(מב)@46 אמור ביו""ד שלא ליתן מקום למינים לרדות. מן הבהמה. להוציא את הרובע ואת הנרבע. מן הבקר. להוציא את הנוגח. תקריבו את קרבנכם. מלמד שהיא באה נדבת שנים, דבר אחר את קרבנכם @45(מג)@46 ממקום שהיחיד מביא משם הצבור מביא. @45(מג)@46 ואם תאמר מאחר שאמר מן הבהמה למה לי מן הבקר ומן הצאן אלא לפי שהחיה קרויה בהמה שנאמר (ויקרא יא) זאת החיה אשר תאכלו מבל הבהמה אשר על הארץ. שור שה כשבים. חזר ושנה עליו תקריבו את קרבנכם לעכב שלא יביא אלא בקר וצאן למה זה דומה למי שאמר לו רבו אל תביא אלא מן חטים (הלך והביא גם שעורים הרי זה מוסיף על דבריו):",1:2
