number,name,text
1,"
ר' אהרן אבו אלרבי, סיציליה (המאה ה-14)
","
מפרשני רש""י לתורה, נודע גם כאלרביה וכאלדבי.
נולד במחצית השניה של המאה הי""ד בסיציליה, למד בצפון איטליה, ביקר בארץ-ישראל, בסוריה ובתורכיה - בחצי האי קרים. השתתף בוויכוחים הבינ-דתיים שהיו מקובלים בימה""ב, במסגרת ויכוחים אלו התמודד עם טענותיהם של הקראים, המוסלמים והנוצרים כנגד הדת היהודית, ואף הוזמן להציג את עמדותיו בפני האפיפיור, בתחילת המאה ה-15.
אלרבי היה תקיף בדעתו, בעל ביקורת, ולא נשא פנים לגדולים שקדמוהו. 
מכל ספריו שרד רק פירושו על רש""י שנדפס לראשונה בשנת רפ""ה (1525), לצד פירושיהם של ר' שמואל אלמושנינו ור' יעקב קניזל. 
בספרו זה הוא מזכיר ספרים נוספים שכתב, כגון: ""ספר המיישיר"" בדקדוק הלשון, ""פרח האלוהות"" ו""נזר הקודש"" במחקר האמונה, ו""מטה אהרן"" - ספר הגנה על מסורת חז""ל מפני הקראים.
 
עוד על אודותיו ב-JewishEncyclopedia
להרחבה נוספת ראה: מ""ד קאסוטו, 'אבו אלרבי אהרן', אשכול - אנציקלופדיה ישראלית, כרך א, ברלין-ירושלים תרפ""ט, טורים 69-70.
 
כתיבה: יוחאי עופרן
"
2,"
ר' יונה אבן ג'נאח (ריב""ג), ספרד (? 990 -? 1050)
","
רופא יהודי שחי בקורדובה ובסרגוסה ועסק בבלשנות. בערבית כונה אבו אל-וואליד מרוואן, ובלטינית מרינוס. היה מראשוני מנסחי כללי התחביר העברי. הרבה לפרש מילים בעזרת השוואה לשפה הערבית. אפשר שהיה הראשון להשתמש בשורש פ.ע.ל כבסיס להדגמה ולביאור הטיית פעלים ובניינים. בינו ובין ר' שמואל הנגיד ניטש ויכוח חריף בענייני דקדוק שהגיע לכדי החלפת מהלומות-ספרותיות נוקבות (כתיבה הדדית של ספרי ביקורת). 
בין ספריו (נכתבו בערבית):""ספר הרקמה"" – חקר התחביר.""ספר השרשים""- לקסיקון לעברית מקראית.וכן ספר תגובה לדברים של יהודה בן דוד חיוג' (""ספר ההשגה"") שגרר אחריו פולמוס עם ר' שמואל הנגיד.

 
ראו עוד על אודותיו ועל דרכו הפרשנית (באתר דעת).
 

"
3,"
ר' יוסף אבן כספי (אבן כספי), פרובנס (1279-1340)
","
פילוסוף, בלשן ופרשן המקרא. (שמו הלועזי: דון בונאפיוס דה-לנגנטרה).השם ""כספי"" דבק בו כי נולד בעיר מכרות הכסף - ארגנטיירה (בלעז: כסף). 
את פעילותו הספרותית החל בגיל 17, ובמשך חייו כתב עשרות ספרי פרשנות והגות והיה לאחד הפרשנים הפוריים ביותר בתקופתו. בשמותיהם של כל ספריו הקפיד לשלב את המילה ""כסף"".
ר""י כספי היה אדם אמיד, עובדה שאפשרה לו לבלות את מרבית ימיו בנסיעות ברחבי דרום צרפת וצפון ספרד. באחד ממסעותיו הרחיק עד למצרים במטרה להפגש עם צאצאיו של הרמב""ם, שאותו העריך עד מאוד ואת מרבית עמדותיו והשקפותיו אימץ, אך המפגש עם נכדיו היה מאכזב כי אמנם ""כולם צדיקים אבל בחכמות לא היו עוסקים"". כספי ראה חשיבות רבה בלימוד פילוסופיה ואף הרגיל את בניו ""להגות אחר כל סעודה בוקר וערב במוסרי הפילוסופים"", אין זה מפתיע, איפוא, שנדד עד לפאס שבמרוקו, ובא בשעריהם של מוסדות לימוד מוסלמיים, רק משום ששמע שלומדים שם בעיון רב את הספר ""מורה נבוכים"", אשר היה בעיניו מיצירות המופת הגדולות והעמוקות שנכתבו אי פעם. 
 
דרכו הפרשנית עוררה עליו ביקורת חריפה, אחדים מבני דורו (ר' קלונימוס בן קלונימוס, למשל) האשימוהו בהתנשאות כלפי ההמון בעל האמונה התמימה, בחוסר עקביות, ואף בכפירה. גם לאחר מותו זכו עמדותיו לגינוי (למשל ע""י ר""י אברבנאל והרשב""ץ), אך היו גם שהעריכו את הגותו והיללו אותה (אפודי, ר' משה הנרבוני, המשורר ר' משה ריאטי, המקובל ר' יוחנן אלמנו).
הגותו ופרשנותו של כספי מתאפיינות בחתירה בלתי מתפשרת אל האמת, בצוואתו הוא כותב לבנו ""שאין ראוי לאמת שתהיה לא פחדנית ולא ביישנית"", הוא לא היסס להציג את פשוטו של מקרא לפי הבנתו, גם כשזו היתה מנוגדת לפרשנות המסורתית הקלאסית, כך, לדוגמה, פירש ש""אישה כושית"" פירושה אישה מארץ כוש, והתפלא על הקדמונים שפירשו ""כושית=יפה"" (ושאל: ""איך נפל בדמיונם שיפרשו דבר מן התורה הפך מה שכתוב?""), או למשל: הוא מתקשה לקבל את הקביעה ש""כל האומר דוד חטא אינו אלא טועה"" ואומר במפורש: ""ואין ספק אצלי שדוד חטא, כי לא נוכל להכחיש הכתוב..."". בשל עמדות כגון אלו אמר עליו ר' יוחנן אלמנו: ""כי איש כמוהו לא ראיתי גדול העצה ורב העליליה והבלתי ירא מהגיד את אשר בלבבו..."". 
יש המזהים בהגותו גם ניצנים של ""ציונות"" שהקדימה את זמנה, ומצביעים על מקומות בהם טען ששיבת עם ישראל לארצו וכינון מדינה יהודית אינה בגדר חלום לא-מציאותי.
 
לקריאה בפירושו לתורה 'משנה כסף' - חלק א' , חלק ב'.
 
עוד על אודותיו:
ערך באנציקלופדית סטנפורד.ערך ב-JewishEncyclopedia.""תולדות ר' יוסף אבן כספי"", מאת זאב וולף חיות, מתוך כתב העת ""המגיד"", י""א אלול תרכ""ז, עמ' 285).
"
4,"
ר' אברהם אבן עזרא (ראב""ע), ספרד (1089-1164)
","
מגדולי פרשני המקרא!
 
ראו על אודותיו; ועל פירושו.
"
5,"
ד""ר יהודה אבן שמואל, ישראל (1886-1976)
","
פרשן ומתרגם.
נולד כיהודה קופמן, אך ב-1947 בהיותו כבן 60, שינה את שם משפחתו לאבן-שמואל, וזאת כדי להנציח את זכר בנו - שמואל - שהיה לוחם-פלמ""ח ונהרג ביום האחרון של שירותו (על שמואל [שמוליק] וחברתו זהרה לביטוב כתבה הסופרת דבורה עומר את ספרה ""לאהוב עד מוות"").
מפעליו החשובים ביותר היו תרגום לעברית ספר הכוזרי של ר' יהודה הלוי, שנכתב במקור בערבית, והוספת ביאורים קצרים לדבריו, וכן הוצאה מחודשת של תרגום אבן תיבון ל""מורה נבוכים"" של הרמב""ם, בצירוף ניקוד ובתוספת ביאורים בסיסיים.
בשנת התשל""ג זכה בפרס ישראל בתחום מדעי היהדות.
"
6,"
ר' (דון) יצחק אברבנאל (אברבנאל), פורטוגל-ספרד-איטליה (1437-1508)
","

פרשן התורה והוגה דעות.
נולד בליסבון, בירת פורטוגל למשפחה עשירה שהייתה מקורבת לבית המלוכה המקומי. כנער, זכה לחינוך יהודי-תורני וכן לחינוך כללי. בבגרותו עסק במסחר ולאחר מות אביו ירש את משרתו כשר האוצר של מלך פורטוגל. בזכות קשריו עלה בידו לגייס כספים רבים לשם פדיון שבויים יהודים מצפון אפריקה. ב-1483 מת מלך פורטוגל, יורשו העליל על האברבנאל שהיה שותף בקשירת קשר והוא נאלץ לברוח לספרד. גם בספרד הגיע לגדולה ונתמנה לשר האוצר של המלך פרדיננד והמלכה איזבלה, אך לא חלף עשור ויהודי ספרד, והאברבנאל בכללם, גורשו מארצם. האברבנאל נדד לאיטליה, והתגורר בנאפולי, אח""כ באי קורפו, ולבסוף בוונציה (וגם שם שירת בחצר המלך), בה נפטר.
מלבד עיסוקיו הציבוריים, עסק אברבנאל גם בפילוסופיה ובהגות וכתב מספר יצירות העוסקות בהשקפה ובאמונה, וביניהם פירוש ל""מורה נבוכים"" לרמב""ם, פירושים להגדה של פסח ופירוש למסכת אבות, אך המוכר שבכתביו הוא דווקא פירושו למקרא (על חמשה חומשי תורה ועל נביאים ראשונים).
אברבנאל פותח את פירושיו לתנ""ך בכתיבת מבוא כללי על כל ספר. בתחילת כל הפרשה הוא מציג את השאלות והקשיים המתעוררים בקריאתה - ואח""כ מציג באריכות את פתרונם תוך שהוא מסתייע, במידת הצורך, בביאוריהם של פרשנים קודמים (ובכלל זה גם פרשנים מחכמי אומות העולם). ככלל, הוא אינו מתעכב על ביאור מילים ומושגים ספציפיים והוא נמנע מפירוש דקדוקי-לשוני.
בנו יהודה, שהיה רופא, המשיך את דרכו וכתב חיבור פילוסופי בשם ""שיחות על אהבה"".
"
7,"
ר' נתן מרקוס הכהן אדלר (נתינה לגר), גרמניה-אנגליה (1802-1890)
","

מגדולי הרבנים באנגליה והחל מ-1845 הרב הראשי של יהודי האימפריה הבריטית.
נולד וגדל בעיר הנובר שבגרמניה ובה גם רכש את עיקר השכלתו התורנית. בבגרותו הרחיב את השכלתו הכללית באוניברסיטאות שונות (גוטיגן, ארלנגן, וורצבורג והיידלברג), בעיקר בחוגים ללימודי שפות. בהיותו כבן שלושים חזר לעיר הולדתו וכיהן כרבה הראשי. כעשור וחצי לאחר מכן הוזמן לאנגליה על מנת שיכהן כרבה הראשי של הממלכה הבריטית. במשך 45 שנות כהונתו תרם להתפתחותן של הקהילות היהודיות, וב-1855 נמנה עם מייסדי הקולג' היהודי הראשון (בית המדרש לרבנים).
ניהל מלחמת חורמה בתנועה הרפורמית באנגליה במטרה להצר את צעדיה לצמצם את ממדיה ופעילותה.
בערוב ימיו חלה ופרש מפעילות ציבורית, בנו, ר' צבי (הרמן מרקוס), מילא את מקומו עד פטירתו.
 
מחיבוריו: 
תרגום לגרמנית של ""ספר הכוזרי"" לריה""ל.""אהבת יונתן"" - פירוש על תרגום יונתן למקרא.""נתינה לגר"" - פירוש על תרגום אונקלוס, לצידו ערך והו""ל את הפירוש ""פתשגן"".
ספרי דרשות, חידושים, שו""ת וסידורי תפילות עם תרגומים וביאורים .
 
עוד על אודותיו ב-JewishEncyclopedia.
"
8,"
ארנולד בוגומיל אהרליך (מקרא כפשוטו), רוסיה- גרמניה- ניו-יורק (1848-1919)
","
מחבר הספר ""מקרא כפשוטו"" עליו חתם בשם העט: ""שבתאי בן יום-טוב אבן בודד"". 
נולד ברוסיה, את לימודיו האקדמיים עשה באוניברסיטאות בלייפציג ובברלין. בהיותו בן 30 היגר לארה""ב והתיישב בניו-יורק.
על-אף שהוא עצמו כלל לא החזיק בעמדות מסורתיות כלפי המקרא והיה מהקיצוניים שבמבקרי המקרא, יצא חוצץ כנגד חוקרי המקרא הנוצרים. לטענתו ""חכמת חכמי הגויים במקצוע זה לא רבה היא. כי ערלה אוזנם משמוע לשון המקרא לאמיתה, ורוחה זרה להם"".
התנגד להשוואת לשון המקרא ללשונות שמיות אך מומחיותו הגדולה בערבית הולידה הסברים מעניינים למספר ניבים מקראיים.
יש הטוענים שבערוב ימיו המיר דתו. הוא נפטר גלמוד וערירי בבית הזקנים בו התגורר. 
 

כתיבה: יוחאי עופרן
"
9,"
ר' יוסף חיים אזולאי  (חיד""א), ירושלים-ליוורנו (1724-1806)
","

מגדולי הפוסקים, שד""ר, וכן מראשוני ההיסטוריונים של הכתיבה היהודית.
נולד בירושלים ובה גם קנה תורה אצל גדולי הדור ובהם ר' חיים בן עטר, ר' יצחק הכהן רפפורט (""בתי כהונה"") ור' יונה נבון (""נחפה בכסף""). מגיל צעיר בלט בידיעותיו בתלמוד, בקבלה ובהיסטוריה יהודית, וכבר בגיל שש-עשרה כתב את ספרו ""העלם דבר"" בו הוא מצביע על טעויות שעשו, לדעתו, כמה מגדולי ההוראה בגלל ליקויים בידע כרונולוגי וביביליוגרפי. 
ב-1755 נבחר לפעול כשליח של הקהילה היהודית הקטנה בארץ ישראל. תחילה נשלח למערב אירופה ואח""כ לצפון אפריקה, בכל קהילה יהודית שבה ביקר הוא הותיר רושם רב. (לפי אגדה עממית באחד ממסעותיו נפגש עם הגאון מווילנה). לפחות שלוש פעמים יצא מארץ ישראל לשליחות ועם חזרתו שב להתגורר בחברון.
החיד""א כתב ספרים רבים (כ-100) בשלל נושאים תורניים, מפרשנות המקרא דרך חידושים על הש""ס ועד ספרי שו""ת והלכה. ספרו החשוב ""שם הגדולים"", שכתיבתו נמשכה יותר מ-20 שנה, הוא מעין אנציקלופדיה לגדולי ישראל ויצירותיהם הרבניות והוא מהווה מקור חשוב לחקר תולדות חכמי ישראל.לספר שני חלקים: החלק הראשון מציג סקירה היסטורית של כ-1,300 גדולי ישראל מימי הגאונים ואילך (לא כולל בני דורו של חיד""א), תוך פירוט שושלת היוחסין של כל אחד מן האישים וכתביו - לפי סדר הא""ב.החלק השני הוא רשימת הספרים של כלל האישים שנזכרו בחלק הראשון. מקצת הספרים הנזכרים ב""שם הגדולים"" לא הגיעו לידינו, וכל המידע עליהם מבוסס על ספר זה. במהלך השנים זכה הספר הזה להרחבות ולתוספות.
במהלך חייו נישא פעמיים, והעמיד אחריו שני בנים, אברהם ורפאל יצחק. בניו הלכו בדרכו ושימשו כשדרי""ם של הערים טבריה וירושלים.
בשנות השבעים של המאה ה-18 השתקע בליבורנו (איטליה), שם השלים את כתיבת מרבית ספריו, ושם גם נפטר. בשנת 1960, ביוזמת הראשון לציון הרב יצחק נסים, הועלו עצמותיו לארץ ישראל, והוא נקבר בהר המנוחות.
 
בין ספריו:
שם הגדולים - אנציקלופדיה לגדולי ישראלברכי יוסף - הלכה: פירוש לשולחן ערוךיוסף אומץ - שו""תחיים שאל - שו""תמחזיק ברכה ושיורי ברכה - חיבורים הלכתיים אהבת דוד - דרשותפני דוד, תורה אור, נחל קדומים, ראש דוד - חיבורים על התורהצוארי שלל - על ההפטרותחומת אנ""ך - פירוש לתנ""ךאהל יוסף,  יוסף תהלות - פירוש על תהליםשפה אחת - פירוש על הגדה של פסחאחורי תרעא - פירוש על מסכת הוריותחסדי אבות - על מסכת אבותבית מנוחה - סדר לימוד ליארצייטציפורן שמיר - מוסר, הנהגות ותפילותקשר גודל - סיכום הלכות מספרי האחרונים (כולל מספרי החיד""א עצמו)מורה באצבע - הנהגות כלליות, הנהגות לשבתות, חגים וחודשי השנהשמחת הרגל - על שלוש רגליםמראית העין, פתח עיניים - על האגדות שבספר ""עין-יעקב""כסא רחמים, ככר לאדן - על מסכת כלה, אדר""נ, מסכת דרך-ארץ ועודשער יוסף - על מסכת הוריותעין זוכר - על כללי הש""ס
"
10,"
ר' יונתן אייבשיץ, פולין (1690-1764)
","

פוסק, דרשן, פרשן ומקובל, עמד בראש ישיבה גדולה בפראג.
כתב ספרים רבים בנושאי הלכה, פרשנות, אגדה, קבלה וחסידות. הנודעים שבהם: ""כרתי ופלתי"" (היחיד שראה אור בחייו).""יערות דבש"".""אורים ותומים"".
עוד בחייו היה אייבשיץ דמות שנויה במחלוקת, מחלוקת שלא פסקה עד היום.תחילתו של הפולמוס סביב דמותו בשמועות שנפוצו בדבר קמיעות אותם יצר ובהם שיבץ כתבים שבתאיים. בעקבות השמועות קרא ר' יעקב עמדן, שעד מהרה הפך למתנגדו המובהק, להחרימו ואף כינה אותו בשמות גנאי. מנגד, זכה אייבשיץ לתמיכה מצד קרוביו ותלמידיו ולעידוד מצד נוצרים פרו-שבתאים. המחלוקת סביב דמותו נמשכת עד ימינו, וגם בדורות האחרונים נמצאו מי שזיהו אותו כשבתאִי (ובראשם גרשום שלום), ומי ש""זיכו"" אותו מכל אשמה (דוגמת ר' ראובן מרגליות והד""ר יצחק רפאל).
 
להרחבה ראו:- ערך על אודותיו ב-JewishEncyclopedia- מאמר מאת חיים ראובן רבינוביץ מתוך כתב העת ""סיני"" תשכ""ה.
"
