id,perek_id,name,start,end
1,28,מציאות ה‘,1,6
2,28,ייחוד ה‘ ושאינו גוף,7,12
3,29,מצוות אהבת ה‘ ויראתו,1,2
4,29,סוגי הברואים בעולם,3,NULL
5,29,המלאכים ודרגותיהם,4,8
6,29,הידיעה של ה‘,9,10
7,29,לימוד במעשה מרכבה,11,12
8,30,מערכת גלגלי השמים,1,9
9,30,ארבעת יסודות החומר,10,11
10,31,תכונות יסודות החומר והגופים המורכבים מהם,1,6
11,31,נפש האדם ויכולת השגתה,7,9
12,31,מעשה בראשית ומעשה מרכבה ולימודם,10,13
13,32,קידוש השם במסירת הנפש,1,5
14,32,התרפאות בדבר איסור,6,9
15,32,קידוש השם וחילולו בקיום מצוות ובהתנהגות,10,11
16,33,מחיקת שמות השם,1,6
17,33,השחתת אבני המקדש ועצי הקודש,7,NULL
18,33,איבוד כתבי הקודש,8,NULL
19,33,מעמד הקדושה של כינויים שונים במקרא,9,NULL
20,34,הראויים לנבואה ואופן ההינבאות,1,5
21,34,הבדל בין נבואת משה לשאר הנביאים,6,NULL
22,34,מטרת הנבואה והאמונה בנביא,7,NULL
23,35,האמונה בנבואת משה,1,3
24,36,הנביא אינו רשאי לחדש מצוות בתורה,1,NULL
25,36,חובת הציות לנביא,2,NULL
26,36,נבואה לעבור על התורה לפי שעה,3,5
27,37,נאמנות על ידי אותות,1,2
28,37,נאמנות הנביא בהשוואה לקוסמים,3,4
29,37,נאמנות על ידי עדות נביא; איסור ההרהור אחרי הנביא,5,NULL
30,39,השוני בדעות בני האדם,1,2
31,39,הדרך האמצעית,3,7
32,40,חולֵי הנפשות ותקנתם,1,2
33,40,הדעות שצריך להתרחק בהן לקצה,3,NULL
34,40,אופן הדיבור הראוי,4,6
35,40,הדרך הראויה בדעות שונות,7,NULL
36,41,האיסור לנהוג בפרישות יתרה,1,NULL
37,41,הכוונת כל המעשים לשם שמים,2,3
38,42,אכילה,1,3
39,42,שינה,4,5
40,42,המאכלים הטובים והרעים,6,15
41,42,רחיצה,16,17
42,42,הקזת דם ובעילה,18,19
43,42,הנחיות בריאותיות כלליות,20,23
44,43,אכילה,1,3
45,43,תשמיש וצניעות,4,6
46,43,דיבור ואופן ההופעה,7,9
47,43,פרנסה ומשא ומתן,10,13
48,44,התרחקות מן הרשעים והידבקות בחכמים,1,2
49,44,אהבת הרֵע והגר,3,4
50,44,איסור שנאה ומצוות תוכחה,5,9
51,44,היזהרות מפגיעה ביתומים ואלמנות,10,NULL
52,45,"רכילות, לשון הרע והוצאת שם רע",1,6
53,45,נקימה ונטירה,7,8
54,47,החובה ללמוד וללמד,1,3
55,47,סדר קדימות בלימוד תורה,4,5
56,47,"היקף חובת הלימוד לפי הגיל, הזמן ומצבו של האדם",6,10
57,47,תכני הלימוד,11,12
58,47,לימוד תורה לאישה,13,NULL
59,48,מינוי מלמדי תינוקות ואופן הוראתם,1,4
