id,section_id,num,title,subtitle,summary,halacha_count
1,1,1,NULL,NULL,NULL,NULL
2,1,2,NULL,NULL,NULL,NULL
3,1,3,NULL,NULL,NULL,NULL
4,2,1,NULL,NULL,NULL,NULL
5,2,2,NULL,NULL,NULL,NULL
6,2,3,NULL,NULL,NULL,NULL
7,3,1,NULL,NULL,NULL,NULL
8,3,2,NULL,NULL,NULL,NULL
9,3,3,NULL,NULL,NULL,NULL
10,4,1,NULL,NULL,NULL,NULL
11,5,1,NULL,NULL,NULL,NULL
12,5,2,NULL,NULL,NULL,NULL
13,5,3,NULL,NULL,NULL,NULL
14,5,4,NULL,NULL,NULL,NULL
15,5,5,NULL,NULL,NULL,NULL
16,5,6,NULL,NULL,NULL,NULL
17,5,7,NULL,NULL,NULL,NULL
18,5,8,NULL,NULL,NULL,NULL
19,5,9,NULL,NULL,NULL,NULL
20,5,10,NULL,NULL,NULL,NULL
21,5,11,NULL,NULL,NULL,NULL
22,5,12,NULL,NULL,NULL,NULL
23,5,13,NULL,NULL,NULL,NULL
24,5,14,NULL,NULL,NULL,NULL
25,5,15,NULL,NULL,NULL,NULL
26,6,1,NULL,NULL,NULL,NULL
27,7,0,NULL,NULL,NULL,NULL
28,7,1,פֶּרֶק רִאשׁוֹן,מציאות ה' וייחודו,א-ו: מציאות ה' • ז-יב: ייחוד ה' ושאינו גוף,12
29,7,2,פֶּרֶק שֵׁנִי,ידיעת ה' והשגתו,א-ב: מצוות אהבת ה' ויראתו • ג: סוגי הברואים בעולם • ד-ח: המלאכים ודרגותיהם • ט-י: הידיעה של ה' •  יא-יב: לימוד במעשה מרכבה ,12
30,7,3,פֶּרֶק שְׁלִישִׁי,מערכת הגלגלים והיסודות,א-ט: מערכת גלגלי השמים • י-יא: ארבעת יסודות החומר ,11
31,7,4,פֶּרֶק רְבִיעִי,יצורי העולם ונפש האדם,א-ו: תכונות יסודות החומר והגופים המורכבים מהם • ז-ט: נפש האדם ויכולת השגתה • י-יג: מעשה בראשית ומעשה מרכבה ולימודם ,13
32,7,5,פֶּרֶק חֲמִישִׁי,קידוש השם וחילולו,א-ה: קידוש השם במסירת הנפש • ו-ט: התרפאות בדבר איסור • י-יא: קידוש השם וחילולו בקיום מצוות ובהתנהגות ,11
33,7,6,פֶּרֶק שִׁשִּׁי,איסור איבוד שמות השם וחפצי קודש,א-ו: מחיקת שמות השם • ז:,10
34,7,7,פֶּרֶק שְׁבִיעִי,נבואה,א-ה: הראויים לנבואה ואופן ההינבאות • ו: הבדל בין נבואת משה לשאר הנביאים • ז: מטרת הנבואה והאמונה בנביא ,7
35,7,8,פֶּרֶק שְׁמִינִי,נבואת משה,א-ג: האמונה בנבואת משה ,3
36,7,9,פֶּרֶק תְּשִׁיעִי,כפיפות הנביא לדברי התורה,א: הנביא אינו רשאי לחדש מצוות בתורה • ב: חובת הציות לנביא • ג-ה: נבואה לעבור על התורה לפי שעה ,5
37,7,10,פֶּרֶק עֲשִׂירִי,נאמנות הנביא,א-ב: נאמנות על ידי אותות • ג-ד: נאמנות הנביא בהשוואה לקוסמים • ה: נאמנות על ידי עדות נביא; איסור ההרהור אחרי הנביא ,5
38,8,0,NULL,NULL,NULL,NULL
39,8,1,פֶּרֶק רִאשׁוֹן,הדרך הישרה בהתנהגות,א-ב: השוני בדעות בני האדם • ג-ז: הדרך האמצעית ,7
40,8,2,פֶּרֶק שֵׁנִי,דרך ההתנהגות בדעות שונות,א-ב: חולֵי הנפשות ותקנתם • ג: הדעות שצריך להתרחק בהן לקצה • ד-ו: אופן הדיבור הראוי • ז: הדרך הראויה בדעות שונות ,7
41,8,3,פֶּרֶק שְׁלִישִׁי,מטרת ההליכה בדרך הישרה,א: האיסור לנהוג בפרישות יתרה • ב-ג: הכוונת כל המעשים לשם שמים ,3
42,8,4,פֶּרֶק רְבִיעִי,הנהגת הגוף באופן בריא,א-ג: אכילה • ד-ה: שינה • ו-טו: המאכלים הטובים והרעים • טז-יז: רחיצה • יח-יט: הקזת דם ובעילה • כ-כג: הנחיות בריאותיות כלליות ,23
43,8,5,פֶּרֶק חֲמִישִׁי,הנהגת תלמיד חכמים,א-ג: אכילה • ד-ו: תשמיש וצניעות • ז-ט: דיבור ואופן ההופעה • י-יג: פרנסה ומשא ומתן ,13
44,8,6,פֶּרֶק שִׁשִּׁי,מצוות של אהבת הזולת,א-ב: התרחקות מן הרשעים והידבקות בחכמים • ג-ד: אהבת הרֵע והגר • ה-ט: איסור שנאה ומצוות תוכחה • י: היזהרות מפגיעה ביתומים ואלמנות ,10
45,8,7,פֶּרֶק שְׁבִיעִי,איסורי פגיעה בזולת,"א-ו: רכילות, לשון הרע והוצאת שם רע • ז-ח: נקימה ונטירה ",8
46,9,0,NULL,NULL,NULL,NULL
47,9,1,פֶּרֶק רִאשׁוֹן,חובת לימוד התורה,"א-ג: החובה ללמוד וללמד • ד-ה: סדר קדימות בלימוד תורה • ו-י: היקף חובת הלימוד לפי הגיל, הזמן ומצבו של האדם • יא-יב: תכני הלימוד • יג: לימוד תורה לאישה ",13
48,9,2,פֶּרֶק שֵׁנִי,סדר הלימוד לילדים,א-ד: מינוי מלמדי תינוקות ואופן הוראתם • ה-ז: שמירה על איכות הלימוד ,7
49,9,3,פֶּרֶק שְׁלִישִׁי,דרך הלימוד הראויה,א-ה: מעלת לימוד התורה • ו-ט: הצורך בהתמסרות ללימוד • י-יא: שלילת ההתפרנסות מן הלימוד • יב-יג: היגיעה בלימוד וההתמדה בו ,13
50,9,4,פֶּרֶק רְבִיעִי,סדר הלימוד בבית המדרש,א: הראוי להיות תלמיד או רב • ב-ג: סדר הישיבה וההוראה בבית המדרש • ד-ה: הצורך להבין את הנלמד • ו-ח: אופן שאלת הרב ,9
51,9,5,פֶּרֶק חֲמִישִׁי,כבוד רבו,א: חשיבות כבוד רבו • ב-ד: הוראה בפני רבו • ה-ט: דרך כיבוד רבו • ט-י: כיבוד מי שאינו רבו מובהק ושאר תלמידי חכמים • יא-יג: מחילה על הכבוד וכבוד התלמידים ,13
52,9,6,פֶּרֶק שִׁשִּׁי,כבוד החכמים,א-ח: קימה בפני חכם • ט: קימה בפני זקן • י: פטור ממסים והטבות נוספות • יא-יג: ביזוי חכמים ונידוי על כך • יד: הדברים שעליהם מנדים ,14
53,9,7,פֶּרֶק שְׁבִיעִי,נידוי וחרם,א: נידוי תלמיד חכמים • ב-ו: דיני הנידוי והחרם • ז-יג: התרת הנידוי • יג: שיקולים בהטלת הנידוי ובהתרתו; הנהגת חכם בנידוי לכבודו ,12
54,10,0,NULL,NULL,NULL,NULL
55,10,1,פֶּרֶק רִאשׁוֹן,התפתחות עבודה זרה וייסוד עם ישראל,א-ב: התפתחות עבודה זרה • ג: ההכרה של אברהם אבינו באחדות האל וייסוד עם ישראל ,3
56,10,2,פֶּרֶק שֵׁנִי,איסור עבודה זרה והפנייה אחריה; המגדף,א: עיקר איסור עבודה זרה • ב-ג: איסור פנייה אחריה • ד-ה: חומרתה • ו-י: המגדף את השם ,10
57,10,3,פֶּרֶק שְׁלִישִׁי,סוגי עבודה זרה,א-ה: המעשים שחייבים עליהם • ו-ח: אופנים נוספים של עבודה • ט-יא: עשיית עבודה זרה וצורותיה ,11
58,10,4,פֶּרֶק רְבִיעִי,עיר הנידחת,א-ה: כיצד נעשית • ו: כיצד נידונת • ז-טו: נכסיה • טז: חשיבות המקיים דינה ,16
59,10,5,פֶּרֶק חֲמִישִׁי,מסית ונביא שקר,א-ה: המסית • ו-ט: מתנבא בשם עבודה זרה ונביא שקר • י-יא: נדר ושבועה בשם עבודה זרה ואיסור הזכרתה ,11
60,10,6,פֶּרֶק שִׁשִּׁי,מעשים האסורים משום עבודה זרה,א-ב: אוב וידעוני • ג-ה: הנותן מזרעו למולך • ו-ח: מצבה ואבן משכית • ט-י: נטיעת אילן במקדש ,10
61,10,7,פֶּרֶק שְׁבִיעִי,איבוד עבודה זרה ואיסור הנאה ממנה,א-ה: איבוד עבודה זרה ואיסור הנאה ממנה • ו-ח: צורות מותרות ואסורות • ט-י: איסור הנאה בכל שהוא • יא-יד: הנאה מאשֵרה • טו-טז: הנאה מתקרובת עבודה זרה • יז-יט: הנאה מרכוש עבודה זרה ,19
62,10,8,פֶּרֶק שְׁמִינִי,עבודה זרה שאין בה איסור הנאה,א-ג: עבודה זרה שאין בה תפיסת יד אדם • ד-ה: מקום שמצויה בו עבודה זרה • ו: אופן איבוד עבודה זרה •  ז: איסור הנאה מציפויי עבודה זרה • ח-יב: הנאה מעבודה זרה שביטלוה ואופן הביטול ,12
63,10,9,פֶּרֶק תְּשִׁיעִי,ריחוק מעבודה זרה,א-ה: הימים האסורים במשא ובמתן • ו-ט: דברים האסורים במכירה • ט-יד: הנאה עקיפה לעבודה זרה וממנה • טו-יח: הרחקות שונות מעבודה זרה ,18
64,10,10,פֶּרֶק עֲשִׂירִי,היחס לעובדי עבודה זרה,א-ב: ריפוי והצלה ממוות • ג-ד: מכירה והשכרה של מקרקעין; סיפור בשבחם ונתינת מתנות • ה: הנהגות עם הגויים מפני דרכי שלום • ו: איסור ישיבת גויים בארץ ,6
65,10,11,פֶּרֶק אַחַד עָשָׂר,איסורים משום חוקות הגויים,א-ג: איסור הליכה בחוקות הגויים • ד-ה: מנחש • ו-ז: קוסם • ח-ט: מעונן • י-יב: חובר חבר •  יג-יד: דרישה אל המתים ואל בעל אוב וידעוני • טו: מכשף • טז: ההבל שבדברים הללו ,16
66,10,12,פֶּרֶק שְׁנֵים עָשָׂר,חוקות הגויים בגוף ובלבוש,"א-ו: גילוח פאת הראש • ז-ח: גילוח הזקן • ט-י: התלבשות אישה כאיש ולהפך • יא: כתובת קעקע •  יב-טז: שריטה, גדידה וקרחה ",16
67,11,0,NULL,NULL,NULL,NULL
68,11,1,פֶּרֶק רִאשׁוֹן,תשובה ווידוי,א-ב: מצוות התשובה והווידוי • ב-ג: כפרה על ידי שעיר המשתלח ויום הכיפורים • ד: זמן הכפרה על עברות שונות ,4
69,11,2,פֶּרֶק שֵׁנִי,דרך התשובה,א-ג: מהות התשובה • ד-ה: דרכי התנהגות של השב בתשובה • ו-ח: תשובה בין ראש השנה ויום הכיפורים •  ט-יא: מחילה על עברות שבין אדם לחברו ,11
70,11,3,פֶּרֶק שְׁלִישִׁי,דין האדם על מעשיו,א-ה: שקילת הזכויות והעוונות • ו-יד: אלו שאין להם חלק לעולם הבא ,14
71,11,4,פֶּרֶק רְבִיעִי,מעכבי התשובה,א: עוונות שהעושם נענש שלא יספיק לשוב • ב: התנהגויות שלא מאפשרות לאדם לשוב • ג: חטאים שאי אפשר לשוב מהם בתשובה גמורה • ד: חטאים שאין רגילים לשוב מהם • ה: דברים שקשה לפרוש מהם • ו: האפשרות להתגבר על מעכבי התשובה  ,6
72,11,5,פֶּרֶק חֲמִישִׁי,עיקרון הבחירה החופשית,א-ב: אפשרות הבחירה להיות צדיק או רשע • ג-ד: חשיבות עיקר זה והסברו • ה: היחס בין עיקר זה לבין ידיעת הבורא את העתיד ,5
73,11,6,פֶּרֶק שִׁשִּׁי,יישוב עיקרון הבחירה עם פסוקי המקרא,א-ה: מניעת אפשרות התשובה כעונש לחוטא • ה: אפשרות הבחירה של היחיד שלא לחטוא אף שנודע שהציבור בכללו יחטא ,5
74,11,7,פֶּרֶק שְׁבִיעִי,חשיבות התשובה,א-ב: ההשתדלות התמידית לעשות תשובה • ג: תשובה מן הדעות הרעות • ד-ז: מעלת השב בתשובה •  ח: מעלת הבושה על חטאי העבר ,8
75,11,8,פֶּרֶק שְׁמִינִי,העולם הבא,א-ה: מהות העולם הבא • ו-ז: הטובה הגדולה של העולם הבא • ח: מציאות העולם הבא בתוך ההווה ,8
76,11,9,פֶּרֶק תְּשִׁיעִי,העולם הבא והשכר שמפורש בתורה,א-ב: היחס בין העולם הבא לשכר שמופיע בתורה ,2
