Chapter Name,Topic Name,Topic Name (sans nikud),English description,Aspaklaria Topic,Aspaklaria type,Is a Type of,Notes,#N/A
פּתְִיחהָ,הָאַגָּדָה וְהַמָּשָׁל,האגדה והמשל,,אגדה,source,,,
פּתְִיחהָ,אַגָּדָה וַהֲלָכָה,אגדה והלכה,,אגדה,source,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,בְּרִיאַת הָעוֹלָם,בריאת העולם,,מעשה בראשית,theological process,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,שָׁמַיִם וָאָרֶץ,שמים וארץ,,בריאה שמים וארץ רקיע,theological process,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,הָאוֹר,האור,,בריאה אור מאורות,theological process,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,הַמַּיִם,המים,,בריאה מים,theological process,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,דְּשָׁאִים וְאִילָנוֹת,דשאים ואילנות,,בריאה עץ ועשב,theological process,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,יָרֵחַ,ירח,,ירח לבנה,inanimate object,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,בְּרִיּוֹת,בריות,,בריאה בעלי חיים,theological process,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,אָדָם,אדם,,בריאה אדם,theological process,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,הָעֶלְיוֹנִים וְהַתַּחְתּוֹנִים,העליונים והתחתונים,,בריאה אדם,theological process,,basically just talking about how Adam was creating from heavens and earth,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,דְּבָרִים שֶׁנִּבְרְאוּ בְּעֶרֶב שַׁבָּת בֵּין הַשְּׁמָשׁוֹת,דברים שנבראו בערב שבת בין השמשות,,בריאה בין השמשות,theological process,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,סִדְרֵי בְּרֵאשִׁית וְשִׁנּוּיֵיהֶם,סדרי בראשית ושנוייהם,,מעשה בראשית,theological process,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,מַעֲשֵׂה יָדָיו שֶׁל הַקָּדוֹשׁ בָּרוּךְ הוּא,מעשה ידיו של הקדוש ברוך הוא,,מעשה בראשית,theological process,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,שִׁבְחוֹ שֶׁל עוֹלָם,שבחו של עולם,,בריאה כי טוב,theological process,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,חַוָּה,חוה,,אדם הראשון וחוה,specific biblical person relationship,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,הַנָּחָשׁ וְהַחֵטְא,הנחש והחטא,,אדם הראשון חטא ועונש,theological process,,generally about Adam's sin,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,עֵץ הַחַיִּים וְעֵץ הַדַּעַת,עץ החיים ועץ הדעת,,גן עדן,spiritual site,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,נָחָשׁ הַקַּדְמוֹנִי,נחש הקדמוני,,נחש חטא ועונש,theology,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,אָדָם לְאַחַר הַחֵטְא,אדם לאחר החטא,,אדם הראשון אחר החטא,theology,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,קַיִן וְהֶבֶל,קין והבל,,קין והבל,specific biblical person relationship,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,קִלְקוּל הַדּוֹרוֹת,קלקול הדורות,,דור אנוש,group of people,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,נֹחַ,נח,,נח,biblical person,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,דּוֹר הַמַּבּוּל,דור המבול,,דור המבול,group of people,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,נֹחַ וְהַמַּבּוּל,נח והמבול,,מבול,biblical historical event,,,
מַעֲשֵׂה בְּרֵאשִׁית וְדוֹרוֹת הָרִאשׁוֹנִים,נִמְרוֹד וְדוֹר הַפְּלָגָה,נמרוד ודור הפלגה,,דור הפלגה,group of people,,,
מַעֲשֵׂי אָבוֹת,אַבְרָהָם אָבִינוּ,אברהם אבינו,,אברהם,biblical person,,,
מַעֲשֵׂי אָבוֹת,תְּפִלַּת אַבְרָהָם וְחַטְּאוֹת סְדוֹם,תפלת אברהם וחטאות סדום,,אברהם וסדום,specific biblical person relationship,,,
מַעֲשֵׂי אָבוֹת,זַרְעוֹ שֶׁל אַבְרָהָם,זרעו של אברהם,,אברהם בניו,group of people,,,
מַעֲשֵׂי אָבוֹת,עֲקֵדַת יִצְחָק,עקדת יצחק,,עקדה,biblical historical event,,,
מַעֲשֵׂי אָבוֹת,פְּטִירָתוֹ שֶׁל אַבְרָהָם,פטירתו של אברהם,,,#N/A,biblical historical event,,
מַעֲשֵׂי אָבוֹת,"יִצְחָק, רִבְקָה וְזַרְעָם","יצחק, רבקה וזרעם",,יצחק ורבקה,specific biblical person relationship,,,
מַעֲשֵׂי אָבוֹת,בִּרְכַּת יִצְחָק,ברכת יצחק,,יצחק ברכת,biblical historical event,,,
מַעֲשֵׂי אָבוֹת,יַעֲקֹב אָבִינוּ בִּיצִיאָתוֹ מִבְּאֵר שֶׁבַע,יעקב אבינו ביציאתו מבאר שבע,,,#N/A,biblical historical event,,
מַעֲשֵׂי אָבוֹת,יַעֲקֹב וְעֵשָׂו וְהַמַּלְאֲכִים,יעקב ועשו והמלאכים,,יעקב ועשו,specific biblical person relationship,,,
