Topic,English description,Is a Type Of,Is a Type Of 2,Has Edge,To Topic (Original),To Topic (Actual),English description,Is a Type Of
טוטפות,tefillin or other adornment on the forehead,inanimate object,,alternate spelling of,טטפות,טטפות,tefillin or other adornment on the forehead,inanimate object
טוטפות,tefillin or other adornment on the forehead,inanimate object,,synonymous with,תפילין,תפילין,tefillin,inanimate object
טל,dew,weather,inanimate object,similar to,גשם,גשם,rain,weather
טעמים,cantillation,language entity,,participates in,קריאת התורה,קריאת התורה,reading of the Torah,halachic process
טרף טרפה,sick/mauled animal,halachic quality,,related to,טומאה נבלה,טומאה נבלה,impurity of dead unslaughtered animal,halachic quality
טרף טרפה,sick/mauled animal,halachic quality,,is a,מאכלות אסורות,מאכלות אסורות,forbidden foods,halachic quality
טרף טרפה,sick/mauled animal,halachic quality,,similar to,נבלה,נבלה מאכלות אסורות,dead animal (not by kosher slaughter),halachic quality
טרף טרפה,sick/mauled animal,halachic quality,,related to,שחיטה,שחיטה,slaughter,halachic process
טבע,nature,quality,,related to,אדם הראשון אחר החטא,אדם הראשון אחר החטא,Adam after the sin,theology
טבע,nature,quality,,dissimilar to,בריאה,בריאה,Creation,theological process
טבע,nature,quality,,similar to,הנהגה,הנהגה,HaShem controlling the universe,theological process
טבע,nature,quality,,dissimilar to,לעתיד לבא,לעתיד לבא,future to come,theological process
טבע,nature,quality,,related to,מציאות,מציאות,existence/reality,theology
טבע,nature,quality,,dissimilar to,נס,נס אות,miracle/sign,process
טבע,nature,quality,,dissimilar to,עולם הבא,עולם הבא,the world or era to come,theology
טומאה שרץ,impurity of dead creature,halachic quality,,is a,טומאה כללי נבלה,טומאה,impurity ,halachic quality
טומאה שרץ,impurity of dead creature,halachic quality,,similar to,טומאה כללי נבלה,טומאה נבלה,impurity of dead unslaughtered animal,halachic quality
טומאה שרץ,impurity of dead creature,halachic quality,,has cause,שרץ,שרץ,rodents/insects,group of animals
טיטוס,,mishnaic person,,participates in,בית המקדש חורבן,בית המקדש חורבן,destruction of Beis HaMikdash,biblical historical event
טיטוס,,mishnaic person,,member of,רומי,רומי,,nation/ethnicity
טהור טהרה,purity,quality,,dissimilar to,טומאה,טומאה,impurity ,halachic quality
טהור טהרה,purity,quality,,similar to,קדושה,קדושה קדש,holiness,quality
טומאה שלוח,sending out impure,halachic process,,related to,טומאה כללי,טומאה,impurity ,halachic quality
טומאה שלוח,sending out impure,halachic process,,has participant,מחנה ישראל,מחנה ישראל,camp of Israel,geographic site
טומאה שלוח,sending out impure,halachic process,,has participant,נגע,נגע צרעת,lesion of tzaraas,fiat object part
טומאה נבלה,impurity of dead unslaughtered animal,halachic quality,,is a,טומאה כללי,טומאה,impurity ,halachic quality
טומאה נבלה,impurity of dead unslaughtered animal,halachic quality,,has cause,נבלה,נבלה,disgraceful act,process
טומאה מקדש וקדשיו,impurity eating korban/entering Beis HaMikdash,halachic quality,,related to,כהונה,כהונה,quality of being a kohen,quality
טומאה מקדש וקדשיו,impurity eating korban/entering Beis HaMikdash,halachic quality,,related to,קדשים,,#N/A,#N/A
טומאה מקדש וקדשיו,impurity eating korban/entering Beis HaMikdash,halachic quality,,related to,קרבן,קרבן,korban/offering,halachic role
טומאה לידה,impurity of birthing,halachic quality,,has cause,לידה,לידה,giving birth,lifecycle process
טומאה לידה,impurity of birthing,halachic quality,,precedes,קרבן יולדת,קרבן לידה,korban for giving birth,halachic role
טרח טרחה,imposition,process,,similar to,יגע,יגע,weary,quality
טרח טרחה,imposition,process,,similar to,מלאכה,מלאכה,work,process
טרח טרחה,imposition,process,,similar to,עבודה,עבודה פעולה,working,process
טרח טרחה,imposition,process,,similar to,עמל,עמל,work/futility,process
טוב עין,generous,character trait,,similar to,נדיבות,נדיבות,generosity/goodwill,character trait
טוב עין,generous,character trait,,similar to,צדקה,צדקה,charity/giving,halachic process
טבע לפני ואחרי המבול,nature before & after flood,theology,historical event,related to,דור המבול עונש,דור המבול,generation of flood,group of people
טבע לפני ואחרי המבול,nature before & after flood,theology,historical event,related to,מבול,מבול,deluge/flood,biblical historical event
טבע לפני ואחרי המבול,nature before & after flood,theology,historical event,related to,נח,נח,,biblical person
טבריה,,geographic site,,adjacent to,ים,כנרת,,geographic site
טפש,stupid,quality,,similar to,בער,בער כסיל,fool,character trait
טפש,stupid,quality,,similar to,כסיל,כסיל שוטה,fool,character trait
טפש,stupid,quality,,similar to,סכל,סכל,stupidity/crookedness,quality
טפש,stupid,quality,,similar to,פתי,פתי,gullible person/fool,character trait
טלית,shawl,inanimate object,,is a,בגד,בגד לבוש,clothing,inanimate object
טלית,shawl,inanimate object,,physically contains,ציצית,ציצית,tzitzit,inanimate object
טומאה כלים,impurity of items,halachic quality,,is a,טומאה כללי,טומאה,impurity ,halachic quality
טומאה כלים,impurity of items,halachic quality,,specifically dependent on,כלים,כלי,container/tool/item,inanimate object
טומאה כלים,impurity of items,halachic quality,,related to,כלי חרס,כלי חרס,pottery,inanimate object
טטפות,tefillin or other adornment on the forehead,inanimate object,,similar to,תפילין,תפילין,tefillin,inanimate object
טומאה מת,impurity of death,halachic quality,,is a,טומאה כללי,טומאה,impurity ,halachic quality
טומאה מת,impurity of death,halachic quality,,has cause,מת,מת,dead person,quality
טומאה מת,impurity of death,halachic quality,,related to,פרה אדומה,פרה אדומה,the red heifer,halachic quality
טוב טובה,good,quality,,related to,אלקים ומציאות,אלקים ומציאות,HaShem and existence,theological tenet
טוב טובה,good,quality,,related to,בריאה,בריאה,Creation,theological process
טוב טובה,good,quality,,related to,הכרת הטוב,הכרת טובה,being grateful,process
טוב טובה,good,quality,,related to,מציאות,מציאות,existence/reality,theology
טוב טובה,good,quality,,dissimilar to,רע,,#N/A,#N/A
טעות,mistake,process,,related to,אדם ידיעה,אדם ידיעה,knowledge of man,knowledge
טעות,mistake,process,,synonymous with,שגיאה,,#N/A,#N/A
טעות,mistake,process,,similar to,שוגג,שוגג,mistake/forgetting,process
טעות,mistake,process,,related to,שכח,שכח,forget,process
טרד טרדה,busy,process,,similar to,מלאכה,מלאכה,work,process
טרד טרדה,busy,process,,similar to,עבודה,עבודה פעולה,working,process
טרד טרדה,busy,process,,synonymous with,עסק,,#N/A,#N/A
טבילה,immersing,halachic process,,has participant,מקוה,מקוה,collection of water/mikveh,halachic role
טבילה,immersing,halachic process,,related to,רחיצה,רחיצה,washing,process
טעון,carrying/loaded,process,,similar to,הרם,,#N/A,#N/A
טעון,carrying/loaded,process,,similar to,נשא,נשא,carry/lift/count,process
טעון,carrying/loaded,process,,similar to,סבל,סבל סבלנות,to bear/patience,process
טעון,carrying/loaded,process,,similar to,עמס,,#N/A,#N/A
טף,children,role,,similar to,ילד,ילד ילדות,child/juvenile,quality
טף,children,role,,similar to,קטן,קטן,child,quality
טומאה משקין,impurity of liquids,halachic quality,,is a,טומאה אוכלין ומשקין,טומאה אוכלין ומשקין,impurity of food/liquid,halachic quality
נח קרבן,korban of Noach,biblical historical event,,has participant,בן נח,נח,,biblical person
נאום,speech/statement,process,,similar to,אמר,אמר,say,process
נאום,speech/statement,process,,similar to,דבר,דבר,matter/word,word
נכסים,assets,group of inanimate objects,,similar to,ממון,ממון,money/property,group of inanimate objects
נכסים,assets,group of inanimate objects,,similar to,רכוש,רכוש,property,object
נשמה יתרה,extra soul,spiritual entity,,alternate spelling of,שבת נשמה יתרה,שבת נשמה יתרה,extra degree of soul on Shabbos,theology
נוגה,glow/reflected light,material quality,,similar to,אור,אור,light,inanimate object
נוגה,glow/reflected light,material quality,,similar to,זהר,זהר,,source
נוגה,glow/reflected light,material quality,,related to,קליפה,קלפה,shell/outer layer,inanimate object
נוגה,glow/reflected light,material quality,,related to,נשמה,נשמה,soul,spiritual entity
נסע,travel,process,,is category of,דור המדבר מסע,דור המדבר מסע,generation of desert and traveling,biblical historical event
נסע,travel,process,,has participant,דרך,דרך,road/way,structure
נסע,travel,process,,similar to,הלך,הלך הליכה,walking ,process
נער,young man,quality,,similar to,בחור,בחור,child/adolescent,quality
נער,young man,quality,,similar to,ילד,ילד ילדות,child/juvenile,quality
נער,young man,quality,,similar to,קטן,קטן,child,quality
נשף,beginning of day or night,part of a day,,related to,לילה,לילה,night,part of a day
נשף,beginning of day or night,part of a day,,related to,ערב,ערב,evening,part of a day
נצב,stand (at attention/to greet/to govern),process,,similar to,התיצב,התיצב,to stand (esp. at a distance/in judgement),process
נבו,,geographic site,,alternate spelling of,הר נבו,הר נבו,,geographic site
נבו,,geographic site,,participates in,משה מיתה,משה מיתה וקבורה,Moshe death and burial,biblical historical event
נעל,shoe,inanimate object,,physically contained in,דור המדבר בגד,דור המדבר בגדים,miraculous clothing of generation of desert,group of inanimate objects
נעל,shoe,inanimate object,,participates in,חליצה,חליצה,,halachic process
נעל,shoe,inanimate object,,similar to,סנדל,,#N/A,#N/A
נחש,snake/the original serpent,animal,,participates in,אדם הראשון חטא,אדם הראשון חטא ועונש,Adam sin and punishment,theological process
נחש,snake/the original serpent,animal,,participates in,חוה חטא,,#N/A,#N/A
נחש,snake/the original serpent,animal,,similar to,יצר הרע,יצר הרע,evil inclination,spiritual entity
נחש,snake/the original serpent,animal,,similar to,סמאל,סמאל,,spiritual entity
נפש חיה,living creature,quality,,related to,יחידה,יחידה,highest degree of the soul,spiritual entity
נפש חיה,living creature,quality,,specifically dependent on,נפש,נפש,soul/being/life,spiritual entity
נפש חיה,living creature,quality,,similar to,נשמה,נשמה,soul,spiritual entity
נבות,,biblical person,,was opposed by,אחאב,אחאב,,biblical person
נכח,directly facing/relating to/in the presence of,preposition,,similar to,נגד,נגד,against/facing/corresponding to,quality
נכח,directly facing/relating to/in the presence of,preposition,,similar to,מול,מול,facing,preposition
נחש בריח,the long serpent (Leviathan),animal,spiritual entity,synonymous with,לויתן,לויתן,leviathan,animal
נון,,biblical person,,parent of,יהושע,יהושע,,biblical person
נסיון,challenge,process,,has specific dependence,אברהם נסיון,אברהם נסיון,Avraham tests,theological process
נסיון,challenge,process,,similar to,בחן,בחן,strong/up to scrutiny,quality
נסיון,challenge,process,,has specific dependence,דור המדבר נסיון,דור המדבר חטא,generation of desert and sin,theology
נבל אביגיל,,biblical person,,spouse of,אביגיל,אביגיל,,biblical person
נבל אביגיל,,biblical person,,related to,דוד ונבל,דוד ונבל,,specific biblical person relationship
נשא פנים,treat favorably,phrase,process,similar to,אלקים נושא פנים דין,אלקים נושא עון,HaShem who bears iniquity,divine role
נשא פנים,treat favorably,phrase,process,related to,דין,דין,judgement,process
נשא פנים,treat favorably,phrase,process,related to,דיין,דיין,judge,role
נגה,glow/reflected light,material quality,,alternate spelling of,נוגה,נוגה,glow/reflected light,material quality
נצרות,christianity,theology,,related to,אומות העולם,אומות העולם,non-Jewish nations of the world,group of people
נצרות,christianity,theology,,related to,נכרי,נכרי,foreigner (non-Jew),quality
נוב,,geographic site,,was opposed by,דואג,דואג,,biblical person
נוב,,geographic site,,related to,דוד ושאול,דוד ושאול,,specific biblical person relationship
נוב,,geographic site,,was opposed by,שאול,,#N/A,#N/A
נדר,oath,halachic process,,similar to,נדבה,נדבה,voluntary offering,role
נדר,oath,halachic process,,related to,קרבן,קרבן,korban/offering,halachic role
נערה,young woman,quality,,related to,אב ובת,אב ובת,father and daughter,relationship
נערה,young woman,quality,,related to,אם ובת,אב ובת,father and daughter,relationship
נערה,young woman,quality,,is a,אשה,אשה,woman,quality
נערה,young woman,quality,,related to,בתולה,בתולה בתולים,virgin,quality
נערה,young woman,quality,,dissimilar to,קטנה,קטנה,child (female),quality
נדוניה,dowry,halachic role,,related to,איש אשה,איש ואשה,man and woman,relationship
נדוניה,dowry,halachic role,,physically contained in,כתובה,כתובה,marriage document,source
נדוניה,dowry,halachic role,,related to,נשואין,נשואין,marriage,halachic process
נהר כבר,,geographic site,,related to,יחזקאל,יחזקאל,,biblical person
נהר כבר,,geographic site,,is a,נהר,נהר נחל,river,geographic feature
נגן נגינה,playing music,musical process,,similar to,זמר,זמר זמירות,music,musical process
נגן נגינה,playing music,musical process,,related to,לוים עבודה,לוים עבודה,levite service,halachic process
נגן נגינה,playing music,musical process,,related to,קרבן שיר,קרבן שיר,song over korban,halachic process
נגן נגינה,playing music,musical process,,similar to,שיר,שיר,song/poetry,artistic process
נטילת ידים,washing hands,halachic process,,similar to,טבילה,טבילה,immersing,halachic process
נטילת ידים,washing hands,halachic process,,related to,טומאה,טומאה,impurity ,halachic quality
נטילת ידים,washing hands,halachic process,,similar to,מים אחרונים,מים אחרונים,,halachic process
נטילת ידים,washing hands,halachic process,,similar to,קדוש ידים ורגלים,קדוש ידים ורגלים,washing/sanctifying hands and feet,halachic process
נטילת ידים,washing hands,halachic process,,is a,רחיצה,רחיצה,washing,process
נר אור,candle/lamp,inanimate object,,causes,אור,אור,light,inanimate object
נר אור,candle/lamp,inanimate object,,participates in,חנוכה,חנכה,chanukah,rabbinic holiday
נר אור,candle/lamp,inanimate object,,physically contained in,כלי מקדש מנורה,כלי מקדש מנורה,temple menorah,inanimate object
נר אור,candle/lamp,inanimate object,,has specific dependence,שבת נר,שבת נר,candles for Shabbos,halachic role
נח והתבה,Noach and the ark,biblical historical event,,synonymous with,מבול,מבול,deluge/flood,biblical historical event
נח והתבה,Noach and the ark,biblical historical event,,has participant,נח כללי,נח,,biblical person
ניחוח,fulfilling/pleasing,quality,,related to,קרבן,קרבן,korban/offering,halachic role
נוער,youth,quality,,related to,אב ובן,אב ובן,father and son,relationship
נוער,youth,quality,,similar to,בחור,בחור,child/adolescent,quality
נוער,youth,quality,,similar to,ילד,ילד ילדות,child/juvenile,quality
נוער,youth,quality,,similar to,נער,נער,young man,quality
נוער,youth,quality,,similar to,צעירים,צעיר,young,quality
נוער,youth,quality,,similar to,קטן,קטן,child,quality
נפש,soul/being/life,spiritual entity,,similar to,נשמה,נשמה,soul,spiritual entity
נפש,soul/being/life,spiritual entity,,similar to,רוח,רוח,wind/direction/will,object
נשיאת כפים,lifting the hands kohanic blessing,halachic process,,synonymous with,ברכת כהנים,ברכת כהנים,kohen blessing,halachic process
נקבה,female,material quality,,related to,איש אשה,איש ואשה,man and woman,relationship
נקבה,female,material quality,,is category of,אשה,אשה,woman,quality
נקבה,female,material quality,,dissimilar to,זכר,זכר,male,material quality
נתן,give/place,process,,similar to,שים,שים,to place,process
נגב,south,quality,,synonymous with,דרום,דרום,south,quality
נגב,south,quality,,is a,רוחות,רוחות,directions,quality
נכרי תורה,non-Jew learning Torah,halachic process,,related to,אומות העולם תורה,אומות העולם תורה,Torah not given to the nations,theology
נכרי תורה,non-Jew learning Torah,halachic process,,related to,בן נח מצוה,בן נח,noahide,quality
נשא עין,seek/look toward,phrase,process,similar to,הבט,הבט,gaze,process
נשא עין,seek/look toward,phrase,process,similar to,הסתכל,,#N/A,#N/A
נשא עין,seek/look toward,phrase,process,similar to,ראה,ראה ראיה,see,process
נינוה,,geographic site,,physically contained in,אשור,אשור,,nation/ethnicity
נינוה,,geographic site,,related to,יונה,יונה הנביא,,biblical person
נינוה,,geographic site,,related to,סנחריב,סנחריב,,biblical person
נבוכדנאצר,,biblical person,,participates in,בית המקדש חורבן,בית המקדש חורבן,destruction of Beis HaMikdash,biblical historical event
נבוכדנאצר,,biblical person,,participates in,גלות בבל,גלות בבל,babylonian exile,span of time
נבוכדנאצר,,biblical person,,participates in,הסטוריה בית ראשון,הסטוריה בית ראשון,history of first Beis HaMikdash ,span of time
נוצרים,guards/destroyers,role,,related to,נצרות,נצרות,christianity,theology
נשא יד,"""lifting the hand"" in oath",phrase,process,synonymous with,מרד,מרד,rebellion,process
נשא יד,"""lifting the hand"" in oath",phrase,process,synonymous with,שבועה,שבועה,swear,halachic process
נשיאים,type of cloud,weather,,is a,ענן,ענן,cloud,weather
נזר,crown/royalty,inanimate object,,similar to,כתר,כתר,crown,inanimate object
נזר,crown/royalty,inanimate object,,related to,מלכות,מלך מלכות,king,role
נזר,crown/royalty,inanimate object,,related to,נזיר,נזיר,nazirite,halachic role
נזר,crown/royalty,inanimate object,,similar to,עטרה,עטרה,crown,inanimate object
נגח,gore,process,,related to,מזיק,מזיק,one who damages,role
נגח,gore,process,,has participant,שור,שור בהמה,ox,animal
נצה,fight,process,,similar to,ריב,ריב,fight/debate,process
נאמן,trustworthy/faithful,character trait,,is a,אדם מדות,אדם מדות,character traits of man,disposition
נאמן,trustworthy/faithful,character trait,,similar to,אמונה,אמונה,faith/belief,character trait
נאמן,trustworthy/faithful,character trait,,similar to,אמן,אמן,true/faithful,quality
נאמן,trustworthy/faithful,character trait,,similar to,בטחון,בטחון,trust,process
נאמן,trustworthy/faithful,character trait,,similar to,האמן,האמן,turn right,process
נהג,control/lead,process,,synonymous with,נהל,נהל,guide,process
נהג,control/lead,process,,synonymous with,נחה,נחה,lead/guide,process
נשמה,soul,spiritual entity,,similar to,נפש,נפש,soul/being/life,spiritual entity
נשמה,soul,spiritual entity,,related to,שבת   נשמה יתרה,שבת נשמה יתרה,extra degree of soul on Shabbos,theology
נותר,forbidden leftover korban,halachic role,,related to,קרבן,קרבן,korban/offering,halachic role
נדיבות,generosity/goodwill,character trait,,is a,אדם מדות,אדם מדות,character traits of man,disposition
נדיבות,generosity/goodwill,character trait,,similar to,גמילות חסדים,גמילות חסד,doing kindness,halachic process
נדיבות,generosity/goodwill,character trait,,participates in,משכן נדבת,משכן נדבת,mishkan donation,biblical historical event
נדיבות,generosity/goodwill,character trait,,related to,נדבה,נדבה,voluntary offering,role
נדיבות,generosity/goodwill,character trait,,similar to,עין טובה,טוב עין,generous,character trait
נדיבות,generosity/goodwill,character trait,,similar to,צדקה,צדקה,charity/giving,halachic process
נח ובניו,Noach and children,group of people,,has member,חם,חם,,biblical person
נח ובניו,Noach and children,group of people,,has member,יפת,יפת,,biblical person
נח ובניו,Noach and children,group of people,,has member,נח כללי,נח,,biblical person
נח ובניו,Noach and children,group of people,,has member,שם,שם,there,word
נדוי,excommunication,halachic process,,similar to,חרם,חרם,destroy/give over completely,process
נשא,carry/lift/count,process,,similar to,הרם,,#N/A,#N/A
נשא,carry/lift/count,process,,similar to,מנה,מנה מנין,count,process
נשא,carry/lift/count,process,,dissimilar to,שים,שים,to place,process
נבון,sensible person,quality,,related to,אדם ידיעה,אדם ידיעה,knowledge of man,knowledge
נבון,sensible person,quality,,related to,בינה,,#N/A,#N/A
נבון,sensible person,quality,,similar to,חכם,חכם,sage,quality
נבון,sensible person,quality,,related to,שכל,שכל בינה,mind/intelligence,object
נום,fall asleep,process,,similar to,שינה,שינה,sleep,process
נום,fall asleep,process,,similar to,תנומה,תנומה,slumber,process
נח,,biblical person,,participates in,ברית,ברית,covenant,process
נח,,biblical person,,member of,דור המבול,דור המבול,generation of flood,group of people
נח,,biblical person,,participates in,מבול,מבול,deluge/flood,biblical historical event
נח,,biblical person,,related to,קשת,קשת,bow/rainbow,inanimate object
נבוזראדן,,biblical person,,member of,בבל,בבל,,nation/ethnicity
נבוזראדן,,biblical person,,participates in,בית המקדש חורבן,בית המקדש חורבן,destruction of Beis HaMikdash,biblical historical event
נבוזראדן,,biblical person,,related to,נבוכדנאצר,נבוכדנאצר,,biblical person
נעמי,,biblical person,,spouse of,אלימלך,אלימלך,,biblical person
נעמי,,biblical person,,parent in law of,רות,רות,,biblical person
נטע נטיעה,planting,process,,has participant,זרע,זרע,seed,inanimate object
נטע נטיעה,planting,process,,related to,כלאים,כלאים,forbidden mixing of species,halachic quality
נטע נטיעה,planting,process,,has participant,כרם,כרם,vineyard,group of plants
נטע נטיעה,planting,process,,has participant,עץ,עץ,tree/wood/stalk,plant
נחש הנחושת,the copper snake,inanimate object,,related to,דור המדבר  עונש,דור המדבר חטא,generation of desert and sin,theology
נחש הנחושת,the copper snake,inanimate object,,was opposed by,חזקיה,חזקיה,,biblical person
נביא שקר,false prophet,halachic role,,similar to,מסית,מסית,to encourage idolatry,halachic process
נביא שקר,false prophet,halachic role,,related to,נבואה,נבואה,prophecy,theological process
נביא שקר,false prophet,halachic role,,dissimilar to,נביא,נביא,prophet,role
נביא שקר,false prophet,halachic role,,related to,עבודה זרה,עבודה זרה,idolatry,halachic process
נחור,,biblical person,,sibling of,אברהם,אברהם,,biblical person
נחור,,biblical person,,child of,תרח,תרח,,biblical person
נהר נחל,river,geographic feature,,is category of,ארבעה נהרות,ארבעה נהרות,4 rivers,geographic site
נהר נחל,river,geographic feature,,has specific dependence,בית המקדש נחל,לעתיד לבא נחל,river in future redemption,theological process
נהר נחל,river,geographic feature,,is category of,ירדן,ירדן,,geographic site
נהר נחל,river,geographic feature,,similar to,נחל,,#N/A,#N/A
נטף,resin/fragrant oil,inanimate object,,similar to,צרי,צרי,balsam?,inanimate object
נטף,resin/fragrant oil,inanimate object,,physically contained in,קטורת,קטורת,incense,inanimate object
נח כרם,Noach and vineyard,biblical historical event,,has participant,יין,יין,wine/spirits,food
נח כרם,Noach and vineyard,biblical historical event,,has participant,נח כללי,נח,,biblical person
נח כרם,Noach and vineyard,biblical historical event,,related to,שכור,שכור,drunk,quality
נחשון,,biblical person,,grandchild of,יהודה,יהודה,,biblical person
נחשון,,biblical person,,participates in,קרבן נשיאים,קרבן נשיאים,korbanos of the chiefs in the desert,biblical historical event
נחשון,,biblical person,,participates in,קריעת ים סוף,קריעת ים סוף,splitting of yam suf,biblical historical event
נחם נחמה,comfort,process,,dissimilar to,אבלות,אבלות,mourning,halachic process
נחם נחמה,comfort,process,,related to,אלקים נחמה,,#N/A,#N/A
נחם נחמה,comfort,process,,similar to,הנחם,הנחם,deciding/regretting,process
נזיפה,scolding,process,,similar to,חרם,חרם,destroy/give over completely,process
נזיפה,scolding,process,,similar to,נדוי,נדוי,excommunication,halachic process
נזם,ring,inanimate object,,is a,תכשיט,תכשיט,jewelry/adornment,inanimate object
נכרי קרבן,non-Jew bringing korban,halachic process,,has participant,נכרי,נכרי,foreigner (non-Jew),quality
נכרי קרבן,non-Jew bringing korban,halachic process,,specifically dependent on,קרבן,קרבן,korban/offering,halachic role
נפתלי,,biblical person,,member of,יעקב ובניו,יעקב ובניו,Yaakov and children,specific biblical person relationship
נפתלי,,biblical person,,related to,מערת המכפלה,מערת המכפלה,,geographic site
נחמיה,,biblical person,,participates in,הסטוריה בית שני,הסטוריה בית שני,history of second Beis HaMikdash ,span of time
נחמיה,,biblical person,,related to,עזרא,עזרא,,biblical person
נוס,run away,process,,synonymous with,ברח,ברח,run away,process
נוס,run away,process,,related to,מנוס,,#N/A,#N/A
נביא,prophet,role,,related to,בלעם נבואה,בלעם נבואה,,theological process
נביא,prophet,role,,related to,משה נבואה,משה נבואה,Moshe's prophecy,theological process
נביא,prophet,role,,participates in,נבואה,נבואה,prophecy,theological process
נביא,prophet,role,,dissimilar to,נביא שקר,נביא שקר,false prophet,halachic role
נזק,damages,halachic process,,synonymous with,נזיקין,נזיקין,damages,halachic process
נתן הנביא,,biblical person,,participates in,דוד חטא,דוד חטא,David's sin,biblical historical event
נתן הנביא,,biblical person,,related to,שלמה,שלמה,,biblical person
נחל קישון,,geographic site,,related to,דבורה,,#N/A,#N/A
נחל קישון,,geographic site,,related to,סיסרא,סיסרא,,biblical person
נס אות,miracle/sign,process,,similar to,אות,אות מופת,sign/proof,quality
נס אות,miracle/sign,process,,related to,בריאה,בריאה,Creation,theological process
נס אות,miracle/sign,process,,related to,הנהגה,הנהגה,HaShem controlling the universe,theological process
נס אות,miracle/sign,process,,related to,השגחה,השגחה,providence,theological tenet
נס אות,miracle/sign,process,,related to,טבע,טבע,nature,quality
נס אות,miracle/sign,process,,similar to,מופת,מופת,proof,process
נס אות,miracle/sign,process,,similar to,פלא,פלא אות,wonder/sign/something explicit/transcendent,process
נס אות,miracle/sign,process,,related to,צדיק,צדיק,righteous person,quality
נזיר,nazirite,halachic role,,has specific dependence,קרבן נזיר,קרבן נזיר,korban of nazir,halachic role
נזיר,nazirite,halachic role,,related to,שמשון,שמשון,,biblical person
נטש,abandon,process,,similar to,עזב,עזב,help/forsake,process
נשא ראש,count/pay attention to,phrase,process,related to,ישראל מנין,דור המדבר מנין,generation of desert and census,biblical historical event
נשא ראש,count/pay attention to,phrase,process,similar to,מנה,מנה מנין,count,process
נשא ראש,count/pay attention to,phrase,process,similar to,ספר,מספר,quantity/numbers,quality
נכרי,foreigner (non-Jew),quality,,member of,אומות העולם,אומות העולם,non-Jewish nations of the world,group of people
נכרי,foreigner (non-Jew),quality,,similar to,בן נח,בן נח,noahide,quality
נכרי,foreigner (non-Jew),quality,,has specific dependence,ישראל ועמים,ישראל ועמים,Jewish people and non-Jews,relationship
נשואין,marriage,halachic process,,related to,אדם   וחוה,אדם הראשון וחוה,,specific biblical person relationship
נשואין,marriage,halachic process,,has participant,איש   אשה,איש ואשה,man and woman,relationship
נשואין,marriage,halachic process,,has participant,כתובה,כתובה,marriage document,source
נשואין,marriage,halachic process,,preceded by,קדושין,קדושין,engagement,halachic process
נא בקשה,please,word,,similar to,בי,בי,"""please""",phrase
נא בקשה,please,word,,participates in,בקש,בקש בקשה,request,process
נדה זבה,nidah/zavah,halachic role,,is category of,זבה,זבה,one with leaking/clouded urine,material quality
נוכח,directly facing/relating to/in the presence of,preposition,,similar to,מול,מול,facing,preposition
נוכח,directly facing/relating to/in the presence of,preposition,,similar to,נגד,נגד,against/facing/corresponding to,quality
נחל נחלה,inheritance/portion,continuant fiat boundary,,similar to,ירושה,ירושה,inheritance,halachic process
נאץ,fight/disgrace,process,,similar to,ארר,ארר,type of curse,phrase
נאץ,fight/disgrace,process,,related to,ברכת ה',,#N/A,#N/A
נאץ,fight/disgrace,process,,related to,מגדף,מגדף,curse,halachic process
נאץ,fight/disgrace,process,,similar to,קלל,מקלל,curse,process
נשא עון,bear sin,phrase,process,related to,אלקים נושא עון,אלקים נושא עון,HaShem who bears iniquity,divine role
נשא עון,bear sin,phrase,process,related to,כפרה,כפרה,atonement,theology
נשא עון,bear sin,phrase,process,related to,מחילה,מחילה,forgiveness,process
נשא עון,bear sin,phrase,process,related to,סליחה,סלח סליחה,forgiveness,process
נחה,lead/guide,process,,similar to,נהג,נהג,control/lead,process
נחה,lead/guide,process,,similar to,נהל,נהל,guide,process
נשיא,leader/representative,role,,related to,דור המדבר זקנים,דור המדבר דיינים,judges of generation of desert,group of people
נשיא,leader/representative,role,,related to,זקנים,שבעים זקנים,the 70 sages ,group of people
נשיא,leader/representative,role,,similar to,מלך,מלך מלכות,king,role
נשיא,leader/representative,role,,similar to,מנהיג,מנהיג,leader,role
נשיא,leader/representative,role,,similar to,פרנס,פרנס,leader/administrator,role
נשיא,leader/representative,role,,participates in,קרבן נשיאים,קרבן נשיאים,korbanos of the chiefs in the desert,biblical historical event
נשיא,leader/representative,role,,similar to,ראש,,#N/A,#N/A
נילוס,,geographic site,,member of,ארבע נהרות,ארבעה נהרות,4 rivers,geographic site
נילוס,,geographic site,,synonymous with,יאור,יאור,pool/Nile,geographic feature
נילוס,,geographic site,,is a,נהר,נהר נחל,river,geographic feature
נחוש,superstitious behavior,theurgy,,similar to,כשוף,כשוף,sorcery,halachic process
נפילים,giants/fallen spiritual beings,group of people,,related to,בני האלהים,בני האלהים,nobility,group of people
נפילים,giants/fallen spiritual beings,group of people,,related to,ענק,ענק,giant/strong person,quality
נתץ,smash,process,,similar to,נפץ,נפץ,shatter/break apart,process
נתץ,smash,process,,similar to,שבר,שבר שבירה,break,process
נתץ,smash,process,,similar to,שחת,השחת,to waste/lay waste,process
נדבה,voluntary offering,role,,related to,גמילות חסד,גמילות חסד,doing kindness,halachic process
נדבה,voluntary offering,role,,related to,משכן נדבת,משכן נדבת,mishkan donation,biblical historical event
נדבה,voluntary offering,role,,related to,מתנות עניים,מתנות עניים,gifts to poor,halachic role
נדבה,voluntary offering,role,,similar to,נדר,נדר,oath,halachic process
