category,tag,parent,hebrew tag,count,is a type of,is category,not synonym,aspaklaria topic,aspkalaria english,aspaklaria type,
Law,Law,,חוקים,1043,,,,חוק,rule,meta halacha,
Religion,Torah,,תורה,970,,,,תורה,the Torah,biblical source,
Holidays,Passover,,פסח,875,,,,פסח,pesach,pilgrimage festival,
Prayer,Prayer,,תפילה,805,,,,תפלה,prayer,theological process,
Philosophy,Mitzvot,,מצוה,781,,,,מצוה,commandment,generically dependent continuant,
Philosophy,Tzedakah,,צדקה,780,,,,צדקה,charity/giving,halachic process,
Texts,Tanakh,,"תנ""ך",748,,,,מקרא,written torah,biblical source,
Religion,God,,אלוהים,726,,,,אלקים,"HaShem; in a generic sense, ""powers""",divine role,
Law,Commandments,,מצוה,712,,,,מצוה,commandment,generically dependent continuant,
Philosophy,Tikkun Olam,,תיקון עולם,710,,,,תקון העולם,for the collective good,meta halacha,
Law,Legal Text,,,689,source,,,,#N/A,#N/A,
Holidays,Pesach,Passover,פסח,642,,,,פסח,pesach,pilgrimage festival,
Bible,Abraham,,אברהם,628,,,,אברהם,,biblical person,
Society,Community,,קהילה,573,,,,קהל,community/group,group of people,
Holidays,Rosh Hashanah,,ראש השנה,561,holiday,,,,#N/A,#N/A,
Philosophy,Philosophy,,מחשבת ישראל,531,philosophy,yes,,,#N/A,#N/A,
Holidays,Shavuot,,שבועות,528,,,,שבועות,,pilgrimage festival,
Society,Justice,,צדק,528,,,,צדק,justice,halachic process,
Holidays,Shabbat,,שבת,525,,,,שבת,,holiday,
Holidays,Sukkot,,סוכות,520,,,,סוכות,sukkos,pilgrimage festival,
Science,Environment,,סביבה,515,,,,סביבה,environment,geographic feature,
Holidays,Holidays,,חגים,503,,,,יום טוב,holiday,span of time,
Society,Leadership,,מנהיגות,501,,,,מנהיג,leader,occupation,
Society,Poverty,,עוני,500,,,,עוני עני,poverty,quality,
Texts,Commentary,,מפרשים,500,source,,,,#N/A,#N/A,
Texts,Haggadah,,הגדה,495,,,,הגדה,Haggadah,source,
Bible,Moses,,משה,494,,,,משה,,biblical person,
Holidays,Yom Kippur,,יום כיפור,493,,,,יום כפורים,yom kippur,high holiday,
Holidays,Chanukah,,חנוכה,489,,,,חנכה,chanukah,rabbinic holiday,
Education,Education,,חינוך,487,,,,חנוך אב ובן,chinuch,process,
Religion,Tshuva,Teshuva,תשובה,486,,,,תשובה,repentance,halachic process,
Ritual Objects,Tefilla,,תפילה,484,,,,תפלה,prayer,theological process,
