A,Edge,B
halacha,participates in,הוראה
halacha,related to,הוראה
food,similar to,אוכל
food,is category of,אוכל
plant,similar to,עץ
plant,is category of,עץ
plant,similar to,דשא
plant,is category of,דשא
plant,similar to,עשב
plant,is category of,עשב
process,has specific dependence,אדם מעשה
process,is category of,אדם מעשה
process,similar to,פעל פעולה
process,is category of,פעל פעולה
process,similar to,עשה
process,is category of,עשה
process,similar to,פועל יצר
process,is category of,פועל יצר
historical event,is category of,גלות בבל
historical event,temporally contains,גלות בבל
covenant,has specific dependence,אבות ברית והבטחה
covenant,is category of,אבות ברית והבטחה
אב ובן,applies halacha,כבוד אב ואם
אב ובן,related to,כבוד אב ואם
אבות,participates in,אבות ברכה והשגחה
אבות,has specific dependence,אבות ברכה והשגחה
אבות ברית והבטחה,is a,ברית
אבות ברית והבטחה,specifically dependent on,ברית
אביגיל,spouse of,נבל אביגיל
אביגיל,child of,נבל אביגיל
אבלות,has participant,בכיה
אבלות,related to,בכיה
אבלות,dissimilar to,שרט לנפש
אבלות,has participant,שרט לנפש
אברהם ובני חת,has member,עפרון
אברהם ובני חת,has participant,עפרון
אדום,has member,עמלק
אדום,related to,עמלק
אדם,participates in,אדם בריאה
אדם,related to,אדם בריאה
אדם וביתו,has member,איש ואשה
אדם וביתו,is category of,איש ואשה
אדם וחברו,is category of,ישראל ערבות
אדם וחברו,related to,ישראל ערבות
אדם ומלאך,is a,אדם ומציאות
אדם ומלאך,related to,אדם ומציאות
אדם ידיעה,has participant,שכל בינה
אדם ידיעה,related to,שכל בינה
אדם ידיעה,related to,ידיעה
אדם ידיעה,specifically dependent on,ידיעה
אדם מעשה,is a,מעשה
אדם מעשה,specifically dependent on,מעשה
אדם בחירה,causes,אדם מעשה
אדם בחירה,related to,אדם מעשה
אדם נשמה,is category of,שבת נשמה יתרה
אדם נשמה,related to,שבת נשמה יתרה
אדם,participates in,בריאה אדם
אדם,related to,בריאה אדם
אהבה,related to,איש ואשה
אהבה,specifically dependent on,איש ואשה
אוכל,is a,מזון
אוכל,similar to,מזון
אומות העולם ד מלכויות,participates in,גלות
אומות העולם ד מלכויות,related to,גלות
אומות העולם וישראל,participates in,גלות
אומות העולם וישראל,related to,גלות
אומות העולם,has member,גוי
אומות העולם,related to,גוי
אונן,member of,יהודה בניו
אונן,has specific dependence,יהודה בניו
אור,physically contained in,מאורות
אור,participates in,מאורות
אורים ותומים,has participant,רוח הקודש
אורים ותומים,participates in,רוח הקודש
אליהו,participates in,משיח
אליהו,related to,משיח
אליל,participates in,עבודה זרה
אליל,similar to,עבודה זרה
אליפז,child of,עשו
אליפז,grandchild of,עשו
אלקים אדם,participates in,ידיעת ה
אלקים אדם,related to,ידיעת ה
אלקים אדם,has participant,עבודת ה
אלקים אדם,participates in,עבודת ה
אלקים השגחה,is a,אלקים מעשה
אלקים השגחה,related to,אלקים מעשה
אלקים השגחה,has specific dependence,ישראל השגחה
אלקים השגחה,is category of,ישראל השגחה
אלקים וישראל,corresponded with,ישראל
אלקים וישראל,specifically dependent on,ישראל
אלקים יד,similar to,זרוע נטויה
אלקים יד,related to,זרוע נטויה
אלקים מעשה,is category of,השגחה
אלקים מעשה,related to,השגחה
אלקנה,parent of,שמואל הנביא
אלקנה,corresponded with,שמואל הנביא
אלקנה,related to,שמואל הנביא
אם הורים,applies halacha,כבוד אב ואם
אם הורים,related to,כבוד אב ואם
אמונה,participates in,יהדות
אמונה,related to,יהדות
אמונה,participates in,תורה ודרך ארץ
אמונה,related to,תורה ודרך ארץ
אמונה,similar to,דת
אמונה,related to,דת
אנף,has participant,אף אפים
אנף,similar to,אף אפים
אסנת,related to,דינה
אסנת,child of,דינה
אסתר,related to,מרדכי
אסתר,child of,מרדכי
אפיקורוס,participates in,כפירה
אפיקורוס,similar to,כפירה
ארבעה נהרות,related to,גן עדן
ארבעה נהרות,adjacent to,גן עדן
ארץ ישראל כבוש וחלוקה,has participant,יריחו
ארץ ישראל כבוש וחלוקה,opposed,יריחו
ארץ ישראל,has specific dependence,ארץ ישראל קדושה ברכה השגחה מעלה
ארץ ישראל,related to,ארץ ישראל קדושה ברכה השגחה מעלה
ארץ,similar to,קרקע
ארץ,physically contains,קרקע
אשמדאי,is a,שד
אשמדאי,member of,שד
אשמדאי,is a,מזיקין
אשמדאי,member of,מזיקין
