date,heb title,eng title,ref
10/26/2022,א חשון,1 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 25:27"
10/27/2022,ב חשון,2 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 25:30"
10/28/2022,ג חשון,3 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 25:36"
10/29/2022,ד חשון,4 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:1"
10/30/2022,ה חשון,5 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:4"
10/31/2022,ו חשון,6 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:11"
11/1/2022,ז חשון,7 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:15"
11/2/2022,ח חשון,8 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:20"
11/3/2022,ט חשון,9 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:22"
11/4/2022,י חשון,10 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:30"
11/5/2022,יא חשון,11 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 27:2"
11/6/2022,יב חשון,12 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 27:6"
11/7/2022,יג חשון,13 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 27:8"
11/8/2022,יד חשון,14 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 27:13"
11/9/2022,טו חשון,15 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 27:17"
11/10/2022,טז חשון,16 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 28:1"
11/11/2022,יז חשון,17 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 28:6"
11/12/2022,יח חשון,18 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 29:1"
11/13/2022,יט חשון,19 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 29:9"
11/14/2022,כ חשון,20 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 29:14"
11/15/2022,כא חשון,21 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 29:19"
11/16/2022,כב חשון,22 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 29:22"
11/17/2022,כג חשון,23 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 30:1"
11/18/2022,כד חשון,24 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 31:1"
11/19/2022,כה חשון,25 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 32:1"
11/20/2022,כו חשון,26 Cheshvan,"Tanya, Part V; Kuntres Acharon 1:1"
11/21/2022,כז חשון,27 Cheshvan,"Tanya, Part V; Kuntres Acharon 2:1"
11/22/2022,כח חשון,28 Cheshvan,"Tanya, Part V; Kuntres Acharon 3:1"
11/23/2022,כט חשון,29 Cheshvan,"Tanya, Part V; Kuntres Acharon 3:4"
11/24/2022,ל חשון,30 Cheshvan,"Tanya, Part V; Kuntres Acharon 3:7"
11/25/2022,א כסלו,1 Kislev,"Tanya, Part V; Kuntres Acharon 4:1"
11/26/2022,ב כסלו,2 Kislev,"Tanya, Part V; Kuntres Acharon 4:10"
11/27/2022,ג כסלו,3 Kislev,"Tanya, Part V; Kuntres Acharon 4:14"
11/28/2022,ד כסלו,4 Kislev,"Tanya, Part V; Kuntres Acharon 4:18"
11/29/2022,ה כסלו,5 Kislev,"Tanya, Part V; Kuntres Acharon 4:24"
11/30/2022,ו כסלו,6 Kislev,"Tanya, Part V; Kuntres Acharon 4:28"
12/1/2022,ז כסלו,7 Kislev,"Tanya, Part V; Kuntres Acharon 4:35"
12/2/2022,ח כסלו,8 Kislev,"Tanya, Part V; Kuntres Acharon 4:40"
12/3/2022,ט כסלו,9 Kislev,"Tanya, Part V; Kuntres Acharon 4:44"
12/4/2022,י כסלו,10 Kislev,"Tanya, Part V; Kuntres Acharon 4:46"
12/5/2022,יא כסלו,11 Kislev,"Tanya, Part V; Kuntres Acharon 4:50"
12/6/2022,יב כסלו,12 Kislev,"Tanya, Part V; Kuntres Acharon 4:54"
12/7/2022,יג כסלו,13 Kislev,"Tanya, Part V; Kuntres Acharon 5:1"
12/8/2022,יד כסלו,14 Kislev,"Tanya, Part V; Kuntres Acharon 6:1"
12/9/2022,טו כסלו,15 Kislev,"Tanya, Part V; Kuntres Acharon 6:8"
12/10/2022,טז כסלו,16 Kislev,"Tanya, Part V; Kuntres Acharon 7:1"
12/11/2022,יז כסלו,17 Kislev,"Tanya, Part V; Kuntres Acharon 8:1"
12/12/2022,יח כסלו,18 Kislev,"Tanya, Part V; Kuntres Acharon 9:1"
12/13/2022,יט כסלו,19 Kislev,"Tanya, Part I; Likkutei Amarim, Title Page 1"
12/14/2022,כ כסלו,20 Kislev,"Tanya, Part I; Likkutei Amarim, Compiler's Foreword 1"
12/15/2022,כא כסלו,21 Kislev,"Tanya, Part I; Likkutei Amarim, Compiler's Foreword 9"
12/16/2022,כב כסלו,22 Kislev,"Tanya, Part I; Likkutei Amarim 1:1"
12/17/2022,כג כסלו,23 Kislev,"Tanya, Part I; Likkutei Amarim 1:13"
12/18/2022,כד כסלו,24 Kislev,"Tanya, Part I; Likkutei Amarim 2:1"
12/19/2022,כה כסלו,25 Kislev,"Tanya, Part I; Likkutei Amarim 3:1"
12/20/2022,כו כסלו,26 Kislev,"Tanya, Part I; Likkutei Amarim 3:8"
12/21/2022,כז כסלו,27 Kislev,"Tanya, Part I; Likkutei Amarim 4:1"
12/22/2022,כח כסלו,28 Kislev,"Tanya, Part I; Likkutei Amarim 4:5"
12/23/2022,כט כסלו,29 Kislev,"Tanya, Part I; Likkutei Amarim 4:11"
12/24/2022,ל כסלו,30 Kislev,"Tanya, Part I; Likkutei Amarim 5:1"
12/25/2022,א טבת,1 Tevet,"Tanya, Part I; Likkutei Amarim 5:7"
12/26/2022,ב טבת,2 Tevet,"Tanya, Part I; Likkutei Amarim 6:1"
12/27/2022,ג טבת,3 Tevet,"Tanya, Part I; Likkutei Amarim 6:7"
12/28/2022,ד טבת,4 Tevet,"Tanya, Part I; Likkutei Amarim 7:1"
12/29/2022,ה טבת,5 Tevet,"Tanya, Part I; Likkutei Amarim 7:6"
12/30/2022,ו טבת,6 Tevet,"Tanya, Part I; Likkutei Amarim 7:12"
12/31/2022,ז טבת,7 Tevet,"Tanya, Part I; Likkutei Amarim 8:1"
1/1/2023,ח טבת,8 Tevet,"Tanya, Part I; Likkutei Amarim 8:5"
1/2/2023,ט טבת,9 Tevet,"Tanya, Part I; Likkutei Amarim 9:1"
1/3/2023,י טבת,10 Tevet,"Tanya, Part I; Likkutei Amarim 9:5"
1/4/2023,יא טבת,11 Tevet,"Tanya, Part I; Likkutei Amarim 10:1"
1/5/2023,יב טבת,12 Tevet,"Tanya, Part I; Likkutei Amarim 10:5"
1/6/2023,יג טבת,13 Tevet,"Tanya, Part I; Likkutei Amarim 11:1"
1/7/2023,יד טבת,14 Tevet,"Tanya, Part I; Likkutei Amarim 12:1"
1/8/2023,טו טבת,15 Tevet,"Tanya, Part I; Likkutei Amarim 12:5"
1/9/2023,טז טבת,16 Tevet,"Tanya, Part I; Likkutei Amarim 12:7"
