הוספות	נ, ג	הוספות:	הוספות אלו לא נדפסו בהוצאה הראשונה (זיטאמיר, תר"ח), וניתוספו בההוספות ללקו"ת (זיטאמיר, תרי"א). שיצא קונטרס הוספות ללקו"ת ושם נדפסו ההסכמות ללקו"ת וקיצור ע"פ לא תשבית מלח וד"ה להבין מ"ש באוצ"ח ולוח התיקון.
		הנה בספר של בינונים:	פרק ג.
	נ, ד	בד"ה ולא אבה:	לקו"ת תצא לח, ג ”כי הקוץ שעל היו"ד פונה למעלה ורומז שהוא נמשך למעלה לא"ס ב"ה שהוא למעלה מגדר ההשגה ולית מחשבה תפיסא ביה".
		מה שאמר ריב"ז:	ברכות כח, ב. ראה גם מאמרי אדמו"ר הזקן הקצרים ע' שט — נעתק (עם הגהות) באוה"ת ר"פ פנחס ורד"ה אך בגורל תרכו, רד"ה אשרנו תרפ"ח ותרצ"ו (בסה"מ קונטרסים ח"ב [סה"מ תרצ"ו ע' סז] ובביאור מאמר ריב"ז איני יודע כו' בכ"מ  לקו"ש-כ ע' 77 הערה 46, סה"מ תרמ"ו ע' יד ואילך. נתבאר בארוכה בד"ה לא תהי' משכלה תשי"ב. ראה סד"ה להבין הקושיא שבתחלת התניא בספר קיצורים והערות לתניא. לקו"ש ח"ה ע' 304. ד"ה אל תצר לאדמו"ר האמצעי נדפס במאמרי אדהאמ"צ דברים-א. לקו"ש חט"ז ע' 271 הערה 25. ד"ה להבין מאמר ריב"ז בס' מאמרי אדה"ז על מארז"ל ע' לא.
	נא, א	בד"ה וידבר דעשרת הדברות:	לקו"ת במדבר טו, ד.
		בפי' שאו את ראש:	לקו"ת במדבר ב, א.
		סד"ה ויקח קרח:	לקו"ת קרח נה, א.
		בביאור הזוהר פ' אחרי דע"ט ב':	ביאוה"ז לכ"ק אדמו"ר האמצעי עו, ג ואילך. נזכר גם לעיל פ' בהר מד, ד.
		שאלמלא ניתנו פרשיות . . על הסדר:	בילקוט תהלים ר' תרכה (סי' ג). ושם במ' תילים הכל. [כ].
	נא, ב	להבין מ"ש באוצ"ח:	ראה מאמרי אדה"ז — ענינים ע' שיח ד"ה לה"ע הצמצום באוא"ס (אולי נוסח אחר ממאמר זה). וראה עוד מאמר זה בשינויים ובהוספות באוה"ת ויקרא-ב ע' תצרח (והוא מהדו"ק לכאן).
			אודות זמן אמירת מאמר זה ראה אוה"ת על מארז"ל וענינים ע' רלח [ובמ"ש שם: אלה מסעי תק"ע — במ"א מבואר שהוא מתקע"א, ראה בהנסמן להלן מסעי צא, א].
			באוה"ת פ' שמות ע' קו מציין לד"ה זה בשם ”בד"ה להבין מ"ש בתחילת ס' אוצ"ח כי צמצם את אורו כו'".
			באוה"ת תצוה ע' א'תרלח מציין לדרוש זה בשם ”בדרוש הצמצום והרשימו שנדפס בספר תוספות ללקו"ת".
			וראה גם דרמ"צ נ, א ואילך. שרש מצוות התפלה פרק לד ואילך. אוה"ת קרח ע' תשכא, ד"ה מי מדד תרס"ב.
			לכללות מאמר זה ראה מאמרי אדהאמ"צ ויקרא-ב ע' תתקטו. ד"ה להבין מ"ש אני ה' לא שניתי תרמ"ז ע' מה ואילך. ד"ה מן המיצר תרמ"ח ע' קנז.
		באוצ"ח בתחלתו:	וז"ל במילואו כמו שנדפס: ”וכשעלה ברצונו הפשוט להאציל הנאצלים לסיבה נודעת והיא להיקרא רחום וחנון וכיוצא, כי אם אין בעולם מי שיקבל רחמים ממנו איך יקרא רחום וכן עד"ז בכל הכינוים, ואז צמצם עצמו באמצע האור שלו בנקודת המרכז אמצעית שבו ושם צמצם עצמו אל הצדדין והסביבות ונשאר חלל בנתיים וזה הי' צמצום הראשון של המאציל העליון, וזה מקום החלל הוא עגול בהשואה א' מכל צדדיו עד שנמצא עולם האצילות וכל העולמות נתונים תוך החלל הזה, ואור הא"ס מקיפו בשוה מכל צדדיו. והנה כאשר צמצם עצמו אז דרך צד אחד מן החלל העגול הזה המשיך אור דרך קו אחד ישר דק כעין צנור אחד אור הנמשך מהא"ס אל תוך החלל הזה וממלא אותו" כ"ה הלשון באוצ"ח.
			הלשון כאן ”ונשאר חלל" וכ"ה בכמה מקומות. אבל בשרש מצות התפלה פרק לד הלשון ”ונעשה חלל".
		ובהג"ה שם איתא . . ונשאר חלל לאו דוקא:	ראה בד"ה וירד ה' תרמ"ג ע' עז ובד"ה והר סיני תרנ"ז ע' קכח ואילך.
		אבל גבי הא"ס:	באוה"ת ויקרא ע' תרחצ: אבל לגבי הא"ס.
		במבו"ש בתחלתו:	ראה שרש מצות התפלה ס"פ לד. אוה"ת פ' בהעלותך ע' תד. ושם מעתיק מפ"א בענין העגול.
		עמה"מ בתחלת פ"ג:	שער עולם התהו.
		בלקו"ת מהאריז"ל פ' כי תשא:	וז"ל באוה"ת נ"ך-א ע' תז ”ע"פ הנה מקום אתי שכ' ארז"ל הוא מקומו של עולם, זה תבין בסוד הצמצום שנתבאר אצלינו שעשה הקב"ה מקום פנוי לעולמות א"כ הוא מקומו של עולם עכ"ל, דהיינו שענין המקום פנוי הוא ע"י שנסתלק משם האור ונשאר רק רשימו ובתוכו נמשך הקו והוא מקור ושרש בחי' ממכ"ע כמ"ש בד"ה יביאו לבוש מל' בהביאור וזה הוא ענין מקומו של עולם וזה נוטה כפי הפי' דבחי' ממכ"ע נק' מקומו של עולם" עכ"ל. וכ"ה בספר החקירה עה, ב. וראה באוה"ת ויקרא-ב ע' תרנט ”לכאורה דבריו מורים כפי' עמה"מ הנ"ל אך באמת הוא להפך וכפי' הזהר". ע"ש.
			ב' הדיעות נתבארו בסה"מ פר"ת ע' קפה.
		בעמה"מ שאור א"ס המקיף את החלל:	וז"ל באוה"ת ויקרא-ב ע' תרנט ”ובעמה"מ דף א פי' בענין הנה מקום אתי שארז"ל הוא מקומו של עולם ואין העולם מקומו דהיינו העיגול הגדול שבתוכו החלל ומק"פ והרשימו והקו כו'" ע"ש. וראה בארוכה בספר החקירה דף עה, א ושם מעתיק לשון עמק המלך. ובקיצור שם כ' ”זה קרוב למ"ש אדמ"ו נ"ע בפי' ממקומו משרשו ומקורו והוא ית' נק' מקור מים חיים".
