Index Title,Penei Yehoshua on Makkot
Version Title,P'nei Yehoshua BI
Language,he
Version Source,www.sefaria.org
Version Notes,
Penei Yehoshua on Makkot 2a:1,"משנה כיצד העדים נעשין זוממין מעידין אנו באיש פלוני שהוא בן גרושה כו'. ופירש""י שהוא בן גרושה בפנינו נתגרשה אמו קודם שנולד והרי הוא חלל ופסול עכ""ל. ונראה שהוצרך לפרש כן דאל""כ לא שייך ענין הזמה בעדות זה שהרי עיקר הזמה היינו שהוזמו ע""י עדים שאמרו עמנו הייתם ביום פלוני במקום פלוני וא""כ אם העידו סתם על פלוני שהוא בן גרושה כדי לעשותו חלל א""כ לא שייך הך מלתא כלל שאין זה תלוי בזמן לכך הוצרך רש""י לפרש שעיקר העדות היינו שאמרו בפנינו נתגרשה אמו וא""כ על כרחך איירי שנתגרשה בפנינו ביום פלוני במקום פלוני ונראה לכאורה דע""כ איירי בענין שאמו של זה כבר מתה דאל""כ בלא""ה לא שייך בכה""ג כאשר זמם שהרי יכולין לומר לאוסרה לכהונה באנו כדאיתא כה""ג פרק היו בודקין (סנהדרין דף מ""א ע""א) והובא בתוס' כאן מיהא השתא דאתינא להכי שפיר מצינן למימר דאיירי אפילו בשאמו קיימת ואפ""ה שייך שפיר דין הזמה לעשותן חללין דאי לאוסרה לכהונה באו היה להם להעיד שראו שנתגרשה לאחר שנולד זה הבן. ובזה מדוקדק לשון רש""י במה שכתב קודם שנולד אע""פ דלא הוי חלל אלא א""כ שנתגרשה קודם שנתעברה אפ""ה כיון שאין זמן ההריון ידוע מש""ה דקדק וכתב שנולד דעיקר כוונתו דאי לאוסרה לכהונה באו הל""ל שנתגרשה לאחר שנולד כן נראה לי ועיין בתוספות יו""ט. ועוד נראה דבלא""ה עיקר עדותן באמרם שהוא בן גרושה היינו שנתגרשה מבעלה הראשון ואח""כ נשאת לאביו של זה שהיה כהן דלפי""ז אפשר שהאיש והאשה היו שוגגין בדבר דאין לפרש שהעידו שנתגרשה מאביו של זה וחזר ונשאה דא""כ הרי יש חיוב מלקות בעדותן כדדרשינן בר""פ האשה רבה דהא דכתיב וקדשתו באיסורי כהונה היינו בעל כרחו שאם לא רצה דפנו ופירש""י שמכין אותו עד שתצא נפשו אם אינו רוצה לגרש וא""כ הרי שייך בהו שפיר כאשר זמם אפילו אם באו לאוסרה על בעלה וא""כ מהיכא תיתי נאמר שיעשו בן גרושה תחתיו אלא ע""כ כדפרישית כן נראה לי נכון ליישב מה שדקדק התוספות יו""ט ע""ש ודוק היטב:"
Penei Yehoshua on Makkot 2a:2,"שם או בן חלוצה כו' אין אומרין יעשו בן חלוצה תחתיו. אע""ג דבן חלוצה לא הוי אלא חלל מדרבנן אפ""ה סד""א דשייך בהו דין הזמה כיון שרצו לעשות זה הבן חלל דרבנן וכ""כ הר""ן ז""ל:"
Penei Yehoshua on Makkot 2a:3,"בתוספות בד""ה מעידין אנו באיש פלוני כו'. ויש לדקדק אמאי לא נקיט מעידין אנו באיש פלוני שהוא ממזר כו' וי""ל משום דקאי כו' עד סוף הדיבור. ולכאורה תירוצם דחוק. מיהו למאי דפרישית בסמוך נראה לי ליישב בפשיטות דבמעידין עליו שהוא ממזר לא שייך בהו ענין הזמה דמתניתין כיון דהזמה אינו אלא ע""י עמנו הייתם ביום פלוני במקום פלוני וא""כ לפי""ז ע""כ שהעידו על אמו שראו שזינתה לחייבי כריתות או מיתת ב""ד ביום פלוני במקום פלוני ובענין זה נראה דלא משכחת לה הך מלתא בכה""ג שע""י עדותן יהא ממזר ודאי דאי בפנויה זינתה לאחד מקרוביה לא הוי ממזר ודאי דמנא ידעי שנתעברה מאותה ביאה דלמא כי היכי דאפקרה לגבי דהאי אפקרה נמי לגבי אחרינא מרובא דעלמא שכשרין אצלה ובאשת איש שזינתה נמי ליכא לאוקמי דהא קי""ל דרוב בעילות אחר הבעל ועוד דאפילו את""ל דמשכחת לה כגון שבעלה במדינת הים או שמעידין שבעל בעצמו אסור עליה ופסול עליה בחייבי כריתות ומיתות ב""ד מצד קורבה אלא דאפ""ה לא שייך כאן דין הזמה כיון שמצד עדותן יש כאן חיוב מיתה במזיד וקרבן בשוגג ועוד שיכולין לומר לאוסרה על בעלה באנו ולהפסידה כתובתה וכל תנאי כתובתה וכתובת בנין דיכרין כדאיתא ביבמות וא""כ משלמין ממון. ואם נאמר דאיירי שהעידו שהוא ממשפחת ממזרים א""כ לא שייך לומר עמנו הייתם בזמן פלוני במקום פלוני שאין זה תלוי בזמן משא""כ בבן גרושה אתיא שפיר כדפרישית כ""נ לי ודו""ק:"
Penei Yehoshua on Makkot 2a:4,"בתוספות בד""ה מעידין אנו באיש פלוני שחייב גלות. וא""ת היאך הם יכולין לחייבו גלות בעדותן הא יכול לומר מזיד הייתי כדאמר גבי אוכל חלב בפ""ק דב""מ כו' עד סוף הדיבור. והקשה מהרש""א ז""ל ומאי קושיא הא אינו מהימן לומר מזיד הייתי דהא אין אדם משים עצמו רשע והא דמהימן גבי אכלת חלב היינו משום שעשה תשובה ואינו רוצה להביא חולין לעזרה כמ""ש התוס' עצמן שם בפ""ק דב""מ עכ""ל מהרש""א והניח בקושיא ולענ""ד נראה דלא קשיא מידי דבלא""ה משמע מלשון התוס' שכתבו היאך הם יכולין לחייבו גלות בעדותן ולא קשיא להו בפשיטות אעיקר גלות דכתיב בקרא היכי משכחת לה הא יכול לומר מזיד הייתי אלא ע""כ משום דאיכא למימר אה""נ עיקר גלות בקרא היינו עצה טובה להורג בשוגג שלא יהרגנו גואל הדם והא דכתיב נמי בתר הכי עד עמדו לפני העדה למשפט ואם בשנאה בלא איבה הדפו והשיבו אותו זקני העדה לעיר מקלטו דפשטא דקרא משמע שנתחייב גלות במשפט על פי העדים דבהם נמי איכא למימר דהוי משום עצה טובה שהרי אם יאמר מזיד הייתי כ""ש שיהרגנו גואל הדם אבל אלשון משנתינו דאיירי בדין הזמה מקשו התוס' שפיר מה הזמה שייך כאן כיון שאין החיוב גלות מצד עדותן שהרי הוא יכול לומר מזיד הייתי וא""כ לפי""ז אין מקום לקושית מהרש""א דכוונת התוס' דכיון דאיגלי מילתא שאלו העדים עדות שקר הן שלא הרג כלל אפילו בשוגג וא""כ מעיקרא כשהעידו נמי לא היו יכולין לחייבו גלות בעדותן דמסתמא יאמר האמת שלא הרג ואף לפי דבריכם שהרגתי אפ""ה איני חייב גלות בעדותכם שיכולני לומר מזיד הייתי ואע""ג דאפ""ה בדידיה תליא מילתא אם ירצה לגלות מעצמו מיראת גואל הדם אפ""ה כיון שאין זה מעיקר הדין אלא עצה טובה תו לא שייך הזמה בכה""ג שהרי אפילו אם לא העידו כן בב""ד אלא חוץ לב""ד אפ""ה אפשר שיגלה מעצמו מיראת גואל הדם ועל זה מתרצים התוס' שפיר בתירוצם הראשון ששייך שפיר הזמה כגון שהעדים העידו שהרג בשוגג ולא מזיד ובתירוצם השני כתבו דודאי אה""נ אם יטעון לפני ב""ד שהעידו שקר שלא הרג בשוגג ויהא נאמן במגו דמזיד הייתי ודאי שאין הב""ד יכולין לחייבו גלות בעדותן אלא דאפ""ה אתי שפיר הא דקתני שמעידין שחייב גלות והיינו היכא ששותק דכיון דהשתיקה כהודאה דמיא ממילא חייב גלות על פי הדין. כן נראה לי נכון ליישב התוס' ותו לא מידי:"
Penei Yehoshua on Makkot 2a:5,"בגמרא תנא התם קאי כו' ויש עדים זוממין אחרים שאין עושין בהם דין הזמה כו'. לכאורה לפי""ז אכתי לשון המשנה אינו מדוקדק וטפי הוי שייך למיתני כיצד אין העדים נעשין זוממין אלא לוקין ארבעים. והנראה בזה דאיצטריך למיתני בהאי לישנא לאשמעינן דלא שייך מלקות לגבי עדות אלא כשהוא דרך הזמה גמורה אי הוי שייך הזמה והיינו דוקא שאומרין על העדים עצמן עמנו הייתם אבל אם אומרין שהאיש פלוני שהעידו עליו היה עמהן שאין עליהם תורת עדים זוממין וכ""ש בשאינו דרך הזמה כלל אלא שאומרים ששקר העידו לא שייך מלקות כלל כדמסקינן לקמן דלא תענה לאו שאין בו מעשה הוא:"
Penei Yehoshua on Makkot 2b:1,"בגמרא אמר עולא רמז לעדים זוממין מניין כו'. ויש לדקדק אמאי קרי ליה רמז הא לפרש""י בד""ה משום דהצדיקו משמע להדיא דפשטא דקרא לא מיתוקמא אלא בעדים זוממין. ובלא""ה נמי נראה דלכאורה פשטא דקרא דכתיב כי יהיה ריב בין אנשים ושפטום והצדיקו את הצדיק וגו' והיה אם בן הכות הרשע דמשמע שע""י משפט של הריב מחייבין אותו ב""ד מלקות והיכי משכחת חיוב מלקות ע""י משפט של הריב בין האנשים דאי בלאוין של גזל וריבית ואונאה ועושק שכיר הא בהדיא איתרבי לתשלומין ואין לוקין עליהן וכן בלאו דחובל נמי אמרינן בכמה דוכתין בפירוש ריבתה תורה לתשלומין מילקי לא לקי. ותדע דלקמן בפרק אלו הן הלוקין כל הני דקחשיב במתני' כולהו בלאוין של איסורי אדם למקום וכן הנך שכתבו התוס' שם דתנא ושייר א""כ מבואר להדיא דבלאוין שבין אדם לחבירו דשייך בהו משפט ליכא מלקות וא""כ על כרחך דפשטא דקרא לא מיתוקמא כלל אלא לענין עידי הזמה וא""כ הדרא קושיא לדוכתא אמאי קאמר לשון רמז. ואפשר דאע""ג דפשטא דקרא איירי בהכי אפ""ה כיון דלענין עידי הזמה לא נזכר בפירוש בלשון המקרא אע""ג דקרא דחיק ומוקי אנפשיה בעדים זוממין אפ""ה שפיר קרי ליה רמז ותדע שכן הוא שאם נפרש לשון רמז כמשמעו לא הוי מן התורה לחייב מלקות וליסתור הכלל דקי""ל בכל דוכתי לאו שאין בו מעשה אין לוקין עליו אלא ע""כ דדרשה גמורה הוא וכדפרישית. אלא דלפי""ז קשיא לי איפכא היאך מוקי עולא להאי קרא דוהיה אם בן הכות הרשע לענין עדים זוממין הא בהאי קרא גופא כתיב והכהו כדי רשעתו ודריש עולא גופא לקמן דכדי רשעה אחת אתה מחייבו ואי אתה מחייבו משום שתי רשעיות וא""כ פשטא דקרא בא לומר דאין לחייבו אלא משום רשעה אחת והיינו מלקות והיכא דאיכא שתי רשעיות כגון מלקיות וממון לוקין ואין משלמין ואילו בזוממין אשכחן איפכא לקמן בפירקין דלר""מ לוקין ומשלמין ולרבנן משלם ואינו לוקה. לכך נראה דאדרבה מהאי טעמא גופא קאמר עולא הכא בשמעתין שאינו אלא רמז בעדים זוממין דודאי עיקר פשטא דקרא לא איירי בהכי מדכתיב כדי רשעתו אלא ע""כ דפשטא דקרא דכי יהיה ריב בין אנשים ושפטום איירי בריב משפט של דיני ממונות ממש ושפיר קאי אסיפא דקרא דכתיב בתריה לא תחסום שור בדישו כדאשכחן בש""ס בדוכתי טובא דמהכא ילפינן שאין לוקין אלא בלאוין שהן דומיא דלא תחסום וכפרש""י בחומש והיא ג""כ מלשון הסיפרי וא""כ לפי""ז שפיר קאמר קרא דרשעה אחת אתה מחייבו והיינו מלקות משא""כ היכא דאיכא שתי רשעיות בהאי לאו דלא תחסום והיינו מלקות וממון ומשכחת לה כי הא דתניא בפרק השוכר את הפועלים החוסם פרתו של חבירו ודש בה לוקה ומשלם ומסיק רבא דלרבנן דפליגי אדר""מ האי דמשלם היינו בבא לצאת ידי שמים משום דאתנן אסרה תורה כו' וע""ש בפירש""י אבל בב""ד אין לחייבו אלא מלקות אלא דאפ""ה ע""כ אתיא נמי לרמז עדים זוממין מיתורא דוהצדיקו את הצדיק וכמו שפירש""י כן נראה לי נכון בעזה""י. אח""ז ראיתי בספר הרמב""ן ז""ל בפירוש החומש שהרגיש ג""כ במה שדקדקתי דלא משכחת שפיר חיוב מלקות ע""י ריב ומשפט של שני אנשים ונתתי שבח לאל יתברך שכוונתי לדעת הגדול כמותו אלא שהרמב""ן ז""ל נדחק לפרש בחד מכמה גווני דלא רמיזי בהאי ענינא וע""כ דהאי קרא דחיק ומוקי אנפשיה אמנם לפי מה שכתבתי הוא יותר נכון דודאי פשטא דקרא איירי בלאו דלא תחסום כדמשמע להדיא בלשון הספרי ובלשון רש""י בחומש ע""ש ואולי מקום הניחו לי מן השמים ודוק היטב. ומה שיש לדקדק עוד בזה ובלשון הרמב""ם ז""ל מבואר בחידושינו שם בפרק הפועלים:"
