masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text,problem
Pesachim,קרבן העדה,1,1,1a,"@22מתני' @11אור לי""ד. @33ליל שמחרתו יהיה י""ד:","אור לי""ד",,,
Pesachim,קרבן העדה,1,1,1a,"בודקין את החמץ. שלא יעבור עליו בבל יראה ובל ימצא דמדאוריית' בעינן בדיקה וביטול בדיקה לחמץ ידוע וביטול לחמץ שאינו ידוע וי""מ דמדאורייתא בעינן ביטול ובו לבדו סגי אלא שחכמי' הצריכו בדיקה כיון דלא בדיל מיניה כולא שתא חיישינן שמא יאכל ממנו אם לא יבערנו:",בודקין את החמץ,JTmock Pesachim 1:1:1,אור לארבעה עשר בודקין את החמץ לאור הנר כל מקום שאין מכניסין בו חמץ אינו צריך בדיקה ובמה אמרו שתי שורות במרתף מקום שמכניסין בו חמץ בית שמאי אומרים שתי שורות על פני כל המרתף ובית הלל אומרים שתי שורות החיצונות שהן העליונות:,
Pesachim,קרבן העדה,1,1,1a,לאור הנר. בגמרא מפרש טעמא:,לאור הנר,JTmock Pesachim 1:1:1,אור לארבעה עשר בודקין את החמץ לאור הנר כל מקום שאין מכניסין בו חמץ אינו צריך בדיקה ובמה אמרו שתי שורות במרתף מקום שמכניסין בו חמץ בית שמאי אומרים שתי שורות על פני כל המרתף ובית הלל אומרים שתי שורות החיצונות שהן העליונות:,
Pesachim,קרבן העדה,1,1,1a,"ובמה אמרו. לקמן במתני' בסמוך דשתי שורות של חביות הסדורות במרתף צריך לבדוק ביניהן אחר שאמרו כל מקום שאין מכניסין בו חמץ א""צ בדיקה:",ובמה אמרו,JTmock Pesachim 1:1:1,אור לארבעה עשר בודקין את החמץ לאור הנר כל מקום שאין מכניסין בו חמץ אינו צריך בדיקה ובמה אמרו שתי שורות במרתף מקום שמכניסין בו חמץ בית שמאי אומרים שתי שורות על פני כל המרתף ובית הלל אומרים שתי שורות החיצונות שהן העליונות:,
Pesachim,קרבן העדה,1,1,1a,"מקום שמכניסין בו חמץ. כגון מרתף שמסתפק ממנו יין לשלחנו ופעמים שהשמש עומד למזוג יין ופתו בידו וכשהיין כלה נכנס למרתף להביא יין לפיכך הצריכו בדיקה אבל מרתף שאין מסתפקין ממנו א""צ בדיקה:",מקום שמכניסין בו חמץ,JTmock Pesachim 1:1:1,אור לארבעה עשר בודקין את החמץ לאור הנר כל מקום שאין מכניסין בו חמץ אינו צריך בדיקה ובמה אמרו שתי שורות במרתף מקום שמכניסין בו חמץ בית שמאי אומרים שתי שורות על פני כל המרתף ובית הלל אומרים שתי שורות החיצונות שהן העליונות:,
Pesachim,קרבן העדה,1,1,1a,"על פני כל המרתף ובה""א שתי שורות החיצונות וכו'. בגמרא מפרש:","על פני כל המרתף ובה""א שתי שורות",JTmock Pesachim 1:1:1,אור לארבעה עשר בודקין את החמץ לאור הנר כל מקום שאין מכניסין בו חמץ אינו צריך בדיקה ובמה אמרו שתי שורות במרתף מקום שמכניסין בו חמץ בית שמאי אומרים שתי שורות על פני כל המרתף ובית הלל אומרים שתי שורות החיצונות שהן העליונות:,
Pesachim,קרבן העדה,1,1,1a,"@22גמ' @11כתיב ושמרתם וכו'. @33בא לבאר מנ""ל דמתחילין לבער החמץ בליל י""ד א""נ איום ארבעה עשר נמי מיבעי ליה דהא כתיב ביום הראשון תשביתו שאור וגו':",כתיב ושמרתם וכו',,,
Pesachim,קרבן העדה,1,1,1a,"כי בעצם היום וגו'. משמע שמתחילין לאכול מצות בליל ט""ו:",כי בעצם היום וגו',JTmock Pesachim 1:1:2,כתיב (שמות יב) ושמרתם את המצות כי בעצם היום הזה הוצאתי את צבאותיכם מארץ מצרים. (שם) בראשון בארבעה עשר יום לחדש בערב תאכלו מצות וגומר. מה אנן קיימין אם לאכילת מצה כבר כתיב (שם) שבעת ימים מצות תאכלו. ואם לומר שמתחיל בארבעה עשר והכתיב (שם) עד יום האחד ועשרים לחודש. אלא אם אינו ענין לאכילת מצה תניהו ענין לביעור חמץ.,
Pesachim,קרבן העדה,1,1,1a,בראשון. כלומר וכתיב בתריה בראשון בארבעה עשר יום וגו':,בראשון,JTmock Pesachim 1:1:2,כתיב (שמות יב) ושמרתם את המצות כי בעצם היום הזה הוצאתי את צבאותיכם מארץ מצרים. (שם) בראשון בארבעה עשר יום לחדש בערב תאכלו מצות וגומר. מה אנן קיימין אם לאכילת מצה כבר כתיב (שם) שבעת ימים מצות תאכלו. ואם לומר שמתחיל בארבעה עשר והכתיב (שם) עד יום האחד ועשרים לחודש. אלא אם אינו ענין לאכילת מצה תניהו ענין לביעור חמץ.,
Pesachim,קרבן העדה,1,1,1a,מה אנן קיימין. במאי איירי האי קרא בראשון בארבעה עשר יום לחדש:,מה אנן קיימין,JTmock Pesachim 1:1:2,כתיב (שמות יב) ושמרתם את המצות כי בעצם היום הזה הוצאתי את צבאותיכם מארץ מצרים. (שם) בראשון בארבעה עשר יום לחדש בערב תאכלו מצות וגומר. מה אנן קיימין אם לאכילת מצה כבר כתיב (שם) שבעת ימים מצות תאכלו. ואם לומר שמתחיל בארבעה עשר והכתיב (שם) עד יום האחד ועשרים לחודש. אלא אם אינו ענין לאכילת מצה תניהו ענין לביעור חמץ.,
