Mei HaShiloach.1.1,(Book of Genesis)<br/>
Mei HaShiloach.2.1,(Book of Exodus)<br/>
Mei HaShiloach.3.1,(Book of Leviticus)<br/>
Mei HaShiloach.4.1,(Book of Numbers)<br/>
Mei HaShiloach.5.1,(Book of Deuteronomy)<br/>
Mei HaShiloach.6.1,(Prophets)<br/>
Mei HaShiloach.7.1,(Writings)<br/>
"Mei HaShiloach, Translator’s Introduction.1","Here is one version of the story.<sup>1</sup><i class=""footnote"">This story is taken from “b’heichal Isbitza—Lublin” (“In the chamber of Isbitza—Lublin”) by S. Z. Shragai, p. 8. “B’ntive: Isbitz—Radzin” by S. Z. Shragai, p. 8, Mossad Harav Kook, 1972.</i> Reb Tsadok haCohen of Lublin was traveling to various rabbis in Poland to sign a <i>heter mea rabbanim</i>, the consent of a hundred rabbis in order to divorce his wife. At that time Reb Tsadok, famous as a genius, was one of the most illustrious members of the <i>mitnagdim</i>, the opponents of hasidism who favored cerebral study over ecstatic devotion as the true form of Divine service. Eventually he reached the house of the “Mei HaShiloach,” Reb Mordechai Yosef in the town of Isbitza.<sup>2</sup><i class=""footnote"">In the tradition of Torah scholars, Reb Mordechai Yosef is called by the name of his book, as the “Mei HaShiloach.”</i> “The Rebbe’s class would begin at midnight by wrestling with revealed matters in a passage of the Talmud. By the morning light the discourse reached the secret of the furnace that powers the universe. In their discussion they arrived at the fundamental point: How does one arrive at the knowledge of the will of God through the actions of man, and at the revelation of God’s presence through the study of the Torah and the fulfillment of its commandments?”"
"Mei HaShiloach, Translator’s Introduction.2","Reb Tsadok stayed to discuss the lesson with the Rebbe of Isbitza after the class. “The Mei HaShiloach suddenly broke off the discussion of the lesson, turned to Reb Tsadok and said: ‘Here we are, involved in the study of this passage of Talmud according to our own minds and wills, as if the very law that we are discussing is <i>our own</i> wisdom. At the same time we are saying from our own understanding that the Torah <i>is the blessed God’s</i>, and hidden within it is His very will, may He be blessed, in a way that through the process of Torah study we may merit to know the will of the blessed God at every moment, at every second. Together with this we may then feel the presence of the <i>Shechina</i>, which rests everywhere. Our sole objective is to ask: What in our study this evening has shown us the will of the Holy One, blessed be He, and what of it can proclaim the glory of heaven to the world? What of it can we use to fulfill our obligation to sanctify and love the Name of God in the world?’ In hearing the words from the mouth of the Mei HaShiloach, dread descended on Reb Tsadok’s heart, and he began to tremble in his entire being. He asked the Rebbe:"
"Mei HaShiloach, Translator’s Introduction.3",‘How can we understand the will of the Creator?’
"Mei HaShiloach, Translator’s Introduction.4","‘By means of the study of Torah!’ answered the Mei HaShiloach. He continued, ‘A man who studies Torah must feel as if his feet are standing at the foot of Mount Sinai and he is hearing the Torah from the very mouth of the All Powerful. Then he knows that it is His blessed will.’"
"Mei HaShiloach, Translator’s Introduction.5","Reb Tsadok stood for a while, immersed in his thoughts. Days later, he would say of this conversation, ‘I felt as if he had placed burning coals on my heart.’”"
"Mei HaShiloach, Translator’s Introduction.6","As a result of this meeting, Reb Tsadok then became one of the principal students and <i>hasidim</i> of the Rebbe of Isbitza and his way, so remaining for the rest of his life."
"Mei HaShiloach, Translator’s Introduction.7","“Many years later, it is told that in Reb Tsadok’s old age, the famous genius Rabbi Yosef Rojin, the <i>Illui</i> of Rogatchoff, visited the house of Reb Tsadok in order to engage the Cohen in <i>pilpul</i>, heated discourse in the law. Reb Tsadok said, ‘Your honor would like to know if I am a scholar. How will God be glorified in any way from this? This is not the reason why the sages of the great assembly instituted the blessing, ‘Blessed is God who grants man wisdom.’ In my youth, I too was involved in such <i>pilpul</i> over the law, but I arrived at the understanding that the only way to achieve knowledge of the Torah is through the gates of hasidism which the holy Baal Shem Tov had opened for us.”<sup>3</sup><i class=""footnote"">Shragai, p. 9.</i>"
"Mei HaShiloach, Translator’s Introduction.8","Who was Reb Mordechai Yosef of Isbitza, and how did he arrive at the revolutionary conception of the Torah found in his teachings? He was born in the town of Tomashov in Poland in 1800 (5560) to a rabbinic family. The introduction to the <i>Beit Yaakov</i>, the teachings of his son, traces the family’s lineage, each generation a leader of his community, back to Reb Moshe Issralis, the <i>Ramo</i>, and thus further to Rabbi Shlomo Yitchaki, Rashi, the leading medieval Torah commentator. Rashi then connects his lineage back to David haMelech. But as always, the fame of his family is not important. We are concerned with who he was. He grew up together with Rabbi Menachem Mendel Morgenstern, later to become “the Kotsker Rebbe.” The two were childhood friends and together were students and <i>hasidim</i> of Reb Simcha Bunem of Pshiske. It was from the Rebbe of Pshiske, the famous disciple of Yaakov Yitschak Horowitz, the “Seer of Lublin,” that the two received from the well-springs of the teachings of Rabbi Israel, the Baal Shem Tov, the founder of the hasidic movement."
