Ref,Vocalized Punctuation,Wikisource
Niddah 56b:25,זֶה הַכְּלָל: דָּבָר שֶׁחֲשׁוּדִים בּוֹ — אֵין נֶאֱמָנִין עָלָיו.,זה הכלל דבר שחשודים בו אין נאמנין עליו <big><strong>גמ׳</strong></big>
Makkot 4a:12,"""מְעִידִין אָנוּ בְּאִישׁ פְּלוֹנִי שֶׁהוּא חַיָּיב מַלְקוֹת אַרְבָּעִים"" וְנִמְצְאוּ זוֹמְמִין — לוֹקִין שְׁמוֹנִים, ""מִשּׁוּם לֹא תַעֲנֶה בְרֵעֲךָ עֵד"" שָׁקֶר, ""וּמִשּׁוּם וַעֲשִׂיתֶם לוֹ כַּאֲשֶׁר"" זָמַם, דִּבְרֵי רַבִּי מֵאִיר. וַחֲכָמִים אוֹמְרִים: אֵין לוֹקִין אֶלָּא אַרְבָּעִים.","מעידין אנו באיש פלוני שהוא חייב מלקות ארבעים ונמצאו זוממין לוקין שמונים משום (שמות כ, יג) לא תענה ברעך עד שקר ומשום (דברים יט, יט) ועשיתם לו כאשר זמם דברי ר' מאיר וחכ""א אין לוקין אלא ארבעים: <big><strong>גמ׳</strong></big>"
Makkot 13a:8,"מַתְנִי' אֵלּוּ הֵן הַלּוֹקִין: הַבָּא עַל אֲחוֹתוֹ, וְעַל אֲחוֹת אָבִיו, וְעַל אֲחוֹת אִמּוֹ, וְעַל אֲחוֹת אִשְׁתּוֹ, וְעַל אֵשֶׁת אָחִיו, וְעַל אֵשֶׁת אֲחִי אָבִיו, וְעַל הַנִּדָּה. אַלְמָנָה לְכֹהֵן גָּדוֹל, גְּרוּשָׁה וַחֲלוּצָה לְכֹהֵן הֶדְיוֹט, מַמְזֶרֶת וּנְתִינָה לְיִשְׂרָאֵל, בַּת יִשְׂרָאֵל לְנָתִין וּלְמַמְזֵר",מתני׳ <big><strong>ואלו</strong></big> הן הלוקין הבא על אחותו ועל אחות אביו ועל אחות אמו ועל אחות אשתו ועל אשת אחיו ועל אשת אחי אביו ועל הנדה אלמנה לכהן גדול גרושה וחלוצה לכהן הדיוט ממזרת ונתינה לישראל בת ישראל לנתין ולממזר
Tamid 25b:1,,מתני׳ <big><strong>בשלשה</strong></big> מקומות הכהנים שומרים בבית המקדש בית אבטינס בית הניצוץ בית המוקד בבית אבטינס ובבית הניצוץ היו עליות הרובים שומרים שם
Tamid 32b:8,אָמַר לָהֶם הַמְמוּנֶּה בָּרְכוּ בְּרָכָה אַחַת וְהֵם בֵּרְכוּ קָרְאוּ עֲשֶׂרֶת הַדִּבְּרוֹת שְׁמַע וְהָיָה אִם שָׁמוֹעַ וַיֹּאמֶר,<big><strong>א אמר</strong></big> להם הממונה ברכו ברכה אחת והם ברכו קראו עשרת הדברות שמע והיה אם שמוע ויאמר
Tamid 32b:10,אָמַר לָהֶם חֲדָשִׁים לִקְטֹרֶת בּוֹאוּ וְהָפִיסוּ זָכָה מִי שֶׁזָּכָה אָמַר לָהֶם חֲדָשִׁים עִם יְשָׁנִים בּוֹאוּ וְהָפִיסוּ מִי מַעֲלֶה אֵבָרִים מִן הַכֶּבֶשׁ לַמִּזְבֵּחַ רַבִּי אֱלִיעֶזֶר בֶּן יַעֲקֹב אוֹמֵר הַמַּעֲלֶה אֵבָרִים לַכֶּבֶשׁ הוּא מַעֲלֶה אוֹתָן עַל גַּבֵּי הַמִּזְבֵּחַ,"<big><strong>ב</strong></big> אמר להם חדשים לקטרת בואו והפיסו זכה מי שזכה אמר להם חדשים עם ישנים בואו והפיסו מי מעלה אברים מן הכבש למזבח ר""א בן יעקב אומר המעלה אברים לכבש הוא מעלה אותן ע""ג המזבח:"
Tamid 33a:2,מִי שֶׁזָּכָה בַּמַּחְתָּה נָטַל מַחְתַּת הַכֶּסֶף וְעָלָה לְרֹאשׁ הַמִּזְבֵּחַ וּפִנָּה אֶת הַגֶּחָלִים הֵילָךְ [וְהֵילָךְ] וְחָתָה (מִן הַמְאוּכָּלוֹת הַפְּנִימִיּוֹת) יָרַד וְעֵירָן לְתוֹךְ שֶׁל זָהָב נִתְפַּזֵּר מִמֶּנּוּ כְּקַב גֶּחָלִים וְהָיָה מְכַבְּדָן לָאַמָּה,<big><strong>ה</strong></big> מי שזכה במחתה נטל מחתת הכסף ועלה לראש המזבח ופנה את הגחלים הילך וחתה מן המאוכלות הפנימיות ירד ועירן לתוך של זהב נתפזר ממנה כקב גחלים והיה מכבדן לאמה
Tamid 33a:5,הִגִּיעוּ בֵּין הָאוּלָם וְלַמִּזְבֵּחַ נָטַל אֶחָד אֶת הַמַּגְרֵפָה וּזְרָקָהּ בֵּין הָאוּלָם וְלַמִּזְבֵּחַ אֵין אָדָם שׁוֹמֵעַ קוֹל חֲבֵירוֹ בִּירוּשָׁלַיִם מִקּוֹל הַמַּגְרֵפָה,<big><strong>ו</strong></big> הגיעו בין האולם ולמזבח נטל אחד את המגרפה וזרקה בין האולם ולמזבח אין אדם שומע קול חברו בירושלים מקול המגרפה
Tamid 33a:8,הֵחֵלּוּ עוֹלִים בְּמַעֲלוֹת הָאוּלָם מִי שֶׁזָּכוּ בְּדִישּׁוּן מִזְבֵּחַ הַפְּנִימִי וְהַמְּנוֹרָה הָיוּ מַקְדִּימִים לִפְנֵיהֶם מִי שֶׁזָּכָה בְּדִישּׁוּן מִזְבֵּחַ הַפְּנִימִי נִכְנַס וְנָטַל אֶת הַטְּנִי וְהִשְׁתַּחֲוָה וְיָצָא,<big><strong>א החלו</strong></big> עולים במעלות האולם מי שזכו בדישון מזבח הפנימי והמנורה היו מקדימים לפניהם מי שזכה בדישון מזבח הפנימי נכנס ונטל את הטני והשתחוה ויצא
Tamid 33a:10,מִי שֶׁזָּכָה בַּמַּחְתָּה צָבַר אֶת הַגֶּחָלִים עַל גַּבֵּי הַמִּזְבֵּחַ וְרִדְדָּן בְּשׁוּלֵי הַמַּחְתָּה וְהִשְׁתַּחֲוָה וְיָצָא,<big><strong>ב</strong></big> מי שזכה במחתה צבר את הגחלים על גבי המזבח ורדדן בשולי המחתה והשתחוה ויצא:
