1/1/2021,Kings 10,I Kings 11:28,I Kings 12:23
2/1/2021,Parasha,,
3/1/2021,Kings 11,I Kings 12:24,I Kings 13:30
4/1/2021,Kings 12,I Kings 13:31,I Kings 15:7
5/1/2021,Kings 13,I Kings 15:8,I Kings 16:14
6/1/2021,Kings 14,I Kings 16:15,I Kings 17:23
7/1/2021,Kings 15,I Kings 17:24,I Kings 18:38
8/1/2021,Kings 16,I Kings 18:39,I Kings 20:12
9/1/2021,Parasha,,
10/1/2021,Kings 17,I Kings 20:13,I Kings 21:16
11/1/2021,Kings 18,I Kings 21:17,I Kings 22:42
12/1/2021,Kings 19,I Kings 22:43,II Kings 2:14
13/1/2021,Kings 20,II Kings 2:15,II Kings 4:25
14/1/2021,Kings 21,II Kings 4:26,II Kings 6:22
15/1/2021,Kings 22,II Kings 6:23,II Kings 7:15
16/1/2021,Parasha,,
17/1/2021,Kings 23,II Kings 7:16,II Kings 9:12
18/1/2021,Kings 24,II Kings 9:13,II Kings 10:14
19/1/2021,Kings 25,II Kings 10:15,II Kings 12:2
20/1/2021,Kings 26,II Kings 12:3,II Kings 13:22
21/1/2021,Kings 27,II Kings 13:23,II Kings 15:6
22/1/2021,Kings 28,II Kings 15:7,II Kings 16:19
23/1/2021,Parasha,,
24/1/2021,Kings 29,II Kings 16:20,II Kings 18:5
25/1/2021,Kings 30,II Kings 18:6,II Kings 19:18
26/1/2021,Kings 31,II Kings 19:19,II Kings 20:7
27/1/2021,Kings 32,II Kings 20:8,II Kings 22:1
28/1/2021,Kings 33,II Kings 22:2,II Kings 23:24
29/1/2021,Kings 34,II Kings 23:25,II Kings 24:17
30/1/2021,Parasha,,
31/1/2021,Kings 35,II Kings 24:18,II Kings 25:30
1/2/2021,Isaiah 1,Isaiah 1:1,Isaiah 4:2
2/2/2021,Isaiah 2,Isaiah 4:3,Isaiah 6:2
3/2/2021,Isaiah 3,Isaiah 6:3,Isaiah 9:5
4/2/2021,Isaiah 4,Isaiah 9:6,Isaiah 11:1
5/2/2021,Isaiah 5,Isaiah 11:2,Isaiah 14:1
6/2/2021,Parasha,,
7/2/2021,Isaiah 6,Isaiah 14:2,Isaiah 16:4
8/2/2021,Isaiah 7,Isaiah 16:5,Isaiah 19:24
9/2/2021,Isaiah 8,Isaiah 19:25,Isaiah 22:22
10/2/2021,Isaiah 9,Isaiah 22:23,Isaiah 24:22
11/2/2021,Isaiah 10,Isaiah 24:23,Isaiah 27:12
12/2/2021,Isaiah 11,Isaiah 27:13,Isaiah 29:22
13/2/2021,Parasha,,
14/2/2021,Isaiah 12,Isaiah 29:23,Isaiah 32:17
15/2/2021,Isaiah 13,Isaiah 32:18,Isaiah 35:9
16/2/2021,Isaiah 14,Isaiah 35:10,Isaiah 37:19
17/2/2021,Isaiah 15,Isaiah 37:20,Isaiah 39:8
18/2/2021,Isaiah 16,Isaiah 40:1,Isaiah 41:26
19/2/2021,Isaiah 17,Isaiah 41:27,Isaiah 44:5
20/2/2021,Parasha,,
21/2/2021,Isaiah 18,Isaiah 44:6,Isaiah 45:16
22/2/2021,Isaiah 19,Isaiah 45:17,Isaiah 48:1
23/2/2021,Isaiah 20,Isaiah 48:2,Isaiah 49:25
24/2/2021,Isaiah 21,Isaiah 49:26,Isaiah 52:6
25/2/2021,Isaiah 22,Isaiah 52:7,Isaiah 55:12
26/2/2021,Parasha,,
27/2/2021,Parasha,,
28/2/2021,Isaiah 23,Isaiah 55:13,Isaiah 58:13
1/3/2021,Isaiah 24,Isaiah 58:14,Isaiah 61:8
2/3/2021,Isaiah 25,Isaiah 61:9,Isaiah 65:8
3/3/2021,Isaiah 26,Isaiah 65:9,Isaiah 66:24
4/3/2021,Jeremiah 1,Jeremiah 1:1,Jeremiah 3:3
5/3/2021,Jeremiah 2,Jeremiah 3:4,Jeremiah 4:31
6/3/2021,Parasha,,
7/3/2021,Jeremiah 3,Jeremiah 5:1,Jeremiah 6:1
8/3/2021,Jeremiah 4,Jeremiah 6:2,Jeremiah 7:22
9/3/2021,Jeremiah 5,Jeremiah 7:23,Jeremiah 9:22
10/3/2021,Jeremiah 6,Jeremiah 9:23,Jeremiah 12:14
11/3/2021,Jeremiah 7,Jeremiah 12:15,Jeremiah 14:21
12/3/2021,Jeremiah 8,Jeremiah 14:22,Jeremiah 17:6
13/3/2021,Parasha,,
14/3/2021,Jeremiah 9,Jeremiah 17:7,Jeremiah 18:18
15/3/2021,Jeremiah 10,Jeremiah 18:19,Jeremiah 20:12
16/3/2021,Jeremiah 11,Jeremiah 20:13,Jeremiah 23:5
17/3/2021,Jeremiah 12,Jeremiah 23:6,Jeremiah 24:6
18/3/2021,Jeremiah 13,Jeremiah 24:7,Jeremiah 25:38
19/3/2021,Jeremiah 14,Jeremiah 26:1,Jeremiah 27:4
20/3/2021,Parasha,,
21/3/2021,Jeremiah 15,Jeremiah 27:5,Jeremiah 29:6
22/3/2021,Jeremiah 16,Jeremiah 29:7,Jeremiah 30:8
23/3/2021,Jeremiah 17,Jeremiah 30:9,Jeremiah 31:31
24/3/2021,Jeremiah 18,Jeremiah 31:32,Jeremiah 32:21
25/3/2021,Jeremiah 19,Jeremiah 32:22,Jeremiah 33:15
26/3/2021,Jeremiah 20,Jeremiah 33:16,Jeremiah 35:9
27/3/2021,Parasha,,
28/3/2021,Parasha,,
29/3/2021,Jeremiah 21,Jeremiah 35:10,Jeremiah 36:25
30/3/2021,Jeremiah 22,Jeremiah 36:26,Jeremiah 38:7
31/3/2021,Jeremiah 23,Jeremiah 38:8,Jeremiah 39:17
1/4/2021,Jeremiah 24,Jeremiah 39:18,Jeremiah 42:11
2/4/2021,Jeremiah 25,Jeremiah 42:12,Jeremiah 44:19
3/4/2021,Parasha,,
4/4/2021,Jeremiah 26,Jeremiah 44:20,Jeremiah 46:26
5/4/2021,Jeremiah 27,Jeremiah 46:27,Jeremiah 49:1
6/4/2021,Jeremiah 28,Jeremiah 49:2,Jeremiah 50:4
7/4/2021,Jeremiah 29,Jeremiah 50:5,Jeremiah 51:9
8/4/2021,Jeremiah 30,Jeremiah 51:10,Jeremiah 51:58
9/4/2021,Jeremiah 31,Jeremiah 51:59,Jeremiah 52:34
10/4/2021,Parasha,,
11/4/2021,Ezekiel 1,Ezekiel 1:1,Ezekiel 3:11
12/4/2021,Ezekiel 2,Ezekiel 3:12,Ezekiel 5:17
13/4/2021,Ezekiel 3,Ezekiel 6:1,Ezekiel 7:27
14/4/2021,Ezekiel 4,Ezekiel 8:1,Ezekiel 9:11
15/4/2021,Parasha,,
16/4/2021,Ezekiel 5,Ezekiel 10:1,Ezekiel 11:19
17/4/2021,Parasha,,
18/4/2021,Ezekiel 6,Ezekiel 11:20,Ezekiel 13:23
19/4/2021,Ezekiel 7,Ezekiel 14:1,Ezekiel 16:13
20/4/2021,Ezekiel 8,Ezekiel 16:14,Ezekiel 16:59
21/4/2021,Ezekiel 9,Ezekiel 16:60,Ezekiel 18:8
22/4/2021,Ezekiel 10,Ezekiel 18:9,Ezekiel 19:14
23/4/2021,Ezekiel 11,Ezekiel 20:1,Ezekiel 20:40
24/4/2021,Parasha,,
25/4/2021,Ezekiel 12,Ezekiel 20:41,Ezekiel 22:15
26/4/2021,Ezekiel 13,Ezekiel 22:16,Ezekiel 23:26
27/4/2021,Ezekiel 14,Ezekiel 23:27,Ezekiel 24:23
28/4/2021,Ezekiel 15,Ezekiel 24:24,Ezekiel 26:19
29/4/2021,Ezekiel 16,Ezekiel 26:20,Ezekiel 28:12
30/4/2021,Ezekiel 17,Ezekiel 28:13,Ezekiel 29:20
1/5/2021,Parasha,,
2/5/2021,Ezekiel 18,Ezekiel 29:21,Ezekiel 31:18
3/5/2021,Ezekiel 19,Ezekiel 32:1,Ezekiel 33:15
4/5/2021,Ezekiel 20,Ezekiel 33:16,Ezekiel 34:25
5/5/2021,Ezekiel 21,Ezekiel 34:26,Ezekiel 36:24
6/5/2021,Ezekiel 22,Ezekiel 36:25,Ezekiel 37:27
7/5/2021,Ezekiel 23,Ezekiel 37:28,Ezekiel 39:21
8/5/2021,Parasha,,
9/5/2021,Ezekiel 24,Ezekiel 39:22,Ezekiel 40:44
10/5/2021,Ezekiel 25,Ezekiel 40:45,Ezekiel 42:12
11/5/2021,Ezekiel 26,Ezekiel 42:13,Ezekiel 43:26
12/5/2021,Ezekiel 27,Ezekiel 43:27,Ezekiel 45:14
