Date,DoW,He Date,Ref
6/13/2016,Mon,7 Sivan 5776,OC 1:1-3
6/14/2016,Tue,8 Sivan 5776,OC 1:4-6
6/15/2016,Wed,9 Sivan 5776,OC 1:7-9
6/16/2016,Thu,10 Sivan 5776,OC 2:1-3
6/17/2016,Fri,11 Sivan 5776,OC 2:4-6
6/18/2016,Shab,12 Sivan 5776,OC 3:1-3
6/19/2016,Sun,13 Sivan 5776,OC 3:4-6
6/20/2016,Mon,14 Sivan 5776,OC 3:7-9
6/21/2016,Tue,15 Sivan 5776,OC 3:10-12
6/22/2016,Wed,16 Sivan 5776,OC 3:13-15
6/23/2016,Thu,17 Sivan 5776,OC 3:16 - 4:1
6/24/2016,Fri,18 Sivan 5776,OC 4:2-4
6/25/2016,Shab,19 Sivan 5776,OC 4:5-7
6/26/2016,Sun,20 Sivan 5776,OC 4:8-10
6/27/2016,Mon,21 Sivan 5776,OC 4:11-13
6/28/2016,Tue,22 Sivan 5776,OC 4:14-16
6/29/2016,Wed,23 Sivan 5776,OC 4:17-19
6/30/2016,Thu,24 Sivan 5776,OC 4:20-22
7/1/2016,Fri,25 Sivan 5776,OC 4:23 - 6:1
7/2/2016,Shab,26 Sivan 5776,OC 6:2-4
7/3/2016,Sun,27 Sivan 5776,OC 7:1-3
7/4/2016,Mon,28 Sivan 5776,OC 7:4 - 8:2
7/5/2016,Tue,29 Sivan 5776,OC 8:3-5
7/6/2016,Wed,30 Sivan 5776,OC 8:6-8
7/7/2016,Thu,1 Tamuz 5776,OC 8:9-11
7/8/2016,Fri,2 Tamuz 5776,OC 8:12-14
7/9/2016,Shab,3 Tamuz 5776,OC 8:15-17
7/10/2016,Sun,4 Tamuz 5776,OC 9:1-3
7/11/2016,Mon,5 Tamuz 5776,OC 9:4-6
7/12/2016,Tue,6 Tamuz 5776,OC 10:1-3
7/13/2016,Wed,7 Tamuz 5776,OC 10:4-6
7/14/2016,Thu,8 Tamuz 5776,OC 10:7-9
7/15/2016,Fri,9 Tamuz 5776,OC 10:10-12
7/16/2016,Shab,10 Tamuz 5776,OC 11:1-3
7/17/2016,Sun,11 Tamuz 5776,OC 11:4-6
7/18/2016,Mon,12 Tamuz 5776,OC 11:7-9
7/19/2016,Tue,13 Tamuz 5776,OC 11:10-12
7/20/2016,Wed,14 Tamuz 5776,OC 11:13-15
7/21/2016,Thu,15 Tamuz 5776,OC 12:1-3
7/22/2016,Fri,16 Tamuz 5776,OC 13:1-3
7/23/2016,Shab,17 Tamuz 5776,OC 14:1-3
7/24/2016,Sun,18 Tamuz 5776,OC 14:4 - 15:1
7/25/2016,Mon,19 Tamuz 5776,OC 15:2-4
7/26/2016,Tue,20 Tamuz 5776,OC 15:5 - 16:1
7/27/2016,Wed,21 Tamuz 5776,OC 17:1-3
7/28/2016,Thu,22 Tamuz 5776,OC 18:1-3
7/29/2016,Fri,23 Tamuz 5776,OC 19:1 - 20:1
7/30/2016,Shab,24 Tamuz 5776,OC 20:2 - 21:2
7/31/2016,Sun,25 Tamuz 5776,OC 21:3 - 22:1
8/1/2016,Mon,26 Tamuz 5776,OC 23:1-3
8/2/2016,Tue,27 Tamuz 5776,OC 24:1-3
8/3/2016,Wed,28 Tamuz 5776,OC 24:4-6
8/4/2016,Thu,29 Tamuz 5776,OC 25:1-3
8/5/2016,Fri,1 Av 5776,OC 25:4-6
8/6/2016,Shab,2 Av 5776,OC 25:7-9
8/7/2016,Sun,3 Av 5776,OC 25:10-12
8/8/2016,Mon,4 Av 5776,OC 25:13 - 26:2
8/9/2016,Tue,5 Av 5776,OC 27:1-3
8/10/2016,Wed,6 Av 5776,OC 27:4-6
8/11/2016,Thu,7 Av 5776,OC 27:7-9
8/12/2016,Fri,8 Av 5776,OC 27:10 - 28:1
8/13/2016,Shab,9 Av 5776,OC 28:2 - 29:1
8/14/2016,Sun,10 Av 5776,OC 30:1-3
8/15/2016,Mon,11 Av 5776,OC 30:4 - 31:1
8/16/2016,Tue,12 Av 5776,OC 31:2 - 32:2
8/17/2016,Wed,13 Av 5776,OC 32:3-5
8/18/2016,Thu,14 Av 5776,OC 32:6-8
8/19/2016,Fri,15 Av 5776,OC 32:9-11
