Week #,Secular Date,Day Of Week,Hebrew Date,Daf,Parsha
1,03/06/2005,Su,אדר א 25 5765,ברכות ב,פקודי
2,03/13/2005,Su,אדר ב 2 5765,ברכות ג,ויקרא
3,03/20/2005,Su,אדר ב 9 5765,ברכות ד,צו
4,03/27/2005,Su,אדר ב 16 5765,ברכות ה,שמיני
5,04/03/2005,Su,אדר ב 23 5765,ברכות ו,תזריע
6,04/10/2005,Su,ניסן 1 5765,ברכות ז,מצורע
7,04/17/2005,Su,ניסן 8 5765,ברכות ח,אחרי מות
8,04/24/2005,Su,ניסן 15 5765,ברכות ט,פסח
9,05/01/2005,Su,ניסן 22 5765,ברכות י,קדשים
10,05/08/2005,Su,ניסן 29 5765,ברכות יא,אמור
11,05/15/2005,Su,אייר 6 5765,ברכות יב,בהר
12,05/22/2005,Su,אייר 13 5765,ברכות יג,בחקתי
13,05/29/2005,Su,אייר 20 5765,ברכות יד,במדבר
14,06/05/2005,Su,אייר 27 5765,ברכות טו,נשא
15,06/12/2005,Su,סיון 5 5765,ברכות טז,בהעלתך
16,06/19/2005,Su,סיון 12 5765,ברכות יז,שלח לך
17,06/26/2005,Su,סיון 19 5765,ברכות יח,קרח
18,07/03/2005,Su,סיון 26 5765,ברכות יט,חקת
19,07/10/2005,Su,תמוז 3 5765,ברכות כ,בלק
20,07/17/2005,Su,תמוז 10 5765,ברכות כא,פינחס
21,07/24/2005,Su,תמוז 17 5765,ברכות כב,מטות
22,07/31/2005,Su,תמוז 24 5765,ברכות כג,מסעי
23,08/07/2005,Su,אב 2 5765,ברכות כד,דברים
24,08/14/2005,Su,אב 9 5765,ברכות כה,ואתחנן
25,08/21/2005,Su,אב 16 5765,ברכות כו,עקב
26,08/28/2005,Su,אב 23 5765,ברכות כז,ראה
27,09/04/2005,Su,אב 30 5765,ברכות כח,שופטים
28,09/11/2005,Su,אלול 7 5765,ברכות כט,כי תצא
29,09/18/2005,Su,אלול 14 5765,ברכות ל,כי תבוא
30,09/25/2005,Su,אלול 21 5765,ברכות לא,נצבים
31,10/02/2005,Su,אלול 28 5765,ברכות לב,וילך
32,10/09/2005,Su,תשרי 6 5766,ברכות לג,האזינו
33,10/16/2005,Su,תשרי 13 5766,ברכות לד,"חוה""מ סוכות"
34,10/23/2005,Su,תשרי 20 5766,ברכות לה,בראשית
35,10/30/2005,Su,תשרי 27 5766,ברכות לו,נח
36,11/06/2005,Su,חשון 4 5766,ברכות לז,לך לך
37,11/13/2005,Su,חשון 11 5766,ברכות לח,וירא
38,11/20/2005,Su,חשון 18 5766,ברכות לט,חיי שרה
39,11/27/2005,Su,חשון 25 5766,ברכות מ,תולדת
40,12/04/2005,Su,כסלו 3 5766,ברכות מא,ויצא
41,12/11/2005,Su,כסלו 10 5766,ברכות מב,וישלח
42,12/18/2005,Su,כסלו 17 5766,ברכות מג,וישב
43,12/25/2005,Su,כסלו 24 5766,ברכות מד,מקץ
44,01/01/2006,Su,טבת 1 5766,ברכות מה,ויגש
45,01/08/2006,Su,טבת 8 5766,ברכות מו,ויחי
46,01/15/2006,Su,טבת 15 5766,ברכות מז,שמות
47,01/22/2006,Su,טבת 22 5766,ברכות מח,וארא
48,01/29/2006,Su,טבת 29 5766,ברכות מט,בא
49,02/05/2006,Su,שבט 7 5766,ברכות נ,בשלח
50,02/12/2006,Su,שבט 14 5766,ברכות נא,יתרו
51,02/19/2006,Su,שבט 21 5766,ברכות נב,משפטים
52,02/26/2006,Su,שבט 28 5766,ברכות נג,תרומה
53,03/05/2006,Su,אדר 5 5766,ברכות נד,תצוה
54,03/12/2006,Su,אדר 12 5766,ברכות נה,כי תשא
55,03/19/2006,Su,אדר 19 5766,ברכות נו,ויקהל-פקודי
56,03/26/2006,Su,אדר 26 5766,ברכות נז,ויקרא
57,04/02/2006,Su,ניסן 4 5766,ברכות נח,צו
58,04/09/2006,Su,ניסן 11 5766,ברכות נט,"חוה""מ פסח"
59,04/16/2006,Su,ניסן 18 5766,ברכות ס,שמיני
60,04/23/2006,Su,ניסן 25 5766,ברכות סא,תזריע-מצורע
61,04/30/2006,Su,אייר 2 5766,ברכות סב,אחרי מות-קדשים
62,05/07/2006,Su,אייר 9 5766,ברכות סג,אמור
63,05/14/2006,Su,אייר 16 5766,ברכות סד,בהר-בחקתי
64,05/21/2006,Su,אייר 23 5766,שבת ב,במדבר
65,05/28/2006,Su,סיון 1 5766,שבת ג,שבועות
66,06/04/2006,Su,סיון 8 5766,שבת ד,נשא
67,06/11/2006,Su,סיון 15 5766,שבת ה,בהעלתך
68,06/18/2006,Su,סיון 22 5766,שבת ו,שלח לך
69,06/25/2006,Su,סיון 29 5766,שבת ז,קרח
70,07/02/2006,Su,תמוז 6 5766,שבת ח,חקת-בלק
71,07/09/2006,Su,תמוז 13 5766,שבת ט,פינחס
72,07/16/2006,Su,תמוז 20 5766,שבת י,מטות-מסעי
73,07/23/2006,Su,תמוז 27 5766,שבת יא,דברים
74,07/30/2006,Su,אב 5 5766,שבת יב,ואתחנן
75,08/06/2006,Su,אב 12 5766,שבת יג,עקב
76,08/13/2006,Su,אב 19 5766,שבת יד,ראה
77,08/20/2006,Su,אב 26 5766,שבת טו,שופטים
78,08/27/2006,Su,אלול 3 5766,שבת טז,כי תצא
79,09/03/2006,Su,אלול 10 5766,שבת יז,כי תבוא
80,09/10/2006,Su,אלול 17 5766,שבת יח,נצבים-וילך
81,09/17/2006,Su,אלול 24 5766,שבת יט,ראש השנה
82,09/24/2006,Su,תשרי 2 5767,שבת כ,האזינו
83,10/01/2006,Su,תשרי 9 5767,שבת כא,סוכות
84,10/08/2006,Su,תשרי 16 5767,שבת כב,שמיני עצרת
