נכון_לתאריך,2017-11-01 22:57:45
טבלה,סמל_ישוב,שם_ישוב,סמל_רחוב,שם_רחוב
טבלת רחובות ,967  ,אבו ג'ווייעד )שבט(  ,9000 ,אבו ג'ווייעד )שבט(
טבלת רחובות ,472  ,אבו גוש             ,9000 ,אבו גוש
טבלת רחובות ,472  ,אבו גוש             ,159  ,אל רשיד
טבלת רחובות ,472  ,אבו גוש             ,142  ,אל-חנאא'
טבלת רחובות ,472  ,אבו גוש             ,144  ,אלעבד עלי
טבלת רחובות ,472  ,אבו גוש             ,134  ,בית הבד
טבלת רחובות ,472  ,אבו גוש             ,119  ,ג'בר
טבלת רחובות ,472  ,אבו גוש             ,161  ,דאוד עבדאללה
טבלת רחובות ,472  ,אבו גוש             ,147  ,דולב
טבלת רחובות ,472  ,אבו גוש             ,130  ,דרך הגוש
טבלת רחובות ,472  ,אבו גוש             ,101  ,דרך השלום
טבלת רחובות ,472  ,אבו גוש             ,105  ,דרך מעלה החמשה
טבלת רחובות ,472  ,אבו גוש             ,109  ,האגוז
טבלת רחובות ,472  ,אבו גוש             ,151  ,האורנים
טבלת רחובות ,472  ,אבו גוש             ,150  ,האיריס
טבלת רחובות ,472  ,אבו גוש             ,149  ,האלה
טבלת רחובות ,472  ,אבו גוש             ,136  ,הארזים
טבלת רחובות ,472  ,אבו גוש             ,139  ,הארמונות
טבלת רחובות ,472  ,אבו גוש             ,123  ,הבושם
טבלת רחובות ,472  ,אבו גוש             ,153  ,הברוש
טבלת רחובות ,472  ,אבו גוש             ,117  ,הגורן
טבלת רחובות ,472  ,אבו גוש             ,124  ,הגנים
טבלת רחובות ,472  ,אבו גוש             ,137  ,הגפנים
טבלת רחובות ,472  ,אבו גוש             ,118  ,הדובדבנים
טבלת רחובות ,472  ,אבו גוש             ,102  ,הוואדי
טבלת רחובות ,472  ,אבו גוש             ,140  ,הורד
טבלת רחובות ,472  ,אבו גוש             ,106  ,הזיתים
טבלת רחובות ,472  ,אבו גוש             ,132  ,החווה
טבלת רחובות ,472  ,אבו גוש             ,112  ,החומה
טבלת רחובות ,472  ,אבו גוש             ,162  ,החרוב
טבלת רחובות ,472  ,אבו גוש             ,116  ,הלימון
טבלת רחובות ,472  ,אבו גוש             ,111  ,המאפיה הישנה
טבלת רחובות ,472  ,אבו גוש             ,138  ,המעברה
טבלת רחובות ,472  ,אבו גוש             ,154  ,המפעל
טבלת רחובות ,472  ,אבו גוש             ,129  ,המצפה
טבלת רחובות ,472  ,אבו גוש             ,127  ,המשתלה
טבלת רחובות ,472  ,אבו גוש             ,158  ,הנענע
טבלת רחובות ,472  ,אבו גוש             ,156  ,הנרקיס
טבלת רחובות ,472  ,אבו גוש             ,148  ,העוזרד
טבלת רחובות ,472  ,אבו גוש             ,108  ,הפול
טבלת רחובות ,472  ,אבו גוש             ,157  ,הפרחים
טבלת רחובות ,472  ,אבו גוש             ,114  ,הרימונים
טבלת רחובות ,472  ,אבו גוש             ,115  ,השדות
טבלת רחובות ,472  ,אבו גוש             ,135  ,השושן
טבלת רחובות ,472  ,אבו גוש             ,146  ,השזיף
