Vocalized Punctuation,William Davidson Edition - Aramaic,Difference in word count
Niddah 20a:16,"בַּר קַפָּרָא אָמַר: וְכוּלָּן, עָמוֹק מִכֵּן — טָמֵא, דֵּיהֶה מִכֵּן — טָהוֹר. חוּץ מִמֶּזֶג שֶׁעָמוֹק מִכֵּן — טָהוֹר, דֵּיהֶה מִכֵּן — טָהוֹר. בַּר קַפָּרָא, אֲדִיהוּ לֵיהּ — וְדַכִּי. אַעֲמִיקוּ לֵיהּ — וְדַכִּי. אָמַר רַבִּי חֲנִינָא כַּמָּה נְפִישׁ גַּבְרָא דְּלִבֵּיהּ כִּ(מ)שְׁמַעְתֵּיהּ!",בר קפרא אמר וכולן עמוק מכן טמא דיהה מכן טהור חוץ ממזג שעמוק מכן טהור דיהה מכן טהור בר קפרא אדיהו ליה ודכי אעמיקו ליה ודכי אמר רבי חנינא כמה נפיש גברא דלביה כמשמעתיה,-6
Niddah 24b:17,"תַּנְיָא, אַבָּא שָׁאוּל אוֹמֵר: קוֹבֵר מֵתִים הָיִיתִי, וְהָיִיתִי מִסְתַּכֵּל בַּעֲצָמוֹת שֶׁל מֵתִים. הַשּׁוֹתֶה יַיִן חַי — עַצְמוֹתָיו שְׂרוּפִין, מָזוּג — עַצְמוֹתָיו סְכוּיִין, כָּרָאוּי — עַצְמוֹתָיו מְשׁוּחִין. וְכׇל מִי שֶׁשְּׁתִיָּיתוֹ מְרוּבָּה מַאֲכִילָתוֹ — עַצְמוֹתָיו שְׂרוּפִין, אֲכִילָתוֹ מְרוּבָּה מִשְּׁתִיָּיתוֹ — עַצְמוֹתָיו סְכוּיִין, כָּרָאוּי — עַצְמוֹתָיו מְשׁוּחִין.",תניא אבא שאול אומר קובר מתים הייתי והייתי מסתכל בעצמות של מתים השותה יין חי עצמותיו שרופין מזוג עצמותיו סכויין כראוי עצמותיו משוחין וכל מי ששתייתו מרובה מאכילתו עצמותיו שרופין אכילתו מרובה משתייתו עצמותיו סכויין כראוי עצמותיו משוחין,-6
Niddah 26a:9,"רַב הוּנָא בַּר תַּחְלִיפָא מִשְּׁמֵיהּ דְּרָבָא אָמַר: אֲפִילּוּ תֵּימָא מְצוּמְצָמִין. וְאֵיפוֹךְ שְׁמַעְתָּתָא: גַּבֵּי בְּכוֹרוֹת — שֶׁיָּצְאוּ דֶּרֶךְ מַרְגְּלוֹתֵיהֶם, וָלָד דְּאִית בֵּיהּ חִיּוּתָא — סָרֵיךְ, וְלָא נָפֵיק. סַנְדָּל, דְּלֵית בֵּיהּ חִיּוּתָא — שָׁרֵיק וְנָפֵיק. גַּבֵּי כָּרֵיתוֹת — שֶׁיָּצְאוּ דֶּרֶךְ רָאשֵׁיהֶן, וָלָד, דְּאִית בֵּיהּ חִיּוּתָא — מִדְּנָפֵיק רֵישֵׁיהּ, הָוְיָא לֵידָה. סַנְדָּל — עַד דְּנָפֵיק רוּבֵּיהּ.",רב הונא בר תחליפא משמיה דרבא אמר אפילו תימא מצומצמין ואיפוך שמעתתא גבי בכורות שיצאו דרך מרגלותיהם ולד דאית ביה חיותא סריך ולא נפיק סנדל דלית ביה חיותא שריק ונפיק גבי כריתות שיצאו דרך ראשיהן ולד דאית ביה חיותא מדנפיק רישיה הויא לידה סנדל עד דנפיק רוביה,-6
Niddah 33b:16,"<strong><big>גְּמָ'</big></strong> אִיבַּעְיָא לְהוּ: סְתָמָא, מַאי? תָּא שְׁמַע: בְּנוֹת צַדּוּקִין, בִּזְמַן שֶׁנּוֹהֲגוֹת לָלֶכֶת בְּדַרְכֵי אֲבוֹתֵיהֶן — הֲרֵי הֵן כְּכוּתִיּוֹת: — הָא סְתָמָא — כְּיִשְׂרְאֵלִיּוֹת. אֵימָא סֵיפָא: פֵּרְשׁוּ לָלֶכֶת בְּדַרְכֵי יִשְׂרָאֵל — הֲרֵי הֵן כְּיִשְׂרְאֵלִיּוֹת: הָא סְתָמָא — כְּכוּתִיּוֹת! אֶלָּא מֵהָא לֵיכָּא לְמִשְׁמַע מִינַּהּ. ",גמ׳ איבעיא להו סתמא מאי תא שמע בנות צדוקין בזמן שנוהגות ללכת בדרכי אבותיהן הרי הן ככותיות הא סתמא כישראלית אימא סיפא פרשו ללכת בדרכי ישראל הרי הן כישראלית הא סתמא ככותיות אלא מהא ליכא למשמע מיניה,-6
Niddah 60b:18,"אָמַר רַבִּי יִרְמְיָה: מָשָׁל דְּרַבִּי אוֹשַׁעְיָא לְמָה הַדָּבָר דוֹמֶה? — לְיֶלֶד וְזָקֵן שֶׁהָיוּ מְהַלְּכִין בַּדֶּרֶךְ, כׇּל זְמַן שֶׁהָיוּ בַּדֶּרֶךְ — יֶלֶד שׁוֹהֶא לָבֹא. נִכְנְסוּ לָעִיר. — יֶלֶד מְמַהֵר לָבֹא וְאָמַר אַבָּיֵי מָשָׁל דְּרַבִּי אוֹשַׁעְיָא: לְמָה הַדָּבָר דוֹמֶה? — לְאָדָם שֶׁנּוֹתֵן אֶצְבַּע בָּעַיִן, כׇּל זְמַן שֶׁאֶצְבַּע בָּעַיִן — דִּמְעָה שׁוֹהָא לָבֹא, נָטַל הָאֶצְבַּע — דִּמְעָה מְמַהֶרֶת לָבֹא.",אמר רבי ירמיה משל דרבי אושעיא למה הדבר דומה לילד וזקן שהיו מהלכין בדרך כל זמן שהיו בדרך ילד שוהא לבא נכנסו לעיר ילד ממהר לבא ואמר אביי משל דרבי אושעיא למה הדבר דומה לאדם שנותן אצבע בעין כל זמן שאצבע בעין דמעה שוהא לבא נטל האצבע דמעה ממהרת לבא,-6
Niddah 65b:18,"שֶׁהָיָה רַבִּי מֵאִיר אוֹמֵר: מַרְאֵה דָמִים מְשׁוּנִּים הֵן זֶה מִזֶּה. כֵּיצַד? דַּם נִדָּה — אָדוֹם, דַּם בְּתוּלִים — אֵינוֹ אָדוֹם. דַּם נִדָּה — זִיהוּם, דַּם בְּתוּלִים — אֵינוֹ זִיהוּם. דַּם נִדָּה — בָּא מִן הַמָּקוֹר, דַּם בְּתוּלִים — בָּא מִן הַצְּדָדִין.",שהיה רבי מאיר אומר מראה דמים משונים הן זה מזה כיצד דם נדה אדום דם בתולים אינו אדום דם נדה זיהום דם בתולים אינו זיהום דם נדה בא מן המקור דם בתולים בא מן הצדדין,-6
Bekhorot 8a:12,"תָּנוּ רַבָּנַן: תַּרְנְגוֹלֶת לְעֶשְׂרִים וְאֶחָד יוֹם, וּכְנֶגְדָּהּ בָּאִילָן — לוּז. כֶּלֶב לַחֲמִשִּׁים יוֹם, וּכְנֶגְדּוֹ בָּאִילָן — תְּאֵינָה. חָתוּל — לַחֲמִשִּׁים וּשְׁנַיִם יוֹם, וּכְנֶגְדּוֹ בָּאִילָן — תּוּת. חֲזִיר — לְשִׁשִּׁים יוֹם, כְּנֶגְדּוֹ בָּאִילָן — תַּפּוּחַ. שׁוּעָל וְכׇל מִינֵי שְׁרָצִים — שִׁשָּׁה חֳדָשִׁים. וּכְנֶגְדָּם בָּאִילָן — תְּבוּאָה.",תנו רבנן תרנגולת לעשרים ואחד יום וכנגדה באילן לוז כלב לחמשים יום וכנגדו באילן תאינה חתול לחמשים ושנים יום וכנגדו באילן תות חזיר לששים יום כנגדו באילן תפוח שועל וכל מיני שרצים ששה חדשים וכנגדם באילן תבואה,-8
Bekhorot 8a:13,"בְּהֵמָה דַּקָּה טְהוֹרָה, — לַחֲמִשָּׁה חֳדָשִׁים, וּכְנֶגְדָּן בָּאִילָן — גֶּפֶן. בְּהֵמָה גַּסָּה טְמֵאָה, — לִשְׁנֵים עָשָׂר חוֹדֶשׁ, וּכְנֶגְדּוֹ בָּאִילָן — דֶּקֶל. טְהוֹרָה, — לְתִשְׁעָה חֳדָשִׁים, וּכְנֶגְדָּהּ בָּאִילָן — זַיִת. הַזְּאֵב וְהָאֲרִי וְהַדּוֹב וְהַנָּמֵר וְהַבַּרְדְּלָס וְהַפִּיל וְהַקּוֹף וְהַקִּיפוֹף — לְשָׁלֹשׁ שָׁנִים, וּכְנֶגְדָּן בָּאִילָן — בְּנוֹת שׁוּחַ.",בהמה דקה טהורה לחמשה חדשים וכנגדן באילן גפן בהמה גסה טמאה לשנים עשר חודש וכנגדו באילן דקל טהורה לתשעה חדשים וכנגדה באילן זית הזאב והארי והדוב והנמר והברדלס והפיל והקוף והקיפוף לשלש שנים וכנגדן באילן בנות שוח,-8
Bekhorot 19b:5,"מַתְנִי' <strong><big>הַלּוֹקֵחַ</big></strong> בְּהֵמָה מִן הַגּוֹי, וְאֵינוֹ יוֹדֵעַ אִם בִּיכְּרָה, אִם לֹא בִּיכְּרָה: רַבִּי יִשְׁמָעֵאל אוֹמֵר עֵז בַּת שְׁנָתָהּ — וַדַּאי לַכֹּהֵן. מִכָּאן וְאֵילָךְ, — סָפֵק. רָחֵל בַּת שְׁתַּיִם — וַדַּאי לַכֹּהֵן, מִכָּאן וְאֵילָךְ — סָפֵק. פָּרָה וַחֲמוֹר בְּנוֹת שָׁלֹשׁ — וַדַּאי לַכֹּהֵן, מִכָּאן וְאֵילָךְ — סָפֵק. ",מתני׳ הלוקח בהמה מן הגוי ואינו יודע אם ביכרה אם לא ביכרה רבי ישמעאל אומר עז בת שנתה ודאי לכהן מכאן ואילך ספק רחל בת שתים ודאי לכהן מכאן ואילך ספק פרה וחמור בנות שלש ודאי לכהן מכאן ואילך ספק ,-6
Bekhorot 20a:3,"תָּנוּ רַבָּנַן: עֵז, בַּת שְׁנָתָהּ — וַדַּאי לַכֹּהֵן. מִיכָּן וּלְהַלָּן, — סָפֵק. רָחֵל בַּת שְׁתַּיִם — וַדַּאי לַכֹּהֵן, מִיכָּן וּלְהַלָּן — סָפֵק. פָּרָה בַּת שָׁלֹשׁ — וַדַּאי לַכֹּהֵן, מִיכָּן וּלְהַלָּן — סָפֵק. חֲמוֹרָה — כְּפָרָה. רַבִּי יוֹסֵי בְּרַבִּי יְהוּדָה אוֹמֵר: חֲמוֹרָה בַּת אַרְבַּע שָׁנִים. עַד כָּאן דִּבְרֵי רַבִּי יִשְׁמָעֵאל.",תנו רבנן עז בת שנתה ודאי לכהן מיכן ולהלן ספק רחל בת שתים ודאי לכהן מיכן ולהלן ספק פרה בת שלש ודאי לכהן מיכן ולהלן ספק חמורה כפרה רבי יוסי ברבי יהודה אומר חמורה בת ארבע שנים עד כאן דברי רבי ישמעאל,-7
