Ref,Vocalized Punctuation
Niddah 56b:25,זֶה הַכְּלָל: דָּבָר שֶׁחֲשׁוּדִים בּוֹ — אֵין נֶאֱמָנִין עָלָיו.
Niddah 57a:1,"<big><strong>גְּמָ'</strong></big> מַאי דְּרוּשׁ? ""לֹא תַסִּיג גְּבוּל רֵעֲךָ אֲשֶׁר גָּבְלוּ רִאשֹׁנִים בְּנַחֲלָתְךָ""."
Makkot 4a:12,"""מְעִידִין אָנוּ בְּאִישׁ פְּלוֹנִי שֶׁהוּא חַיָּיב מַלְקוֹת אַרְבָּעִים"" וְנִמְצְאוּ זוֹמְמִין — לוֹקִין שְׁמוֹנִים, ""מִשּׁוּם לֹא תַעֲנֶה בְרֵעֲךָ עֵד"" שָׁקֶר, ""וּמִשּׁוּם וַעֲשִׂיתֶם לוֹ כַּאֲשֶׁר"" זָמַם, דִּבְרֵי רַבִּי מֵאִיר. וַחֲכָמִים אוֹמְרִים: אֵין לוֹקִין אֶלָּא אַרְבָּעִים."
Makkot 4b:1,"<big><strong>גְּמָ'</strong></big>  בִּשְׁלָמָא לְרַבָּנַן. כְּדֵי רִשְׁעָתוֹ"", כְּתִיב: מִשּׁוּם רִשְׁעָה אַחַת אַתָּה מְחַיְּיבוֹ, וְאִי אַתָּה מְחַיְּיבוֹ מִשּׁוּם שְׁתֵּי רִשְׁעָיוֹת. אֶלָּא רַבִּי מֵאִיר מַאי טַעְמָא?"
Makkot 13a:8,"מַתְנִי' <big><strong>אֵלּוּ הֵן הַלּוֹקִין</strong></big>: הַבָּא עַל אֲחוֹתוֹ, וְעַל אֲחוֹת אָבִיו, וְעַל אֲחוֹת אִמּוֹ, וְעַל אֲחוֹת אִשְׁתּוֹ, וְעַל אֵשֶׁת אָחִיו, וְעַל אֵשֶׁת אֲחִי אָבִיו, וְעַל הַנִּדָּה. אַלְמָנָה לְכֹהֵן גָּדוֹל, גְּרוּשָׁה וַחֲלוּצָה לְכֹהֵן הֶדְיוֹט, מַמְזֶרֶת וּנְתִינָה לְיִשְׂרָאֵל, בַּת יִשְׂרָאֵל לְנָתִין וּלְמַמְזֵר"
Bava Metzia 70b:1,<big><strong>מַתְנִי'</strong></big> אֵין מְקַבְּלִין צֹאן בַּרְזֶל מִיִּשְׂרָאֵל מִפְּנֵי שֶׁהוּא רִבִּית אֲבָל מְקַבְּלִין צֹאן בַּרְזֶל מִן הַגּוֹיִם
Bava Metzia 98b:16,וְכֵן בְּשָׁעָה שֶׁמַּחְזִירָהּ.
Bava Metzia 99a:1,"<big><strong>גְּמָ'</strong></big> בְּיַד עַבְדּוֹ — חַיָּיב, יַד עֶבֶד כְּיַד רַבּוֹ?"
Bava Metzia 118a:3,<big><strong>גְּמָ'</strong></big> נִפְחֲתָה רַב אָמַר בְּרוּבָּהּ וּשְׁמוּאֵל אָמַר בְּאַרְבַּע רַב אָמַר בְּרוּבָּהּ אֲבָל בְּאַרְבַּע אָדָם זוֹרֵעַ חֶצְיוֹ לְמַטָּה וְחֶצְיוֹ לְמַעְלָה וּשְׁמוּאֵל אָמַר בְּאַרְבַּע אֵין אָדָם זוֹרֵעַ חֶצְיוֹ לְמַטָּה וְחֶצְיוֹ לְמַעְלָה
Chullin 109a:9,"<big><strong>מַתְנִי'</strong></big> הַכְּחָל, — קוֹרְעוֹ, וּמוֹצִיא אֶת חֶלְבּוֹ. לֹא קְרָעוֹ — אֵינוֹ עוֹבֵר עָלָיו. הַלֵּב — קוֹרְעוֹ וּמוֹצִיא אֶת דָּמוֹ. לֹא קְרָעוֹ. — אֵינוֹ עוֹבֵר עָלָיו."
Keritot 8b:7,<big><strong>גְּמָ'</strong></big> שְׁנָא זָב וְזָבָה דְּמָנֵי לְהוֹן בִּתְרֵין מִשּׁוּם דַּחֲלוּקָהּ טוּמְאָתוֹ דְּזָב לָא מְטַמֵּא בְּאוֹנֶס וְזָבָה לָא מְטַמְּאָה בִּרְאִיּוֹת בְיָמִים
Keritot 14a:20,"<big><strong>מַתְנִי'</strong></big> יֵשׁ בָּא בִּיאָה אַחַת וְחַיָּיב עָלֶיהָ שֵׁשׁ חַטָּאוֹת, כֵּיצַד? הַבָּא עַל בִּתּוֹ חַיָּיב עָלֶיהָ מִשּׁוּם בִּתּוֹ, וַאֲחוֹתוֹ, אֵשֶׁת אָחִיו. וְאֵשֶׁת אֲחִי אָבִיו, וְאֵשֶׁת אִישׁ, וְנִדָּה."
Avodah Zarah 22a:11,"מַתְנִי' <big><strong>אֵין מַעֲמִידִין</strong></big> בְּהֵמָה בְּפוּנְדְּקָאוֹת שֶׁל גּוֹיִם, מִפְּנֵי שֶׁחֲשׁוּדִין עַל הָרְבִיעָה. וְלֹא תִּתְיַיחֵד אִשָּׁה עִמָּהֶן, מִפְּנֵי שֶׁחֲשׁוּדִין עַל הָעֲרָיוֹת. וְלֹא יִתְיַיחֵד אָדָם עִמָּהֶן, מִפְּנֵי שֶׁחֲשׁוּדִין עַל שְׁפִיכוּת דָּמִים."
Avodah Zarah 70b:12,"<big><strong>מַתְנִי'</strong></big> בּוֹלֶשֶׁת שֶׁנִּכְנְסָה לְעִיר, בִּשְׁעַת שָׁלוֹם, חָבִיּוֹת פְּתוּחוֹת — אֲסוּרוֹת, סְתוּמוֹת — מוּתָּרוֹת בִּשְׁעַת מִלְחָמָה — אֵלּוּ וְאֵלּוּ מוּתָּרוֹת, לְפִי שֶׁאֵין פְּנַאי לְנַסֵּךְ."
