Rashi on Numbers 31:16:2	חֵלֶק (דף ק"ו	חֵלֶק (סנהדרין דף ק"ו
Rashi on Numbers 31:16:2	חֵלֶק (דף ק"ו	חֵלֶק (סנהדרין דף ק"ו
�ן (דף נה:	עירובין בכיצד מעברין (עירובין דף נה:
Rashi on Sukkah 8b:3:1	מנחות בהקומץ רבה (דף לג:	מנחות בהקומץ רבה (מנחות דף לג:
Rashi on Sukkah 20a:11:2	פסחים באלו דברים (דף סו.	פסחים באלו דברים (פסחים דף סו.
Rashi on Sukkah 20b:7:2	ברכות בהרואה (דף סג.	ברכות בהרואה (ברכות דף סג.
Rashi on Sukkah 26b:1:1	גיטין בהניזקין (דף נח.	גיטין בהניזקין (גיטין דף נח.
Rashi on Megillah 22a:21:1	גיטין בהניזקין (דף נט:	גיטין בהניזקין (גיטין דף נט:
Rashi on Taanit 4a:10:1	סנהדרין בהנחנקין (דף פט:	סנהדרין בהנחנקין (סנהדרין דף פט:
Rashi on Makkot 5a:1:1	סנהדרין באלו הן הנחנקין (דף פט.	סנהדרין באלו הן הנחנקין (סנהדרין דף פט.
Rashi on Makkot 8b:1:1	כתובות באלו נערות (דף לב:	כתובות באלו נערות (כתובות דף לב:
Rashi on Makkot 9a:1:1	כתובות באלו נערות (דף לב:	כתובות באלו נערות (כתובות דף לב:
Rashi on Makkot 11a:19:1	זבחים באיזהו מקומן (דף נד:	זבחים באיזהו מקומן (זבחים דף נד:
Rashi on Makkot 19a:10:2	זבחים באיזהו מקומן (דף מט:	זבחים באיזהו מקומן (זבחים דף מט:
Rashi on Makkot 21a:12:4	נדה בבא סימן (דף נב.	נדה בבא סימן (נדה דף נב.
Rashi on Ketubot 25a:4:1	יבמות בהערל (דף עד:	יבמות בהערל (יבמות דף עד:
Rashi on Ketubot 29b:9:1	יבמות בהחולץ (דף מד:	יבמות בהחולץ (יבמות דף מד:
Rashi on Ketubot 40a:7:1	יבמות בהבא על יבמתו (דף סב:	יבמות בהבא על יבמתו (יבמות דף סב:
Rashi on Ketubot 105b:16:1	פסחים באלו דברים (דף סח.	פסחים באלו דברים (פסחים דף סח.
Tosafot on Ketubot 107b:15:1	נדרים באין בין המודר (דף לג:	נדרים באין בין המודר (נדרים דף לג:
Rashi on Zevachim 15b:12:3	מנחות בהקומץ רבה (דף כה.	מנחות בהקומץ רבה (מנחות דף כה.
Rashi on Zevachim 26a:10:6	פסחים בכיצד צולין (דף פב.	פסחים בכיצד צולין (פסחים דף פב.
Rashi on Zevachim 81a:9:3	מנחות בהקומץ רבה (דף כב.	מנחות בהקומץ רבה (מנחות דף כב.
Rashi on Zevachim 82b:15:1	מנחות בהקומץ רבה (דף כז:	מנחות בהקומץ רבה (מנחות דף כז:
Rashi on Zevachim 97b:4:3	פסחים בכל שעה (דף כד.	פסחים בכל שעה (פסחים דף כד.
Rashi on Zevachim 109b:1:1	מנחות בהקומץ רבה (דף כו.	מנחות בהקומץ רבה (מנחות דף כו.
Rashi on Zevachim 110b:4:1	יומא בהוציאו לו (דף ס.	יומא בהוציאו לו (יומא דף ס.
Rashi on Chullin 7a:5:2	יבמות בהערל (דף פב:	יבמות בהערל (יבמות דף פב:
Rashi on Chullin 15a:5:2	כתובות באלו נערות (דף לד:	כתובות באלו נערות (כתובות דף לד:
Rashi on Chullin 18b:5:3	ביצה באין צדין (דף כז.	ביצה באין צדין (ביצה דף כז.
Rashi on Chullin 18b:6:1	פסחים במקום שנהגו (דף נ.	פסחים במקום שנהגו (פסחים דף נ.
Rashi on Chullin 44a:4:1	בבא מציעא בהזהב (דף נט:	בבא מציעא בהזהב (בבא מציעא דף נט:
Rashi on Chullin 44b:8:2	גיטין בהניזקין (דף נז	גיטין בהניזקין (גיטין דף נז
Rashi on Chullin 77a:2:1	פסחים בכיצד צולין (דף פד.	פסחים בכיצד צולין (פסחים דף פד.
Rashi on Chullin 81b:6:3	כתובות באלו נערות (דף לה.	כתובות באלו נערות (כתובות דף לה.
Rashi on Chullin 82a:6:1	קדושין בהאיש מקדש (דף נו:	קדושין בהאיש מקדש (קדושין דף נו:
Rashi on Chullin 86a:4:4	ברכות בהרואה (דף נט.	ברכות בהרואה (ברכות דף נט.
Rashi on Chullin 129a:7:1	פסחים באלו עוברין (דף מה:	פסחים באלו עוברין (פסחים דף מה:
Rashi on Chullin 133a:7:1	יומא בטרף בקלפי (דף לט.	יומא בטרף בקלפי (יומא דף לט.
Rashi on Berakhot 5b:14:2	ב"מ בהשוכר את הפועלים (דף פד.	ב"מ בהשוכר את הפועלים (ב"מ דף פד.
Rashi on Berakhot 46a:1:1	בבא מציעא בהשוכר את הפועלים (דף פה.	בבא מציעא בהשוכר את הפועלים (בבא מציעא דף פה.
Rashbam on Pesachim 108b:2:1	שבת בהמוציא יין (ד' עז.	שבת בהמוציא יין (שבת ד' עז.
Rashi on Beitzah 22a:16:4	שבת בהמצניע (דף צג.	שבת בהמצניע (שבת דף צג.
Rashi on Beitzah 34b:2:1	ב"מ בהשוכר את הפועלים (דף פח.	ב"מ בהשוכר את הפועלים (ב"מ דף פח.
Rashi on Beitzah 38b:2:2	מנחות בהקומץ רבה (דף כב.	מנחות בהקומץ רבה (מנחות דף כב.
Rashi on Beitzah 39a:15:1	בבא מציעא בשנים אוחזין (דף י.	בבא מציעא בשנים אוחזין (בבא מציעא דף י.
Rashi on Shabbat 19a:8:3	פסחים במקום שנהגו [דף נ:	פסחים במקום שנהגו (פסחים דף נ:)
Rashi on Shabbat 59b:8:2	כתובות בהנושא (קג:	כתובות בהנושא (כתובות קג:
Rashi on Shabbat 64a:18:2	נדה בהמפלת (דף כב:	נדה בהמפלת (נדה דף כב:
Rashi on Shabbat 113b:12:2	סנהדרין בד' מיתות (ד' נב.	סנהדרין בד' מיתות (סנהדרין ד' נב.
Tosafot on Shabbat 148a:5:1	מנחות בהתכלת (דף מד.	מנחות בהתכלת (מנחות דף מד.
Rosh on Pesachim 2:16:1	ברכות בכיצד מברכין דף לז:	ברכות בכיצד מברכין (ברכות דף לז:)
Rosh on Pesachim 2:17:1	ברכות בכיצד מברכין דף לח.	ברכות בכיצד מברכין (ברכות דף לח.)
Teshuvot haRashba Meyuchas LehaRamban 119:5	יבמות בהאשה רבה (דף פ״ח:	יבמות בהאשה רבה (יבמות דף פ״ח:
Rashi on Bava Kamma 80b:13:1	ב"ב בהשותפין (דף יב:	ב"ב בהשותפין (ב"ב דף יב:
Rashi on Bava Kamma 89a:3:2	יבמות באלמנה לכהן גדול (דף סו.	יבמות באלמנה לכהן גדול (יבמות דף סו.
Rashi on Bava Kamma 92b:13:2	חולין באלו טריפות (ד' סה.	חולין באלו טריפות (חולין ד' סה.
Rashi on Bava Kamma 109b:5:2	סנהדרין בבן סורר ומורה (דף סט.	סנהדרין בבן סורר ומורה (סנהדרין דף סט.
Rashi on Sanhedrin 5a:5:3	יבמות בהאשה רבה (דף פט:	יבמות בהאשה רבה (יבמות דף פט:
Rashi on Sanhedrin 5a:6:2	פסחים באלו דברים (דף סו.	פסחים באלו דברים (פסחים דף סו.
Rashi on Sanhedrin 54a:13:1	מכות באלו הן הלוקין (דף יד:	מכות באלו הן הלוקין (מכות דף יד:
Rashi on Sanhedrin 57a:22:1	ב"ק במרובה (דף עט:	ב"ק במרובה (ב"ק דף עט:
Rashi on Sanhedrin 66b:4:1	כתובות באלו נערות (דף כט.	כתובות באלו נערות (כתובות דף כט.
Rashi on Sanhedrin 84b:11:1	כתובות באלו נערות (דף לד:	כתובות באלו נערות (כתובות דף לד:
Rashi on Sanhedrin 88b:15:4	מנחות בהקומץ רבה (דף לד:	מנחות בהקומץ רבה (מנחות דף לד:
Rashi on Sanhedrin 91a:4:4	חולין בהעור והרוטב (דף קכז.	חולין בהעור והרוטב (חולין דף קכז.
Rashi on Kiddushin 11a:3:1	ב"ב בהמוכר פירות] (דף צב:	ב"ב בהמוכר פירות] (ב"ב דף צב:
Rashi on Pesachim 6b:10:3	בבא קמא בהחובל (דף פה.	בבא קמא בהחובל (בבא קמא דף פה.
Rashi on Pesachim 13b:1:1	ב"מ בהמפקיד (ד' מ.	ב"מ בהמפקיד (ב"מ ד' מ.
Rashi on Pesachim 16b:4:2	יבמות בהאשה רבה (ד' צ.	יבמות בהאשה רבה (יבמות ד' צ.
Rashi on Pesachim 18a:6:1	יבמות בהבא על יבמתו (דף סב:	יבמות בהבא על יבמתו (יבמות דף סב:
Rashi on Pesachim 24a:11:1	יבמות בהערל (דף עג:	יבמות בהערל (יבמות דף עג:
Rashi on Pesachim 96a:17:1	יבמות בהערל (דף ע.	יבמות בהערל (יבמות דף ע.
Rashi on Pesachim 110b:14:2	ב"מ בהשוכר את הפועלים (דף פו.	ב"מ בהשוכר את הפועלים (ב"מ דף פו.
Tosafot on Pesachim 97b:8:1	תמורה באלו קדשים (דף יט.	תמורה באלו קדשים (תמורה דף יט.
Rashi on Sotah 8b:16:3	בבא בתרא בהמוכר את הספינה (דף צ.	בבא בתרא בהמוכר את הספינה (בבא בתרא דף צ.
Rashi on Sotah 12a:2:3	ב"ב ביש נוחלין (דף קי.	ב"ב ביש נוחלין (ב"ב דף קי.
Rashi on Sotah 29a:15:2	יבמות בהערל (דף עד:	יבמות בהערל (יבמות דף עד:
Rashi on Gittin 36b:3:1	יבמות בהאשה רבה (דף צ:	יבמות בהאשה רבה (יבמות דף צ:
Rashi on Gittin 37b:19:1	יבמות בהחולץ (דף מז:	יבמות בהחולץ (יבמות דף מז:
Rashi on Gittin 54a:10:1	יבמות בהאשה רבה (דף צ.	יבמות בהאשה רבה (יבמות דף צ.
Rashi on Gittin 54a:13:1	מנחות בהקומץ רבה (דף כה.	מנחות בהקומץ רבה (מנחות דף כה.
Rashi on Gittin 54b:13:1	זבחים באיזהו מקומן (דף נה:	זבחים באיזהו מקומן (זבחים דף נה:
Rashi on Gittin 84a:15:1	ב"מ בהשוכר את הפועלים (דף צד.	ב"מ בהשוכר את הפועלים (ב"מ דף צד.
Rashi on Bava Batra 26a:4:1	ב"ק בהכונס צאן לדיר (דף ס.	ב"ק בהכונס צאן לדיר (ב"ק דף ס.
Rashi on Yevamot 7b:8:1	מנחות בהקומץ רבה (דף כז:	מנחות בהקומץ רבה (מנחות דף כז:
Rashi on Yevamot 15a:12:1	כתובות בהמדיר (ד' עג.	כתובות בהמדיר (כתובות ד' עג.
Rashi on Yevamot 39a:1:1	כתובות בהכותב (דף פג.	כתובות בהכותב (כתובות דף פג.
Rashi on Yevamot 42b:9:3	ב"ק בהגוזל (דף ק:	ב"ק בהגוזל (ב"ק דף ק:
Rashi on Yevamot 46a:23:1	מנחות בהתודה (דף פב.	מנחות בהתודה (מנחות דף פב.
Rashi on Yevamot 56a:16:1	כתובות באע"פ (דף נז:	כתובות באע"פ (כתובות דף נז:
Rashi on Yevamot 81b:1:1	פסחים באלו עוברין (דף מח:	פסחים באלו עוברין (פסחים דף מח:
Rashi on Yevamot 90b:2:2	מנחות בהתכלת (דף מ.	מנחות בהתכלת (מנחות דף מ.
Rashi on Yevamot 104a:6:2	סנהדרין באחד דיני ממונות (דף לד:	סנהדרין באחד דיני ממונות (סנהדרין דף לד:
Rashi on Yevamot 106a:3:1	כתובות בהמדיר (דף עד.	כתובות בהמדיר (כתובות דף עד.
Rashi on Horayot 7b:4:1	חולין באלו טריפות (דף נ:	חולין באלו טריפות (חולין דף נ:
Rashi on Shevuot 13a:11:1	סנהדרין באלו הן הנחנקין (דף פו.	סנהדרין באלו הן הנחנקין (סנהדרין דף פו.
