book,chapter,verse,text
שיר השירים,א,א,"שיר השירים אשר לשלמה צל""ד מה היא כונתו באו' שיר השירים שהיל""ל שיר אשר לשלמה או שירים אשר לשלמה. ועוד תיבת אשר יתירה דהיה יכול לומר שיר לשלמה ואם הכונה לומ' כי שלמה הוא האומ' השירים אלו היל""ל שיר שלמה כמו שאמר במקום אחר משלי שלמה. עוד נדקדק למה שינה הכתוב הזה מכל סדר האמו' בכל השיר הזה כי תמצא בכל השיר הזה הסדר הוא שמתחיל לדבר המלך והמלכה משיבתו שהוא התחיל לומר הנך יפה רעיתי והיא משיבה הנך יפה דודי הוא אומ' כשושנה היא משיבה כתפוח כו' משא""כ בתחילת השיר שהמלכה התחילה לומר ישקני מנשיקות פיהו:"
,,,"ונראה לפ' והוא ע""ד אז""ל כי השיר הזה בנאו שהע""ה בראותו הזמן שישראל בגלות והמשילו הענין למלך שגירש המלכה וחשבו השכנים לו' כי לא ישוב עוד לדעתה וריחקה מלבו ועמד בן א' שילדה המלכה למלך קודם גרושין והלך אצל האב והבין ממנו שעדיין לבו עם המלכה והלך אצל האם והבין שלבה שלם עם המלך עמד וחיבר שיר א' ממה שבלב המלך על המלכה וממה שבלב המלכה על המלך כאשר ידע ממה שבלבם זה על זה וזה על זה וז""א שיר השירים פירו' שיר העשוי מהשירים ב' שירים א' האומ' ה' על כנסת ישראל על דודה ואו' אשר לשלמה ופי' מלת אשר האומר הוא והנאמר עליו והם הב' שירים האמורים וטעם שהתחיל לדבר דברי המלכה להיות כי בזה יגיד רוב חיבתה עד שאהבתה קלקלה השורה עד שתובעת בפה נשיקות פיהו והוא דבר הרמוז בדברי קדשם ז""ל באתערותא דלתתא אתערותא דלעילא והוא סוד מיין נוקבין מעוררין מיין דוכרין וזהו דוקא בתחילת התעוררות האהבה ואח""כ שנתעוררה אהבתם צריך להקדים דברי ה' ב""ה אליה כמ""ש בזוהר הקדוש דבאתרא דאית מלכא לית שבחא אלא ליה עוד נראה לומר טעם אחר שהקדים שבח המלכה למלך דתמצא דכאשר משבחת המלכ' היא אומרת שבתו של מלך וכאשר משבח המלך הוא או' שבח המלכה ולזה בחר מסדר השירים להתחיל בשבח המלך שהוא כבודו והתחיל לומר דברי המלכה כנסת יש' החביבה וסידר בשיר זה כל מה שעבר ביניהם מיום הוסדם עד סוף כל העולם והתחיל לומר ישקני:"
,,ב,"ישקני מנשיקות פיהו כי טובים וכו'. לריח שמניך טובים כו' י""ל מהו תוכיות כונת המשורר באו' ישקני כו' ועוד מה הם הדודים שחביבים עליה יותר מיין ולמה חזר לשנות דיבורו מיין לשמן ומה היא כונתו באו' שמניך לשון רבים ונראה שיכוין למה שארז""ל ר""א הקפר אומר ד' מצות היו בידם של ישראל שאין כל העולם כולו כדאי להם שלא נחשדו על העריות שנאמר ויצא בן אשה ישראלית וכו' ומפורש בקבלה גן נעול אחותי כלה כו' ולא נחשדו על לה""ר דכתיב ושאלה אשה משכנתה כו' דבר זה היה בידם שנה א' ולא גילו אותו ושלא שינו את שמם שכשם שמיחסן בירידתן ראובן שמעון וכו' כך מיחסן בעליתן. ושלא שינו את לשונם שנאמר ב' אנשים עברים נצים מכאן שלא החליפו את לשונם שנאמר כי פי המדבר אלכם ע""כ והנה ידוע הוא דע""י שמירת המצות שעושין ישראל רצונו יתב' הוא מתעלה ומתרומם ובכל דבר שעושים למטה מתקנים כנגדו למעלה והוא סוד מ""ש רז""ל בפ' ועשיתם אותם אל תקרי אותם אלא אתם כמא' ז""ל בזה""ק. וכן להיפך ח""ו ע""ד צור ילדך תשי וכאן ביציאת מצרים שהאומה ישראלית תקנה עצמה באותן מצות האמורות לזה משוררת כנגד אותן התיקונים שתיקנ' למלך והכונה היא שהדבר מובן דבשומרה המצוה זהו עצמו ענין השבח והשיר שעושה דאין לך שיר ושבח לדודה כקיום התורה והמצוה ולזה אומ' ד' שירים כנגד ד' מצות ששמרה כנגד שמירת לשונה מלה""ר אמרה ישקני וכו' דתיקנה פי עליון במה שלא פגמה פיה וכנגד ברית המעור שהיא מצוה הב' אמר כי טובים דודך מיין לרמוז על עריו' שהם רמוזים ביין ע""ד אשתך כגפן פוריה ואז""ל למה נמשלה כ""י לגפן מה גפן אינה מקבלת הרכב' ממין אחר כך כ""י כו' וכן הוא ממש ענין העריות שלא יזקק א' לשאינו מינו ואמרה טובים מיין הנה ידוע הוא כי היין של יש' הנתון ביד גוי אם לא יעשה בו חותם בתוך חותם נאסר מחשש מגע גוי והנה אומה ישראלית ניתנה בתוך כור הברזל במצרים ושמרה עצמה מבלי חותם שלא נטמאה זולתי א' היתה ופרסמה הכתוב כמא' ז""ל וגם היא לא במזיד עשתה הדבר כאו' ז""ל באופן כי שמירת כ""י היא יותר מעולה מהיין וז""א כי טובים דודיך מיין. וכנגד שלא שינו את שמם אמרה לריח שמניך טובים כי תמצא שהשמן יש בו ב' דברים הא' כאשר יקלוט הריח הטוב שוב לא יפיג ריחו והב' שכל המשקין שבעולם ע""י תערובתם משקה במשקה אחר הם מתערבי' ומשתנים מכמות שהיו וכאשר יתרבה א' על חבירו יתבטל המוע' במרובה משא""כ השמן בכל אופן שתרצה לערבו באיזה משקה שיהיה ותרבה בו כמה חלקי' ממשקה אחר וחלק מועט מהשמן לא יתבטל ולא יתערב אלא יעמוד בפ""ע ולא ישתנה לא ממראה ולא מטעם וריח ולזה אמ' לריח שמניך טובים וידוע הוא מא' ז""ל בפ' טוב שם משמן טוב שמן טוב במקומו עומד ושם טוב בסוף העולם ואמר טובים לו' כי שמנו טוב משמן רוקח וטעם או' לשון רבים להיות כי ישראל הם י""ב שבטי' וכל א' וא' חשוב בפ""ע לז""א שמניך ל' רבים שכולם לא שינו את שמם. וכנגד שלא שינו לשונם אמרה שמן תורק שמך כאשר השמן הזה כשאתה מריקו תמיד לעולם הוא שמן כך ישראל אפי' יתערבו במאה אומות לא שינו לשונם והטעם שהתחיל לדבר בלשון נסתר ישקני כו' וסיים בלשון נוכח דודך כי הוא גנאי לו' בנשיקה לנוכח תשקני כו' באופן כי כל שבחה בכאן הוא על ד' דברים ששמרה במצרים ואמרה על כן עלמות אהבוך כי ידוע הוא כי קיום העולמות ושפעם הוא ע""י מעשה הצדיקי' ולז""א ע""י מע""ט האמורים עלמות תיבה זו סובלת ב' פי' עולמו' ועלמות ושניהם אהבוך ובזה ידוייקו דברי ר""א הקפר שאמר שאין כל העולם כולו כדאי להם פי' שיספיק בריא' העולם אם לא נברא אלא בשביל קיום ד' דברים אלו שקיימו ישראל שעל ידם יתקיימו כל העולמות:"
,,ד,"משכני אחריך נרוצה כו'. הנה להיות כי כל האמור למעלה בענין היה כאשר היו ישראל במצרים שעדין לא נתגלית אהבת שניהם ועתה מתחלת להגדיל אהבתה בה' ית' ואומ' לו כי תמיד נפשה דבוקה בו ולא מנעה מלרדוףאחריו אלא מצד היותה טבועה בכור הברזל ומשוקעת בטיט היון כי לא היה זה והיתה בת חורין לא היתה מנחת מלרדוף אחריו כי אהבתה בו רבה ולזה אינה חסירה אלא שימשכנה מכור טבועה בו ואח""כ היא מאיליה תחפש אחריו לדעת מקומו איו וז""א משכני אחריך נרוצה וכשנדקדק בענין כן היה דהנה דרך העולם היוצא לדרך ובפרט למדבר היתכן ללכת מבלי הכין צדה לשיעור המספיק אחר אשר ידע כמה ימים יתעכב בדרך וזולת ב' ענינים אלו אין מציאו' לצאת מן הישוב ומצי' שכ""י כאשר יכלה לצאת אחרי ה' לא בקשה דבר לדעת דרך יום או יומים או שנה ולא הכינה צידה לצורך הדרך אלא רצתה אחריו מבלי לחשוב בשום דבר מרוב חשקה בו וזהו שתמצא שא""ל ה' זכרתי לך חסד נעוריך לכתך אחרי במדבר דהנה ולא תאמר שאע""פ שלא שאלה כמה שיעור הדרך ולא הכינה צידה אבל עכ""פ היה בלבה צער ח""ו לז""א הביאני המלך חדריו ר""ל שהיה בדעתה כאלו כבר נכנסה לחדרי המלך ואין דבר חסר בבית המלך והיתה שמחה בהשיגה דבר זה וז""א נגילה ונשמחה בך. עוד יאמר שתכוין לומר שאין לך שמחה בעולם אפי' בערך ההבאה לחדרי המלך לא תשמח אלא בו כי הוא העיקר באהבתה וכפ""ז יהיה פי' משכני אפילו למדבר אחריך נרוצה כי חוץ ממך לא יעכב לי דבר בעולם ומ""ש נזכירה דודיך כו' פירוש כאשר יהיה לפני היין שהוא דבר המשובח שהוא משמח ואין אני מעלה זכרונך בדעתי ובפי אני בוחרת להעלות בפי זכרון דודיך יותר טוב משתית היין ואומר משרים אהבוך כאדם החותם שמו על הענין שהוא אומר מי הם המדברי' ומי הם החביבים הללו לז""א אותם שהם מישרים שהם הצדיקים שהם הולכים במישור אוהבי ה'. או ירצה להיות שאמרה נזכירה דודיך מיין שעריבים עליה דברי דוד הוסיפה לומר כי מרוב תשוקתה בו נתאוית עוד לראותו לשמוע נתינת ה' מפיו ית' וז""א מישרים אהבוך פי' שיהיה דברך במישור אלינו שלא ע""י אמצעי ופי' א' יוצדק גם לדרך זה כי כאשר האדם חותם על הענין הוא מזכיר שמו וחניכתו להכירו מי הוא וג""כ הוא כמציאות שלפנינו תדע דברי מי הם אותם שמישרים אהבוך:"
,,ה,"שחורה אני ונאוה כו' להיות כי חתמה דבריה באהבת ה' עד מעמד הר סיני עמד לנגדה מעשה הרע של העגל ויבא האו' לומר היכן היא אהבתך הלא בעודך בחופתך סרחת ושוב אין לך פה לדבר לזה היא משיבה כן לחזק דבריה כי לא אתרע אהבתה באותו מעשה וז""א שחורה אני פי' באמת כי שחורה אני אבל ונאוה כי זהו יופי ונוה שלי ע""ד או' ז""ל לא היו ישראל ראוים לאותו מעשה אלא שאם חטאו צבור אומר להם כלך אצל צבור שחטאו ועשו תשובה וקבלם ה' א""כ זהו הנוי של ישראל שכל צבור החוטאים אחריהם ימצאו מקום לחזור בתשובה ומהיכן יהיה להם זה אם לא מצד היותי שחורה או יאמר דהגם שאני שחורה ע""י העגל עכ""ז אני נאוה כי לא כל העם עשו העגל שהרי שבט לוי לא עשו העגל ועוד כל שעבדו עגל מתו מהם בחרב מהם במגפה מהם באסכרה והנשארים הדבר מובן שלא עבדוהו וז""א ונאוה או יאמר ע""ד מ""ש בזה""ק כי ערב רב הם שעשו העגל ולא ישראל ולפ""ז ז""א שחורה אני מצד שקבלתי אותם הגרים והם עשו העגל ונקרא על שם הכללות ובזה אני שחורה אבל כפי האמת נאוה אני שלא עשיתי כלום ואו' בנות ירוש' הם שרי האומות אשר הם שומרי ירוש' סביב לה כי ירוש' היא נקו' המרכז לכל העולם ושם הם שומרי החומות כל השרים של מעל' כאו' ז""ל ואו' כאהלי קדר לומר והראיה כי אני נאוה הגם שאני שחורה שהרי אחר מעשה העגל בחר ה' באהלי קדר כבני קדר שעושין אהלים לשבת ולדור בהם כך בחר ה' לדור עמנו באהלים ולהיות כי הם עשו לו יריעות לז""א כיריעות שלמה ואפילו שהטעם הכפל הוא לומר וכי כאהלי קדר הם ראויים להיות יריעות שלמה שהוא מלך שהשלום שלו אין זה אלא מצד האהבה שאני בעיניו נאוה הגם שאני שחורה וזה ל' המדרש בפ' תרומה אמר הקב""ה ראו מה אני מחבר התחתונים שאני שוכן תחת יריעות עזים ע""כ הרי דהמדרש או' בפי' דמה שעשה ה' דבר זה לשכון תחת יריעות עזים הוא מצד אהבתו לכ""י. או יאמר דתמצא אחר שנכנסו ישראל לארץ ויעבדו את הבעלים כו' וכמה אומות היו עומדים עליהם והיו ישר' נכנעים ומעלים מס וא""כ היכן היא אהבתו יתברך עם אמו [עמו] לז""א שחורה אני כו' לומר הגם שאני שחורה הריני נאוה אח""כ כשנבנה בהמ""ק וז""א בנות ירושלים לשון בנין כמו בבנות בזה היה לי הנוי והוסר השחרות כאשר הוסר באהלי קדר שנמחל עון העגל גם בבנין בהמ""ק נמחלו כל העונות שהיו להם או בנות לשון נוי כאלו אמר בנויות ירושלים ואיזהו נוי ירושלים זה בה""מ שיבנה במהרה:"
,,ו,"אל תראוני שאני כו'. אחר שזכרה בנין ירושלם עמד לנגדה חרבן בית א' ובית שני לז""א אל תראוני ראייה של ביזוי שאני יש לי ב' שחרוריות שהם כנגד ב' חרבנות ותאמר לא יוסיף עוד לדעתה דעו כי עדיין אני ביופיו אלא כבן אדם שהשחיר פניו השמש ועתיד לחזור ליופיו כמקדם ואומר בני אמי כו' הם אדום בני האם רבקה ועליהם הכתוב אומר זכור ה' לבני אדום נחרו בי הם המריעים לי וחרבו הבית ולא די זה אלא שעל ידיהם נתפזרו ישראל בכל האומות ובשביל ישראל הם נשמרים כל הכרמים כאו' ז""ל כי ה' שומר האומות בשביל שלא יגיע ההיזק לישראל כי הם העיקר והיינו כרמי שלי ור""ל שלהיות כי כ""י היא המדברת לזה אם תאמר כרמי יורה שהיא מדברת על חוץ ממנה לז""א שלי פי' שעל עצמה אומרת שלא נטרה עצמה ולזה כפל באו' כרמי שלי. או יאמר להיות שכ""י יש בה רעים וטובים לזה הטובים שבהם אומרים על הכללות שהם בלתי טובים כרמי ואו' תיבת שלי לחביבים אצלה ביותר:"
,,ז,"הגידה לי שאהבה כו'. אחר שזכרה זמן החרבן אשר היא בו עתה היא מעוררת אהבת עמו בדברי דודים לומר כי לא זז לבה ממנו ועליו נפשה מתמררת והוא ע""ד או' ז""ל בזוה""ק על פ' כי אינינו דעיקר יגונה הוא עליו והתחילה לדבר אליו באהבה עזה באו' הגידה לי כו' כי נפש כל איש ישראל אהבתו להקב""ה אהבת הנפש מטבעה ומזגה של הנפש וז""א שאהבה נפשי מצד עצמה וזה מרוב התלהבות הנפש באהבתו תדבר כך ויורה זה כי תגדל באהבתו עליו והנה תמצא כאשר ישבו ב' אהובים וכל אחד רוצה להראות אהבה לחברו כי אהבתו גדולה מאהבת חבירו לו וכן להפך חבירו יענה ככה בכפלים לזה קדמה היא לומר כי נפשה אהבתו ושואלתו דבר איכה תרעה איכה תרביץ וצ""ל כונת הענין וכפל המלות בשינוי לשון והנה תמצא כי יש בישראל ב' בחינות הא' בעלי חסד ועוסקין בתורה בעתים קבועים והב' הם ת""ח העוסקים בתורה תמיד ודע דאיתא בתיקו' על פסוק לא תקח האם על הבנים דמעל אינון מארי חכמתא רזי אורי' לא תקח האם מעל הבנים הנק' בנים אתם לה' אלקיכם נר שכינת' שריא עלייהו לא אעדיאת מינייהו משא""כ שאר תופסי התורה שלח תשלח כו' פי' הגם דשריאת עלייהו היא משתלחת מעלייהו אשר ע""כ כאשר נחרב בהמ""ק וגלו ישראל בין העמים או' ישראל להקב""ה איכה תרעה חוזר על בחי' ת""ח הנז' שהם בבחי' שלח תשלח ולז""א תרעה שאין ה' קובע דירתו עליהם בהחלט כאותם מארי רזין דאורייתא אלא כרועה הזה פעמים כאן פעמים כאן וכנגד בחי' הב' דלא תקח כו' אמר איכה תרביץ שיהיה רובץ לגמרי באופן כי כולם נתמעטו בסיבת החרבן ולז""א איכה יוכל לסבול מניעת ב' הענינים ואומר בצהרים לרמוז ג""כ על מ""ש כי אותם מארי תורה מאירים כצהרים ותורה אור שהוא הסוד שאו' ר""ז בגי' או""ר וזהו ג""כ ע""ד ואוהביו כצאת השמש בגבורתו ואומר שלמה אהיה כעוטיה כו' נראה שהם דברי המלך תשובתו אל דבריה דכאשר עוררה האהבה כ""כ והפליאה להגדיל אהבתה בו ומתוך דבריה כמעט אמר כי היא האוהבת אותו ביותר ממנו וגם רמזה כי הוא האדון הרחיק ממנה עד אשר שואלת איכה וכו' וזה הוא ממיעוט האהבה שבלבו עליה לזה הוכרח להשיב' דבר והתחילה לדבר אליו תשובה ממה שהפסיק' לדבר בו והוא על מ""ש איכה תרעה ענה ואמר לא יעלה בדעתך שנפרדתי ממך ח""ו ואין לי בך מרעה ומושב וזזה ידי מתוך ידך ח""ו שלמה אהיה כעוטיה ומקומי ומושבי הוא על עדרי חביריך שהם ב' כיתותשאמרה היא עליהם איכה תרעה איכה תרביץ כמ""ש לעיל לז""א מלת עדרי לשון רבים ופירו' מלת שלמה היא מלת כוללת הרבה דברים מלשון עוטה אור כשלמה ומלשון שלימות ומלשון שלומות ולכולם יכוין הכתוב כי ה' ב""ה עוטה לחביריו בשכינת עוזו ואו' מלת כעוטיה כמ""ש רז""ל על פ' עוטה אור כשלמה מלמד שנתעטף הקב""ה והאור שיצא דרך השמלה הוא האור דמעשה בראשית ולז""א כאן כי ההפרש שבין ימי שכינתו בתוכינו כאשר בהמ""ק קיים לזמן הזה הוא בעונותינו בהפסק קצת ע""ד כי אם עונותיכם וזהו כעוטיה דדומה לאותו מציאות דעוטה אור כשלמה והיה האור יוצא דרך סדין דיותר היה האור בלי הפסק ולאותו פי' דשלמה הוא מלשון שלימות הנה כי אז בימי בהמ""ק קיים היה ה' דר בתוך עמו וזהו תכלית חשקו אבל עתה אין בית לשכון בה ה' אבל עדיין יש לו מציאות באהל וזהו שלימות חפצו ית' והוא כי ה' ב""ה שוכן בתוך הצדיקים כאו' אהל שכן באדם וז""א שלמה אהיה כעוטיה לשון הסתופפות והוא מאמר הכתוב בכל המקום אשר אזכיר כו' ובזה השיב לאיכה תרעה כו' כי עדיין לא תחסר האומה מן הצדיקים וטעם שלא עשה פיסקת הכתוב בשלמה אהיה להיות כי משם מתחיל תשובת המלך הוא להעלים התחלת הדיבור והנה תמצא כי בתחילת הדיבור ביניהם לא ידברו לנכח אלא בהצנע ונסתר כי כן כאשר התחילה לדבר כ""י דברה בדרך נסתר ישקני מנשיקות פיהו ואחר שהתחילה לדבר הוסר מסוה הבושה ודיברה לו לנוכח כי טובים דודיך מיין וכן גם הוא בתחילה לא דיבר לנוכח כ""כ לזה העלים תשובתו בתוך דבריה:"
,,ח,"אם לא תדעי לך כו' בזה בא האדון להודיע גם הוא רוב אהבתו שבלבו עליה להשיב כנגד מה שאמרה שאהבה נפשי בא לומר שאהבתו שבלבו גדולה מאהבתה ואו' דאצ""ל אם תהיה כ""י בעלי ידיעה באלהותו יתברך דאז ודאי שהם אהובים בעיני אלא אפילו בזמן שישראל אינם בקיאים במצות ובלי ידיעה אעפ""כ אתה בעיני היפה בנשים סלא הספיק לומר יפה בנשים שיאמר האומר שיש יפה אחרת לז""א היפה ר""ל המיוחדת ביופי וזה יכוין לומר כי הגם שיהיו ישראל עושי הרבה עבירות כל עוד שהם מובדלים מן האומות ומאמינים בתורה וטעם מניעתם מעשות הטוב מצד חסרון ההבנה הם אהובים בעיני ה' וזהו היפה בנשים כמו שהאשה שהיא יפה ותשב לפני נשים הרבה והיא משונה וניכרת מהם ביפיה כך הם ישראל כל עוד שפנייתם עם מלכם ב""ה:"
,,,"צאי לך בעקבי הצאן כו' הכונה בזה להוכיח דבריו כי האהבה באה מצדו יתברך אשר נשאו חן בעיניו הגם בהיותם בלי ידיעה ומי יאמר זה לז""א האדון לכ""י כי יביטו ויראו מיום היותם בעולם משהתחילו להתהוו' וזהו צאי לך ובדוק בעקבי הצאן ממטה למעלה כי משהתחילו בעולם עד הנה וזהו שרמז בעקבי הצאן שהם ישראל מיום היותם בבחי' עקב עד שגדלו ונעשו חטיבה בעולם ואו' ורעי את גדיותיך כו' לומר כאשר הרועה יבקש מרעה טוב לצאן כך בקש וראה זמן שהיו ביושר דאצ""ל בזמן שהיו רעים וחטאים דפשי' דמעשיהם מוכיחים עליהם אלא אפי' בזמן ישרותם ויופיותם דהיינו משכנות הרועים אפ""ה אין אהבתם שלימה כמו שנבאר:"
,,ט,"לסוסתי ברכבי פרעה כו' הכונה לומר כי הזמנים שהיו בהם ישראל שלימים עד כניסתם לארץ הם ג' זמנים והם רמוזים בכתובים כנגד זמן שעמדו על הים ואמרו שירה אמר לסוסתי ברכבי פרעה כאשר סוס ורוכבו רמה בים טעם או' לסוסתי רז""ל דרשו מה שדרשו אלא שלפי דרכינו המכוון הוא על היותה אז שלימה בעיני ה' וכנגד זמן קבלת התורה שאמרו נעשה ונשמע אמר נאוו לחייך בתורי' פי' מ""ש בפיה' בקבלת התורה ואמר תורים להיותם ב' תורות שבכתב ושבע""פ אשר ע""ז אמרו נעשה ונשמע וכמו שפי' בפ' וישמע יתרו בטעם הקדמתם לומר העשיה לשמיעה כפי הפשט וכנגד זמן שבנו המשכן אמר צוארך בחרוזים שבית ה' יתייחס אליו צואר שהוא מקום המשובח בגוף כאו' ז""ל ויפול על צוארי בנימן אחיו ואו' בחרוזים להיותו בנוי מכמה מינים מכסף וזהב והמכוון בזה כי בג' זמנים הללו תא' כי היא הגדילה אהבתה בו וז""א דמיתיך רעיתי פי' דומה אני כי בזמנים הללו תחשב שאתה רעיתי. או יא' שאני חושב בך שיש לך דימוי שאתה רעיתי וכן כאשר נאוו לחייך כו' וכן כאשר צואריך כו' ולזה משיב האדן כי כל האהבה משלו היא ולהוכיח כי שלו גדול משלה והתחיל להשיב במה שסיים כנגד צוארך בחרוזים אמר אדרבה לי הוא השבח תורי זהב נעשה לך כו' והוא ע""ד או' ז""ל על פ' משכן העדות שהוא עדות לכל העולם שהקב""ה משרה שכינתו בישראל ומחל להם במעשה העגל שמלבד השכינה בתוכם מחל להם הקב""ה כאו' ז""ל במד' אר""י סי' לכל באי עולם שאין סליחה אלא לישראל ולז""א כי אותו מעשה שהשרה שכינתו בתוכם טובה גדולה עשה בזה וז""א תורי זהב נעשה לך בזה ששכנתי עמך עם נקודות הכסף פירוש שהגם שעשית העגל לא פירשתי ממך. עוד ירצה כי אותו הממון שנתתם לבנין בהמ""ק ממני הכל לי הכסף ולי הזהב ואו' נעשה ולא אמר עשיתי לך לב' הפי' תתיישב למה שפי' כי לו יאה השבח אמר נעשה לומר כי המעשה הזה לא כבר עבר אלא תמיד הוא עושה אותו בכל דור ודור ולרמוז ג""כ על בית עולמים שיבנה בימינו כי אדרבה זה חסדו אשר יתחסד עמנו. לפי' הב' גם כן תתישב ע""ד או' ז""ל על פ' ויקחו לי תרומה שאדרבה הם הלוקחים שכל מי שנתן הכסף לבנין בהמ""ק נתברך ומצא בממונו יותר משיעורו הנה זה בא לתת ונמצא מקבל וכנגד קבלת התורה שאמרה נעשה ונשמע אמר זה היה אמת אם הייתם מקיימים מוצא שפתכם אשר לא כן היה אלא תוך חופתה זנתה כאומר ז""ל עלובה כלה כו' וז""ש עד שהמלך במסיבו כו' וכנגד זמן הג' שהוא עת שעלו מן הים ואומרו שירה אמר צרור המור כו' שעלו מן הים והיו שלימים בלי עון כאו' ז""ל על פסוק ויסע משה וכו' שהסיען מעונותיהם לז""א צרור המור כו' ואז""ל מה דרכו של צרור המור אשה נותנת אותו בין שדיה כשהיא עומדת הוא נופל פי' בכל מקום שיהיה מצוי הוא ליפול ממקום הנחתו כך ישראל הגם שאז היו שלימים תכף ומיד וילונו העם על משה כו' ואמרו במד' ר""א המודעי אומר למודים היו ישראל להיות אומרים דברי תרעומת כו' ולא על משה לבד אמרו אלא כלפי הגבו'. וז""א צרור המור וכו' באופן אין אהבתה כאהבתו יתב' בה וטעם שמדבר במקומה והוא הוא בעל הדברים לומר כי עניינים אלו אמתיים בה ובעשותה אותם היא אמירתם:"
