"shekalim, Erster Abschnitt.1","<b>M</b><small>OŠE EMPFING DIE</small> T<small>ORA AUF</small>[<small>DEM</small> B<small>ERGE</small>] S<small>INAJ, ÜBERLIEFERTE SIE</small> J<small>EHOŠUA͑</small>, J<small>EHOŠUA͑ DEN</small> Ä<small>LTESTEN, DIE</small> Ä<small>LTESTEN DEN</small> P<small>ROPHETEN UND DIE</small> P<small>ROPHETEN ÜBERLIEFERTEN SIE DEN</small> M<small>ÄNNERN DER</small> G<small>ROSSSYNODE</small>. D<small>IESE SPRACHEN DREI</small> D<small>INGE AUS:</small> S<small>EID BEDÄCHTIG BEIM</small> R<small>ECHTSPRECHEN, BILDET VIELE</small> S<small>CHÜLER AUS, UND ERRICHTET EINEN</small> Z<small>AUN UM DIE</small> T<small>ORA</small><sup>1</sup><i class=""footnote"">fn2668,Durch Verschärfung der Bestimmungen derselben.</i>."
"shekalim, Erster Abschnitt.2","II. Š<small>IMO͑N DER</small> G<small>ERECHTE WAR EINER DER LETZTEN DER</small> G<small>ROSS</small>-S<small>YNODE; ER TAT DEN</small> A<small>USSPRUCH:</small> A<small>UF DREIERLEI HAT DIE</small> W<small>ELT</small> B<small>ESTAND: AUF DER</small> T<small>ORA, DEM</small> G<small>OTTESDIENSTE UND DEN</small> L<small>IEBESWERKEN</small>."
"shekalim, Erster Abschnitt.3","III. A<small>NTIGONOS AUS</small> S<small>OKHO EMPFING SIE VON</small> Š<small>IMO͑N DEM</small> G<small>ERECHTEN; ER TAT DEN</small> A<small>USSPRUCH:</small> S<small>EID NICHT WIE</small> D<small>IENER, DIE DEM</small> H<small>ERRN DIENEN, IN DER</small> A<small>BSICHT</small> L<small>OHN ZU ERHALTEN, SONDERN SEID WIE</small> D<small>IENER, DIE DEM</small> H<small>ERRN DIENEN, OHNE DIE</small> A<small>BSICHT</small> L<small>OHN ZU ERHALTEN; NUR DIE</small> E<small>HRFURCHT</small><sup>2</sup><i class=""footnote"">fn2669,<span dir=""rtl"">מורא</span> durchaus von <span dir=""rtl"">יראה</span> zu unterscheiden u. hat nur die Bedeutung Ehrfurcht, während letzteres Furcht, Angst bedeutet.</i> <small>VOR DEM</small> H<small>IMMEL SEI ÜBER EUCH</small>."
"shekalim, Erster Abschnitt.4","IV. J<small>OSE B</small>. J<small>OE͑ZER AUS</small> Ç<small>EREDA UND</small> J<small>OSE B</small>. J<small>OḤANAN AUS</small> J<small>ERUŠALEM EMPFINGEN SIE VON JENEN</small>. J<small>OSE B</small>. J<small>OE͑ZER SPRACH:</small> D<small>EIN</small> H<small>AUS SEI EINE</small> V<small>ERSAMMLUNGSSTÄTTE FÜR DIE</small> W<small>EISEN, BESTÄUBE DICH MIT DEM</small> S<small>TAUBE IHRER</small> F<small>ÜSSE</small><sup>3</sup><i class=""footnote"">fn2670,Durch den starken Verkehr; viell, aber bildlich zu verstehen.</i>, <small>UND MIT</small> D<small>URST TRINKE IHRE</small> W<small>ORTE</small>."
"shekalim, Erster Abschnitt.5","V. J<small>OSE B</small>. J<small>OḤANAN AUS</small> J<small>ERUŠALEM SPRACH:</small> D<small>EIN</small> H<small>AUS SEI WEIT GEÖFFNET; ES SEIEN DIE</small> A<small>RMEN DEINE</small> H<small>AUSGENOSSEN; SCHWATZE NICHT VIEL MIT EINER</small> F<small>RAU</small>. D<small>IES SAGTEN SIE VON DER EIGENEN</small> F<small>RAU, UND UM WIEVIEL MEHR GILT DIES VON DER</small> F<small>RAU SEINES</small> N<small>ÄCHSTEN</small>. H<small>IERAUF BEZUGNEHMEND SAGTEN DIE</small> W<small>EISEN:</small> W<small>ER VIEL MIT EINER</small> F<small>RAU SCHWATZT, BRINGT</small> U<small>NHEIL ÜBER SICH, VERNACHLÄSSIGT DIE WORTE DER</small> T<small>ORA UND ERBT SCHLIESSLICH DAS</small> F<small>EGEFEUER</small>."
"shekalim, Erster Abschnitt.6",VI. J<small>EHOŠUA͑ B</small>. P<small>ERAḤJA UND</small> N<small>ITAJ AUS</small> A<small>RBEL EMPFINGEN SIE VON JENEN</small>. J<small>EHOŠUA͑ B</small>. P<small>ERAḤJA SPRACH:</small> S<small>CHAFFE DIR EINEN</small> L<small>EHRER UND ERWIRB DIR EINEN</small> K<small>OLLEGEN</small>. B<small>EURTEILE JEDEN</small> M<small>ENSCHEN NACH DER GUTEN</small> S<small>EITE</small>.
"shekalim, Erster Abschnitt.7","VII. N<small>ITAJ AUS</small> A<small>RBEL SPRACH:</small> H<small>ALTE DICH FERN VON EINEM BÖSEN</small> N<small>ACHBAR, GESELLE DICH NICHT EINEM</small> G<small>OTTLOSEN, UND GIB DAS</small> S<small>TRAFGERICHT NICHT AUF</small><sup>4</sup><i class=""footnote"">fn2671,Wenn man sieht, daß die Bestrafung der Gottlosen ausbleibt.</i>."
"shekalim, Erster Abschnitt.8","VIII. J<small>EHUDA B</small>. Ṭ<small>ABAJ UND</small> Š<small>IMO͑N B</small>. Š<small>AṬAḤ EMPFINGEN SIE VON JENEN</small>. J<small>EHUDA B</small>. Ṭ<small>ABAJ SAGTE:</small> M<small>ACHE DICH NICHT ZUM</small> G<small>ERICHTSANWALT</small><sup>5</sup><i class=""footnote"">fn2672,Diese Bestimmung gilt für den Richter; er darf nicht plädieren, noch für eine der Parteien ein treten, er muß vielmehr die Parteien hören u. danach urteilen. Raschi zitiert eine Lesart <span dir=""rtl"">אורכי</span> mit dem ausdrücklichen Bemerken, daß diese die Bedeutung <span dir=""rtl"">עורכי</span> habe: die Ableitung vom gr. <i>ἀϱχή</i> (Oberhaupt der Richter) gibt hier keinen Sinn.</i>; <small>SOLANGE DIE</small> P<small>ROZESSFÜHRENDEN VOR DIR STEHEN, SOLLEN SIE IN DEINEN</small> A<small>UGEN SCHULDIG ERSCHEINEN, WENN SIE ABER VON DIR FORTGEHEN, SO SOLLEN SIE IN DEINEN</small> A<small>UGEN SCHULDLOS ERSCHEINEN, WENN SIE DAS</small> U<small>RTEIL ANERKANNT HABEN</small>."
"shekalim, Erster Abschnitt.9","IX. Š<small>IMO͑N B</small>. Š<small>AṬAḤ SPRACH:</small> F<small>ORSCHE GRÜNDLICH DIE</small> Z<small>EUGEN AUS, UND SEI VORSICHTIG IN DEINEN</small> W<small>ORTEN, DAMIT SIE NICHT AUS IHNEN LERNEN, WIE ZU LÜGEN</small>."
"shekalim, Erster Abschnitt.10","X. Š<small>EMA͑JA UND</small> P<small>TOLLION EMPFINGEN SIE VON JENEN</small>. Š<small>EMA͑JA SPRACH</small>: L<small>IEBE DIE</small> A<small>RBEIT UND HASSE DAS</small> W<small>ÜRDENAMT, UND SUCHE KEINE</small> V<small>ERBINDUNG MIT DER</small> O<small>BRIGKEIT</small>."
"shekalim, Erster Abschnitt.11","XI. P<small>TOLLION SPRACH : 0, IHR</small> W<small>EISEN, SEID VORSICHTIG MIT EUREN</small> W<small>ORTEN</small>, DENN IHR K<small>ÖNNTET</small> EUCH DER VERBANNUNG SCHULDIG MACHEN UND NACH<small>EINEM</small> O<small>RTE SCHLECHTEN</small> W<small>ASSERS VERBANNT WERDEN; DIE</small> S<small>CHÜLER, DIE EUCH FOLGEN, WÜRDEN DAVON TRINKEN UND STERBEN, INFOLGEDESSEN DER GÖTTLICHE</small> N<small>AME ENTWEIHT WERDEN WÜRDE</small><sup>6</sup><i class=""footnote"">fn2673,Die Aussprüche von Š. u. P. sind verstandlieh, wenn man berücksichtigt, daß sie unter der Gewaltherrschaft des die pharisäischen Gelehrten verfolgenden Königs Alexander Jannaj lebten, u. daß um diese Zeit viele Gelehrte flüchten mußten. Die meisten flüchteten nach Alexandrien, u. die Schüler, die ihren Lehrern folgten, tranken vom ‘schlechten Wasser’ der hellenischen Philosophie u. starben für das pharisäische Judentum ab. Die anderslautenden Auslegungen der alten und ‘modernen’ Kommentare sind kaum zu beachten.</i>."
