Index Title,Beitzah
    Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
    Language,en
    Version Source,https://www.sefaria.org
    Version Notes,
Beitzah 2a:1,"<sup>i</sup> <b>E</b>IN <small>AM</small> F<small>ESTTAGE GELEGTES</small> E<small>I DARF</small>Am selben Tage., <small>WIE DIE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, GEGESSEN WERDEN, UND WIE DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, NICHT GEGESSEN WERDEN</small>. D<small>IE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT</small>, S<small>AUERTEIG</small>Ist am Pesaḥfeste verboten; cf. Ex. 119; 13,7; Dt. 16,4. <small>IN</small> O<small>LIVEN-GRÖSSE, GESÄUERTES</small> B<small>ROT IN</small> D<small>ATTELGRÖSSE, DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, BEIDES IN</small> O<small>LIVENGRÖSSE</small>. 
"
Beitzah 2a:2,"<sup>ii</sup> W<small>ER AM</small> F<small>ESTTAGE</small> W<small>ILD ODER</small> G<small>EFLÜGEL SCHLACHTET, GRABE, WIE DIE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, MIT EINER</small> S<small>CHAUFEL</small> [E<small>RDE AUF</small>] <small>UND BEDECKE</small> [<small>DAS</small> B<small>LUT</small>]Gf. Lev. 17,13.; <small>DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, MAN DÜRFE NUR DANN SCHLACHTEN, WENN MAN</small> E<small>RDE VOM</small> T<small>AGE</small> [<small>VORHER</small>] <small>VORRÄTIG HAT; JEDOCH PFLICHTET SIE BEI, DASS, WENN MAN BEREITS GESCHLACHTET HAT, MAN</small> [E<small>RDE</small>] <small>MIT EINER</small> S<small>CHAUFEL AUFGRABE UND</small> [<small>DAS</small> B<small>LUT</small>] <small>BEDECKE</small>. D<small>ENN</small> H<small>ERDASCHE GILT ALS</small> V<small>ORRÄTIGES</small>.
"
Beitzah 2a:3,"GEMARA. Wovon gilt dies: wollte man sagen, von einer zum Schlachten bestimmten Henne, was ist demnach der Grund der Schule Hilleis, es ist ja nur eine abgetrennte Speise, 
"
Beitzah 2a:4,"und wenn von einer zum Eierlegen bestimmten Henne, 
"
Beitzah 2a:5,"was ist demnach der Grund der Schule Šammajs, es ist ja Abgesondertes!? – 
"
Beitzah 2a:6,"Was ist das für ein Einwand, vielleicht hält die Schule Šammajs nichts vom [Verbote des] Abgesonderten!? – Sie waren der Ansicht, auch wer das Abgesonderte erlaubt, verbietet das NeuentstandeneErsteres war am Feste bezw. am Šabbath vorhanden, jed. zur Benutzung od. Verwendung verboten, letzteres, wie in diesem Falle das Ei, war vorher überhaupt nicht vorhanden.. Was ist nun der Grund der Schule Šammajs!? 
"
