Index Title,Makkot
    Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
    Language,en
    Version Source,https://www.sefaria.org
    Version Notes,
Makkot 2a:1,"<b>I</b>N <small>WELCHEN</small> F<small>ÄLLEN WERDEN DIE</small> Z<small>EUGEN ÜBERFÜHRTE</small> F<small>ALSCHZEUGEN</small>Dh.: verfallen diese der dem Angeklagten zugedachten Strafe. Die überführten Falschzeugen (dh. wenn andere Zeugen bekunden, daß sie in der inbetracht kommenden Zeit mit ihnen zusammen anderwärts waren) verfallen derjenigen Strafe, die über den Angeklagten verhängt worden wäre; cf. Dt. 19,19. In manchen Fällen, wie sie hier aufgezählt werden, ist dies jedoch nicht möglich.? [S<small>AGTEN SIE</small>:] W<small>IR BEKUNDEN, DASS JENER</small> [P<small>RIESTER</small>] <small>DER</small> S<small>OHN EINER</small> G<small>ESCHIEDENEN ODER DER</small> S<small>OHN EINER</small> Ḥ<small>ALUÇA IST</small>Solche Frauen dürfen von einem Priester nicht geheiratet werden (Lev. 21,7), die Nachkommen einer solchen Ehe gelten als ‘Entweihte’ und sind für die Priesterschaft untauglich; cf. Lev. 21,15., <small>SO SAGE MAN NICHT, DASS</small> [<small>DER</small> Z<small>EUGE</small>Falls er Priester ist.] <small>AN SEINER</small> S<small>TELLE ALS</small> S<small>OHN EINER</small> G<small>ESCHIEDENEN ODER EINER</small> Ḥ<small>ALUÇA ERKLÄRT WERDE, VIELMEHR ERHÄLT ER DIE VIERZIG</small> S<small>TREICHE</small>. 
"
Makkot 2a:2,"<sup>i,1</sup> [S<small>AGTEN SIE</small> :] W<small>IR BEKUNDEN, DASS JENER</small> M<small>ANN SICH DER</small> V<small>ERBANNUNG SCHULDIG GEMACHT HAT</small>Wer absichtslos einen Menschen tötet, wird in eine der Zufluchtsstädte (cf. Num. 35,9ff.) verbannt, wo er vor der Blutrache geschützt ist., <small>SO SAGE MAN NICHT, DASS</small> [<small>DER</small> Z<small>EUGE</small>] <small>AN SEINER</small> S<small>TELLE IN DIE</small> V<small>ERBANNUNG GEHE, VIELMEHR ERHÄLT ER DIE VIERZIG</small> S<small>TREICHE</small>.
"
Makkot 2a:3,"GEMARA. Es sollte ja heißen: in welchen Fällen werden die Zeugen keine überführten Falschzeugen!? Ferner, weiterOf. infra Fol. 5a. wird gelehrt: Wenn sie aber zu ihnen sagen: wieso könnt ihr dies bekunden, an jenem Tage wart ihr ja mit uns zusammen an jenem Orte, so sind jene überführte Falschzeugen. Demnach sind ja die anderenDie in unserer Mišna genannt werden. keine überführten Falschzeugen!? – 
"
Makkot 2a:4,"Unser Autor bezieht sich auf jeneCf. Syn. Fol. 89a. Lehre: Alle überführten Falschzeugen verfallen zuerst demselben Tode, ausgenommen die überführten Falschzeugen wider eine Priesterstochter und ihren Buhlen; diese verfallen nämlich nicht diesem Tode, sondern einem anderen TodeNicht dem Tode, dem die Priesterstochter verfallen sein würde, Verbrennung, sondern gleich dem Buhlen dem Tode durch Erdrosselung.. 
"
Makkot 2a:5,"Es gibt aber überführte Falschzeugen, die der für solche bestimmten Strafe überhaupt nicht verfallen, sondern die vierzig Streiche erhalten. In welchem Falle? [Sagten sie:] Wir bekunden, daß jener [Priester] der Sohn einer Geschiedenen oder der Sohn einer Ḥaluça ist, so sage man nicht, daß [der Zeuge] an seiner Stelle als Sohn einer Geschiedenen oder einer Ḥaluça erklärt werde, vielmehr erhält er die vierzig Streiche. – 
"
Makkot 2a:6,"Woher dies? R. Jehošua͑ b. Levi erwiderte im Namen des R. Šimo͑n b. Laqiš: Die Schrift sagt: Dt. 119.<i>so sollt ihr über ihn das verhängen, was er gedacht hat &amp;c</i>., über ihn, nicht aber über seine KinderWird er als Sohn einer Geschiedenen erklärt, so gilt seine Nachkommenschaft als ‘entweiht’.. – Sollte man doch nur ihn selbst als [für die Priesterschaft] untauglich erklären und nicht seine Kinder!? – Es heißt: was er gedacht hat, was dann nicht der Fall wäre. 
"
