Index Title,Berachot
    Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
    Language,en
    Version Source,https://www.sefaria.org
    Version Notes,
Berakhot 2a:1,"<sup>i</sup><b>V</b>ON <small>WANN AN LIEST MAN DAS</small> Š<small>EMA͑</small>Das Šema͑ (dh. <i>höre <small>AM</small> A͑<small>BEND</small>? – <small>VON DER</small> S<small>TUNDE AN, DA DIE</small> P<small>RIESTERN</small>Unrein gewordene Priester, die, nachdem sie gebadet, den völligen Sonnenuntergang abwarten müssen und erst dann ins Heiligtum treten und von der Hebe essen dürfen. Cf. Lev. 24–7. <small>EINTRETEN, VON IHRER</small> H<small>EBE</small>Die priesterl. Abgaben von Baum- und Feldfrüchten. Cf. Num. 18,8. <small>ZU ESSEN, BIS ZUM</small> S<small>CHLUSS DER ERSTEN</small> N<small>ACHTWACHE</small>Die Nacht wird in drei Wachen geteilt; hierüber weiter Fol. 3a. – <small>SO</small> R.Dh. Rabbi, Ehrentitel der Gelehrten vor Abschiuß der Mišna, bezw. Rabh, dass. nach Einholung der Approbation, entspricht ungefähr unserem Doktor oder Magister. E<small>LIE͑ZER</small>.
"
Berakhot 2a:2,"D<small>IE</small> W<small>EISEN</small>Mišnalehrer (Tannaím); unter dieser Bezeichnung oft auch eine Person gemeint. <small>SAGEN, BIS</small> M<small>ITTERNACHT</small>; 
"
Berakhot 2a:3,"R. G<small>AMLIÉL SAGT, BIS DIE</small> M<small>ORGENRÖTE AUFSTEIGT</small>. 
"
Berakhot 2a:4,"E<small>INST KAMEN SEINE</small> S<small>ÖHNE VOM</small> G<small>ASTMAHL UND SPRACHEN ZU IHM</small>: W<small>IR HABEN</small> [<small>NOCH</small>] <small>DAS</small> Š<small>EMA͑ NICHT GELESEN</small>. D<small>A SPRACH ER ZU IHNEN</small>: I<small>ST DIE</small> M<small>ORGENRÖTE NOCH NICHT AUFGESTIEGEN, SO SEID IHR ZU LESEN VERPFLICHTET</small>. U<small>ND NICHT NUR DIESBEZÜGLICH SAGTEN SIE DIES</small>Die Weisen; daß das Gebot bis Mitternacht reicht., <small>SONDERN VON ALLEM, WORÜBER DIE</small> W<small>EISEN SAGTEN</small>, [<small>ES HABE</small> Z<small>EIT</small>] <small>BIS</small> M<small>ITTERNACHT, GILT DAS</small> G<small>EBOT, BIS DIE</small> M<small>ORGENRÖTE AUFSTEIGT</small>. 
"
Berakhot 2a:5,"D<small>AS</small> G<small>EBOT DER</small> A<small>UFRAUCHERUNG DES</small> F<small>ETTES UND DER</small> G<small>LIEDERN</small>Des Opfers; cf. Lev. 6,5. <small>REICHT, BIS DIE</small> M<small>ORGENRÖTE AUFSTEIGT, UND DAS</small> G<small>EBOT DESSEN, WAS AN EINEM</small> T<small>AGE</small>ZBs. Opferteile; Lev. 7,15. <small>GEGESSEN WERDEN SOLL, REICHT, BIS DIE</small> M<small>ORGENRÖTE AUFSTEIGT</small>. W<small>ARUM SAGTEN DIE</small> W<small>EISEN, WENN DEM SO IST: BIS</small> M<small>ITTERNACHT</small>? U<small>M DEN</small> M<small>ENSCHEN VON DER</small> Ü<small>BERTRETUNG FERNZUHALTEN</small>.
"
Berakhot 2a:6,"GEMARAEtym. Lehre (syn. mit Talmud) od. Ergänzung (sc. zur Mišna). Auslegung der Mišna beim Vortrag und der Debatte im Lehrhause.. Worauf bezieht sich der TannaAutor einer Lehre in der Mišna od. der Barajtha., daß er lehrt: von wann an? 
"
