Index Title,Sanhedrin
Version Title,"Talmud Bavli. German trans. by Lazarus Goldschmidt, 1929 [de]"
Language,en
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Sanhedrin 2a:1,"<sup>i</sup> <b>G</b>ELDANGELEGENHEITEN<sup>1</sup><i class=""footnote"">Streitigkeiten über gewöhnl. Geldforderungen, als Darlehen, Schenkungen udgl.</i> <small>WERDEN VOR DREI</small> [R<small>ICHTERN VERHANDELT</small>], R<small>AUB UND</small> K<small>ÖRPERVERLETZUNGEN</small><sup>2</sup><i class=""footnote"">Dh. der Schadenersatz wegen derselben.</i> <small>VOR DREI</small>, S<small>CHADEN- UND HALBER</small> S<small>CHADENERSATZ</small><sup>3</sup><i class=""footnote"">Wenn ein Ochs einen anderen tötet, so hat der Eigentümer dio ersten Male nur die Hälfte des Schadens zu ersetzen; cf. Ex. 21,35,36.</i>, Z<small>AHLUNG DES</small> D<small>OPPELTEN</small><sup>4</sup><i class=""footnote"">Das der Dieb zu zahlen hat; cf. ib. 22,3.</i> <small>UND DES</small> V<small>IER ODER</small> F<small>ÜNFFACHEN</small><sup>5</sup><i class=""footnote"">Wenn der Dieb das gestohlene Vieh geschlachtet od. verkauft hat, so hat er das 4-, bezw. 5fache zu zahlen; cf. ib. 21,37.</i> <small>VOR DREI</small>,
"
Sanhedrin 2a:2,"N<small>OTZUCHT</small>, V<small>ERFÜHRUNG UND FALSCHE</small> A<small>NSCHULDIGUNG</small><sup>6</sup><i class=""footnote"">Der Bescholtenheit gegen seine Frau; cf. Dt. 22,13ff. Bei diesen 3 Fällen handelt es sich um die nach Ex. 22,15 u. Dt. 22,19,29 zu zahlende Geldbuße.</i> <small>VOR DREI – SO</small> R. M<small>EÍR; 
"
Sanhedrin 2a:3,"DIE</small> W<small>EISEN SAGEN, DIE FALSCHE</small> A<small>NSCHULDIGUNG VOR DREIUNDZWANZIG</small> [R<small>ICHTERN</small>], <small>WEIL HIERBEI AUF</small> T<small>ODESSTRAFE ERKANNT WERDEN</small><sup>7</sup><i class=""footnote"">Falls die Anschuldigung auf Wahrheit beruht; cf. 22,21.</i> <small>KANN</small>. 
"
Sanhedrin 2a:4,"<sup>ii</sup> Ü<small>BER DIE</small> G<small>EISSELUNG</small><sup>8</sup><i class=""footnote"">Die Übertretung eines Verbotes der Tora wird mit Geißelung bestraft, sofern nicht eine andere Strafe genannt ist.</i> <small>WIRD VOR DREI</small> [R<small>ICHTERN VERHANDELT]; IM</small> N<small>AMEN</small> R. J<small>IŠMA͑ÉLS SAGTEN SIE, VOR DREIUNDZWANZIG</small>. 
"
Sanhedrin 2a:5,"D<small>IE</small> I<small>NTERKALATION DES</small> M<small>ONATS</small><sup>9</sup><i class=""footnote"">Der Monat hat 29 od. 30 Tage, letzterer heißt ‘voller’ (<span dir=""rtl"">מלא</span>) od. Interkalationsmonat (<span dir=""rtl"">מעזבר</span>).</i> <small>UND DIE</small> I<small>NTERKALATION DES</small> J<small>AHRES</small><sup>10</sup><i class=""footnote"">Durch Einschaltung eines Monats (Schaltmonat), was einmal in 3 Jahren geschieht, da das Mondjahr nur 355 Tage hat.</i><small>ERFOLGT DURCH DREI</small> [R<small>ICHTER</small>] – <small>SO</small> R. M<small>EÍR</small>. R. Š<small>IMO͑N B.</small> G<small>AMLIÉL SAGT, DIE</small> E<small>RÖFFNUNG DURCH DREI, DIE</small> V<small>ERHANDLUNG DURCH FÜNF UND DIE</small> B<small>ESCHLUSSFASSUNG DURCH SIEBEN; ERFOLGTE DIE</small> B<small>ESCHLUSSFASSUNG DURCH DREI, SO IST DIE</small> I<small>NTERKALATION GÜLTIG</small>. 
"
Sanhedrin 2a:6,"<sup>iii</sup> D<small>AS</small> S<small>TÜTZEN</small><sup>11</sup><i class=""footnote"">Der Hand auf den Kopf des Gemeinde-Sündopfers; cf. Lev. 4,15.</i><small>DER</small> Ä<small>LTESTEN UND DAS</small> G<small>ENICKBRECHEN DES</small> K<small>ALBES</small><sup>12</sup><i class=""footnote"">Wenn man einen Erschlagenen auf dem Wege findet; cf. Dt. 21,1ff.</i><small>DURCH DREI – SO</small> R. Š<small>IMO͑N</small>; R. J<small>EHUDA SAGT, DURCH FÜNF</small>. D<small>IE</small> Ḥ<small>ALIÇA</small><sup>13</sup><i class=""footnote"">Cf. Dl. 25,5ff.</i><small>UND DIE</small> W<small>EIGERUNGSERKLÄRUNG</small><sup>14</sup><i class=""footnote"">Einer minderjährig Verheirateten.</i><small>DURCH DREI</small>. 
"
Sanhedrin 2a:7,"V<small>IERJAHRSFRUCHT</small><sup>15</sup><i class=""footnote"">Cf Lev 19,23ff.</i><small>UND ZWEITER</small><sup>16</sup><i class=""footnote"">Der in Jerušalem verzehrt werden muß; cf. Dt. 14,24.</i>Z<small>EHNT, DESSEN</small> W<small>ERT NICHT BEKANNT</small><sup>17</sup><i class=""footnote"">Wenn die Früchte beispielsweise verfault sind.</i><small>IST, WERDEN VOR DREI</small> [R<small>ICHTERN AUSGELÖST</small>]; G<small>EHEILIGTES VOR DREI</small>, S<small>CHÄTZGELÜBDE BEWEGLICHER</small> S<small>ACHEN VOR DREI</small>; R. J<small>EHUDA SAGT, EINER VON DIESEN MÜSSE EIN</small> P<small>RIESTER SEIN</small>. 
"
Sanhedrin 2a:8,"G<small>RUNDSTÜCKE VOR NEUN UND EINEM</small> P<small>RIESTER; DASSELBE GILT AUCH VON EINEM</small> M<small>ENSCHEN</small><sup>18</sup><i class=""footnote"">Dessen Wert man gelobt hat.</i>. 
"
Sanhedrin 2a:9,"<sup>iv</sup> T<small>ODES STRAFSACHEN WERDEN VOR DREIUNDZWANZIG</small> [R<small>ICHTERN VERHANDELT</small>]; <small>EBENSO ÜBER DAS AKTIV ODER PASSIV ZUR</small> B<small>ESTIALITÄT VERWANDTE</small> T<small>IER, DENN ES HEISST</small>:<sup>19</sup><i class=""footnote"">Lev. 20,16.</i><i>du sollst das Weib und das Vieh töten</i>, <small>FERNER HEISST ES</small>: <sup>20</sup><i class=""footnote"">Ib. V. 15.</i><i>und das Vieh sollt ihr töten</i>; 
"
Sanhedrin 2a:10,"<small>ÜBER DEN ZU STEINIGENDEN</small> O<small>CHSEN</small><sup>21</sup><i class=""footnote"">Der einen Menschen getötet hat; cf. Ex. 28ff.</i><small>VOR DREIUNDZWANZIG, DENN ES HEISST</small>:<sup>22</sup><i class=""footnote"">Ex. 21,29.</i><i>der Ochs werde gesteinigt und auch dessen Eigentümer soll sterben</i>, <small>DIE</small> A<small>BURTEILUNG DES</small> O<small>CHSEN GLEICHT DER</small> A<small>BURTEILUNG DES</small> E<small>IGENTÜMERS</small>. D<small>ER</small> W<small>OLF, DER</small> L<small>ÖWE, DER</small> B<small>ÄR, DER</small> T<small>IGER, DER</small> P<small>ANTHER UND DIE</small> S<small>CHLANGE SIND DURCH DREIUNDZWANZIG</small> [R<small>ICHTER</small>] <small>HINZURICHTEN</small><sup>23</sup><i class=""footnote"">Wenn sie einen Menschen getötet haben.</i>. R. E<small>LIE͑ZER SAGT, WER SIE ZUERST TÖTET, HABE EIN</small> V<small>ERDIENST</small>. R. A͑<small>QIBA SAGT, SIE SIND DURCH DREIUNDZWANZIG</small> [R<small>ICHTER</small>] <small>HINZURICHTEN</small>. 
"
Sanhedrin 2a:11,"<sup>v</sup> M<small>AN RICHTE EINEN</small> S<small>TAMM</small><sup>24</sup><i class=""footnote"">Der Götzendienst treibt.</i>, <small>EINEN FALSCHEN</small> P<small>ROPHETEN UND EINEN</small> H<small>OGHPRIESTER NUR VOR DEM</small> G<small>ERICHTE VON EINUNDSIEBZIG</small> [M<small>ITGLIEDERN</small>]<sup>25</sup><i class=""footnote"">Das hohe Gericht (Synedrium) zu Jerušalem.</i>; <small>MAN DARF ZU EINEM</small> F<small>REIKRIEGE</small><sup>26</sup><i class=""footnote"">Als Gegensatz zu den Kriegen gegen die kenaa͑nitischen Völker, die den Jisraéliten von Gott geboten worden waren.</i><small>NUR DURCH</small> E<small>NTSCHEIDUNG DES</small> G<small>ERICHTES VON EINUNDSIEBZIG</small> [M<small>ITGLIEDERN</small>] <small>AUSZIEHEN; MAN DARF DIE</small> S<small>TADT</small><sup>27</sup><i class=""footnote"">Jerušalem.</i><small>ODER DIE</small> T<small>EMPELHÖFE NUR DURCH</small> B<small>ESCHLUSS DES</small> G<small>ERICHTES VON EINUNDSIEBZIG</small> [M<small>ITGLIEDERN</small>] <small>ERWEITERN; MAN DARF</small> G<small>ERIGHTSHÖFE</small><sup>28</sup><i class=""footnote"">Aus 23 Mitgliedern (kleines Synedrium), wie sie in jeder Stadt vorhanden waren.</i><small>FÜR EINZELNE</small> S<small>TÄMME</small><sup>29</sup><i class=""footnote"">Dh. Städte, Gemeinden.</i><small>NUR DURCH</small> B<small>ESCHLUSS DES</small> G<small>ERICHTES VON EINUNDSIEBZIG</small> [M<small>ITGLIEDERN</small>] <small>EINSETZEN</small>. 
"
Sanhedrin 2a:12,"E<small>INE</small> S<small>TADT KANN NUR DURCH DAS</small> G<small>ERICHT VON EINUNDSIEBZIG</small> [M<small>ITGLIEDERN</small>] <small>ALS ABTRÜNNIG</small><sup>30</sup><i class=""footnote"">Durch Götzendienst; cf. Dt. 13,13ff.</i><small>ERKLÄRT WERDEN; DIE AN DER</small> G<small>RENZE LIEGENDE</small> S<small>TADT KANN NICHT ALS ABTRÜNNIG VERURTEILT WERDEN; AUCH NICHT DREI</small> S<small>TÄDTE, SONDERN NUR EINE ODER ZWEI</small>. 
"
