Index Title,Gittin
    Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
    Language,en
    Version Source,https://www.sefaria.org
    Version Notes,
Gittin 2a:1,"<sup>i</sup> <b>W</b>ER <small>EINEN</small> S<small>CHEIDEBRIEF</small>Den er vom Ehemanne erhalten hat, um ihn seiner Frau zu überreichen. <small>AUS DEM</small> Ü<small>BERSEELANDE BRINGT, MUSS</small>Bei der Übergabe. <small>SAGEN: ER IST VOR MIR GESCHRIEBEN UND VOR MIR UNTERZEICHNET WORDEN</small>;
"
Gittin 2a:2,"R. G<small>AMLIÉL SAGT, AUCH WER EINEN AUS</small> R<small>EQEM ODER</small> Ḥ<small>EGER</small>Orte an der Grenze Palästinas; nach Onkelos identisch mit den biblischen <span dir=""rtl"">קדש</span> u. <span dir=""rtl"">ברד</span>, Gen. 16,14. <small>BRINGT</small>; R. E<small>LIE͑ZER SAGT, AUCH WER EINEN, AUS</small> K<small>EPHAR</small> L<small>UDIM</small>Dieses lag außerhalb des Jisraéllandes, jedoch verkehrten da die Einwohner des nahen Lud, das zum Jisraéllande gehörte. <small>NACH</small> L<small>UD BRINGT</small>.
"
Gittin 2a:3,"D<small>IE</small> W<small>EISEN SAGEN, NUR WER EINEN AUS DEM</small> Ü<small>BERSEELANDE BRINGT ODER DA EINEN HINBRINGT</small>Aus dem Jisraéllande., <small>MÜSSE SAGEN: ER IST VOR MIR GESCHRIEBEN UND VOR MIR UNTERZEICHNET WORDEN</small>. W<small>ER EINEN AUS EINER</small> P<small>ROVINZ NACH EINER ANDEREN IM</small> Ü<small>BERSEELANDE BRINGT, MUSS SAGEN: ER IST VOR MIR GESCHRIEBEN UND VOR MIR UNTERZEICHNET WORDEN</small>. R. Š<small>IMO͑N B.</small> G<small>AMLIÉL SAGT, AUCH WENN AUS EINER</small> H<small>EGEMONIE NACH EINER ANDEREN</small>.
"
Gittin 2a:4,"R. J<small>EHUDA SAGTE:</small> <sup>ii</sup> V<small>ON</small> R<small>EQEM AB NACH</small> O<small>STEN</small>Beginnt das nichtjisraélitische Gebiet., <small>UND</small> R<small>EQEM GEHÖRT ZUM</small> O<small>STEN</small>Und nicht mehr zum Jisraéllande.; <small>VON</small> A<small>ŠQELON AB NACH</small> S<small>ÜDEN, UND</small> A<small>ŠQELON GEHÖRT ZUM</small> S<small>ÜDEN; VON</small> A͑<small>KKO AB NACH</small> N<small>ORDEN, UND</small> A͑<small>KKO GEHÖRT ZUM</small> N<small>ORDEN</small>. R. M<small>EÍR SAGTE</small>: A͑<small>KKO GILT HINSICHTLICH DER</small> S<small>CHEIDEBRIEFE ALS</small> J<small>ISRAÉLLAND</small>. <sup>iii,1</sup>
"
Gittin 2a:5,"W<small>ER IM</small> J<small>ISRAÉLLANDE EINEN</small> S<small>CHEIDEBRIEP BRINGT, BRAUCHT NICHT ZU SAGEN: ER IST VOR MIR GESCHRIEBEN UND VOR MIR UNTERZEICHNET WORDEN</small>. L<small>IEGT EINE</small> A<small>NFECHTUNG</small>Gegen die Echtheit desselben. <small>VOR, SO IST ER DURCH DIE</small> U<small>NTERSCHRIFTEN ZU BESTÄTIGEN</small>Wenn die Unterschriften der Zeugen als echt festgestellt werden, so ist er trotz der Anfechtung gültig..
"
Gittin 2a:6,"GEMARA. Aus welchem GrundeMuß der Zeuge bekunden, daß der Scheidebrief vor ihm geschrieben u. unterzeichnet worden sei.? Rabba erwiderte:
"
