Index Title,Moed Katan
    Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
    Language,en
    Version Source,https://www.sefaria.org
    Version Notes,
Moed Katan 2a:1,"<b>M</b>AN <small>DARF DAS</small> R<small>IESELFELD</small>Für das die natürliche Bewässerung nicht ausreicht. <small>AM</small> H<small>ALBFESTE UND IM</small> S<small>IEBENTJAHRE</small> <sup>i</sup> <small>BEWÄSSERN</small>, <small>SOWOHL AUS EINER ERSTMALIG TÄTIGEN</small>Mit der man vor dem Feste gar nicht gerechnet hatte. Q<small>UELLE ALS AUCH AUS EINER NICHT ERSTMALIG TÄTIGEN</small> Q<small>UELLE; MAN DARF ABER NICHT BEGIESSEN MIT</small> R<small>EGEN- ODER</small> Z<small>UGBRUNNENWASSER, 
"
Moed Katan 2a:2,"AUCH DARF MAN KEINE</small> K<small>REISFURCHEN UM DIE</small> W<small>EINSTÖCKE MACHEN</small>. R. E<small>LEA͑ZAR B.</small> A͑<small>ZARJA</small> <sup>ii</sup> <small>SAGT, MAN DÜRFE AM</small> H<small>ALBFESTE UND IM</small> S<small>IEBENTJAHRE KEINEN</small> W<small>ASSERGRABEN NEU ERRICHTEN; DIE</small> W<small>EISEN SAGEN, MAN DÜRFE IM</small> S<small>IEBENTJAHRE EINEN</small> W<small>ASSERGRABEN NEU ERRICHTEN UND AM</small> H<small>ALBFESTE VERFALLENE AUSBESSERN</small>. 
"
Moed Katan 2a:3,"M<small>AN DARF BESCHÄDIGTE</small> W<small>ASSER</small>[<small>BEHÄLTER</small>] <small>AUF ÖFFENTLICHEN</small> P<small>LÄTZEN AUSBAGGERN</small>. F<small>ERNER DARF MAN</small> W<small>EGE</small>, S<small>TADTPLÄTZE UND</small> T<small>AUCHBÄDER AUSBESSERN, ALLE ÖFFENTLICHEN</small> A<small>RBEITEN VERRICHTEN</small>, G<small>RÄBER BEZEICHNEN UND WEGEN DER</small> M<small>ISCHFRUCHT STREIFEN</small>Streifzüge aussenden, die für die Entfernung der Mischfrucht zu sorgen haben..
"
Moed Katan 2a:4,"GEMARA. Wenn dies schon von einer erstmalig tätigen Quelle gilt, bei der zu berücksichtigen ist, [das Bett] könne zusammenfallen, wozu braucht dies von einer nicht erstmalig tätigen Quelle gelehrt zu werden, bei der das Zusammenfallen nicht zu berücksichtigen istl? – 
"
Moed Katan 2a:5,"Ich will dir sagen, dies ist nötig; würde er es nur von einer erstmalig tätigen Quelle gelehrt haben, so könnte man glauben, nur aus einer solchen sei es bei einem Rieselfelde erlaubt und bei einem feuchten verboten, weil [das Bett] zusammenfallen kann, aus einer nicht erstmalig tätigen Quelle aber, wo das Zusammenfallen nicht zu berücksichtigen ist, sei es auch bei einem feuchten FeldeWobei kein großer Schaden zu berücksichtigen ist.erlaubt, 
"
Moed Katan 2a:6,"so lehrt er uns, daß sowohl aus einer erstmalig tätigen Quelle als auch aus einer nicht erstmalig tätigen Quelle, dies nur bei einem Rieselfelde erlaubt ist, nicht aber bei einem feuchten. – 
"
