Index Title,Sukkah
    Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
    Language,en
    Version Source,https://www.sefaria.org
    Version Notes,
Sukkah 2a:1,"<sup>i</sup> <b>E</b><small>INE</small> F<small>ESTHÜTTE, DIE MEHR ALS ZWANZIG</small> E<small>LLEN HOCH IST, IST UN-BRAUCHBAR, NACH</small> R. J<small>EHUDA ABER BRAUCHBAR; 
"
Sukkah 2a:2,"DIE KEINE ZEHN</small> H<small>ANDBREITEN HOCH IST, DIE KEINE DREI</small> W<small>ÄNDE HAT UND DIE MEHR</small> S<small>ONNE ALS</small> S<small>CHATTEN</small>Das W. <span dir=""rtl"">סוכה</span> ist von <span dir=""rtl"">סכך</span> <i>bedecken, beschatten, <small>GEWÄHRT, IST UNBRAUCHBAR</small>.
"
Sukkah 2a:3,"GEMARA. Dort haben wir gelernt: Ein Durchgang, der mehr als zwanzig Ellen hoch ist, muß verringert werden ; R. Jehuda sagt, dies sei nicht nötig. 
"
Sukkah 2a:4,"Weshalb lehrt er von der Festhütte, sie sei unbrauchbar, während er vom Durchgange ein Mittel lehrt!? – 
"
Sukkah 2a:5,"Die Festhütte ist [ein Gebot] der Tora, daher lehrt er, sie sei unbrauchbar, der Durchgang aber ist nur rabbanitisch, daher gibt er ein Mittel an. 
"
Sukkah 2a:6,"Wenn du aber willst, sage ich: auch bei [Geboten] der Tora lehrt er sonst ein Mittel; jedoch lehrt er von der Festhütte, sie sei unbrauchbar, weil deren [Un-brauchbarkeitsfälle] viel sind, beim Durchgange dagegen, bei dem sie nicht viel sind, gibt er ein Mittel an.
"
Sukkah 2a:7,"Woher dies? 
"
Sukkah 2a:8,"Raba erwiderte: Die Schrift sagt:Lev. 23,43.<i>damit eure Geschlechter wissen, daß ich die Kinder Jisraél in Hütten habe wohnen lassen:</i> bis zwanzig Ellen merkt man, daß man sich in einer Hütte befindet, ist sie höher als zwanzig Ellen, so merkt man nicht mehr, daß man sich in einer Hütte befindet, weil das Auge da nicht hinreicht. 
"
Sukkah 2a:9,"R. Zera entnimmt dies hieraus:Jes. 4,6.<i>Und eine Hütte wird da sein als Schatten vor der Hitze tagsüber</i>; bis zwanzig Ellen befindet man sich im Schatten der Hüttenbedachung, ist sie höher als zwanzig Ellen, so befindet man sich nicht mehr im Schatten der Hüttenbedachung, sondern im Schatten der Wände. 
"
Sukkah 2a:10,"Abajje sprach zu ihm: Demnach ist, wenn jemand seine Festhütte zwischen den Ášteroth. QarnajimName hoher Berge (vgl. Gn. 14,5), die das Tal am Fuße vollständig beschatten. errichtet, diese ebenfalls keine Festhütte!? 
"
Sukkah 2a:11,"Dieser erwiderte: Bei dieser ist, wenn du die Ášteroth Qarnajim entfernst, ein Schatten der Hüttenbedachung vorhanden, bei jener aber ist, wenn du die Wände entfernst, kein Schatten der Hüttenbedachung vorhanden. 
"
