Index Title,Kiddushin
    Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929 -- footnotes"""
    Language,en
    Version Source,https://www.sefaria.org
    Version Notes,
Kiddushin 2a:1,"<sup>i</sup> <b>D</b>IE F<small>RAU WIRD</small>Von ihrem Ehemanne als Ehefrau. <small>AUF DREI</small> A<small>RTEN ANGEEIGNET UND EIGNET SICH SELBST</small>Sie kommt aus dem Besitze ihres Ehemannes und erlangt ihre Selbständigkeit. <small>AN AUF ZWEI</small> A<small>RTEN! SIE WIRD ANGEEIGNET DURCH</small> G<small>ELD</small>Wenn er ihr zu diesem Behufe ein Geldstück gibt., U<small>RKUNDE</small>Die Antrauungsurkunde. <small>UND</small> B<small>EISCHLAF</small>Wenn er zur Ehelichung erfolgt.. D<small>URCH</small> G<small>ELD, WIE DIE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, MIT EINEM</small> D<small>ENAR UND DEM</small> W<small>ERTE EINES</small> D<small>ENARS, UND WIE DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, MIT EINER</small> P<small>ERUṬA</small>Kleinste Scheidemünze. <small>UND DEM</small> W<small>ERTE EINER</small> P<small>ERUṬA.</small> W<small>IEVIEL IST EINE</small> P<small>ERUṬA?</small> E<small>IN</small> A<small>CHTEL EINES ITALISCHEN</small> A<small>SSARS.</small>
"
Kiddushin 2a:2,"S<small>IE EIGNET SICH SELBST AN DURCH</small> S<small>CHEIDEBRIEF UND</small> T<small>OD IHRES</small> E<small>HEMANNES.</small> D<small>IE</small> E<small>HESCHWÄGERIN</small>Cf. Dt. 25,5ff. <small>WIRD ANGEEIGNET DURCH</small> B<small>EISCHLAF UND EIGNET SICH SELBST AN DURCH ḤALIÇA UND</small> T<small>OD DES</small> E<small>HESCHWAGERS.</small>
"
Kiddushin 2a:3,"GEMARA. D<small>IE</small> F<small>RAU WIRD ANGEEIGNET.</small> Weshalb heißt es hier: die Frau wird angeeignet, dortWeiter Fol, 41a. aber : der Mann traueEigentl. heilige, womit die Antrauung als heiliger Akt bezeichnet wird, während der hier gebrauchte Ausdruck ‘aneignen’ sie als profane Handlung bezeichnet. sich an? –
"
Kiddushin 2a:4,"Weil er es hier vom Gelde lehren will, und [die Antrauung durch] Geld aus [dem Worte] <i>nehmen</i> entnommen wird, das auch beim Felde E͑phrons gebraucht wird. Hierbei heißt es:Dt. 22,13.<i>wenn jemand eine Frau nimmt,</i> und dortGen. 23,13.heißt es: <i>ich gebe das Geld für das Feld, nimm es,</i>
"
Kiddushin 2a:5,"und unter <i>nehmen</i> ist die Aneignung zu verstehen, wie es heißt:Ib. 25,10.<i>das Feld, das Abraham angeeignet</i>Dieses Wort wird vom Felde gebraucht, bei dem das W. ‘aneignen’ gebraucht wird.<i>hat;
"
Kiddushin 2b:1,"</i> ferner auch :Jer. 32,44.<i>sie werden Felder für Geld aneignen</i>. Daher lehrt er: die Frau wird angeeignet. –
"
