"Moreh Nevukhim, Part 1, Additions Et Rectifications.1",_____
"Moreh Nevukhim, Part 1, Additions Et Rectifications.2","Page 12, note 1. Les mots <span dir=""rtl"">כל חכים אלאהי רבאני דׄו חקיקה̈</span>, que nous avons traduits par <i>tous les savants métaphysiciens et théologiens, amis de la vérité</i>, signifient littéralement: <i>tout sage divin</i> possédant la vérité (les mots <span dir=""rtl"">אלאהי</span> et <span dir=""rtl"">רבאני</span> sont ici parfaitement synonymes). Par ces mots, l'auteur désigne ici principalement les écrivains <i>inspirés</i>, ou les prophètes, ainsi que les auteurs des <i>Midraschîm</i>, qui, selon lui, enseignaient de profonds sujets métaphysiques par la voie des allégories."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.3","Dans ce qui suit (pag. 12 et 13), l'auteur distingue à cet égard quatre procédés différents: 1° Lorsque le sujet qu'on veut enseigner par un discours allégorique n'est indiqué que dans un certain endroit de ce discours et que le reste ne sert qu'à l'embellissement de ce même discours pris dans son sens littéral (cf. pag. 20); 2° lorsqu'un seul et même sujet est représenté par différentes allégories qui, prises dans leur sens littéral, sont tout à fait hétérogènes, comme, par exemple, les différentes allégories représentant la matière (cf. pag. 21 et 96, et II<sup>e</sup> partie, chapitre XXVI); 3° lorsqu'un seul discours allégorique se rapporte à plusieurs sujets différents, de sorte que chaque membre du discours indique un certain sujet particulier, comme, par exemple, le récit de l'<i>échelle de Jacob</i> (voy. pag. 20); 4° enfin lorsque l'ensemble de l'allégorie s'applique à la fois à deux ou même à plusieurs sujets analogues. On peut, il me semble, citer pour exemple les mots <i>celui qui chevauche sur le ciel</i>, ou <i>celui qui chevauche sur 'Arabôth</i>, qui désignent à la fois Dieu comme l'Être qui est <i>supérieur</i> à tout, qui <i>domine</i> et gouverne tout et qui <i>met en mouvement</i> tout l'univers (voy. chap. LXX). — Le dernier de ces quatre cas est désigné par ces mots (pag. 13): « Parfois aussi toute l'allégorie s'emploie pour deux sujets analogues dans ce genre de science. » Le texte dit littéralement: <i>Et quelquefois le tout est une allégorie pour deux sujets rapprochés l'un de l'autre dans l'espèce de cette science</i>, c'est-à-dire, dans l'espèce de science qu'on a pour but de traiter. Il vaudrait peutêtre mieux traduire: « Parfois aussi l'ensemble de l'allégorie s'emploie pour deux sujets rapprochés, appartenant à une même espèce de science. » Le sens est que l'ensemble de l'allégorie représente quelquefois deux ou même plusieurs sujets en rapport entre eux et appartenant à un même genre de science, soit à la physique, soit à la métaphysique."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.4","Page 16, lignes 12 et suiv.: « Nous donnerons aussi, dans ce traité, des chapitres dans lesquels il ne sera question d'aucun mot homonyme. Mais tel chapitre servira de préparation à un autre, etc. » — L'auteur fait allusion, dans ce passage, à divers chapitres de cette I<sup>re</sup> partie, par lesquels il interrompt ses explications des <i>homonymes</i>. Voy. pag. 68, note 1; pag. 88, note 1; pag. 104, note 1."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.5","Page 27, ligne 13: « Il faut alors que celui qui enseigne <i>se mette à l'aise</i>, etc. » — Sur le sens du verbe <img src=""images/Art_P446.jpg"" alt=""art""/>, cf. pag. 235, note 1."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.6","Page 38, ligne 24: « La raison que Dieu a fait <i>émaner</i> sur l'homme, etc., » c'est-à-dire qu'il a fait émaner de lui et descendre sur l'homme. L'expression arabe <img src=""images/Art_P447.jpg"" alt=""art""/> (<i>il a épanché</i> ou <i>versé sur lui</i>) a le sens de <i>communiquer par voie d'émanation</i>. Cf. pag. 57, ligne 4. Voy. aussi, sur le mot <img src=""images/Art_P448.jpg"" alt=""art""/>, pag. 244, note 1."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.7","Page 39, note 1. Sur le mot <img src=""images/Art_P449.jpg"" alt=""art""/>, cf. Silv. de Sacy, <i>Anthologie grammaticale</i>, pag. 473."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.8","Page 43, lignes 18 et 19: « Il (le mot <span dir=""rtl"">תמונה</span>) se dit 1° de la forme d'un objet perçue par les sens indépendamment de l'esprit. » Au lieu de « <i>indépendamment</i> de l'esprit », il vaudrait mieux dire « <i>en dehors de l'esprit</i> »; il s'agit ici de la figure <i>objective</i>, qui a une existence réelle <i>en dehors de l'esprit</i> et qui n'est ni un simple fantôme de l'imagination, ni une <i>forme intelligible</i> perçue par l'intelligence. Sur les mots <span dir=""rtl"">בׄארגׄ אלדׄהן</span>, cf. pag. 175, note 5."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.9","Page 49, chap. VI. Ce chapitre paraît avoir pour but d'indiquer que le mot <i>ischâ</i> (femme) renferme quelquefois une allusion à la <i>matière</i>, destinée à se joindre à la <i>forme</i>, qui est désignée par <i>isch</i> (homme)."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.10","Page 64, ligne 4: <i>Mon esprit ne plaidera plus avec l'homme</i>. Incertain sur le sens que l'auteur lui-même donnait à ce passage de la Genèse, et notamment au mot <span dir=""rtl"">ידון</span>, nous avons suivi les anciens commentateurs juifs, qui, pour la plupart, prennent le verbe en question dans le sens de <i>contester, plaider</i>. Le sens serait: Mon esprit ne sera pas toujours en dispute, ou en lutte, avec l'homme; c'est-à-dire: l'esprit n'aura point à soutenir une lutte perpétuelle avec la matière, car leur union sera d'une durée limitée. Pour l'auteur il s'agissait seulement de citer un exemple où le mot <span dir=""rtl"">אדם</span> est employé pour désigner <i>l'espèce humaine</i>. Ce chapitre paraît avoir pour but de faire ressortir les divers sens qu'a le mot <i>Adam</i> dans les premiers chapitres de la Genèse; l'homme <i>créé à l'image de Dieu</i>, c'est l'espèce humaine, tandis que dans les <i>filles de l</i>'<small>HOMME</small> (Genèse, VI, 2) il y a une allusion à l'homme <i>vulgaire</i>."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.11","Page 75, lignes 3 et 4: « Il désigne d'abord le mouvement de l'animal à une certaine distance directe; » c'est-à-dire, le mouvement direct, ou en ligne droite, que fait l'animal pour se <i>transporter</i> à un endroit qui se trouve à une certaine distance."
