masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text,problem
Makkot,"מהר""ם די לונזאנו",1,0,7a,"@11כצפור @33לנוד כדרור לעוף כן קללת חנם לא תבא ותמר כן כצ""ל. נ""ב ל""ק דשאני קללה מן תפלה:",כצפור לנוד כדרור לעוף כן קללת חנם,Jerusalem Talmud Makkot 2:6:9,תני ר' ליעזר בן יעקב אומר מקלט מקלט כתיב בפרשת דרכים כדי שיהא הרוצח רואה את הכתוב והולך אמר ר' אבון כמין יד היתה מראה להן את הדרך. אמר רבי פינחס (תהילים כה) טוב וישר למה הוא טוב שהוא ישר ולמה הוא ישר שהוא טוב על כן יורה חטאים בדרך שמורה דרך תשובה. שאלו לחכמה חוטא מהו עונשו אמרו להם חטאים תרדף רעה שאלו לנבואה חוטא מהו עונשו אמרה להן הנפש החוטאת היא תמות שאלו לקודשא בריך הוא חוטא מהו עונשו אמר להן יעשו תשובה ויתכפר לו. היינו דכתיב על כן יורה חטאים בדרך יורה לחטאים דרך לעשות תשובה. כתיב כצפור לנוד כדרור לעוף כן &lt;איש נודד ממקומו&gt;,
Beitzah,"מהר""ם די לונזאנו",1,0,13b,"@11מן @33מה דרב מעני מיתי קומיה ר' חייא רובה כצ""ל. פירוש מאחר. (א""ה חיד""א וכן פי' פ""ק דסוטה ה' ד'):",מן מה דרב מעני מיתי קומיה ר',Jerusalem Talmud Beitzah 3:2:4,"רבי חייה רבה ור""ש בר' חד אמר העכו""ם צריך הכן וחורנה אמר אין העכו""ם צריך הכן ולא ידעין מאן אמר דא ומאן אמר דא מן מה דרב מיבעי מיתיקומיה ר' חייה רבה והוא א""ל הן הויתה והוא א""ל שיירתה הוות עברה והוינא אכל מינה תאינים הוי דו אמר אין העכו""ם צריך הכן",
Bava Kamma,"מהר""ם די לונזאנו",1,0,12b,"@11אהו כריסו ארגירא. @33נ""ב לשון יוני הוא ופירושו זהב וכסף:",אהו כריסו ארגירא,Jerusalem Talmud Bava Kamma 3:1:4,הניח חבית ברשות הרבים ובא אחר והניח אחרת סמוכה לה ובא הראשון ליטול שלו אם יטלינה מיכן ויתנינה כאן נעשה בור אלא יטול את המקל וישברנה או יעברו עליה ואם נשברה נשברה. נישמעינה מן הדא שור שעלה כחבירו ובא בעל השור ושמטו מתחתיו אם עד שלא עלה שמטו ונפל ומת פטור ואם דחהו ונפל ומת חייב. אמר רבי יוסי ותישע מינה ראה אמת המים שוטפת ובאה לתוך שדהו עד שלא נכנסו המים לתוך שדהו רשאי לפנותן למקום אחר משנכנסו אין רשאי לפנותן למקום אחר. אהן כריסו ארגירא עד דלא ייתי אהן כריסו ארגירא שרי מימר פלן עביד עיבידתי פלן עביד עיבידתי. מן דייתי אהן כריסו ארגירא אסיר. הדין אכסניי פרכא עד דלא ייתון רומאי שרי מיחשדוניה ומן דייתון רומאי אסיר.,
Bava Kamma,"מהר""ם די לונזאנו",1,0,33b,"@11אנא נביב בנרייתיה. @33נ""ב נ""א בנוייתיה ול""נ בלנייתיה כדאמרינן בעלמא מובילנא מניה לבי מסותיה:",אנא נביב בנרייתיה,,,
Kiddushin,"מהר""ם די לונזאנו",1,0,19b,"@11והוה @33מסתמיך על כתפיה דר""ח בר בא אנהר (פירוש נזכר) ונפק ליה מו דימוסא אמר מה הוה ר""א בר יוסי אמר שליח מנוי. א""ל ר""ח בר בא כצ""ל:","והוה מסתמיך על כתפיה דר""ח בר בא",Jerusalem Talmud Kiddushin 1:7:4,"תמן תנינן אם התחילו אין מפסיקין התחלת המרחץ אי זו היא רבי זריקן בשם ר' חנינה משיתיר איזורו רב אמר משיתיר מנעלו ר' יהושע בן לוי הוה יליף שמע פרשתה דבר בריה בכל ערובת שובתא חד זמן אינשי ועל מיסחי בההן דימוסין דטיבריא והוה מיסתמיך על כתפיה דרבי חייה בר בא אנהר ונפק ליה מן דימוסא מה הוה ר' דרומי אמר כך הוה רבי לעזר בר יוסי אמר שליח מנוי א""ל רבי חייה בר בא לא כן אלפן רבי אם התחילו אין מפסיקין אמר ליה חייה בני וקלה היא בעיניך שכל מי שהוא שומע פרשה מבן בנו כאילו הוא שומעה מהר סיני מ""ט (דברים ד) והודעתם לבניך ולבני בניך וגו' יום אשר עמדת לפני י""י אלהיך בחורב כיום אשר עמדת לפני י""י אלהיך בחורב רבי חזקיה בר ירמיה רבי חייה בשם רבי יוחנן אם יכול את לשלשל שמועה עד משה שלשלה ואם לאו תפוש או ראשון ראשון או אחרון אחרון גידול אמר כל האומר שמועה משם אומרה יהא רואה בעצמו כאלו בעל השמועה עומד לפניו מה טעמא (תהילים לא) אך בצלם יתהלך איש וגו' (משלי כ) רב אדם יקרא איש חסדו ואיש אמונים מי ימצא זה רבי זעירא דאמר ר' זעירא לית אנן חשין על שמועתה דרב ששת דהוא גברא מפתחא ואמר רבי זעירא לר' יסא חכם ר' לבר פדייה דאת אמר שמועתא מן שמיה א""ל ר' יוחנן אמרן משמו אמר רבי זעירא לר' בא בר זבדא חכים רבי לרב דאת אמר שמועתא משמיה א""ל רב אדא בר אחוה אמרין משמו",
Peah,"מהר""ם די לונזאנו",1,0,00,"@11את חמי לי ההיא סגולה בגו כרמך. @33נ""ב פי' אשכול (א""ה חיד""א אפשר לפרש מ""ש במדרש [דברים רבה פ' י""א סימן ז'] פגעה בו סגולה שהוא שבת ע""ד בטלו האשכולות):",את חמי לי ההיא סגולה בגו כרמך,Jerusalem Talmud Peah 7:3:12,"רבי אמר לרבי פרידא לית את חמי לי ההיא סגולה בגו כרמך א""ל אין נפיק בעי מחמייא לי' עד דהוא רחוק צפה ביה כמין תור א""ל לית הדין תורא מחבל כרמך א""ל הדין תורא דאת סבר הוא סגולה וקרא עליו (שיר השירים א) עד שהמלך במסבו נרדי נתן ריחו בית מקדשא חריב ואת קאים בקשיותך מיד איתבעין ולא אשכח",
Peah,"מהר""ם די לונזאנו",1,0,00,"@11אית הוו סבין ביומינו מן דהוה יהבין לון מבין ריש שתא לצומא רבא הוון נסבין מן בתר כן לא הוו נסבין אמרי דשתן גבן @33כצ""ל. נ""ב פי' כבר יש לנו הוצאת כל השנה (א""ה חיד""א וטעם זקנים לזכות לנותנים בעשרת ימי תשובה לעשות צדקה הגונה):",אית הוו סבין ביומינו מן דהוה יהבין,,,
Kilayim,"מהר""ם די לונזאנו",1,0,2a,"@11חזרת @33וחזרת גלים ר""ח אמר חס דיגרין וכו' ר' יוסי בר רבי בון אמר יסיחלי עולשין וכו' כצ""ל. ופי' יסיחלי חרחיבנא כמ""ש לקמן פ""ב דפסחים:","חזרת וחזרת גלים ר""ח אמר חס דיגרין",Jerusalem Talmud Kilayim 1:2:4,חזרת וחזרת גלים רבי חנניה אמר הסדיגרון. שמעון בריה דרבי אבי אמר אנטוכין. רבי &lt;ווסי&gt; [יוסי] בי רבי בון אמר יסיח לי עולשין טרוקסימון. עולשי השדה עולתין. כריתין כרתי שדה קפלוטין.,
Kilayim,"מהר""ם די לונזאנו",1,0,9a,"@11ייבא @33כההיא דא""ר נסא. פי' יבא זה הענין ויתורץ כמ""ש ר' נסא. או פי' יהי בהא פי' יהיה בזה הענין כמ""ש וכו':","ייבא כההיא דא""ר נסא",Jerusalem Talmud Kilayim 2:3:4,תניי יהושע היו מלקטין עשבים מכל מקום חוץ משדה תלתן. רבי יעקב בר אחא בשם רבי יצחק בר נחמן כשזרע לעמיר היא מתניתא. והא תנינן וכן תלתן שהעלת מיני עשבים אין מחייבין אותו לנכש. רבי יעקב בר אחא בשם גרמיה כשהעלת לזרע: אמר רבי יוסי וכי לא בא יהושע לפרש אלא לעוברי עבירה. עבר עבירה אסור משום גזל. לא עבר עבירה מותר משום גזל. הוי לא שנייא היא שזרעה לזרע &lt;הא&gt; [היא] שזרעה לעמיר. והתנינן וכן תלתן שהעלת מיני עשבים אין מחייבין אותו לנכש. אם את שדעתו עליהן יחייבו אותו לנכש. ר' אחא בשם ר' מיישא רוצה &lt;הן&gt; [הוא] בהן כאלו עקורין ומונחין לפניו. מעתה מצא כלאים בכרם יהו אסורים משו' גזל שהו' רוצ' בהן כאלו עקורי' ומונחין לפניו. ר' יוסי לא אמ' כן אלא שבסוף הוא רוצה בהן כאלו עקורין ומונחין לפניו. מעתה מצא כלאים בכרם יהו אסורין משום גזל שבסוף הוא רוצה בהן כאלו עקורין ומונחין לפניו. כאן יש לו עם מי להכנס. וכאן אין לו עם מי להכנס. רב נחמן אמר רבי מנא בעי הגע עצמך שהיה שם שדה אחרת של תלתן סמוכה לו הרי יש לו עם מי להכנס. מיליהון דרבנין פליגין דאמר רבי זריקן בשם דבית רבי ינאי כל &lt;הספחין&gt; [הספיחין] מותרין חוץ מן &lt;העלין&gt; [העולין] בשדה בור בשדה ניר בשדה כרם ואמר חוץ משדה תלתן שזרען לזרע. אמר רבי יוסי מילתא דרבי יוחנן מסייע לי. מעשה באחד שלקח ירקה של גינה מן הגוי אתא ושאל לרבי יוחנן אמר ליה צא ולקוט ולפי השוק מכור. הותיב רבי אבהו קומי ר' יוחנן והא תנינן וכן מקום הגרנות שעלו בהן מינין הרבה. אמר ליה מקומו מוכיח עליה שאינו רוצה בקיומו. ויתיבינא כאן אסור משום גזל וכאן מותר משום גזל. היאך אתה משיבני דבר שהוא אסור משום גזל עם דבר שהוא מותר משום גזל. כההיא דאמר רבי אימי עשירים היו בתשובות. או ייבא כההיא דאמר ר' נסא כאינש דאית ביה תרין טעמין והוא מתיב חד מנהון:,
Kilayim,"מהר""ם די לונזאנו",1,0,19b,"@11כשאין @33הכרתים. נגזר מלשון הנאמר בב""ר בענין עץ חיים לא סוף דבר נופו אלא אפילו כורתו ופה הבליעו הו""א שהוא מאותיות אהו""י ועי' בהלכה ח' ופ""ה סוף הל' א':",כשאין הכרתים,Jerusalem Talmud Kilayim 4:1:6,על דעתיה דרבי יהודה עשה כבתוך הכרם. ויוסר בשש עשרה. אמר רבי יונה הדא דתימר כשאין הכרתים מכוונים. אבל אם היו הכרתי' מכוונין אוסר בשש עשרה ,
