Yeriot Shlomo on Torah, Vayikra 1	@11בד"ה מן התורים כו' @22כבר כתבו התו' כו' אינו שם בתו' אלא בגמ' גופ' ע"ש כנ"ל:	Mizrachi, Leviticus 1:14:3
Yeriot Shlomo on Torah, Tzav 1	@11בד"ה המשיח כו' מבניו תחתיו כו' @22והא דכתי' בפ' תצוה הכהן תחתיו מבניו ולא מפרש שם רש"י שהוא מהופך משום דהתם ניגון תביר נמשך לבניו וממילא תחתיו דבקה עם מבניו כדפרש"י שם בהדיא ודוק כנ"ל:	Mizrachi, Leviticus 6:13:1
Yeriot Shlomo on Torah, Tzav 2	@11בד"ה וכל חטאת וגו' שאם הכניס כו' @22נ"ב העתקתי ישחטו ריבה שחיטות הרבה לפי שמצינו אשם בציבור נאמר ישחטו ברבים ותלאו בעולה להבי' עולת ציבור לצפון תו' וזהו מן התימה הלא לא נמצא אשם ציבור בכל התורה וגם לא היה וכ"כ הרמב"ם בהקדמת קדשים וגם הלשון מגומגם לכן נ"ל דט"ס הוא וכך הוא ואף שלא מצינו ודוק מהרש"ל:	Mizrachi, Leviticus 6:23:1
Yeriot Shlomo on Torah, Shmini 1	@11בד"ה ומה שכר כו' @22נ"ב רבים מקשים מה ק' לרש"י שפי' כן וה"ל לפרש גבי שתויי יין מפני מה נאמרה לו לבדו מפני שקיבל שכר כו' ועוד מה פי' ומה שכר קבל כו' דמורה כאלו פה מוכח שקבל שכר מתוך פשוטו של מקרא ואומר אני שקשה לו מהו לשון וידום וישתוק והיכן בכה כבר קודם שדיבר עמו משה וה"ל לכתוב בקרא בכייתו כמו שכתב שתיקתו לכך פי' שקבל שכר כו' ומ"ה אין לכתוב בכייתו פה במקרא דהוי משמע שדיבר לו משה הוא הדבר אשר דיבר יי' בקרובי אקדש הוי המחאה והוכחה נגד בכייתו עד שהוצר' לשתוק וזה לא היה מן הראוי שיקבל שכר על השתיקה אבל השתא דלא כתיב בכייה בקרא א"כ יראה להדיא שדברי משה אינן אלא תנחומין ומעצמו שתק כששמע שהשם יתברך רצה להתקדש בקרוביו לפיכך קבל שכר ודוק מהרש"ל:	Mizrachi, Leviticus 10:3:1
Yeriot Shlomo on Torah, Tazria 1	@11בד"ה ולארכו עוד כו' אלא מדאורייתא כו' @22והתו' בפ' העור והרוטב כתבו דרש"י ס"ל בעלמ' דלקבלת טומאה סגי בכל שהוא ע"ש כנ"ל:	NULL
Yeriot Shlomo on Torah, Tazria 2	@11בד"ה אחד לעולה כו' בעלמא שנקראת כו' @22נ"ב ואין הלשון משמ' כן ועוד לאיזה תועלת הקדימה הכתוב אלא נרא' לפרש שלכך הקדימה לקריאה שלפעמים קדמה העולה לקריאת השם כגון שהפריש שנים וקרא להן שמות אחד לחטאת ואחד לעולה ונאבד החטאת אז יפריש אחר במקומו ויקרא לו שם חטאת ונמצא שהעולה קדמה לקריאה ולתועלת זו הקדימה שלא תאמר שצריך שנים אחרים כדי שיקדים בקריאה חטא' לעולה ודוק מהרש"ל:	Mizrachi, Leviticus 12:8:1
Yeriot Shlomo on Torah, Tazria 3	@11בד"ה את אשר כו' בלשון וכבסו כו' @22נ"ב אחרי הוכבס את הנגע כך נ"ל להגיה אבל איני יודע מי דחקו לפרש רש"י בע"א מפי' הת"כ מהרש"ל:	Mizrachi, Leviticus 13:54:1
Yeriot Shlomo on Torah, Metzora 1	@11יש מקשי' @22מפני מה מביא צפרים לטהרת הבתים בשבוע שנית שנתרפא הנגע והאדם שנרפא בשבוע שני' אינו מביא כלל קרבן לטהרתו כי אם מצורע מוחלט ונרא' דלק"מ כי האדם אינו מביא כלל קרבן לטהרתו אלא כשנעשה בו כבר מעשה טומאה דהיינו מצורע מוחלט שהוציאו מחוץ למחנה ובבית נמי אחרי החלץ האבנים ואחרי הקצוע והמעש' טומאתו וכשנתרפ' אחרי הקצוע והנוחו מביא קרבן לטהרתו ודוק מהרש"ל:	NULL
Yeriot Shlomo on Torah, Metzora 2	@11בד"ה וכי ירוק הזב בטהור כו' @22קמל"ן אלא במשא מהי תיתי דהוי אשרץ פירש כמו שהשרץ מטמא במגע ולא במשא אף זה במגע ולא במשא אמר ר"ל תנא דבי רבי ישמעאל אמר קרא ע"כ כצ"ל ונמחק מלת ומשני ה"א קמל"ן דאי לאו שט"ס הוא וצ"ל כמו שהגהתי לא היה מצא הרא"ם ז"ל ידיו ורגליו בביהמ"ד ולא הוי עיין כלל בסוגי' דהתם מדברי הרב ר' אברהם היילפרין ז"ל:	Mizrachi, Leviticus 15:8:1
Yeriot Shlomo on Torah, Achrei Mot 1	@11מה שפירש"י יצנוף כתרגומו כי' @22יש מקשין למה הביא התרגום אם בעבו' שלא תאמר הבי"ת של ובמצנפת יתהפך פירושו ותאמר שיצנוף דבר אחר על ראשו עם המצנפת ע"כ מביא התרגום שפירש שהמצנפת גופ' הוא מה שצונף על ראשי א"כ ה"ל להביא התרגו' על ובמצנפת כי' ולמה הביאו על יצנוף אלא נראה לפרש שלכך הביא התרגום לפי שבא לומ' שהצניפה היא על הראש ומאחר שהביאו צריך לפרש מהו לשון יחית ודוק מהרש"ל:	Mizrachi, Leviticus 16:15:1
Yeriot Shlomo on Torah, Achrei Mot 2	@11בד"ה אשר יעלה כו' לפי' לחייב כו' @22נ"ב וק"ל לפירושו ה"ל לפרש על ואליהם וגם דוחק לשבש הספרי' ועוד כשנשחט בחוץ הל'ל ועוד מאי זה שאם שחט בחוץ כו' ע"כ נראה לפר' דק"ל לרש"י למה כתיב אשר יעלה עולה או זבח למה לא כ' שור או כשב כו' כמש"כ גבי שוחט בחוץ אלא ללמד שאפי' אם העלה איברים של עולה בחוץ חייב אף שעולה כולה כליל ולא תאמר שאינו חייב במקטיר בחוץ אלא כשנשחט לשם עולה או זבח דהיינו בפנים אבל לא כשנפסל כבר ונשחט בחוץ ע"כ פי' שזה אינו שהרי אם שחט אחד כו' ודוק מהרש"ל:	Mizrachi, Leviticus 17:8:1
