שער א; יום העצמאות ויום ירושלים,1 Yom HaAtzmaut and Yom Yerushalayim,1,נישואין ותספורת ביום העצמאות
,,2,"תספורת ביום העצמאות ובל""ג בעומר"
,,3,"מועד חגיגות יום העצמאות ""מערב עד ערב"" ולא במוצאי היום"
,,4,"תענית בה""ב כשיום העצמאות חל ביום שני; מחיקת שם ה' בסרט הקלטה"
,,5,"תענית בה""ב כשיום העצמאות חל ביום שני"
,,6,מפני מה אין מברכים על ההלל ביום העצמאות? האם זקן צריך לקום מפני זקן אחר?
,,7,האם לברך על ההלל ביום העצמאות?
,,8,"ספרדים הלומדים בישיבת ""מרכז הרב"" - איך ינהגו לגבי הברכה על ההלל ביום ירושלים?"
,,9,עדיין אין מקום לתקנה לכלל ישראל לגבי חגיגות יום העצמאות ויום ירושלים
,,10,על תקנת הרבנות הראשית לברך על ההלל ביום ירושלים
שער ב; הלכות מדינה ומקדש,2 Laws of the State,1,האם יש תוקף הלכתי לצו בית משפט המורה שהילד המאומץ יהיה יורשו של המאמץ?
,,2,"על מצב הדת והחינוך במדינת ישראל (מיהו יהודי?; קבורה; מעמד הרבנות הראשית; פרשיות גידול החזיר ו""נייר חדרה""; איחוד נוסחי התפילה)"
,,3,נגד השבעת בוחרים להצביע למפלגות
,,4,פסק הלכה בעניין שטחי ארץ ישראל ששוחררו במלחמת ששת הימים
,,5,האם ניתן לבנות את בית המקדש בזמן הזה?
,,6,"בניין בית המקדש בזמן הזה (על ""האגודה להקמת בית המקדש בירושלים"")"
,,7,עליה להר הבית
שער ג; הארץ; חיבתה ומצוותיה,3 The Holy Land,1,"האם יש חשש איסור בבניית בית בחו""ל"
,,2,"רכש קרקע בא""י לצורך מסחר - האם יש בעיה של ""מוכר ארעא קמייתא"" שאין בו סימן ברכה (קדושין נט, ב)"
,,3,קריעה על ערי יהודה ועל ירושלים העתיקה
,,4,"הערות לתכנית ""מצבת הרמב""ם"" בטבריה"
,,5,"האם ראוי להשתמש בשם ""טבריה"" שהוא על שם הקיסר טיבריוס?"
,,6,"אמירת ""השתא הכא, לשנה הבאה בארעא דישראל"" אחרי קום המדינה?"
,,7,חשש הרכבה בנטיעת עץ קלמנטינה
,,8,"היתר המכירה לשנת תשכ""ו"
,,9,האם יש שינויים במנהגי בין המצרים ותשעה באב אחר שחרור ירושלים העתיקה?
,,10,שימוש בכספי בית הכנסת לביקור בכותל המערבי ובקברי צדיקים ששוחררו במלחמת ששת הימים
,,11,השבת מי שפכים לשתיה ולהשקיה
,,12,"האם קיים כיום האיסור להוציא פירות מא""י לחו""ל"
,,13,השמעת מנגינות עצובות ברדיו בתשעה באב
שער ד; בר מצוה ובת מצוה,4 Bar and Bat Mitzvah,1,"האם להעלות לתורה בר מצוה שלא הצליח ללמוד את הטעמים? (וביאור במסכת דרך ארץ: ""לעולם יהיו בני אדם בעיניך כלסטים והוי מכבדן כרבן גמליאל"")"
,,2,"נדר לחוג את ה""בר מצוה"" של בנו בירושלים - האם יכול להקדים החגיגה בחודשיים"
,,3,"מפני מה מבליטים בחגיגת בר מצוה את הנחת התפילין? מפני מה מברכים ""ברוך שפטרני"" ולא ""שהחיינו""?"
,,4,"ברכת ""ברוך שפטרני"" ועריכת ""יומא טבא"" לבת שהגיעה למצוות"
,,5,"קיום טקס ""בת מצוה"" בבית הכנסת"
,,6,"סדר חגיגת ""בת מצוה"""
,,7,"עריכת ""בת מצוה"" לבת"
,,8,עליית בת מצוה לתורה
שער ה; האישה; מעמדה ומצוותיה,5 The Status of Women,1,על לימוד תורה לנשים (ובקשת השואלת שלא להזכיר את שמה בתשובות הנדפסות)
,,2,על לימוד תורה לנשים
,,3,האם אישה יכולה לברך על ספירת העומר?
,,4,"על מנהג רבות מקהילות הספרדים שנשים מברכות על הלולב (אע""פ שהזמן גרמא)"
,,5,איסור ריקודים מעורבים
,,6,"לבישת מכנסיים ע""י בת"
,,7,התנגדות לעשיית תנאי בנישואין
,,8,מחאה או תוכחה על גילוי ראש האישה במקום חשש לשלום בית
,,9,"כיסוי ראש אישה נשואה ב""פאה נכרית"""
,,10,"מטפחת ראש שמקצת השערות מגולות או ""פאה נכרית"" המכסה את כל הראש - מה עדיף?"
,,11,"חובה להסביר לחתן את הכתובה לפני שיחתום; עריכת קידושין בה' באייר בחו""ל"
,,12,"לשאלתה של קהילה ספרדית במדינה העומדת לחוקק ""חוק נישואין מונוגאמיים"""
,,13,בעל שעזב את אשתו ואינו זנה ומפרנסה
,,14,כפיית גירושין על בעל הבוגד באשתו
,,15,היתר נישואין עם אישה שניה למי שטוען שאשתו מרדה בו וסירבה לעלות איתו לארץ
,,16,ייבום על מנת לגרש למחר
,,17,התרת יבמה ללא חליצה על סמך אישור רופא שלבעלה לא היה כח גברא
,,18,חלוקת עזבון אישה שלא השאירה צוואה
,,19,ירושת אלמנה בנכסי בעלה
,,20,"האם בת יורשת ע""פ התורה? האם מועיל בזה ""דינא דמלכותא"" או מנהג המדינה?"
,,21,"הוספות לכתובה ותנאים, שהתקין הרב נסים ליהודי איראן"
שער ו; היהדות ואומות העולם,6 Jews and Non Jews,1,היהדות - דת או גזע?
,,2,הספד על נכרים שנהרגו באסון המטוס בבולגריה
,,3,לימוד תורה לנכרי
,,4,לימודי קודש לילדים ערבים בבית ספר ממלכתי דתי
,,5,"על ניקוד האות ח' ב""לא תרצח"" שבעשרת הדברות"
,,6,תפילה בבית כנסת במחנה צבאי שמעליו כנסיה
,,7,בית תפילה לכל הדתות באוניברסיטה - האם מותר ליהודים לתרום להקמתו ולהתפלל בו?
שער ז; הצלה ורפואה,7 Medical Issues,1,הבאת עולים ממרוקו לנמל מרסיי בשבת מחשש פיקוח נפש
,,2,מינוי שומר מצוות למפקד תחנת כיבוי אש
,,3,שימוש בתרופה שיש בה עמילן בפסח
,,4,טבילת נדה שמחמת חולי אסור שייכנסו מים באזניה
,,5,"האם יש לשים מזוזה בכל חדר של מרפאה, או שדי בכניסה הראשית?"
,,6,הצעה לפתרון בעיות טומאת כהנים במרכז רפואי
,,7,"על היתרו של רבי משה פיינשטיין ל""הזרעה מלאכותית"""
,,8,הזרעה מלאכותית - תנאי ההיתר (לדעת המתירים)
,,9,הוצאת זרע לצורך בדיקה רפואית
,,10,"בליעת פרחים של עצי בשמים הקרויים בערבית ""פל"" לשם מניעת הריון"
,,11,בליעת עפצים לעיכוב זמני של הריון במקום צער וחולי
שער ח; חינוך תרבות ונוער,8 Culture and Education,1,"קריאת המזמורים שלפני ""ברוך שאמר"" בציבור ע""י מי שהולך בגילוי הראש"
,,2,"כיבוד נערים בקריאת פסוקי דזמרא בציבור בשבת ויו""ט"
,,3,ילד שאמו נפטרה ואינו יודע שאשת אביו אינה אמו - האם לגלות לו כדי שיאמר קדיש?
,,4,"התמודדות עם המפריעים בשעת התפילה וקריאת התורה; הוצאת ס""ת להילולת רשב""י"
,,5,"קבלת שבת בחדר תרבות של קיבוץ חילוני, כשלא תהיה הפרדה בין גברים לנשים"
,,6,"הימנעות מאריכות בתפילה בשבת בבוקר, כדי לקרב את הנוער"
,,7,"תפילה בימים נוראים באולם קולנוע, במקום שאין אולם גדול אחר"
,,8,"הדלקת נרות חנוכה בברכה, בכנס של ילדים הנערך בבוקר"
,,9,"צורת אדם בולטת ב""אנדרטת העצמאות"" שבמשכן הכנסת"
,,10,בובות משחק בגן ילדים
,,11,ייצור בובות משחק לילדים
,,12,"האם יכול מדפיס לסייע בהדפסת ""רומאנים"""
,,13,חינוך נער ממשפחה קראית בבית ספר דתי ובישיבה
,,14,חינוך נער ממוצא קראי בבית ספר יהודי
,,15,מחיקת שם המפורש שנכתב בגיר על לוח הכיתה
שער ט; כלכלה כהלכה,9 Monetary Issues,1,"האם כסף המופקד בבנק נחשב לעניין ירושה כ""ראוי"" או כ""מוחזק""?"
,,2,"על ""היתר עיסקא"" הנהוג בבנקים"
,,3,"קבלת פקדונות לקרן הקיימת לישראל ע""י ""היתר עיסקא"""
