1:1	אמרו רז״ל. אבות פ״ד מי״ג, ועי׳ חזית פ׳ טוב שם משמן טוב,
1:2	ונתתי להם. בכ״י כתוב ונתתי לכם, אולם בכ״י פלארענץ מובא כמו שלפנינו בקרא להם, ועי׳ סנהדרין צ״ג ע״ב.<br>ב. שנויי שבחו. מדרש חזית שם.
1:3	לפי שהצדיקים. ברכות י״ח ע״א.
1:4	דאמר ר׳ אבהו בשם ריב״ז. ב״ר פי״ב ופ״ל, ותנחומא שמות וריש משפטים, ושמ״ר שמות ומשפטים, ובכל המקומות מובא דאמר ר׳ אבהו לבד. אולם בתנחומא משפטים כתוב כמו שהביא רבינו בשם ר׳ יוסי בן זמרא, ובכ״י פלארענץ חסרים המלות ״דאמר ר׳ אבהו בשם ריב״ז״.
1:5	כמו שנתפרש בפרשת בראשית. בראשית ב׳ ד׳ וע״ש בהערה שלי, וגם שם הביא רבינו בשם ר׳ אבהו לבד.
1:6	כשם שהקב״ה קרא שמות לכוכבים. עיין ילקוט ריש שמות, מונה מספר לכוכבים, ונרשם בצדו תנחומא, ולפנינו בתנחומא ליתא, ועיין שמ״ר פ״א שקולים הם ישראל כצבא השמים כו׳. ועיין רש״י עה״ת שמות א׳ א׳ ולקוחים דבריו ג״כ מהתנחומא.
1:7	והלא כבר היו להם הרבה ימים שם. תנחומא, וילקוט ריש שמות בשם התנחומא, ושמ״ר פ״א.
1:8	שנים עשר שבטים כנגד י״ב מזלות. עיין במ״ר פי״ד א״ר פנחס בן יאיר קערת כסף י״ב כו׳ כנגד י״ב מזלות כו׳. וכנגד י״ב שבטים כו׳, והוא ממדרש תדשא (ביה״מ ח״ג צד קע״ד).
1:9	דע כי כל השבטים. תנחומא שמות, וילקוט רמז קס״ב בשם התנחומא.
1:10	אר״י דסכנין, תנחומא, וילקוט שם, ושמ״ר פ״א.
1:11	ד״א. תנחומא, שמ״ר. וילקוט שם.
1:12	נפשות לא נאמר כו׳ אבל בעשו כתיב נפשות ביתו. כל המאמר הזה עד וימת יוסף נשמט בכ״י פלארענץ ע״י שגגת המעתיק. ובילקוט רמז קס״ב הביא ויהי כל נפש ובעשו כתיב כל נפשות ביתו ע״כ קצר בלשונו, והוא ג״כ מתנחומא כמו שרשם במאמר שלפניו ולפנינו ליתא בתנחומא. ועיין וי״ר פ״ד וילקוט בראשית רמז קל״ז.
1:13	למה מת כו׳ לפי שהתנהג ברבנות. ברכות נ״ה ע״א, סוטה י״ג ע״ב.
1:14	היינו דאמרי אינשי. סנהדרין י״ד ע״א ושם צ״ב ע״א.
