Genesis 1 1,"At the beginning of God’s creating<br>of the heavens and the earth,"
Genesis 1 2,"when the earth was Confusion and Chaos,<br>darkness over the face of Ocean,<br>rushing-spirit of God hovering over the face of the waters—"
Genesis 1 3,God said: Let there be light! And there was light.
Genesis 1 4,God saw the light: that it was good.<br>God separated the light from the darkness.
Genesis 1 5,"God called the light: Day, and the darkness he called: Night.<br>There was setting, there was dawning: day one."
Genesis 1 6,"God said:<br>Let there be a dome amid the waters,<br>and let it separate waters from waters!"
Genesis 1 7,God made the dome<br>and separated the waters that were below the dome from the waters that were above the dome.<br>It was so.
Genesis 1 8,"God called the dome: The Heavens.<br>There was setting, there was dawning: second day."
Genesis 1 9,"God said:<br>Let the waters under the heavens be gathered to one place,<br>and let the dry land be seen!<br>It was so."
Genesis 1 10,"God called the dry land: Earth, and the gathering of the waters he called: Seas.<br>And God saw that it was good."
Genesis 1 11,"God said:<br>Let the earth sprout forth with sprouting-growth,<br>plants seeding forth seeds, fruit trees yielding fruit, after their kind, in which is their seed, on the earth!<br>It was so."
Genesis 1 12,"The earth brought forth sprouting-growth,<br>plants seeding forth seeds, after their kind,<br>trees yielding fruit, in which is their seed, after their kind.<br>And God saw that it was good."
Genesis 1 13,"There was setting, there was dawning: third day."
Genesis 1 14,"God said:<br>Let there be lights in the dome of the heavens, to separate the day from the night,<br>that they may be for signs—for set-times, for days and years,"
Genesis 1 15,"and let them be for lights in the dome of the heavens, to provide light upon the earth!<br>It was so."
Genesis 1 16,"God made the two great lights,<br>the greater light for ruling the day and the smaller light for ruling the night,<br>and the stars."
Genesis 1 17,God placed them in the dome of the heavens
Genesis 1 18,"to provide light upon the earth, to rule the day and the night, to separate the light from the darkness.<br>And God saw that it was good."
Genesis 1 19,"There was setting, there was dawning: fourth day."
Genesis 1 20,"God said:<br>Let the waters swarm with a swarm of living beings, and let flying-birds fly above the earth, across the dome of the heavens!"
Genesis 1 21,"So God created the great sea-serpents<br>and all living beings that crawl about, with which the waters swarmed, after their kind,<br>and all winged birds after their kind.<br>And God saw that it was good."
Genesis 1 22,"And God blessed them, saying:<br>Bear fruit and be many and fill the waters in the seas,<br>and let the birds be many on earth!"
Genesis 1 23,"There was setting, there was dawning: fifth day."
Genesis 1 24,"God said:<br>Let the earth bring forth living beings after their kind,<br>herd-animals, crawling things, and the wildlife of the earth after their kind!<br>It was so."
Genesis 1 25,"God made the wildlife of the earth after their kind, and the herd-animals after their kind, and all crawling things of the soil after their kind.<br>And God saw that it was good."
Genesis 1 26,"God said:<br>Let us make humankind, in our image, according to our likeness!<br>They shall have dominion over the fish of the sea, the birds of the heavens, animals, all the earth, and all crawling things that crawl about on the earth!"
Genesis 1 27,"So God created humankind in his image,<br>in the image of God did he create it,<br>male and female he created them."
Genesis 1 28,"God blessed them,<br>and God said to them:<br>Bear fruit and be many and fill the earth<br>and subdue it!<br>Have dominion over the fish of the sea, the birds of the heavens, and all living things that crawl about on the earth!"
