Index Title,"Maskil LeDavid, Genesis",Found Rashi Ref,Text
Version Title,Lemberg ed.,,
Language,he,,
Version Source,http://sefaria.org,,
Version Notes,,,
"Maskil LeDavid, Genesis 1:1:1",בראשית פירש״י ז״ל אר״י לא היה וכו׳ פי׳ דק״ל בלישנא דקרא אמאי הוצרך לכתוב תיבת בראשי׳ דפשיטא הוא שדבר הבריאה היא ראשי׳ הכל וא״כ לא הו״לל אלא ברא אלהים וכו׳ ולתרץ זה מייתי אגדת ר״י וה״פ לא היה צריך להתחיל אלא מהחדש הזה וכו׳ כלו׳ הן אמת שאין לך דבר בתורה שלא נרמזו בה סודות ורמזים גדולי׳ כדאי׳ בזוהר דהנהו ספורי הן לבוש למה שנרמז בהן וגם מהגמ׳ נר׳ שאפי׳ מפ׳ אחות לוטן תמנע למדנו דבר גדול מ״מ היא הנותנת דמאחר שעיקר אלו הסיפורים אינם אלא למה שנרמז ונסתר בהן למה זה כתבן כלל דבשלמא המצות שבתור׳ יפה נכתבו שהן הן גופי תורה דהיינו המצו׳ שצריך לקיימן ותחתיהן רמוזים סודות ורזין דהיינו נשמת׳ ואיכא נפקותא בכתיב׳ הגופים לענין מעשה אבל הספורי׳ הללו מה צורך לכתוב הלבוש הואיל והנשמה צריכה להסתר לא הו״ל למכתב כלל הגוף כיון דליכא נפקותא לענין מעשה והו״ל להסתיר הכל וליהוו בכלל תורה שבע״פ ולכך תירץ רבינו שאף לפי פשטי הדברים למדנו עניינים גדולים משום כח מעשיו וכו׳. מ״ש מהחדש הזה אע״ג דאיכא מקמי הכי מצות פריה ורביה ומצות מילה וגיד הנשה מ״מ אותם המצות לא נצטוו ישראל בעצמם עד מתן תורה בסיני ונמצא דמצות החדש הזה קדמה. ושוב מקשה רש״י קושיא אחרת והיא מה שהרגיש תחלה וזהו אומרו ומ״ט פתח בבראשית כלומר מ״ט פתח בתיבה זו דכבר ידוע שבראשית הכל היה זה ומתרץ משום כח מעשיו וכו׳ והיינו דא״א לומר שישראל לסטים שהרי בראשית הכל הקב״ה ברא העולם וכולי. וברצונו וכולי והילכך כתב קרא מלת בראשית. ומ״ש שכבשתם ארצות ז׳ גוים ר״ל בשלמא ירושלם וסביבותיה שנפלו בחלקו של שם ואתם מבני בניו ניחא שנטלת׳ שלכם אבל של שאר גוים שהיו של חם הרי הם לסטיות ואין לומר דמ״מ כתיב ארור כנען עבד עבדים וכו׳ ומה שקנה עבד קנה רבו דמ״מ לא קילל את חם בכללות אלא את כנען הבן הרביעי שיהא עבד לאחיו דהיינו שאר בני חם ואיברא שגם ישראל אעפ״י שיצאו משם הם בכלל שהרי כתיב ברוך ה׳ אלהי שם ויהי כנען וכו׳ מ״מ הרי ישראל הוו מעוטא דמעוטא לגבי כל שאר בני שם ובני חם ובני יפת ולכ״ע בתר מעוטא דמעוטא לא אזלי׳ אדרבא זיל בתר רובא לכך הוצרכו לתירוץ כל העולם וכו׳ ברצונו וכו׳:,,
"Maskil LeDavid, Genesis 1:1:2",בראשית ברא אין המקרא וכו׳ דק״ל מלבד דמלת בראשית לעולם סמוכה וכאן אין שום סמיכות. בר מן דין ק״ל למה לא התחיל בתיבת אלהים ולימא אלהים ברא בראשית וכו׳ שבזה לא היה נותן מקום למינין לרדות שזה אחד מהמקומות ששינו לתלמי המלך ולאיזה תכלית התחיל במלת בראשית לזה הסכים רבינו בדעתו העליונ׳ דאע״ג שדרכו בפירושיו לילך אחר הפשט כאן ע״כ אין המקרא הזה אומ׳ אלא דרשני וכו׳ ומיהו משום דס״ס קי״ל אין מקרא יוצא מידי פשוטו מייתי בתר הכי הפשט לסניף אע״פי שאינו כ״כ מיושב ומ״ש בשביל התורה ובשביל ישראל ק׳ היכי דריש תרתי ואי משום דמשכח רבינו שתי הסברות בדברי רז״ל אמאי תנא ושייר דאיכא התם בזכות משה שנקרא ראשית וכמה אחריני ונר׳ שכוונת הרב ז״ל לפ׳ דהנך תרתי מ״ד תורה ומ״ד ישראל לא פליגי אלא הכל א׳ והיינו כפי מ״ש המקובלי׳ שתכלית הבריאה לפי שהתורה קדמה לעולם וכתוב בה רחום וחנון ארך אפים וכו׳ ודברי׳ הללו אין ניכרים בפועל אלא בבריאת האדם ולכך עלה ברצונו הפשוט לברוא העולם וז״ש בשביל התורה ובשביל ישראל ולכי תידוק בלישנא דרז״ל במדרש רבה נר׳ דודאי זו כוונתם ז״ל באמרם שם היה הקב״ה מביט בתורה ובורא את העולם עכ״ל כלומ׳ היה מביט שכתוב בה רחום וחנון וכו׳ וכדי שיתקיימו דברים אלו בפועל ברא את העולם והעיקר בשביל ישראל שלהם ניתנה תורה ונצטוו עליה ועיק׳ שכר ועונש הוא להם:,,
"Maskil LeDavid, Genesis 1:1:3",ברא אלהים ולא נאמר וכו׳ דק״ל דלא הו״ל לכתוב שם כלל רק לכתוב בראשית ברא את השמים וכולי דידוע מאן ברא דהא כתיב בתר הכי בכל מלתא ויאמר אלהים ומשני דמ״שה כתב שם והזכי׳ אלהים ולא ה׳ משום שבתחלה עלה במחשבה וכו׳. והק׳ הרב הנח״י דמה תועלת לנו להודיענו מה שעלה במחשבתו הואיל ולא נתקיימה ע״ש ואני ארבה להק׳ דאטו מי לא ידע קב״ה מעיקרא דאין העולם מתקיים במד״הד לכך נר׳ לדייק בל׳ רש״י שכתב וראה שאין העולם מתקיים והו״לל ראה בלא וי״ו אלא ה״פ בתחל׳ עלה במחשבתו לבראותו במד״הד וראה יפה מתחלה שאין העולם מתקיים במד״הד ואפ״ה רצה להקדי׳ במחשבתו המד״הד בכוונה מכוונת לפי שראה שאין העולם מתקיים אא״כ מקדים מדה״ר ומשתפה למדה״ד אך מכיון שהיה צריך להקדים למדה״ר מפני תקון העולם וא״כ הרי יגברו הרחמים על הדין ויבטלו הדין לגמרי ולא היה זה רצון הבורא שהרי יש צורך ג״כ במד״הד להעניש הרשעי׳ לכך העלה במחשבתו תחלה למד״הד בלבד. ואין להק׳ דא״כ בתר הכי במעשה לא היה צריך אלא למדה״ר לבד הואיל וכבר העלה מד״הד במחשבה דאיכא למימר תרתי חדא דא״כ היה הדין קוד׳ וגובר על הרחמי׳ והוא ית׳ רוצה שיכבשו רחמיו את כעסו א״נ י״ל איפכא דא״כ אתי מעשה ומוציא מידי מחשבה דהכי קי״ל ונמצא מתבטלת מד״הד לגמרי:,,
"Maskil LeDavid, Genesis 1:4:1",וירא וכו׳ אף בזה וכולי הרא״ם ז״ל כתב דהכרחו הוא לפי שא״א לפ׳ כמשמעו כי האור והחשך הם העדר וקנין דלא תפול בהם עירוב באופן דלא שייך לומר בהם ויבדל ע״ש וקשיא לי שהרי מצינו ששימשו אור והחשך יחד כמו במצרים ועל הים שהיה החשך למצרי׳ ואור לישראל במקום א׳ ובזמן א׳. וקצת י״ל דהתם לעולם לא היה אלא האור רק בעיני המצריי׳ היה סמיות עינים באופן דלדידהו הוה כמו חשך אלא דמ״מש רז״ל שהיה החשך עב ושהיה בו ממש אין נר׳ כן ולעד״נ דק״ל לרש״י דמאי שייך לומר דלפי שראה כי טוב לכך ויבדל וכו׳ אדרבא מאחר שהוא טוב עדיף טפי שלא יבדילנו מהחשך שהוא יתקן הרע של החשך ולכך קאמר דצריכין אנו לאגדה וכולי. ולדעת זאת האגדה צ״ל הטעם שברא לזה האור אף על פי שידע שלא היה העולם כדאי להשתמש בו ושהיה עתיד להבדילו לצדיקים לע״ל משום דלע״ל לא יוכל להבראות לפי מה שגזרה חכמתו ית׳ שאין כל חדש תחת השמש. ולפי הפשט דמייתי רש״י נ״ל דה״פ ראה קודם שיבראנו שהיה לו להיות דבר טוב ואין נאה לו ולחשך וכו׳ וקבע לזה תחומו ולכך כשברא האור מיד סילק החשך שקדם לו בזמן הלילה ובא האור וסילק החשך והיה יום כך נ״ל. ובזה אזדא לה קו׳ הרמ״בן ז״ל שהביא הר״אם דא״כ ידמה כאילו יש בענין המלכה ועצה חדשה וכולי כי מ״ש הר״אם אינו מספיק כ״כ כאשר הק׳ עליו הנ״חי ע״ש:,,
"Maskil LeDavid, Genesis 1:5:1",יום א׳ לפי סדר וכו׳ ההרגש שמבחוץ הוא דלא הול״ל אלא ויהי ערב ויהי בקר יום ומאי קמ״ל באמרו א׳ פשיטא שזה א׳ שהרי לא קדם לו אחר והדר מקשה להכריח פירושו ולתרץ הרגשו דא״א לפ׳ כפשוטו דא״כ הול״ל ראשון א״ו היינו דקמ״ל שהיה יחיד וכו׳. וראיתי להרא״ם שהק׳ בשם הרמב״ן כי לא יתכן לכתוב יום ראשון בעבור כי עדיין לא נעשה יום שני וכו׳ עיין שם ובנ״חי. ולע״ד לא ידענא מאי קו׳ דהא ודאי כשהתחיל הבורא יתברך לברא העולם בראו אדעתא שיתקיים וכשברא ונתן גבול לאור ולחשך להיות זה יום וזה לילה אדעתא דהכי עביד שישמשו וילכו כך לעולם נמצא שזה היה הראשון לימי הבריאה ומה בכך שעדיין לא באו שאר הימים הרי היו בודאי עתידים לבא לפי כוונת הבריאה ואמאי לא שייך לכתוב יום ראשון וגם לענין הבריאה בעצמה מכיון שביום א׳ אעפ״י שנברא הכל בו מ״מ עדיין לא נשלם שום דבר רק כלם היו צריכין תקון א״כ בהכרח כשעבר יום א׳ ועדיין לא נשלמה המלאכה שייך שפיר לומר זה יום ראשון למלאכה אך עדיין צריך יום או יומים או ימים אחרים לתקן הבריאה ואפשר שלזה ג״כ כיון רש״י במ״ש לפי סדר ל׳ הפרשה הו״ל וכו׳ כלו׳ דלפי הנר׳ מל׳ הפרשה דכשעבר יום א׳ ועדיין לא נגמרה מלאכת הבריאה אלא היו צריכים תיקון הרבה א״כ שייך שפיר ל׳ ראשון לבריאה דבהכרח לבא אחריו שני ואמאי כתב אחד. ותדע שזו כוונתו דאל״כ יש יתיר בלשונו דהוה סגי ליה למימר לפי סדר הלשון:,,
"Maskil LeDavid, Genesis 1:6:1",יהי רקיע יחזק וכולי דק״ל דבשלמא לעיל גבי האור שייך למכתב יהי אור לפי שאור דבר שאין בו ממש היא אבל ברקיע שיש בו ממש הול״ל יברא א״נ יעשה רקיע ומאי יהי לכך פי׳ יחזק וכו׳:,,
