sefaria_key,bonayich,bonayich_name,comments
Rabbi Abba,7,אבא [ב],
Rabbi Abba b. Hiyya b. Abba,34,אבא בר חייא בר אבא,
Abba Shaul,2696,שאול [א],
Rabbi Abbahu,92,אבהו [א],
Avuha Di Shmuel,106,אבוה דשמואל,
Avtalyon,118,אבטליון,
Abaye,121,אביי,
Avimi,129,אבימי [א],
Avimi b. Abbahu,131,אבימי בר אבהו,
Rabbi Avin b. Ravin,139,אבין [א],"on basis of Jewish encyclopedia link that lists traversing fellow as 4 & 5th gen, and Bonayich that lists as Eretz Yisrael and Bavel intermittently"
Rav Adda b. Ahavah (II),195,אדא בר אהבה [ב],
Rav Adda b. Ahavah (I),194,אדא בר אהבה [א],
Aquilas,2472,עקילס הגר,
Rabbi Oshaya Rabbah,239,אושעיא [א],
Rabbi Aha,257,אחא [ב],
Rav Aha b. Ya'akov,286,אחא בר יעקב,
Rav Aha b. Rava,297,אחא בר רבא,
Rav Idi b. Avin (II),344,אידי בר אבין [ב],
Rav Idi b. Avin (I),343,אידי בר אבין [א],
Rabbi Eliezer b. Hyrcanus,417,אליעזר (בן הורקנוס),
Rabbi Elazar b. Yose,446,אלעזר בר יוסי [ב],
Rabbi Eliezer b. Yose haGelili,447,אלעזר בר יוסי הגלילי,
Rabbi Eliezer b. Ya'akov,450,אליעזר בן יעקב [א],
Elisha b. Avuyah,404,אלישע בן אבויה,
Rabbi Elazar b. Azaryah,465,אלעזר בן עזריה,
Rabbi Elazar b. Arakh,466,אלעזר בר ערך,
Rabbi Elazar b. Pedat,467,אלעזר בר פדת,
Rabbi Elazar b. Tzadok (I),475,אלעזר בר צדוק [א],
Rabbi Elazar b. Tzadok (II),476,אלעזר בר צדוק [ב],
Rabbi Elazar b. Shamu'a,477,אלעזר בר שמוע,
Rabbi Elazar b. Shimon,478,אלעזר בר שמעון,
Rabbi Elazar haModa'i,484,אלעזר המודעי,
Rabbi Elazar haKappar,485,אלעזר הקפר,
Rabbi Ammi,495,אמי [א],
Amemar,514,אמימר,
Antigonus of Sokho,522,אנטיגנוס איש סוכו,
Rav Assi,534,אסי [א],
Rabbi Assi,535,אסי [ב],
Rabbi Aphes,557,אפס,
Rav Ashi,571,אשי,
Bava b. Buta,585,בבא בר בוטא,
Rav Bivi b. Abaye,602,ביבי בר אביי,
Ben He He,645,בן הא הא,
Bar Kappara,485,אלעזר הקפר,"disconnect here, because there is also אלעזר הקפר ברבי, #486, and Bonayich wants to assign the famous Bar Kappara to this one instead, so a 2 to 1 assignment, while Rabbo Eliezer HaKappar above should be the father, #485"
Rabbi Berekhyah,792,ברכיה,
Rav Geviha of Bei Katil,803,גביהא מבי כתיל,
Rav Giddel,820,גידל,
Rabban Gamliel (II) of Yavneh,829,גמליאל [ב],
Rabban Gamliel (III) b. Rabbi,830,גמליאל [ג],
Rabban Gamliel (I) haZaken,828,גמליאל [א],
Geniva,842,גניבא,
Rabbi Dosa b. Harkinas,851,דוסא בן הרכינס,
Rav Dimi,867,דימי,
Rav Dimi of Neharde'a,881,דימי מנהרדעא,
Rav Huna,895,הונא [א],
Rav Huna b. Avin,899,הונא בר אבין,
Rav Huna b. Yehoshua,918,הונא בריה דרב יהושע,
Rabbi Hiyya,1088,חייא [א],
Rav Hiyya b. Ashi,1102,חייא בר אשי,
Rav Hiyya b. Yosef,1113,חייא בר יוסף,
Rav Hiyya b. Rav,1127,חייא בר רב,
Hillel the Elder,965,הלל [א],
Hillel haNasi,969,הלל [ג],
Rav Hamnuna (I),977,המנונא [ב],
Rav Hamnuna (II),978,המנונא [ג],
Yose b. Yoezer,1704,יוסי בן יועזר איש צרידה,"Why is he marked as 1st gen Tanna, rather than first gen Zug?"
Rav Zevid,993,זביד,
Rabbi Zera,1017,זירא [א],
Rav Zera,1018,זירא [ב],
Ze'iri,1043,זעירי,
Rabbi Zerika,1046,זריקא [ב],
Rabbi Haggai,1056,חגי [א],
Choni the Circle-maker,1065,חוני המעגל,
Rabbi Hizkiyah,1076,חזקיה [א],
Hizkiyah b. Hiyya,1075,חזקיה (בן רבי חייא),
Rabbi Hiyya b. Abba,1091,חייא בר אבא,
Rabbi Helbo,1146,חלבו,
Rabbi Halafta,1152,חלפתא,
Rav Hama,1164,חמא,
Rabbi Hama b. Bisa,1173,חמא בר ביסא,
Rav Hama b. Gurya,1175,חמא בר גוריא,
Rabbi Hama b. Hanina,1176,חמא בר חנינא,
Rabbi Hanina b. Gamliel,1242,חנינא בר גמליאל,
Rabbi Hanina b. Dosa,1243,חנינא בן דוסא,
Rabbi Eliezar of Bertota,422,אלעזר איש ברתותא,
Rabbi Hanina b. Hama,1212,חנינא [ב],
Rabbi Hanina of Tzipori,1214,חנינא [ד],
Rabbi Hanina Segan haKohanim,1293,חנינא סגן הכהנים,
Rabbi Hanina b. Pappa,1275,חנינא בר פפא,
Rav Hanan b. Rabbah,1327,חנן בר רבא,
Rabbi Hananyah b. Hakhinai,1247,חנינא בר חכינאי,
Hananyah,1230,חנניה בן אחי רבי יהושע,
Rabbi Hananyah b. Teradyon,1282,חנינא בן תרדיון,
Rav Hisda,1345,חסדא,
Rabbi Tarfon,1383,טרפון,
Rabbi Yehudah b. Bava,1418,יהודה בן בבא,
Rabbi Yehudah b. Betera (II),1424,יהודה בר בתירא [ב],
Rabbi Yehudah b. Betera (I),1423,יהודה בר בתירא [א],
Yehudah b. Hiyya,1441,יהודה בר חייא,
Yehudah b. Tabbai,1447,יהודה בן טבאי,
Rav Yehudah b. Yehezkel,1394,יהודה (בר יחזקאל),
Rabbi Yehudah b. Pazi,1473,יהודה בן פזי,
Rabbi Yehudah b. R' II'ai,1395,יהודה (ברבי אילעאי),
Rabbi Yehudah haNasi,1508,יהודה הנשיא,
Rabbi Yehudah Nesi'a (II),1519,יהודה נשיאה [ב],
Rabbi Yehudah Nesi'a (I),1518,יהודה נשיאה [א],
Rabbi Yehoshua b. Hananyah,1527,יהושע (בן חנניה),
Rabbi Yehoshua b. Levi,1544,יהושע בן לוי,
Yehoshua b. Perachya,1552,יהושע בן פרחיה,
Rabbi Yehoshua b. Korha,1556,יהושע בן קרחה,
Rabbi Yehoshua b. Idi,1532,יהושע בריה דרב אידי,
Rabbi Yohanan b. Berokah,1577,יוחנן בן ברוקא,
Rabbi Yohanan b. Zakkai,1583,יוחנן בן זכאי,
Rabbi Yohanan b. Nuri,1593,יוחנן בן נורי,
Rabbi Yohanan b. Nappaha,1570,יוחנן [ב],
Rabbi Yohanan haSandlar,1608,יוחנן הסנדלר,
Rabbi Yonah,1615,יונה,
Rabbi Yonatan,1623,יונתן [א],
Rabbi Yonatan b. Uziel,1637,יונתן בן עוזיאל,
Rabbi Yose b. Halafta,1657,יוסי (בן חלפתא),
Rabbi Yose b. Yehudah,1695,יוסי ברבי יהודה,
Yose b. Yochanan,1699,יוסי בן יוחנן איש ירושלים,
Rabbi Yose b. Zevida,1684,יוסי (בר זבידא),
Rabbi Yose haGelili,1742,יוסי הגלילי,
Rabbi Yose haKohen,1745,יוסי הכהן [א],
Rav Yosef b. Hiyya,1764,יוסף [א] (בר חייא),
Rav Yeimar,1804,יימר,
Rabbi Yannai,1814,ינאי [ב] (רבה),
Rabbi Ya'akov b. Idi,1854,יעקב בר אידי,
Rabbi Yitzhak b. Elazar,1900,יצחק בר אלעזר [ב],
Rabbi Yitzhak b. Nahman,1922,יצחק בר נחמן,
Rabbi Yitzhak Nappaha,1885,יצחק [ב] (נפחא/ בן טבלאי),
Rav Yirmeyah b. Abba,1954,ירמיה בר אבא [א],
Rabbi Yirmeyah,1952,ירמיה [ב],
