Slug,En,He
abba-the-bloodletter,Abba the Bloodletter,אבא אומנא
abba-sura,Abba Sura,אבא סוראה
ifera-hurmiz,Ifera Hurmiz,איפרא הורמיז
elisha-the-master-of-the-wings,Elisha the Master of the Wings,אלישע בעל כנפים
bar-deroma,Bar Deroma,בר דרומא
yalta,Yalta,ילתא
mari-bar-isak,Mari bar Isak,מרי בר איסק
pappa-bar-abba,Pappa bar Abba,פפא בר אבא
tsafenat-bat-peniel,Tsafenat bat Peniel,צפנת בת פניאל
abba-b-marta,Abba b. Marta,אבא בר מרתא
avuah-b-ihi,Avuah b. Ihi,אבוה בר איהי
ilfa,Ilfa,אילפא
eliezer-the-small,Eliezer the Small,אליעזר זעירא
botnit,Botnit,בטנית
levi-b-rav-huna-b-rav-chiya,Levi b. Rav Huna b. Rav Chiya,לוי בריה דרב הונא בר חייא
minyamin-b-ihi,Minyamin b. Ihi,מנימין בר איהי
mar-b-ravina,Mar b. Ravina,מר בריה דרבינא
mar-zutra-b-rav-nachman,Mar Zutra b. Rav Nachman,מר זוטרא בריה דרב נחמן
mar-zutra-the-pious,Mar Zutra the Pious,מר זוטרא חסידא
mar-ukva-bar-chama,Mar Ukva bar Chama,מר עוקבא בר חמא
natan-tsutsita,Natan Tsutsita,נתן צוציתא
eifa,Eifa,עיפא
rabbi-abba-from-haifa,Rabbi Abba from Haifa,ר אבא דמן חיפה
rabbi-avin,Rabbi Avin,ר אבון
rabbi-elazar-of-hagronya,Rabbi Elazar of Hagronya,ר אלעזר מהגרוניא
rabbi-yoshiah-from-usha,Rabbi Yoshiah from Usha,ר יאשיה דמן אושא
rabbi-yose-b-natan,Rabbi Yose b. Natan,ר יוסי בר נתן
rabbi-yose-from-yokrat,Rabbi Yose from Yokrat,ר יוסי דמן יוקרת
rabbi-yisa,Rabbi Yisa,ר יסא
rabbi-yaakov-b-acha,Rabbi Ya'akov b. Acha,ר יעקב בר אחא
rav-abba-b-tachlifa,Rav Abba b. Tachlifa,רב אבא בר תחליפא
rav-adda-b-ahavah,Rav Adda b. Ahavah,רב אדא בר אהבה
rav-adda-b-matna,Rav Adda b. Matna,רב אדא בר מתנא
rav-adda-the-elder,Rav Adda the Elder,רב אדא סבא
rav-aviya-the-elder,Rav Aviya the Elder,רב אויא סבא
rav-aviya,Rav Aviya,רב אויא
rav-aha-b-yosef,Rav Aha b. Yosef,רב אחא בר יוסף
rav-aha-b-yaakov,Rav Aha b. Ya'akov,רב אחא בר יעקב
rav-aha-b-rav-huna,Rav Aha b. Rav Huna,רב אחא בר רב הונא
rav-aha-b-ravina,Rav Aha b. Ravina,רב אחא בריה דרבינא
rav-aha-of-hutsal,Rav Aha of Hutsal,רב אחא דהוצל
rav-achai,Rav Achai,רב אחאי
rav-achadvoi-b-ami,Rav Achadvoi b. Ami,רב אחדבוי בר אמי
rav-idi-b-avin,Rav Idi b. Avin,רב אידי בר אבין
rav-idit,Rav Idit,רב אידית
rav-bivi,Rav Bivi,רב ביבי
rav-berona,Rav Berona,רב ברונא
rav-gamda,Rav Gamda,רב גמדא
rav-dimi-brother-of-rav-safra,"Rav Dimi, Brother of Rav Safra",רב דימי אחוה דרב ספרא
rav-dimi-b-yosef,Rav Dimi b. Yosef,רב דימי בר יוסף
rav-huna-b-chiyun,Rav Huna b. Chiyun,רב הונא בר חיון
rav-huna-b-chiya,Rav Huna b. Chiya,רב הונא בר חייא
rav-huna-b-chinana,Rav Huna b. Chinana,רב הונא בר חיננא
rav-huna-b-rav-ika,Rav Huna b. Rav Ika,רב הונא בריה דרב איקא
rav-huna-b-rav-natan,Rav Huna b. Rav Natan,רב הונא בריה דרב נתן
rav-huna-the-exilarch,Rav Huna the Exilarch,רב הונא ריש גלותא
rav-hamnuna-the-elder,Rav Hamnuna the Elder,רב המנונא סבא
rav-hamnuna,Rav Hamnuna,רב המנונא
rav-chiya-arikha,Rav Chiya Arikha,רב חייא אריכא
rav-chiya-b-adda,Rav Chiya b. Adda,רב חייא בר אדא
rav-chiya-b-ashi,Rav Chiya b. Ashi,רב חייא בר אשי
rav-hama-b-tuviyah,Rav Hama b. Tuviyah,רב חמא בר טוביה
rav-hama-b-rabbah-b-abahu,Rav Hama b. Rabbah b. Abahu,רב חמא בריה דרבה בר אבהו
rav-chana,Rav Chana,רב חנא
rav-chanina--b-sheila,Rav Chanina  b. Sheila,רב חנינא בר שילא
rav-hanan-b-rabbah,Rav Hanan b. Rabbah,רב חנן בר רבא
rav-chananel,Rav Chananel,רב חננאל
rav-chananiyah-b-shelemya,Rav Chananiyah b. Shelemya,רב חנניא בר שלמיא
rav-tavut,Rav Tavut,רב טבות
rav-tovi-b-matana,Rav Tovi b. Matana,רב טובי בר מתנא
