"Guide for the Perplexed, Part 2 Introduction 1",בשם יי אל עולם!,AU NOM DE L’ÉTERNEL DIEU DE L’UNIVERS,
"Guide for the Perplexed, Part 2 Introduction 2","ההקדמות שצריך אליהם בקיום מציאות האלוה ית׳ ובמופתים על היותו לא גוף ולא כח בגוף ושהוא (ית׳ שמו!) אחד – חמש ועשרים הקדמות, כולם בא עליהם המופת אין ספק בדבר מהם, כבר עשה אריסטו ומי שאחריו מן המשאיים מופת על כל אחת מהם; והקדמה אחת נודה להם בה, כי בזה יתבארו מבוקשינו במופת כמו שאבאר – וההקדמה ההיא היא קדמות העולם.","Les propositions dont on a besoin pour établir l’existence de Dieu et pour démontrer qu’il n’est ni un corps, ni une force dans un corps, et qu’il est <i>un</i> [que son nom soit glorifié!], sont au nombre de vingt-cinq, qui, généralement démontrées, ne renferment rien de douteux; — (car) déjà Aristote et les péripatéticiens qui lui ont succédé ont abordé la démonstration de chacune d’elles <sup class=""footnote-marker"">(1)</sup><i class=""footnote"">(1) Tous les mss. ar. portent <span dir=""rtl"">עלי ברהאן כל ואחדהֹׁ מנהא</span>. Ibn-Tibbon s’écarte un peu de l’original, en traduisant: <span dir=""rtl"">כבר עשה ··· מופת על כל אחת מהן</span>. La version d’Al-’Harizi porte: <span dir=""rtl"">כבר בדק ··· על מופת כל אחת מהן</span>.</i>. — Il y a (en outre) une proposition que nous leur accordons comme concession <sup class=""footnote-marker"">(2)</sup><i class=""footnote"">(2) C’est-à-dire, que nous leur concédons provisoirement comme hypothèse; voy. ci-après la <small>XXVI</small><sup>e</sup> proposition, et cf. t. 1, pag. 350, note 1.</i>, parce que ce sera le moyen de démontrer les questions dont il s’agit, comme je l’exposerai; cette proposition, c’est l’éternité du monde.",
"Guide for the Perplexed, Part 2 Introduction 3",<b>ההקדמה הראשונה</b> שמציאות בעל שיעור אחד אין תכלית לו – שקר.,"P<small>REMIÈRE PROPOSITION</small>. — L’existence d’une grandeur infinie quelconque est inadmissible <sup class=""footnote-marker"">(3)</sup><i class=""footnote"">(3) Sur l’infini en général, voy. Aristote, <italic>Physique</italic>, liv. III, chap. 4-8; <italic>Métaph</italic>., liv. II, chap. 2; liv. XI, chap. 10. Aristote montre dans ces divers passages que, dans la nature, l’infiniment grand <italic>en acte</italic>, c’est-à-dire l’étendue infinie, est inadmissible, et il n’admet en fait d’infini que l’infiniment petit ou la divisibilité infinie de l’espace, qu’il désigne (ainsi que l’infinité du nombre abstrait) comme l’<italic>infini en puissance</italic>. Par conséquent, l’univers lui-même, qui est le corps le plus étendu, est limité dans l’espace (voy. le traité <italic>du Ciel</italic>, liv. I, chap 7, où Aristote dit en terminant: Ὅ<italic>τι μὲν τοίνυν οὐϰ ἐστὶ τὸ σῶμα τὸ τοῦ παντὸς ἄπειρον ἐϰ τούτων φανερόν</italic>). La démonstration la plus générale de cette première proposition est donnée dans la définition même du corps Aristote fait observer qu’au point de vue <italic>logique</italic> (<italic>λογιϰῶς</italic>), l’existence d’un corps infini est inadmissible: car, si l’idée qu’on se fait du corps, c’est d’être limité par des surfaces, il ne peut y avoir de corps illimité ni pensé, ni sensible (<italic>εἰ γάρ έστι σώματος λόγος τὸ ἐπιπέδῳ ὡρισμένον, οὐϰ ἂν εἴη σῶμα ἄπειρον, οὔτε νοητὸν οὔτε αἰσθητόν</italic>. <italic>Physique</italic>, III, 5, <italic>Métaph</italic>., XI, 10). Au point de vue <italic>physique</italic>, Aristote montre que le corps infini ne pourrait être ni composé ni simple: 1° S’il était composé, les parties de la composition seraient ou infinies ou finies; or il est évident qu’elles ne sauraient être infinies, car l’infinité de chacune d’elles exclut nécessairement celle des autres; mais elles ne sauraient pas non plus être finies, car elles seraient consumées par l’infini, et disparaîtraient complètement devant lui. 2° Le corps infini ne saurait pas non plus être simple; car aucun des éléments, dont chacun a sa région déterminée, n’est infini, et il n’existe pas de corps sensible, en dehors des éléments, qui les réunisse tous, comme l’ont cru plusieurs physiciens.— Une autre preuve physique (qui se rattache en quelque sorte à la preuve logique) est celle-ci: « Tout corps sensible est dans l’espace. Les espèces et différences de l’espace sont: le haut et le bas, le devant et le derrière, ce qui est à droite et ce qui est à gauche. Ces distinctions n’existent pas seulement par rapport à nous et par la position, mais sont fondées dans le tout lui-même. Cependant elles ne sauraient exister dans l’infini. » (Voy. <italic>Physique, l. c.</italic> à la fin du chap. 5). Ibn-Sînâ et d’autres auteurs, arabes et juifs, ont multiplié les démonstrations des propositions énumérées par Maïmonide. Abou-becr-Mo’hammed al-Tebrizi, qui a fait un commentaire sur les vingt-cinq propositions, est entré dans de longs détails pour en démontrer la vérité. Cette 1<sup>re</sup> proposition a été démontrée par les Arabes de plusieurs manières différentes. Nous citerons ici une démonstration qui est empruntée à Ibn-Sinâ: Soit la grandeur supposée infinie une ligne AB <img src=""b'/9j/4AAQSkZJRgABAQEBLAEsAAD/2wBDAAUDBAQEAwUEBAQFBQUGBwwIBwcHBw8LCwkMEQ8SEhEPERETFhwXExQaFRERGCEYGh0dHx8fExciJCIeJBweHx7/2wBDAQUFBQcGBw4ICA4eFBEUHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh4eHh7/wAARCAAwAToDASIAAhEBAxEB/8QAHAAAAgMBAQEBAAAAAAAAAAAAAAcBAgMEBgUI/8QAQBAAAQMDAwIDBQQGCAcAAAAAAQACAwQFEQYSIQcxEyJBCBdRYdMUMpGTVXGBlKHhFSM3RleEksEWJEVHYnKC/8QAGAEBAQEBAQAAAAAAAAAAAAAAAAECAwT/xAAbEQEBAQACAwAAAAAAAAAAAAAAEQECQRIhMf/aAAwDAQACEQMRAD8A/SpUZViqOXgdQXKpeoKqRlAOcVQuVi1RtUUAqrjmRp+BCttUbEHNe4TUywvbxtZhEB8Nu0rrb5WELkkbl+UG7DuOVoW8LOFuFvjhBg5qycF0PCycERiQvzL7QvUHV9j6mut1Dcay2UlJFE+lbCXMbOHNBc9wPEnm3N+A2YxnOf044L8ze1/pqvqdUWW+wU08sEtKKHc1uQJA972t453EPOB6447Fa4/Q/wDQ1zqrvoyy3WtDW1NZQQzy7exc5gcSPgDnOPRfaEhHqvPdObdcbVoKxWy7MYytpKCKCVjHAhha0ANyOCQAASOMg4yvvbVNGokPbKnOVk1vK2jCA2Key0xwquCCAVYcqoCsCqLAKQ1RuRvQWwoIQHIyghCO6nCCEYU4QgMIQqSzQxviZJLGx8ztkTXOAL3YLsD4nDXHA9AT6IL5RuUFVIQX3n4o3rPCkILtOe/KMn4riuV0tlrjZJc7jR0LHnDHVEzYw4/AFxGV0U80NRBHUU8rJoZWh8cjHBzXtIyCCOCCPVAudRdH6e9arqLvU36qFNUyGWWLww6TJJ8rXk4DQMAZBwBhZVHROyskikt99vFLIwEB5exxGfgQ1uO5/FNh3ZfM1E2vfYrgy1Oa24OppBSlxwBLtOzP/wBYV8tCun6KPmPGvNQM/wDV/wDNcjOht4bI4s6k3Mx5O1r6dxIHoCfFGT88BY+zB1DrtTC7aev1wnq7nSO8eAzMO8w8NcC7/wAXbe/Pn9cHDzjCmqTJ6JXb/EOv/dnfVVfcjdh/3Dr/AN2d9ZOzagtSoSZ6JXcj+0Sv/dX/AFlmOh96PLuotcOTwKZ54/OTvDVO3hSrSSHRW7s494Vcf8s/6yo/otdnH+0GuH+Wd9VOx7FQtShKt6JXf/EOv/dn/WW0PRi/U8rZqfqXc4ZW/dfHTva4enBEycgGEFKhHO6K6hiubDBrypfRkeZ0jZPEafgGh+CPnkLpqejF1ldka/rm/qpnfVTmcqEJQpKPpPf6aGZjepl+YXnc3wS+NoeRy5w8U7vT1HZYe6fVniOkHVi+CRwDS4NlyQM4GfH9Mn8Smbqu90Om9PVl8uReKWkj3v2Y3O5ADRkgZJIA5HJXx+lusoddadlvENA+iEVU+nMbpN+SGtdnOB6OHp8UHiqrpDqKqpo4qjqhe5y1xc7xmyPaT6YaZuCOecnv6KKjovW/YsU+ubr9pDfvSA7HHHwD8gE/M4+acQapDVboS0XRO7eUydQK/wBNwbA79uD4v+y0f0TuZkcY+oNxazJ2h0DiQPTJ8UZ/BOfajCUJyDotcmyNM2v7i+PPmDYHNJ/UfFOPwQ/onVPl3ya6ubg2UOi/qjlg5B58T72DjIx68HOE4lBShSnowcjGtr5jPOXd/wCKt7nAP76Xz/X/ADTXRhLoVHufA/vlfP8AX/NZ+5uH7R9o/wCLLx423Z4mRu25zjOc4z6JtFqrsKXQoqXo5Vsld4uubm6I5LWxxlhBJzkkvOfX0XX7ng5pa7WN7cDwQXd/4pphiuG4ShRy9DbbO8Pn1FcZXABoL2NJwOw5WvuJsAgj8O83NlS12TJhm317NxkHtzlNkDCslCtd0P0xKfEqbtfJp3D+skM0fmPqeWE/xKj3F6S/SN8/Oi+mmmhKFQehWlvGz/Sd58Pbgt8SLdnPfOzt8sftVvcXpL9I3z86L6aaihLoVnuL0l+kb5+dF9NSOhmkh/1C9/nRfTTSQlCsk6HaY8ng3G7Nw4F258bst9QPIMH58/qVpOiGli12y43hr8HaXSxkA/MbBn8V2e0bcaq29Kbi6lkdE6ofHA9zXEHY53mGQfUDB+IJHqvqdPNW0dx6U2vU9xq3sZHRAVk0+Nxkj8kjsNznc5pIA5ORxk4V9j4R6KaVIx9uvP50X017Om0vp+mpoqaG1wtiiYGMBJOABgck5P7UvPZotOpaCx3avvgkZTXKds1JHI7zE+YSSFvpu8nzO3PbBLbTR1uSu1xrCKDqxp+x0lsr7o6gbLUV4o4HSOp/Ej2RuwD6B/myMAPbjJ4TEvtTV0dnq6qgonV1VFE58VO1waZHAcNyUp+kcOuxr+9XbUtjkp47rG100zg1gjcziNrRkkgAluPkCScJgUViuEmh/ahlq7hTm30VxuE7pPtLRGI4Z3OLXEnhoGWknsMFfsGJfnj2iNA6w1lqyGrsWmfGjpaZsDao10LfGGS/7rnAtwXOHz/BOHphUapm0tTxavtP9H3Kma2BzjVsndU7WNzMSzhpcc8ZPY/JTR63CghTlQSoDCFGUbkEOCo5q0zlQ5FZEKhV3LMlECghGUEoF17SUM03RPUTadm97WQyYyB5WzxucefgASvK+x1WNn6fXOlId4sVzMjie2HRRgft8h/gnJd7fR3a11VruEAno6uF0M8ZJG5jhgjI5HB7jkJJ9NLdc+j+pb1ZbjabtcrNcJYnUFdRw+I0Ebh5gOziDyO/k4BBBWug7K+42+gmpYa6tgppKuUQ07ZHhpkeezRnuf8AfA7kLswk1d7HrDqJr613Gto6ixactcviQCcBs7iHNJO37292AMnytA4yfvOTKyLEKpUFyglAFQUZRjKACsMKvZG7CC+Ap2qgcrhyA2owglVLlRbhRlVyoygvlCplTlBKFGfmjKCUIyjKBU+1Y9zOkVSWtJJq4Rx6cnlaezvQUVz6A2ekrqWOWCrbUidhGN//ADEgySOc4Awe4wMdl3dadKaq1raBYrXLZ6a3F7JZH1Esnivc3PGAwgN5B754/YufQGmNfaV0TDpiGp0+Gw+KIaoSSPdEHuLshhjAJDnOPJ9fgMK9Dz/s/wCrbzV6iuOjrhUfaqS3QPNNI9uHMEcgZt+JB38Ak42gDhOgryHTfQdJo1lbP9rdXXCucHVFQ5gb2ycNHOBkknnnj4L2GFNH/9k='""/>; nous pourrons supposer que cette ligne se prolonge à l’infini des deux côtés ou seulement d’un côté B. Dans ce dernier cas, figurons-nous que du côté fini on coupe une partie AC; nous aurons alors deux lignes AB et CB, dont chacune sera infinie du côté B et finie de l’autre côté. Or, si nous appliquons le point C sur le point A, il arrivera de deux choses l’une: ou bien la ligne CB se prolongera à l’infini comme la ligne AB, et alors nous aurons AB—AC=AB, ce qui est impossible, car la partie ne peut être égale au tout; ou bien la ligne CB se prolongera moins que la ligne AB, et alors elle sera finie du côté B, ce qui est contraire à l’hypothèse. Si la ligne AB est supposée infinie des deux côtés, on pourra la couper à un point quelconque, de manière à en faire deux lignes dont chacune sera infinie d’un côté et finie de l’autre, et la démonstration sera la même que celle qu’on vient de donner. Cf. Schahrestâni, pag. 403 (trad. allem., t. <small>II</small>, pag. 295 et 296). — Nous ne pourrons pas reproduire les preuves alléguées pour chacune des propositions énumérées ici par Maïmonide, et nous devrons nous borner à indiquer les endroits d’où notre auteur a tiré ces différentes propositions. Ainsi qu’on le verra, elles ne sont pas toutes empruntées à Aristote, et plusieurs sont tirées des œuvres d’Ibn-Sinâ, qui, comme nous l’avons déjà dit ailleurs, sont la principale source à laquelle Maïmonide a puisé sa connaissance des doctrines péripatéticiennes. Sur cette première proposition et les deux suivantes, voy. aussi la 1<sup>re</sup> partie de cet ouvrage, chap. LXXIII, 11<sup>e</sup> proposition, et les notes que nous y avons jointes (tom. I, pag. 413 et 414).</i>.",
"Guide for the Perplexed, Part 2 Introduction 4",<b>השנית</b> שמציאות בעלי שיעור אין תכלית למספרם שקר; והוא שיהיו נמצאים יחד.,"D<small>EUXIÈME PROPOSITION</small>. — L’existence d’un nombre infini de grandeurs est inadmissible <sup class=""footnote-marker"">(1)</sup><i class=""footnote"">(1) Cette seconde proposition énonce de la grandeur discrète ce qui, dans la première proposition, a été énoncé de la grandeur continue. L’infinité numérique en acte est aussi inadmissible que l’étendue infinie: car les unités qui composent la quantité discrète peuvent former toutes ensemble une quantité continue, et il est clair que, puisque cette dernière ne peut être infinie, la première ne saurait l’être davantage. On peut d’ailleurs, comme le fait observer le commentateur Schem-Tob, appliquer directement à cette proposition la démonstration que nous avons donnée de la première proposition, d’après Ibn-Sinâ. En effet, en diminuant d’un certain nombre d’unités la quantité discrète supposée infinie, le reste sera ou infini ou fini; or, s’il était infini, la partie serait égale au tout, ce qui est impossible; s’il était fini, le tout serait éga lement fini, ce qui est contraire à l’hypothèse.</i>, si l’on veut qu’elles existent (toutes) simultanément <sup class=""footnote-marker"">(2)</sup><i class=""footnote"">(2) On a déjà vu que, selon notre auteur, l’inadmissibilité de l’infini <italic>par succession</italic> n’est pas démontrée. Voy. t. I, pag. 414 et 415, et cf. ci-après à la 26<sup>e</sup> proposition.</i>.",
"Guide for the Perplexed, Part 2 Introduction 5","<b>השלשית</b> שמציאות עילות ועלולים אין תכלית למספרם – שקר ואף על פי שלא יהיו בעלי שיעור; והמשל בו: שיהיה השכל הזה, על דרך משל, סבתו – שכל שני וסיבת השני – שלישי וסיבת השלישי – רביעי כן אל לא תכלית – זה גם כן שקר מבואר.","T<small>ROISIÈME PROPOSITION</small>. — L’existence d’un nombre infini de causes et d’effets est inadmissible, lors même que ce ne seraient pas de grandeurs; ainsi, par exemple, il est évidemment inadmissible que telle intelligence ait pour cause une seconde intelligence, cette seconde une troisième, cette troisième une quatrième, et ainsi de suite jusqu’à l’infini <sup class=""footnote-marker"">(1)</sup><i class=""footnote"">(1) Cette proposition a été développée par Aristote, dans la <italic>Métaphysique</italic>, liv. II, chap. 2, où il est montré en général que, dans les quatre espèces de causes, on arrive nécessairement à un dernier terme, et que ces causes ne peuvent se continuer à l’infini: Α’<italic>λλὰ μέν ὅτί γ’ ἐστὶν ἀρχή τις ϰαὶ oὐϰ ἄπειρα τὰ αἴτια τῶν ὄντων, οὔτ’ εἰς εὐθυωρίαν οὔτε ϰατ’ εἶδος, δῆλον, ϰ. τ. λ</italic>. Cf. le tome I de cet ouvrage, pag. 313, note 1.</i>.",
"Guide for the Perplexed, Part 2 Introduction 6",<b>הרביעית</b> היא שהשינוי ימצא בארבע מאמרות –,Q<small>UATRIÈME PROPOSITION</small>. — Le changement se trouve dans quatre <i>catégories:</i> ,
"Guide for the Perplexed, Part 2 Introduction 7",במאמר העצם וזה השינוי ההוה בעצם הוא ההויה וההפסד;,"1° dans la catégorie de la <i>substance</i>, et le changement dont est susceptible la substance, c’est la naissance et la corruption; ",
"Guide for the Perplexed, Part 2 Introduction 8",וימצא במאמר הכמה והוא הצמיחה וההיתוך;,"2° dans la catégorie de la <i>quantité</i>, et ici c’est la croissance et le décroissement; ",
"Guide for the Perplexed, Part 2 Introduction 9",וימצא במאמר האיכות והוא ההשתנות;,"3° dans la catégorie de la <i>qualité</i>, ce qui est la transformation; ",
"Guide for the Perplexed, Part 2 Introduction 10",וימצא במאמר האנה והוא תנועת ההעתקה ועל זה השינוי באנה תאמר התנועה בפרט.,"4° dans la catégorie du <i>lieu</i>, ce qui est le mouvement de translation <sup class=""footnote-marker"">(2)</sup><i class=""footnote"">(2) Voy. Aristote, <italic>Métaphysique</italic>, liv. XII, chap. 2: E<italic>ἰ δὴ αἱ μεταϐολαὶ τέτταρες, ἢ ϰατὰ τὸ τί ἢ ϰατὰ τὸ ποιὸν ἢ ποσὸν ἢ ποῦ, ϰαὶ γένεσις μὲν ή ἁπλῆ ϰαὶ φθορὰ ἡ ϰατὰ τόδε, αὔξησις δὲ ϰαὶ φθίσις ἡ ϰατὰ τὸ ποσόν, ἀλλοίωσις δὲ ἡ ϰατὰ τὸ πάθος, φορὰ δε ἡ ϰατὰ τόπον, εἰς ἐναντιώσεις ἂν εἶεν τὰς ϰαθ’ ἕϰα-στον αἱ μεταϐολαὶ, ϰ. τ. λ</italic>. Cf. <italic>Physique</italic>, liv. III, chap. 1: Μ<italic>εταϐάλλει γάρ τὸ μεταϐάλλον ἀεὶ ἢ ϰατ’ οὐσίαν, ἢ ϰατὰ ποσὸν, ἤ ϰατὰ ποιὸν, ἢ ϰατὰ τόπον</italic>. On voit que par <italic>changement</italic> (<italic>μεταϐολή</italic>), il faut entendre le passage mutuel des opposés l’un à l’autre, et il ne faut pas le confondre avec l’idée de <italic>mouvement</italic>, qui, comme le dit Aristote ailleurs, ne s’applique qu’aux catégories de la quantité, de la qualité et du lieu, et non pas à celle de la substance. Voy. <italic>Physique</italic>, liv. V, à la fin du chap. 1, et au commencement du chap. 2. Cf. le traité <italic>de l’Ame</italic>, liv. I, chap. 3, § 3, où Aristote parle de quatre espèces de <italic>mouvement</italic>, qui, au fond, n’en forment que trois, appartenant à trois catégories, savoir: <italic>φορά</italic>, à la catégorie du <italic>lieu</italic>, <italic>ἀλλοίωσις</italic>, à celle de la <italic>qualité</italic>, <italic>φθίσις</italic> et <italic>αὔξησις</italic> à celle de la <italic>quantité</italic>, Cependant, dans les six espèces de <italic>mouvement</italic> (<italic>ϰινήσεως</italic>) énumérées au commencement du chap. 14 des <italic>Catégories</italic>, Aristote comprend aussi la génération et la corruption (<italic>γένεσις ϰαὶ φθορά</italic>), qui s’appliquent à la catégorie de la <italic>substance</italic>. Les quatre autres sont: l’<italic>augmentation</italic> (<italic>αὔξησις</italic>), la <italic>diminution</italic> (<italic>μείωσις = φθίσις</italic>), la <italic>transformation</italic> (<italic>ἀλλοίωσις</italic>) et le changement de lieu (<italic>ϰατὰ τόπον μεταϐολή</italic>); les deux premières espèces sont relatives à la catégorie de la <italic>quantité</italic>, la troisième à celle de la <italic>qualité</italic>, et la quatrième à celle du <italic>lieu</italic>. On voit que ce passage des <italic>Catégories</italic> correspond exactement à celui de la <italic>Métaphysique</italic>, et qu’Aristote y a pris le mot <italic>ϰίνησις</italic> dans le sens plus étendu de <italic>μεταϐολή</italic>. Cf. ci-après, note 2.</i>; c’est à ce changement dans le lieu que s’applique en particulier le (terme de) <i>mouvement</i> <sup class=""footnote-marker"">(1)</sup><i class=""footnote"">(1) On a vu dans la note précédente qu’en général les changements dont il est ici question, à l’exception du premier, sont aussi désignés comme <italic>mouvements;</italic> mais ce n’est que parce qu’au fond tous ces différents changements sont en quelque sorte un mouvement local: <italic>πᾶσαι γὰρ αἱ λεχθεῖσαι ϰινήσεις ἐν τόπῳ</italic> (<italic>Traité de l’Ame</italic>, l. c.); ainsi, par exemple, dans la croissance et le décroissement, on peut attribuer aux différentes parties du corps un mouvement local. Cf. ci-après la 14<sup>e</sup> proposition. — Toutes les éditions de la version d’Ibn-Tibbon ajoutent ici les mots: <span dir=""rtl"">ועל שאר השנויים בכלל</span>, <italic>et aux autres changements</italic> (il s’applique) <italic>en général;</italic> les mss. de la version n’ont point cette addition. Cf. au commencement du chap. I.</i>.",
"Guide for the Perplexed, Part 2 Introduction 11",<b>החמישית</b> היא שכל תנועה – שינוי ויציאה מן הכח אל הפועל.,"C<small>INQUIÈME PROPOSITION</small>. — Tout mouvement est un changement et un passage de la <i>puissance</i> à l’<i>acte</i> <sup class=""footnote-marker"">(2)</sup><i class=""footnote"">(2) L’auteur reproduit ici la définition qu’Aristote donne du mouvement. Et ici, le mot <italic>mouvement</italic> embrasse toutes les espèces de <italic>changements</italic> dont parle la proposition précédente; aussi bien le changement de la naissance et de la corruption, qui se fait instantanément et pour ainsi dire sans mouvement, que les autres changements, qui se font peu à peu et par un véritable mouvement. Dans ce sens donc, le mouvement est le changement qui peut être désigné, de la manière la plus générale, comme le passage de la puissance à l’acte. Voyez Aristote, <italic>Physique</italic>, liv. III, chap. 1: Ὥ<italic>στε ϰινιήσεως ϰαὶ μεταϐολῆς ἐστὶν εἴδη τοσαῦτα ὅσα τοῦ ὄντος. διῃρῆμένου δὲ ϰαθ’ ἔϰαστον γένoç τοῦ μὲν ἐντελεχείᾳ τοῦ δὲ δυνάμε, ἡ τοῦ δυνάμει ὄντς ἐντελέχεια, ᾖ τοιοῦτον, ϰίνησίς ἐστιν, ϰ. τ. λ</italic>. Cf. <italic>Métaphysique</italic>, liv. XI, chap. 9.</i>.",
