Index Title,Guide for the Perplexed,le français d'origine,
Version Title,"Moreh Nevuchim, translated by Ibn Tibon",,
Language,he,,
Version Source,http://mobile.tora.ws/,,
Version Notes,,,
"Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 1",בשם יי אל עולם:,<b>AU NOM DE L'ÉTERNEL</b> <br>DIEU DE L'UNIVERS fn2,
"Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 2",כתב הרב המחבר התלמיד החשוב ר׳ יוסף ש״צ בן רבי יהודה נ״ע:,"When fn3, my dear disciple Rabbi Joseph fn4, son of R. lehouda [may he rest in paradise!],",
"Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 3",הנה מאז באת אלי וכונת מקצות הארץ לקרות לפני גדלה מעלתך בעיני לרוב זריזותך על הדרישה ולמה שראיתי בשיריך מחוזק התשוקה לדברים העיוניים. והיה זה אחר הגיע אלי כתביך וחרוזיך מן האסכנדריה קדם שאבחון ציורך. והייתי אומר אולי תשוקתו גדולה מהשגתו? וכאשר קראת עמי מה שקראתו מחכמת התכונה ומה שקדם לך – ממה שאי אפשר מבלעדיו הצעה לה – מן החכמות הלמודיות הוספתי בך שמחה לטוב שכלך ומהירות ציורך. וראיתי תשוקתך לחכמות הלמודיות עצומה והנחתיך להתלמד בהם לדעתי מה אחריתך. וכאשר קראת עמי מה שקראתו ממלאכת ההגיון נקשרה תוחלתי בך וראיתיך ראוי לגלות לך סודות ספרי הנבואה עד שתשקיף מהם על מה שצריך שישקיפו עליו השלמים והחלתי לרמז לך ברמיזות. וראיתיך מבקש ממני תוספת באור ופוצר בי לבאר לך דברים מן הענינים ההם מופתיים ואם לא – מאיזו מלאכה הם. וראיתיך יודע מעט ממנו – מאשר למדת מזולתי. ואתה נבוך כבר דפקתך הבהלה ונפשך החשובה תבקש ממך ׳למצוא דברי חפץ׳. ולא סרתי לדחותך מזה ולצוותך לקחת הדברים על הסדר; כונה ממני – שיתאמת לך האמת בדרכיו לא שיפול האמת במקרה. ולא נמנעתי כל ימי התחברך עמי כשהזכר ׳פסוק׳ או דבר מדברי ה׳חכמים׳ שיש בו הערה על ענין זר לבארו לך:,"tu te présentas chez moi, étant venu d'un pays lointain fn5 pour suivre mes leçons, tu étais déjà très haut placé dans mon estime à cause de ta grande passion pour l'étude, et parce que j'avais reconnu dans tes poésies un amour très prononcé pour les choses spéculatives, et cela depuis que tes opuscules et tes <i>Makâmât</i> fn6 me furent parvenus d'Alexandrie, et avant que je pusse (par moi-même) éprouver ta conception. Je me disais (d'abord): Peut-être son désir est-il plus fort que sa compréhension; mais quand tu eus fait, sous ma direction, tes études de l'astronomie et des sciences mathématiques que tu avais abordées auparavant et qui doivent nécessairement lui servir de préparation, je ressentis à ton égard une joie bien plus grande à cause de l'excellence de ton esprit et de la promptitude de ta conception; et, voyant que tu avais un grand amour pour les mathématiques, je te laissais libre de t'y exercer, sachant quel devait être ton avenir fn7. Et quand tu eus fait sous moi tes études de logique, mon espérance s'attachait à toi et je te jugeais digne de te révéler les mystères des livres prophétiques, afin que tu en comprisses ce que doivent comprendre les hommes parfaits. Je commençai donc à te faire entrevoir les choses et à te donner certaines indications; mais je te voyais me demander davantage, et tu insistais pour que je t'expliquasse des sujets appartenant à la métaphysique et que je te fisse connaître à cet égard à quoi visaient les <i>Motécallemîn</i> fn8, et si leurs méthodes étaient basées sur la démonstration, ou, dans le cas contraire, à quel art elles appartenaient. Je voyais que tu avais déjà un peu étudié cette matière sous d'autres (maîtres); mais tu étais agité et saisi de troubles fn9, et ta noble âme te stimulait <i>afin de trouver les objets de ton désir</i> fn10. Je ne cessais de te détourner de cette voie et je te recommandais de prendre les choses par ordre; car mon but était (de faire) que la vérité s'établît pour toi méthodiquement et que la certitude ne t'arrivât pas comme par hasard. Tant que tu étais avec moi, je ne me refusais pas, quand il était question d'un verset ou d'un des textes des docteurs appelant l'attention sur quelque sujet curieux, à t'en donner l'explication; ",
"Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 4",וכאשר גזר האלוה בפרידה ופנית אל אשר פנית העירוני החיבורים ההם אל הסכמה כבר שקטה ועוררתני פרידתך לחבר המאמר הזה אשר חברתיו לך ולדומים לך – ואם הם מעט. ושמתיו פרקים מפרדים וכל מה שיכתב ממנו הוא יגיעך ראשון ראשון באשר תהיה. ואתה שלום:,"mais lorsque Dieu décréta la séparation et que tu t'en allas d'un autre côté, ces conférences firent renaître dans moi une (ancienne) résolution qui s'était déjà affaiblie, et ton absence m'engagea à composer ce traité que j'ai fait pour toi et pour tes semblables, quelque peu nombreux qu'ils soient. J'en ai fait des chapitres détachés, et tout ce qui en aura été mis par écrit te parviendra successivement là où tu seras. Porte-toi bien.",
"Guide for the Perplexed, Introduction, Prefatory Remarks 1",״הודיעני דרך זו אלך כי אליך נשאתי נפשי״.,"Fais-moi connaître le chemin que je suivrai, car c'est vers toi que j'ai élevé mon âme (Ps. CXLIII, <small>V</small>. 8).",
"Guide for the Perplexed, Introduction, Prefatory Remarks 2",״אליכם אישים אקרא וקולי אל בני אדם״.,"C'est vous, hommes, que j'appelle, et ma voix (s'adresse) aux fils d'Adam (Prov. VIII, 4).",
