"Guide for the Perplexed, Part 2 Introduction 1",בשם יי אל עולם!,AU NOM DE L’ÉTERNEL DIEU DE L’UNIVERS,
"Guide for the Perplexed, Part 2 Introduction 2","ההקדמות שצריך אליהם בקיום מציאות האלוה ית׳ ובמופתים על היותו לא גוף ולא כח בגוף ושהוא (ית׳ שמו!) אחד – חמש ועשרים הקדמות, כולם בא עליהם המופת אין ספק בדבר מהם, כבר עשה אריסטו ומי שאחריו מן המשאיים מופת על כל אחת מהם; והקדמה אחת נודה להם בה, כי בזה יתבארו מבוקשינו במופת כמו שאבאר – וההקדמה ההיא היא קדמות העולם.","Les propositions dont on a besoin pour établir l’existence de Dieu et pour démontrer qu’il n’est ni un corps, ni une force dans un corps, et qu’il est <i>un</i> [que son nom soit glorifié!], sont au nombre de vingt-cinq, qui, généralement démontrées, ne renferment rien de douteux; — (car) déjà Aristote et les péripatéticiens qui lui ont succédé ont abordé la démonstration de chacune d’elles fn2357. — Il y a (en outre) une proposition que nous leur accordons comme concession fn2358, parce que ce sera le moyen de démontrer les questions dont il s’agit, comme je l’exposerai; cette proposition, c’est l’éternité du monde.",
"Guide for the Perplexed, Part 2 Introduction 3",<b>ההקדמה הראשונה</b> שמציאות בעל שיעור אחד אין תכלית לו – שקר.,P<small>REMIÈRE PROPOSITION</small>. — L’existence d’une grandeur infinie quelconque est inadmissible fn2359.,
"Guide for the Perplexed, Part 2 Introduction 4",<b>השנית</b> שמציאות בעלי שיעור אין תכלית למספרם שקר; והוא שיהיו נמצאים יחד.,"D<small>EUXIÈME PROPOSITION</small>. — L’existence d’un nombre infini de grandeurs est inadmissible fn2360, si l’on veut qu’elles existent (toutes) simultanément fn2361.",
"Guide for the Perplexed, Part 2 Introduction 5","<b>השלשית</b> שמציאות עילות ועלולים אין תכלית למספרם – שקר ואף על פי שלא יהיו בעלי שיעור; והמשל בו: שיהיה השכל הזה, על דרך משל, סבתו – שכל שני וסיבת השני – שלישי וסיבת השלישי – רביעי כן אל לא תכלית – זה גם כן שקר מבואר.","T<small>ROISIÈME PROPOSITION</small>. — L’existence d’un nombre infini de causes et d’effets est inadmissible, lors même que ce ne seraient pas de grandeurs; ainsi, par exemple, il est évidemment inadmissible que telle intelligence ait pour cause une seconde intelligence, cette seconde une troisième, cette troisième une quatrième, et ainsi de suite jusqu’à l’infini fn2362.",
"Guide for the Perplexed, Part 2 Introduction 6",<b>הרביעית</b> היא שהשינוי ימצא בארבע מאמרות –,Q<small>UATRIÈME PROPOSITION</small>. — Le changement se trouve dans quatre <i>catégories:</i> ,
"Guide for the Perplexed, Part 2 Introduction 7",במאמר העצם וזה השינוי ההוה בעצם הוא ההויה וההפסד;,"1° dans la catégorie de la <i>substance</i>, et le changement dont est susceptible la substance, c’est la naissance et la corruption; ",
"Guide for the Perplexed, Part 2 Introduction 8",וימצא במאמר הכמה והוא הצמיחה וההיתוך;,"2° dans la catégorie de la <i>quantité</i>, et ici c’est la croissance et le décroissement; ",
"Guide for the Perplexed, Part 2 Introduction 9",וימצא במאמר האיכות והוא ההשתנות;,"3° dans la catégorie de la <i>qualité</i>, ce qui est la transformation; ",
"Guide for the Perplexed, Part 2 Introduction 10",וימצא במאמר האנה והוא תנועת ההעתקה ועל זה השינוי באנה תאמר התנועה בפרט.,"4° dans la catégorie du <i>lieu</i>, ce qui est le mouvement de translation fn2363; c’est à ce changement dans le lieu que s’applique en particulier le (terme de) <i>mouvement</i> fn2364.",
"Guide for the Perplexed, Part 2 Introduction 11",<b>החמישית</b> היא שכל תנועה – שינוי ויציאה מן הכח אל הפועל.,C<small>INQUIÈME PROPOSITION</small>. — Tout mouvement est un changement et un passage de la <i>puissance</i> à l’<i>acte</i> fn2365.,
"Guide for the Perplexed, Part 2 Introduction 12",<b>השישית</b> כי התנועות – מהם בעצם ומהם במקרה ומהם בהכרח ומהם בחלק והוא מין ממה שבמקרה; אמנם אשר בעצם – כהעתק הגשם ממקום למקום; ואשר במקרה – כמו שיאמר בשחרות אשר בזה הגשם שנעתק ממקום למקום; ואשר בהכרח – כתנועת האבן אל מעלה במכריח יכריחנה על זה; ואשר בחלק – כתנועת המסמר בספינה כי כשתתנועע הספינה נאמר שכבר התנועע המסמר גם כן – וכן כל מחובר שיתנועע בכללו יאמר שחלקו כבר התנועע.,"S<small>IXIÈME PROPOSITION</small>. — Les mouvements fn2366 sont tantôt essentiels (ou dans la chose en elle-même), tantôt accidentels, tantôt dus à la violence, tantôt partiels, et (dans ce dernier cas) c’est une espèce de (mouvement) accidentel. Essentiels, comme la translation du corps d’un endroit à un autre; accidentels, comme on dirait (par exemple) de la noirceur qui est dans tel corps, qu’elle s’est transportée d’un endroit à un autre; dus à la violence, comme lorsque la pierre se meut vers le haut par quelque chose qui l’y force; partiels, comme le mouvement du clou dans le navire: car lorsque le navire se meut, nous disons aussi que le clou se meut. Et ainsi, toutes les fois qu’une chose composée se meut tout entière, on dit aussi que sa partie se meut fn2367.",
"Guide for the Perplexed, Part 2 Introduction 13","<b>השביעית</b> היא שכל משתנה מתחלק – ולזה כל מתנועע מתחלק, והוא גשם בהכרח, וכל מה שלא יתחלק לא יתנועע, ולזה לא יהיה גשם כלל.","S<small>EPTIÈME PROPOSITION</small>. — Tout ce qui subit le changement est divisible fn2368; c’est pourquoi tout ce qui est mû est divisible et est nécessairement un corps fn2369. Tout ce qui n’est pas divisible n’est point mû fn2370, et, par conséquent, ne peut nullement être un corps.",
"Guide for the Perplexed, Part 2 Introduction 14","<b>השמינית</b> כי כל מה שיתנועע במקרה – ינוח בהכרח, מפני שאין תנועתו בעצמו, ולזה אי אפשר שיתנועע התנועה ההיא המקרית תמיד.","H<small>UITIÈME PROPOSITION</small>. — Tout ce qui est mû accidentellement sera nécessairement en repos, son mouvement n’étant pas dans son essence; c’est pourquoi il est impossible qu’il accomplisse perpétuellement ce mouvement accidentel fn2371.",
"Guide for the Perplexed, Part 2 Introduction 15",<b>התשיעית</b> כי כל גשם שיניע גשם – אמנם יניעהו כשיתנועע גם הוא בעת הנעתו.,N<small>EUVIÈME PROPOSITION</small>. — Tout corps qui en meut un autre ne se meut qu’en étant mû lui-même au moment où il meut fn2372.,
