Index Title,"Shulchan Arukh, Yoreh De'ah"
Version Title,"Ashlei Ravrevei: Shulchan Aruch Yoreh Deah, Lemberg, 1888"
Language,he
Version Source,http://primo.nli.org.il/primo_library/libweb/action/dlDisplay.do?vid=NLI&docId=NNL_ALEPH002097765
Version Notes,
"Shulchan Arukh, Yoreh De'ah 183:1","<b>אשה שרואה טיפת דם צריכה לישב ז' נקיים. ובו סעיף אחד:</b><br> <i data-commentator=""Beur HaGra"" data-order=""1""></i><i data-commentator=""Be'er HaGolah"" data-order=""1""></i>אשה שיצא דם <i data-commentator=""Siftei Kohen"" data-order=""1""></i><i data-commentator=""Ba'er Hetev"" data-order=""1""></i>ממקורה <i data-commentator=""Be'er HaGolah"" data-label=""(°)"" data-order=""1""></i><i data-commentator=""Beur HaGra"" data-order=""2""></i>בין <i data-commentator=""Turei Zahav"" data-order=""1""></i><i data-commentator=""Ba'er Hetev"" data-order=""2""></i>באונס בין ברצון טמאה <i data-commentator=""Siftei Kohen"" data-order=""2""></i><i data-commentator=""Beur HaGra"" data-order=""3""></i><i data-commentator=""Torat HaShlamim"" data-order=""1""></i><i data-commentator=""Be'er HaGolah"" data-order=""2""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""1""></i>והוא <i data-commentator=""Ba'er Hetev"" data-order=""3""></i><i data-commentator=""Pithei Teshuva"" data-order=""1""></i>שתרגיש ביציאתו ומיהו משתרגיש בו שנעקר ממקומו ויצא <i data-commentator=""Be'er HaGolah"" data-order=""3""></i>טמאה <i data-commentator=""Turei Zahav"" data-order=""2""></i>אע""פ <i data-commentator=""Pithei Teshuva"" data-order=""2""></i>שלא יצא לחוץ <i data-commentator=""Beur HaGra"" data-order=""4""></i><i data-commentator=""Be'er HaGolah"" data-order=""4""></i>ואפי' לא ראתה אלא טיפת דם <i data-commentator=""Siftei Kohen"" data-order=""3""></i><i data-commentator=""Ba'er Hetev"" data-order=""4""></i><i data-commentator=""Pithei Teshuva"" data-order=""3""></i><i data-commentator=""Torat HaShlamim"" data-order=""2""></i>כחרדל <i data-commentator=""Beur HaGra"" data-order=""5""></i><i data-commentator=""Be'er HaGolah"" data-order=""5""></i>יושבת עליו <i data-commentator=""Siftei Kohen"" data-order=""4""></i><i data-commentator=""Torat HaShlamim"" data-order=""3""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""2""></i>ז' <i data-commentator=""Ba'er Hetev"" data-order=""5""></i><i data-commentator=""Pithei Teshuva"" data-order=""4""></i>נקיים: <small>הגה כאשר יתבאר משפטן לקמן סי' קצ""ו <i data-commentator=""Beur HaGra"" data-order=""6""></i><i data-commentator=""Torat HaShlamim"" data-order=""4""></i>ואין חילוק <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""3""></i>בין פנויה לנשואה לענין איסור <i data-commentator=""Ba'er Hetev"" data-order=""6""></i>נדה (ריב""ש סימן תכ""ב מביאו ב""י) כי כל הבא על הנדה חייב כרת:</small>"
"Shulchan Arukh, Yoreh De'ah 184:1","<b>שצריך לפרוש מהאשה עונה קודם לוסתה. ובו י""ב סעיפים:</b><br> <i data-commentator=""Be'er HaGolah"" data-order=""1""></i>רוב הנשים יש להם וסתות <small>(פי' זמן קבוע אורח כנשים) </small>לראות בזמן ידוע <i data-commentator=""Siftei Kohen"" data-order=""1""></i>כגון מעשרים לעשרים יום <i data-commentator=""Siftei Kohen"" data-order=""2""></i><i data-commentator=""Pithei Teshuva"" data-order=""1""></i>או מל' לל' יום <i data-commentator=""Beur HaGra"" data-order=""1""></i><i data-commentator=""Be'er HaGolah"" data-order=""2""></i>וכל אשה <i data-commentator=""Siftei Kohen"" data-order=""3""></i>שיש לה וסת קבוע <i data-commentator=""Turei Zahav"" data-order=""1""></i><i data-commentator=""Torat HaShlamim"" data-order=""1""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""1""></i>בא עליה שלא בשעת <i data-commentator=""Ba'er Hetev"" data-order=""1""></i>וסתה <i data-commentator=""Siftei Kohen"" data-order=""4""></i><i data-commentator=""Beur HaGra"" data-order=""2""></i>ואינה צריכה בדיקה לפני תשמיש <small>(רמב""ם) </small>: <small>הגה <i data-commentator=""Torat HaShlamim"" data-order=""2""></i>גם אין לה <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""2""></i>להחמיר לבדוק עצמה לא לפני תשמיש ולא לאחר תשמיש שלא יהא לבו נוקפו ופורש (טור ומרדכי ריש הל' נדה ורוב הפוסקים) </small>אבל <i data-commentator=""Beur HaGra"" data-order=""3""></i>שלא בשעת תשמיש <i data-commentator=""Be'er HaGolah"" data-order=""3""></i>כל המרבה לבדוק הרי זו משובחת:"
"Shulchan Arukh, Yoreh De'ah 184:2","<i data-commentator=""Be'er HaGolah"" data-order=""4""></i>בשעת וסתה <i data-commentator=""Siftei Kohen"" data-order=""5""></i><i data-commentator=""Pithei Teshuva"" data-order=""2""></i><i data-commentator=""Torat HaShlamim"" data-order=""3""></i>צריך <i data-commentator=""Pithei Teshuva"" data-order=""3""></i>לפרוש ממנה <i data-commentator=""Turei Zahav"" data-order=""2""></i><i data-commentator=""Ba'er Hetev"" data-order=""2""></i><i data-commentator=""Pithei Teshuva"" data-order=""4""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""3""></i>עונה אחת <i data-commentator=""Turei Zahav"" data-order=""3""></i><i data-commentator=""Siftei Kohen"" data-order=""6""></i><i data-commentator=""Torat HaShlamim"" data-order=""4""></i>ולא משאר <i data-commentator=""Ba'er Hetev"" data-order=""3""></i><i data-commentator=""Pithei Teshuva"" data-order=""5""></i>קריבות אלא מתשמיש <small>(המטה) </small>בלבד <i data-commentator=""Torat HaShlamim"" data-order=""5""></i><i data-commentator=""Be'er HaGolah"" data-order=""5""></i>אם הוא ביום <i data-commentator=""Pithei Teshuva"" data-order=""6""></i><i data-commentator=""Torat HaShlamim"" data-order=""6""></i>פורש ממנה <i data-commentator=""Siftei Kohen"" data-order=""7""></i><i data-commentator=""Pithei Teshuva"" data-order=""7""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""4""></i>אותו היום כולו אפי' אם הוסת בסופו ומותר מיד בלילה שלאחריו וכן אם הוא בתחילתו פורש כל היום <i data-commentator=""Torat HaShlamim"" data-order=""7""></i>ומותר כל הלילה שלפניו וכן הדין אם הוא בלילה פורש כל הלילה ומותר ביום שלפניו ולאחריו <i data-commentator=""Beur HaGra"" data-order=""4""></i>בין שקבעה וסת בג""פ <i data-commentator=""Torat HaShlamim"" data-order=""8""></i>או בפ""א: <small>הגה <i data-commentator=""Beur HaGra"" data-order=""5""></i>וכל זה לא מיירי אלא בוסת התלוי בימים <i data-commentator=""Siftei Kohen"" data-order=""8""></i>אבל לא בוסת התלוי <i data-commentator=""Turei Zahav"" data-order=""4""></i><i data-commentator=""Torat HaShlamim"" data-order=""9""></i>בשינוי הגוף (ב""י בשם הראב""ד) וע""ל סימן קפ""ט <i data-commentator=""Siftei Kohen"" data-order=""9""></i><i data-commentator=""Beur HaGra"" data-order=""6""></i>ואשה <i data-commentator=""Pithei Teshuva"" data-order=""8""></i>שמשנית וסתה <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""5""></i>להקדים ב' או ג' ימים או לאחר כשמגיע זמן וסתה צריך לפרוש ממנה ב' או ג' ימים קודם או אחריו (הגהות מיימוני פ""א דהלכות איסורי ביאה) וע""ל סי' קפ""ט:</small>"
"Shulchan Arukh, Yoreh De'ah 184:3","<i data-commentator=""Beur HaGra"" data-order=""7""></i><i data-commentator=""Be'er HaGolah"" data-order=""6""></i>במה דברים אמורים בגדולה אבל בקטנה <i data-commentator=""Siftei Kohen"" data-order=""10""></i><i data-commentator=""Beur HaGra"" data-order=""8""></i><i data-commentator=""Torat HaShlamim"" data-order=""10""></i>שלא הגיעה לימי <i data-commentator=""Ba'er Hetev"" data-order=""4""></i>הנעורים <i data-commentator=""Turei Zahav"" data-order=""5""></i><i data-commentator=""Siftei Kohen"" data-order=""11""></i><i data-commentator=""Beur HaGra"" data-order=""9""></i><i data-commentator=""Ba'er Hetev"" data-order=""5""></i>ולא הביאה סימנים <i data-commentator=""Turei Zahav"" data-order=""6""></i>אין צריך לפרוש <i data-commentator=""Siftei Kohen"" data-order=""12""></i><i data-commentator=""Torat HaShlamim"" data-order=""11""></i>סמוך <i data-commentator=""Ba'er Hetev"" data-order=""6""></i>לוסתה כל זמן <i data-commentator=""Pithei Teshuva"" data-order=""9""></i>שלא קבעתו ג""פ <i data-commentator=""Beur HaGra"" data-order=""10""></i><i data-commentator=""Be'er HaGolah"" data-order=""7""></i>והוא הדין לזקנה שנסתלקו דמיה:"
"Shulchan Arukh, Yoreh De'ah 184:4","<i data-commentator=""Beur HaGra"" data-order=""11""></i><i data-commentator=""Be'er HaGolah"" data-order=""8""></i>אם רגילה לראות בהנץ החמה ולא קים לן שפיר אי קודם הנץ החמה או אחריו <i data-commentator=""Siftei Kohen"" data-order=""13""></i><i data-commentator=""Torat HaShlamim"" data-order=""12""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""6""></i>אינה אסורה <i data-commentator=""Turei Zahav"" data-order=""7""></i><i data-commentator=""Siftei Kohen"" data-order=""14""></i>אלא <i data-commentator=""Ba'er Hetev"" data-order=""7""></i><i data-commentator=""Pithei Teshuva"" data-order=""10""></i>ביום:"
"Shulchan Arukh, Yoreh De'ah 184:5","<i data-commentator=""Beur HaGra"" data-order=""12""></i><i data-commentator=""Be'er HaGolah"" data-order=""9""></i>אם רגילה לראות ראייה מקודם הנץ החמה עד אחר הנץ החמה <i data-commentator=""Turei Zahav"" data-order=""8""></i><i data-commentator=""Siftei Kohen"" data-order=""15""></i><i data-commentator=""Torat HaShlamim"" data-order=""13""></i>אסורה בלילה וביום כשיעור <i data-commentator=""Ba'er Hetev"" data-order=""8""></i><i data-commentator=""Pithei Teshuva"" data-order=""11""></i>הנמשך בו:"
"Shulchan Arukh, Yoreh De'ah 184:6","<i data-commentator=""Beur HaGra"" data-order=""13""></i><i data-commentator=""Be'er HaGolah"" data-order=""10""></i>אם וסת נמשך ב' או ג' ימים ששופעת או מזלפת <i data-commentator=""Siftei Kohen"" data-order=""16""></i><i data-commentator=""Torat HaShlamim"" data-order=""14""></i>אינה צריכה לפרוש <i data-commentator=""Turei Zahav"" data-order=""9""></i>אלא עונה <i data-commentator=""Ba'er Hetev"" data-order=""9""></i><i data-commentator=""Pithei Teshuva"" data-order=""12""></i>הראשונה של הוסת וכיון שעברה עונה <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""7""></i>ולא ראתה מותרת:"
"Shulchan Arukh, Yoreh De'ah 184:7","<i data-commentator=""Be'er HaGolah"" data-order=""11""></i>אם הגיע וסתה בימי עיבורה <i data-commentator=""Turei Zahav"" data-order=""10""></i><i data-commentator=""Siftei Kohen"" data-order=""17""></i><i data-commentator=""Beur HaGra"" data-order=""14""></i>משהוכר עוברה או בימי מניקתה <i data-commentator=""Beur HaGra"" data-order=""15""></i><i data-commentator=""Torat HaShlamim"" data-order=""15""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""8""></i>שהם <i data-commentator=""Siftei Kohen"" data-order=""18""></i><i data-commentator=""Pithei Teshuva"" data-order=""13""></i>כ""ד חדשים משנולד הולד <i data-commentator=""Be'er HaGolah"" data-order=""12""></i>אפי' מת הולד <i data-commentator=""Siftei Kohen"" data-order=""19""></i><i data-commentator=""Torat HaShlamim"" data-order=""16""></i>א""צ <i data-commentator=""Pithei Teshuva"" data-order=""14""></i>לפרוש <i data-commentator=""Siftei Kohen"" data-order=""20""></i>סמוך לוסתה <i data-commentator=""Beur HaGra"" data-order=""16""></i>ואפי' בתוך וסתה מותרת בלא בדיקה <small>(וע""ל סוף סי' קפ""ט):</small>"
