the Birkat Hamazon]?If there,Mishnah Berakhot 7:3
of the rows:If two,Mishnah Peah 6:4
its fourth year:Bet Shammai,Mishnah Peah 7:6
terumat maaser together:He should,Mishnah Demai 5:2
a different species:Bet Shammai,Mishnah Kilayim 2:6
rows of gourds:Rabbi Ishmael,Mishnah Kilayim 3:6
(non-fruit bearing) tree?Any tree,Mishnah Kilayim 6:5
seed sown there]:The remainder,Mishnah Kilayim 7:3
they called saplings?Rabbi Elazar,Mishnah Sheviit 1:8
to the dung-heaps?From when,Mishnah Sheviit 3:1
the sabbatical year:Rabbi Meir,Mishnah Sheviit 5:2
the seventh year:Rabbi Eliezer,Mishnah Sheviit 5:3
in good soil:Bet Shammai,Mishnah Sheviit 5:4
are sabbatical produce]?When enough,Mishnah Sheviit 6:4
A bee-hive:Rabbi Eliezer,Mishnah Sheviit 10:7
after the other:Rabbi Akiva,Mishnah Terumot 3:3
give more terumah:Rabbi Eliezer,Mishnah Terumot 4:5
of clean hullin:Rabbi Eliezer,Mishnah Terumot 5:2
into [hullin] elsewhere:Rabbi Eliezer,Mishnah Terumot 5:5
married a priest:If the,Mishnah Terumot 6:2
have become impure:Rabbi Eliezer,Mishnah Terumot 8:8
placed into lentils:If the,Mishnah Terumot 10:1
of terumah wine:Rabbi Meir,Mishnah Terumot 10:3
vat of wine:If it,Mishnah Terumot 10:5
with clean fish:If the,Mishnah Terumot 10:8
liable for tithes?Figs from,Mishnah Maasrot 1:2
"liable to tithes]:Cucumbers, gourds,",Mishnah Maasrot 1:4
liable for tithes]?Cucumbers and,Mishnah Maasrot 1:5
liable to tithe?Rabbi Ishmael,Mishnah Maasrot 3:5
tithe in Jerusalem:Bet Shammai,Mishnah Maaser Sheni 2:9
[Jerusalem] or outside:Bet Shammai,Mishnah Maaser Sheni 3:9
its fourth year:Bet Shammai,Mishnah Maaser Sheni 5:3
of removal arrived:Bet Shammai,Mishnah Maaser Sheni 5:7
Dough for dogs:If shepherds,Mishnah Challah 1:8
hallah and terumah:One is,Mishnah Challah 1:9
had been taken:If he,Mishnah Challah 3:8
[by the poor]:If he,Mishnah Challah 3:9
its same species?Wheat is,Mishnah Challah 4:2
[liability to] hallah:From the,Mishnah Challah 4:8
to any priest:Devoted things,Mishnah Challah 4:9
dough] to ferment:Rabbi Eliezer,Mishnah Orlah 2:11
they cause fermentation:It [the,Mishnah Orlah 2:14
together they seasoned:It [the,Mishnah Orlah 2:15
[thread] it is:Rabbi Meir,Mishnah Orlah 3:2
bring nor recite.The following,Mishnah Bikkurim 1:1
"read the declaration:The convert,",Mishnah Bikkurim 1:4
terumah and bikkurim:One is,Mishnah Bikkurim 2:1
not to terumah:That [second],Mishnah Bikkurim 2:2
not to bikkurim:Terumah and,Mishnah Bikkurim 2:3
or maaser sheni:For bikkurim,Mishnah Bikkurim 2:4
two other ways:It may,Mishnah Bikkurim 2:5
a wild animal?Its blood,Mishnah Bikkurim 2:9
(a domesticated beast)?Its fat,Mishnah Bikkurim 2:10
like a hayyah?It is,Mishnah Bikkurim 2:11
he like men?He causes,Mishnah Bikkurim 4:2
he like women?He causes,Mishnah Bikkurim 4:3
men and women?One who,Mishnah Bikkurim 4:4
householder stands inside:If the,Mishnah Shabbat 1:1
not kindle them?They may,Mishnah Shabbat 2:1
cover it up?They may,Mishnah Shabbat 4:1
"forty less one:sowing, plowing,",Mishnah Shabbat 7:2
later. How so?In the,Mishnah Shabbat 19:5
of the dead:One may,Mishnah Shabbat 23:5
the Shabbat limit]?If one,Mishnah Eruvin 5:1
inside the other:If the,Mishnah Eruvin 6:9
the quantity required?When the,Mishnah Eruvin 7:8
Shabbat border eruvin]?Food for,Mishnah Eruvin 8:2
side-post was removed:They are,Mishnah Eruvin 9:3
"removed on Pesah:Babylonian kutah,",Mishnah Pesachim 3:1
state of] uncleanness?Rabbi Eliezer,Mishnah Pesachim 3:3
did not protest.And these,Mishnah Pesachim 4:8
and flay [them]?There were,Mishnah Pesachim 5:9
the pesah roasted?They bring,Mishnah Pesachim 7:1
"eaten in uncleanness:the omer,",Mishnah Pesachim 7:4
“a far-off journey”?From Modi’im,Mishnah Pesachim 9:2
and the second?The first,Mishnah Pesachim 9:3
of [subsequent] generations?The pesah,Mishnah Pesachim 9:5
in the chamber?They would,Mishnah Shekalim 4:3
of the incense?They would,Mishnah Shekalim 4:5
in the Temple:Yohanan the,Mishnah Shekalim 5:1
in the Temple:Eight of,Mishnah Shekalim 6:4
of the temple]:Bet Shammai,Mishnah Shekalim 8:6
The second count:who slaughters,Mishnah Yoma 2:3
to their shame:Those of,Mishnah Yoma 3:11
reached the wilderness?They used,Mishnah Yoma 6:8
was it [performed]?There was,Mishnah Sukkah 4:5
eight priestly watches.On the,Mishnah Sukkah 5:6
on Yom Tov:Bet Shammai,Mishnah Beitzah 1:8
day after Shabbat:Bet Shammai,Mishnah Beitzah 2:2
of Beth Shammai.One may,Mishnah Beitzah 2:6
a lenient character:One may,Mishnah Beitzah 2:7
Sages forbid them:His cow,Mishnah Beitzah 2:8
into a pit:Rabbi Judah,Mishnah Beitzah 3:4
on Yom Tov.For the,Mishnah Beitzah 5:2
four new years:The first,Mishnah Rosh Hashanah 1:1
world is judged:On Pesah,Mishnah Rosh Hashanah 1:2
messengers go out.On Nisan,Mishnah Rosh Hashanah 1:3
