versionTitle,count,Short Title
Sefaria Community Translation,910,
"Rabbi Mike Feuer, Jerusalem Anthology",137,Rabbi Mike Feuer
Mishnah Yomit by Dr. Joshua Kulp,126,Dr. Joshua Kulp
William Davidson Edition - English,76,Koren - Steinsaltz
"Yalkut, Sifsei Chachomim Chumash, Metsudah Publications, 2009",67,"Metsudah Publications, 2009"
"Maimonides' Mishneh Torah, edited by Philip Birnbaum, New York, 1967",64,"Philip Birnbaum, 1967"
"Bartenura on Mishnah, trans. by Rabbi Robert Alpert, 2020",52,"Rabbi Robert Alpert, 2020"
"Tanakh: The Holy Scriptures, published by JPS",41,"JPS, 1985"
YU Torah miTzion Beit Midrash,40,
The Koren Jerusalem Bible,40,
"The Jerusalem Talmud, translation and commentary by Heinrich W. Guggenheimer. Berlin, De Gruyter, 1999-2015",40,"Heinrich W. Guggenheimer, 1999-2015"
"La Malnova Testamento, L.L.Zamenhof [eo]",39,
Bible du Rabbinat 1899 [fr],39,
"La Bible, Traduction Nouvelle, Samuel Cahen, 1831 [fr]",39,
The Holy Scriptures: A New Translation (JPS 1917),39,JPS 1917
"Talmud Bavli. German trans. by Lazarus Goldschmidt, 1929 [de]",37,"Lazarus Goldschmidt, 1929"
"Bible in Polish, trans. Izaak Cylkow, 1841 - 1908 [pl]",34,
"Le Talmud de Jérusalem, traduit par Moise Schwab, 1878-1890 [fr]",33,"Moise Schwab, 1878-1890"
The Mishna with Obadiah Bartenura by Rabbi Shraga Silverstein,29,
Sefaria Responsa Anthology,28,
"Rabbi Dr. David Mevorach Seidenberg, from ""Kabbalah and Ecology""",26,
"Die Heilige Schrift, trans. Dr. Simon Bernfeld, Berlin, 1902 - German [de]",25,
Talmud Bavli. German. Lazarus Goldschmidt. 1929 [de],25,
Open Mishnah,24,
"Eliyahu Munk, HaChut Hameshulash",21,
"The Mishneh Torah by Maimonides. trans. by Moses Hyamson, 1937-1949",15,
"The Minor Tractates of the Talmud, trans. A. Cohen, London: Soncino Press, 1965",14,
