Index Title,Jerusalem Talmud Shekalim NEW
Version Title,William Davidson Edition - Hebrew
Language,he
Version Source,https://korenpub.co.il/products/vol-8-shekalim
Version Notes,
Jerusalem Talmud Shekalim 1:1:1,<sup><b>[דף ב.]</b></sup> <strong>הלכה א <big>מתני׳</big></strong> באחד באדר משמיעין על השקלים ועל הכלאים. ובחמשה עשר בו קורין את המגילה בכרכים
Jerusalem Talmud Shekalim 1:1:2,ומתקנין את הדרכים ואת הרחובות ואת מקוות המים ועושין כל צרכי הרבים ומציינין (על) [את] הקברות
Jerusalem Talmud Shekalim 1:1:3,ויוצאין אף על הכלאים
Jerusalem Talmud Shekalim 1:1:4,<strong>גמ׳</strong> ולמה באחד באדר כדי שיביאו ישראל את שקליהן בעונתן ותיתרם תרומת הלשכה מן החדשה בזמנה באחד בניסן
Jerusalem Talmud Shekalim 1:1:5,ומר רבי שמואל בר רב יצחק תרומת הלשכה כתחלתה דכתיב ויהי בחדש הראשון בשנה השנית באחד לחדש הוקם המשכן ותני עלה ביום שהוקם המשכן בו ביום נתרמה התרומה
Jerusalem Talmud Shekalim 1:1:6,רבי טבי רבי יאשיה בשם כהנא נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן
Jerusalem Talmud Shekalim 1:1:7,אמר רבי יונה שבק רבי טבי ראשה דמתניתא ואמר סופה דל כן כהדא דתני זאת עולת חדש בחדשו יכול יהא תורם בכל חדש וחדש תלמוד לומר בחדשו לחדשי (השנה) בחדש אחד הוא תורם לכל חדשי השנה
Jerusalem Talmud Shekalim 1:1:8,יכול באיזה חדש שירצה נאמר כאן חדשי ונאמר להלן חדשי מה חדשי שנאמר להלן אין מונין אלא מניסן אף חדשי שנאמר כאן אין מונין אלא מניסן
Jerusalem Talmud Shekalim 1:1:9,מהו משמיעין רב הונא אמר מכריזין היך מה דאת אמר ויתנו קול ביהודה ובירושלם
Jerusalem Talmud Shekalim 1:1:10,תמן תנינן אין בין אדר הראשון לאדר השני אלא מקרא מגילה ומתנות לאביונים רבי סימון בשם רבי יהושע בן לוי אף שימוע שקלים וכלאים ביניהם רבי חלבו ורב הונא רב בשם רבי חייא רבה הכל יוצאין בארבעה עשר שהוא זמן קרייתה
Jerusalem Talmud Shekalim 1:1:11,אמר רבי יוסי ויאות כלום אמרו משמיעין על השקלים לא כדי שיביאו ישראל את שקליהן בעונתן אם את אמר באדר הראשון עד כדון אית בשתא שיתין יומין
