Old	New	Hebrew
01 - Introduction	01. Introduction	פרק א - פתיחה
01. Shabbat Rest – The Completion of Creation	01. Shabbat Rest. The Completion of Creation	א – שבת מנוחה – השלמת הבריאה
09. Zakhor – Foundations of Faith	09. Zakhor. Foundations of Faith	ט – זכור – יסודות האמונה
10. Shamor – Cessation from Crafting the Mishkan	10. Shamor. Cessation from Crafting the Mishkan	י – שמור – שביתה ממלאכת המשכן
02 - Preparing for Shabbat	02. Preparing for Shabbat	פרק ב - הכנות לשבת
05. Honoring Shabbat by Preparing One’s Self and One’s Home	05. Honoring Shabbat by Preparing One's Self and One's Home	ה – כבוד השבת בהכנת הגוף והבית
03 - Shabbat Times	03. Shabbat Times	פרק ג - זמני השבת
05. May One Pray Minĥa after Accepting Shabbat?	05. May One Pray Minha after Accepting Shabbat?	ה – האם מותר להתפלל מנחה אחר קבלת תוספת שבת
04 - Lighting Shabbat Candles	04. Lighting Shabbat Candles	פרק ד - הדלקת נרות שבת
05 - Torah Study and Prayer on Shabbat	05. Torah Study and Prayer on Shabbat	פרק ה - תורה ותפילה בשבת
08. Torah Reading at Minĥa on Shabbat	08. Torah Reading at Minha on Shabbat	ח – קריאה בתורה במנחה של שבת
09. Shnayim Mikra Ve-eĥad Targum	09. Shnayim Mikra Ve'ehad Targum	ט – שניים מקרא ואחד תרגום
10. Different Customs Relating to Shnayim Mikra Ve-eĥad Targum	10. Different Customs Relating to Shnayim Mikra Ve'ehad Targum	י – מנהגי שניים מקרא ואחד תרגום
12. Va-yekhulu	12. Va'yekhulu	יב – ויכולו
13. Magen Avot – A Concise Recap of the Amida	13. Magen Avot. A Concise Recap of the Amida	יג – מגן אבות – מעין שבע
15. The Custom of Wishing One’s Rabbi “Shabbat Shalom”	15. The Custom of Wishing One's Rabbi "Shabbat Shalom"	טו – מנהג אמירת שבת שלום לרב
06 - Laws of Kiddush	06. Laws of Kiddush	פרק ו - הלכות קידוש
07 - Shabbat Meals and Melaveh Malka	07. Shabbat Meals and Melaveh Malka	פרק ז - סעודות השבת ומלווה מלכה
01. The Mitzva of Se’udot Shabbat (Festive Shabbat Meals)	01. The Mitzva of Se'udot Shabbat (Festive Shabbat Meals)	א – מצוות סעודות שבת
